,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
51,Erwan Belhadji,fr  FRA,MF,Dijon,19,2001,0.3,3,0,3,0,0,2,3,66.7,1,13,3,23.1,5,8,0,3,0,0,3,0,3,0,0
52,Haris Belkebla,dz  ALG,MF,Brest,26,1994,30.3,73,50,38,30,5,22,72,30.6,50,593,159,26.8,231,294,68,52,8,0,44,37,110,45,0
53,Jean-Ricner Bellegarde,fr  FRA,"MF,FW",Strasbourg,22,1998,23.2,58,43,28,17,13,13,30,43.3,17,394,126,32.0,134,171,89,29,2,1,27,18,76,17,1
54,Sami Ben Amar,ma  MAR,MF,Nîmes,22,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0
55,Hatem Ben Arfa,fr  FRA,"MF,FW",Bordeaux,33,1987,18.9,12,11,1,9,2,1,9,11.1,8,174,65,37.4,20,79,75,2,0,0,2,5,17,0,0
56,Salim Ben Seghir,fr  FRA,DF,Nice,17,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
57,Wissam Ben Yedder,fr  FRA,FW,Monaco,29,1990,29.0,19,14,3,9,7,3,13,23.1,10,346,97,28.0,21,155,170,19,2,0,17,10,29,4,0
58,Samy Benchama,fr  FRA,"MF,DF",Montpellier,20,2000,0.5,2,1,1,1,0,0,1,0.0,1,14,3,21.4,7,6,1,0,0,0,0,0,2,1,0
59,Darío Benedetto,ar  ARG,FW,Marseille,30,1990,17.5,7,2,1,4,2,3,11,27.3,8,188,41,21.8,8,94,86,13,3,0,10,3,10,16,0
60,Walter Benítez,ar  ARG,GK,Nice,27,1993,38.0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,3,0,0,1,0,0,1,0,0,0,2
61,Loris Benito,ch  SUI,DF,Bordeaux,28,1992,29.5,49,33,34,12,3,25,50,50.0,25,297,92,31.0,150,111,36,49,11,1,38,40,89,92,0
62,Bilal Benkhedim,fr  FRA,FW,Saint-Étienne,19,2001,0.8,0,0,0,0,0,0,2,0.0,2,27,9,33.3,4,14,9,2,0,0,2,0,0,0,0
63,Djamel Benlamri,dz  ALG,DF,Lyon,30,1989,1.7,5,4,4,1,0,4,8,50.0,4,16,7,43.8,12,4,0,7,3,0,4,6,11,13,0
64,Yassine Benrahou,fr  FRA,MF,Nîmes,21,1999,13.8,17,8,6,7,4,5,22,22.7,17,248,73,29.4,67,108,73,17,0,0,17,6,23,9,1
65,Yassine Benzia,dz  ALG,"MF,FW",Dijon,25,1994,4.5,11,5,5,3,3,6,14,42.9,8,119,24,20.2,35,67,17,2,0,0,2,8,19,2,0
66,Valon Berisha,xk  KVX,MF,Reims,27,1993,18.3,41,27,18,21,2,4,37,10.8,33,409,104,25.4,114,227,68,20,2,0,18,17,58,25,1
67,Paul Bernardoni,fr  FRA,GK,Angers,23,1997,38.0,1,1,1,0,0,1,2,50.0,1,5,1,20.0,5,0,0,0,0,0,0,0,1,0,1
68,Juan Bernat,es  ESP,DF,Paris S-G,27,1993,2.2,6,2,0,5,1,3,4,75.0,1,38,16,42.1,11,15,12,8,0,0,8,1,7,5,0
69,Dimitry Bertaud,fr  FRA,GK,Montpellier,22,1998,8.3,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
70,Loïc Bessile,tg  TOG,DF,Bordeaux,21,1999,1.0,2,2,2,0,0,0,0,,0,14,3,21.4,7,7,0,3,1,0,2,0,2,2,0
71,Giulian Biancone,fr  FRA,"DF,MF",Monaco,20,2000,1.0,3,2,2,0,1,2,4,50.0,2,17,6,35.3,5,11,1,2,0,0,2,0,3,5,0
72,El Bilal Touré,ml  MLI,"FW,MF",Reims,18,2001,13.8,26,14,4,17,5,4,14,28.6,10,263,57,21.7,35,131,97,10,2,0,8,5,31,18,1
73,Ludovic Blas,fr  FRA,"MF,FW",Nantes,22,1997,31.0,58,33,20,33,5,21,60,35.0,39,629,164,26.1,135,337,157,48,5,0,43,30,88,19,0
74,Antonin Bobichon,fr  FRA,"MF,FW",Angers,24,1995,10.1,21,14,5,12,4,6,18,33.3,12,251,66,26.3,65,125,61,15,3,0,12,10,31,2,1
75,Quentin Boisgard,fr  FRA,"MF,FW",Lorient,23,1997,14.6,25,18,5,14,6,9,27,33.3,18,204,56,27.5,25,112,67,22,2,0,20,12,37,1,0
76,Sven Botman,nl  NED,DF,Lille,20,2000,36.8,48,30,26,19,3,11,26,42.3,15,258,86,33.3,157,92,9,46,21,0,25,38,86,193,1
77,Denis Bouanga,ga  GAB,"MF,FW",Saint-Étienne,25,1994,30.2,63,43,25,25,13,7,58,12.1,51,668,173,25.9,141,298,229,49,8,0,41,22,85,36,1
78,Hicham Boudaoui,dz  ALG,"MF,FW",Nice,20,1999,19.3,54,40,26,20,8,22,58,37.9,36,453,123,27.2,155,218,80,23,5,0,18,18,72,27,1
79,Ryad Boudebouz,dz  ALG,"MF,FW",Saint-Étienne,30,1990,7.2,10,5,2,6,2,1,5,20.0,4,105,42,40.0,13,48,44,7,0,0,7,8,18,1,0
80,Sofiane Boufal,ma  MAR,"FW,MF",Angers,26,1993,8.1,17,13,10,5,2,10,25,40.0,15,144,42,29.2,56,63,25,15,1,0,14,5,22,1,0
81,Farid Boulaya,dz  ALG,"MF,FW",Metz,27,1993,31.3,30,18,11,16,3,8,56,14.3,48,411,114,27.7,65,225,121,29,3,1,26,10,40,10,0
82,Ismaëlben Boura,fr  FRA,DF,Lens,19,2000,9.1,18,12,10,6,2,5,15,33.3,10,127,41,32.3,57,47,23,15,2,0,13,19,37,13,0
83,Benjamin Bourigeaud,fr  FRA,"MF,FW",Rennes,26,1994,28.4,40,26,13,24,3,18,66,27.3,48,539,138,25.6,104,295,140,50,1,0,49,23,63,35,0
84,John Boye,gh  GHA,DF,Metz,33,1987,33.8,67,39,48,17,2,30,70,42.9,40,367,131,35.7,224,131,12,83,25,1,58,57,124,202,1
85,Umut Bozok,tr  TUR,"FW,MF",Lorient,23,1996,0.7,0,0,0,0,0,0,0,,0,11,4,36.4,2,6,3,0,0,0,0,0,0,0,0
86,Domagoj Bradarić,hr  CRO,DF,Lille,20,1999,14.0,33,17,14,12,7,10,25,40.0,15,132,40,30.3,48,60,24,32,5,0,27,19,52,36,0
87,Lilian Brassier,fr  FRA,DF,Brest,20,1999,10.7,21,15,11,9,1,4,8,50.0,4,121,49,40.5,61,52,8,16,5,0,11,19,40,63,0
88,Anthony Briançon,fr  FRA,DF,Nîmes,25,1994,13.6,16,9,13,3,0,9,20,45.0,11,97,40,41.2,70,25,2,23,13,0,10,21,37,79,1
89,Jimmy Briand,fr  FRA,FW,Bordeaux,34,1985,6.3,8,5,3,5,0,1,4,25.0,3,90,26,28.9,17,48,25,3,2,0,1,1,9,3,0
90,Dylan Bronn,tn  TUN,DF,Metz,25,1995,37.9,75,46,51,24,0,28,56,50.0,28,415,151,36.4,236,162,17,45,16,0,29,38,113,163,3
91,Lucas Buadés,fr  FRA,MF,Nîmes,22,1997,0.2,1,0,0,1,0,0,0,,0,13,1,7.7,2,7,4,0,0,0,0,0,1,0,0
92,Marcin Bułka,pl  POL,GK,Paris S-G,20,1999,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
93,Jimmy Cabot,fr  FRA,"FW,MF",Angers,26,1994,10.5,26,16,11,10,5,8,35,22.9,27,199,53,26.6,56,95,48,15,0,0,15,13,39,4,0
94,Anthony Caci,fr  FRA,DF,Strasbourg,23,1997,31.1,97,60,57,28,12,29,67,43.3,38,461,162,35.1,245,166,50,71,4,0,67,57,154,60,0
95,Mathieu Cafaro,fr  FRA,"MF,FW",Reims,23,1997,23.0,40,20,16,18,6,3,42,7.1,39,414,102,24.6,117,201,96,16,0,0,16,19,59,10,0
96,Yannick Cahuzac,fr  FRA,MF,Lens,35,1985,25.0,36,20,19,11,6,13,31,41.9,18,298,101,33.9,110,132,56,31,5,0,26,30,66,65,3
97,Marc-Aurèle Caillard,fr  FRA,GK,Metz,26,1994,4.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
98,Duje Ćaleta-Car,hr  CRO,DF,Marseille,23,1996,31.3,35,17,25,9,1,15,35,42.9,20,233,80,34.3,135,92,6,40,22,0,18,35,70,179,0
99,Mahdi Camara,fr  FRA,"MF,DF",Saint-Étienne,22,1998,36.6,109,71,50,51,8,23,55,41.8,32,690,201,29.1,208,371,111,68,13,0,55,57,166,72,1
100,Eduardo Camavinga,fr  FRA,MF,Rennes,17,2002,26.7,111,70,46,51,14,20,64,31.3,44,628,180,28.7,178,330,120,38,3,0,35,20,131,20,0
101,Pierrick Capelle,fr  FRA,"MF,DF",Angers,33,1987,22.8,57,32,24,22,11,23,80,28.8,57,486,134,27.6,154,232,100,32,1,0,31,39,96,39,0
102,Maxence Caqueret,fr  FRA,MF,Lyon,20,2000,19.6,83,59,22,45,16,27,95,28.4,68,558,162,29.0,129,303,126,43,3,0,40,30,113,11,0
103,Irvin Cardona,fr  FRA,"FW,MF",Brest,22,1997,22.5,9,4,5,2,2,4,25,16.0,21,315,94,29.8,35,153,127,18,5,0,13,9,18,26,1
104,Lionel Carole,fr  FRA,DF,Strasbourg,29,1991,14.9,42,26,25,13,4,17,33,51.5,16,179,61,34.1,86,68,25,19,2,0,17,32,74,48,0
105,Moreto Cassamã,gw  GNB,MF,Reims,22,1998,22.6,50,37,22,26,2,16,41,39.0,25,308,104,33.8,121,154,33,27,10,1,17,40,90,26,1
106,Jean-Charles Castelletto,cm  CMR,DF,Nantes,25,1995,21.6,34,14,21,11,2,19,34,55.9,15,173,58,33.5,109,59,5,36,20,1,16,29,63,134,0
107,Zeki Çelik,tr  TUR,DF,Lille,23,1997,26.5,80,37,33,36,11,35,74,47.3,39,439,138,31.4,164,213,62,63,8,0,55,33,113,70,0
108,Bersant Celina,xk  KVX,"MF,FW",Dijon,23,1996,25.5,27,11,7,15,5,7,36,19.4,29,395,109,27.6,101,211,83,26,3,0,23,15,42,11,0
109,Fabien Centonze,fr  FRA,DF,Metz,24,1996,35.8,108,55,66,31,11,29,58,50.0,29,485,161,33.2,225,185,75,86,15,0,71,66,174,174,1
110,Nassim Chadli,fr  FRA,"FW,MF",Nîmes,19,2001,0.3,1,0,1,0,0,0,1,0.0,1,15,2,13.3,4,6,5,3,0,0,3,1,2,0,0
111,Fouad Chafik,ma  MAR,DF,Dijon,33,1986,18.0,39,28,27,9,3,14,36,38.9,22,205,66,32.2,108,78,19,33,9,2,24,20,59,56,0
112,Mehdi Chahiri,ma  MAR,"FW,MF",Strasbourg,24,1996,8.9,18,13,6,8,4,5,21,23.8,16,145,51,35.2,43,45,57,12,0,0,12,12,30,2,0
113,Aníbal Chalá,ec  ECU,DF,Dijon,24,1996,8.3,17,7,10,4,3,4,13,30.8,9,122,24,19.7,52,57,13,11,2,0,9,16,33,22,0
114,Trevoh Chalobah,eng  ENG,"DF,MF",Lorient,21,1999,24.9,50,28,31,18,1,17,35,48.6,18,229,80,34.9,106,103,20,28,8,0,20,63,113,93,0
115,Gaëtan Charbonnier,fr  FRA,"MF,FW",Brest,31,1988,17.4,26,18,8,11,7,9,30,30.0,21,307,77,25.1,59,133,115,20,1,0,19,10,36,23,0
116,Brendan Chardonnet,fr  FRA,DF,Brest,25,1994,30.2,57,33,40,15,2,31,45,68.9,14,243,90,37.0,147,84,12,67,41,1,26,46,103,224,2
117,Xavier Chavalerin,fr  FRA,MF,Reims,29,1991,28.3,112,64,53,43,16,14,70,20.0,56,621,177,28.5,247,274,100,44,9,0,35,36,148,31,1
118,Pape Cheikh Diop,sn  SEN,MF,Dijon,22,1997,12.1,18,17,12,5,1,7,30,23.3,23,215,63,29.3,73,109,33,18,3,0,15,6,24,11,0
119,Rayan Cherki,fr  FRA,"FW,MF",Lyon,16,2003,7.8,8,5,1,3,4,2,12,16.7,10,104,37,35.6,11,49,44,4,0,0,4,4,12,0,0
120,Pedro Chirivella,es  ESP,MF,Nantes,23,1997,25.3,39,19,12,19,8,7,54,13.0,47,424,127,30.0,111,235,78,34,5,0,29,38,77,23,0
121,Joris Chotard,fr  FRA,MF,Montpellier,18,2001,12.9,22,17,7,13,2,9,32,28.1,23,185,50,27.0,60,96,29,12,3,0,9,17,39,21,0
122,Mounir Chouiar,fr  FRA,"FW,MF",Dijon,21,1999,14.3,22,15,12,6,4,8,22,36.4,14,196,62,31.6,54,87,55,22,0,0,22,9,31,6,0
123,Sébastien Cibois,fr  FRA,GK,Brest,22,1998,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1
124,Alexis Claude-Maurice,fr  FRA,"MF,FW",Nice,22,1998,21.2,36,25,16,14,6,18,49,36.7,31,362,97,26.8,84,164,114,16,2,0,14,13,49,11,0
125,Jonathan Clauss,fr  FRA,DF,Lens,27,1992,28.0,54,27,16,25,13,18,51,35.3,33,342,103,30.1,122,133,87,55,1,0,54,43,97,56,0
126,Marcus Coco,fr  FRA,"MF,FW",Nantes,24,1996,16.4,41,30,17,14,10,13,31,41.9,18,320,87,27.2,89,155,76,19,2,0,17,15,56,15,0
127,Racine Coly,sn  SEN,DF,Nice,24,1995,0.2,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,0,0,0,0,0,1,0,0
128,Daniel Congré,fr  FRA,DF,Montpellier,35,1985,36.6,58,36,48,10,0,32,68,47.1,36,329,131,39.8,209,106,14,67,35,0,32,45,103,189,3
129,Sébastien Corchia,fr  FRA,DF,Nantes,29,1990,23.0,53,25,28,15,10,22,50,44.0,28,287,95,33.1,112,125,50,47,10,0,37,26,79,72,0
130,Maxwel Cornet,ci  CIV,"DF,FW",Lyon,23,1996,27.2,80,46,46,24,10,29,58,50.0,29,301,97,32.2,152,101,48,43,3,0,40,44,124,85,2
131,David Pereira da Costa,pt  POR,"MF,FW",Lens,19,2001,1.8,6,5,2,4,0,4,4,100.0,0,30,13,43.3,10,16,4,3,0,0,3,0,6,2,0
132,Charles Costes,fr  FRA,MF,Dijon,17,2002,0.0,0,0,0,0,0,0,0,,0,4,0,0.0,1,2,1,0,0,0,0,0,0,0,0
133,Benoît Costil,fr  FRA,GK,Bordeaux,33,1987,38.0,0,0,0,0,0,0,2,0.0,2,6,1,16.7,6,0,0,1,0,0,1,0,0,3,0
134,Kalifa Coulibaly,ml  MLI,FW,Nantes,28,1991,10.9,7,6,0,3,4,2,5,40.0,3,79,18,22.8,1,38,40,5,2,0,3,3,10,11,0
135,Lassana Coulibaly,ml  MLI,"MF,FW",Angers,24,1996,18.7,81,56,35,35,11,24,67,35.8,43,468,157,33.5,167,248,53,28,6,0,22,36,117,41,1
136,Senou Coulibaly,ml  MLI,DF,Dijon,25,1994,21.5,33,23,27,5,1,8,25,32.0,17,217,64,29.5,134,72,11,35,12,0,23,40,73,114,1
137,Nicolas Cozza,fr  FRA,DF,Montpellier,21,1999,15.2,39,18,28,10,1,19,38,50.0,19,182,50,27.5,105,56,21,35,12,0,23,21,60,51,0
138,Adrián Cubas,py  PAR,MF,Nîmes,24,1996,24.9,81,62,32,39,10,35,86,40.7,51,667,232,34.8,295,320,52,42,10,0,32,57,138,32,1
139,Mickaël Cuisance,fr  FRA,MF,Marseille,20,1999,11.4,26,17,9,12,5,7,31,22.6,24,305,79,25.9,75,155,75,14,0,0,14,7,33,8,0
140,Damien Da Silva,fr  FRA,DF,Rennes,32,1988,29.6,29,18,19,8,2,12,24,50.0,12,167,67,40.1,90,72,5,29,16,1,13,40,69,161,1
141,Colin Dagba,fr  FRA,DF,Paris S-G,21,1998,15.1,26,13,6,15,5,11,25,44.0,14,209,66,31.6,66,89,54,33,6,1,27,12,38,26,0
142,Flavius Daniliuc,at  AUT,DF,Nice,19,2001,16.4,29,12,19,7,3,15,26,57.7,11,168,49,29.2,91,57,20,20,7,0,13,19,48,47,1
143,Dante,br  BRA,DF,Nice,36,1983,8.6,8,7,5,3,0,3,9,33.3,6,53,20,37.7,29,23,1,6,4,0,2,2,10,32,0
144,Jonathan David,ca  CAN,FW,Lille,20,2000,26.2,21,13,5,8,8,6,19,31.6,13,535,149,27.9,39,198,298,23,1,0,22,15,36,7,0
145,Mattia De Sciglio,it  ITA,DF,Lyon,27,1992,16.3,34,23,18,10,6,15,27,55.6,12,173,61,35.3,61,74,38,37,8,0,29,36,70,47,1
146,Thibault De Smet,be  BEL,DF,Reims,22,1998,5.5,12,8,6,6,0,3,14,21.4,11,94,32,34.0,47,38,9,19,2,0,17,5,17,25,0
147,Lucas Deaux,fr  FRA,"MF,DF",Nîmes,31,1988,19.5,59,38,28,26,5,18,61,29.5,43,472,144,30.5,148,251,73,26,6,0,20,14,73,44,4
148,Mathieu Debuchy,fr  FRA,DF,Saint-Étienne,35,1985,23.4,66,37,43,17,6,37,64,57.8,27,296,88,29.7,155,106,35,49,11,0,38,47,113,84,1
149,Romain Del Castillo,fr  FRA,"MF,FW",Rennes,24,1996,7.2,33,23,7,17,9,8,23,34.8,15,181,67,37.0,35,80,66,9,0,0,9,4,37,2,0
150,Thomas Delaine,fr  FRA,DF,Metz,28,1992,19.8,37,18,23,11,3,16,37,43.2,21,217,41,18.9,97,86,34,35,5,0,30,16,53,36,1
151,Jonathan Delaplace,fr  FRA,DF,Lorient,34,1986,10.1,18,12,13,3,2,8,17,47.1,9,136,42,30.9,65,55,16,19,5,0,14,20,38,26,1
152,Sacha Delaye,fr  FRA,MF,Montpellier,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,1,1,2,0
153,Andy Delort,dz  ALG,FW,Montpellier,28,1991,27.6,18,15,2,10,6,4,16,25.0,12,239,67,28.0,33,91,115,12,2,0,10,4,22,28,0
154,Moussa Dembélé,fr  FRA,FW,Lyon,24,1996,7.5,3,3,0,1,2,1,5,20.0,4,80,24,30.0,1,28,51,8,4,0,4,2,5,9,0
