,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
265,Stevan Jovetić,me  MNE,"FW,MF",Monaco,30,1989,8.9,382,361,21,1,2,88,12,15,14,4,6,0,240,67,75,41,304,21,3,7,269,4,5,12,20
266,Abdoul Kader Bamba,fr  FRA,"FW,MF",Nantes,26,1994,10.2,494,445,49,23,1,80,11,20,17,3,9,5,360,64,70,45,424,10,7,2,371,2,9,13,26
267,Tino Kadewere,zw  ZIM,FW,Lyon,24,1996,22.3,626,618,8,0,1,137,8,36,0,0,0,0,460,89,77,83,498,16,3,5,461,0,12,23,29
268,Gaël Kakuta,cd  COD,"MF,FW",Lens,29,1991,26.6,1168,1072,96,39,6,257,41,51,50,29,15,1,803,159,206,930,178,31,5,6,853,8,25,32,50
269,Samuel Kalu,ng  NGA,"FW,MF",Bordeaux,22,1997,10.7,317,302,15,5,0,73,17,18,7,4,0,3,220,53,44,23,267,13,3,1,230,1,9,9,17
270,Aboubakar Kamara,mr  MTN,"FW,MF",Dijon,25,1995,6.2,151,144,7,0,0,53,4,10,0,0,0,0,96,35,20,26,109,5,2,0,113,0,3,3,5
271,Bingourou Kamara,sn  SEN,GK,Strasbourg,23,1996,8.0,247,174,73,17,0,24,2,0,0,0,0,0,98,9,140,11,183,0,0,45,166,0,5,1,0
272,Boubacar Kamara,fr  FRA,MF,Marseille,20,1999,32.2,2029,1934,95,89,1,245,64,6,0,0,0,0,1556,152,321,217,1690,69,6,4,1769,3,33,37,26
273,Hassane Kamara,ci  CIV,DF,Nice,25,1994,32.9,1933,1675,258,19,3,240,53,92,1,0,0,1,1284,342,307,1414,213,33,238,6,1590,5,40,49,52
274,Wilfried Kanga,fr  FRA,FW,Angers,22,1998,1.5,17,13,4,0,0,4,0,1,0,0,0,0,10,4,3,4,11,1,0,1,14,0,0,0,0
275,Eiji Kawashima,jp  JPN,GK,Strasbourg,37,1983,24.0,715,461,254,61,0,39,13,0,0,0,0,0,263,28,424,62,523,1,0,79,487,0,19,2,3
276,Moise Kean,it  ITA,FW,Paris S-G,20,2000,18.9,315,289,26,0,1,65,8,11,0,0,0,0,250,42,23,29,266,9,2,5,253,1,3,14,12
277,Thilo Kehrer,de  GER,DF,Paris S-G,23,1996,18.0,1250,1190,60,15,1,82,9,10,0,0,0,0,1069,113,68,377,759,51,45,3,1164,1,8,16,9
278,Habib Keita,ml  MLI,MF,Lyon,18,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0
279,Saîf-Eddine Khaoui,tn  TUN,"FW,MF",Marseille,25,1995,6.7,255,223,32,2,0,40,2,10,2,0,0,2,144,56,55,201,11,12,28,2,181,1,3,9,10
280,Wahbi Khazri,tn  TUN,FW,Saint-Étienne,29,1991,13.1,383,349,34,17,0,87,18,20,4,2,1,1,239,61,83,33,328,8,7,5,261,2,13,19,16
281,Presnel Kimpembe,fr  FRA,DF,Paris S-G,24,1995,25.6,1927,1879,48,44,0,140,16,2,0,0,0,0,1762,78,87,1623,234,49,4,0,1850,2,8,8,10
282,Randal Kolo Muani,fr  FRA,FW,Nantes,21,1998,33.7,629,593,36,0,2,161,5,35,0,0,0,0,413,134,82,40,472,39,0,21,430,1,7,20,32
283,Timothée Kolodziejczak,fr  FRA,DF,Saint-Étienne,28,1991,22.6,1332,1237,95,45,0,117,23,8,0,0,0,0,966,143,223,1110,66,73,50,1,1122,2,25,21,24
284,Ghislain Konan,ci  CIV,DF,Reims,24,1995,29.0,1476,1194,282,25,0,146,22,43,0,0,0,0,931,284,261,1048,114,45,257,4,1170,4,30,48,45
285,Moussa Konaté,sn  SEN,FW,Dijon,27,1993,13.3,287,253,34,1,0,73,2,4,0,0,0,0,190,55,42,37,202,14,0,11,211,2,7,3,7
286,Lamine Koné,ci  CIV,DF,Strasbourg,31,1989,11.6,471,446,25,23,0,59,23,2,0,0,0,0,304,44,123,63,358,30,2,6,387,0,8,10,7
287,Moussa Koné,sn  SEN,FW,Nîmes,23,1996,19.5,305,258,47,1,1,58,12,5,0,0,0,0,234,42,29,22,254,13,1,5,237,2,6,9,9
288,Laurent Koscielny,fr  FRA,DF,Bordeaux,34,1985,24.6,1342,1307,35,34,0,132,37,0,0,0,0,0,1067,106,169,133,1113,61,1,3,1207,2,17,12,15
289,Boubakar Kouyaté,ml  MLI,DF,Metz,23,1997,21.8,790,766,24,24,0,86,21,0,0,0,0,0,581,73,136,206,512,37,0,3,675,2,12,10,8
290,Jean-Philippe Krasso,fr  FRA,FW,Saint-Étienne,23,1997,2.5,46,43,3,0,0,9,0,3,0,0,0,0,28,10,8,30,7,5,1,1,30,0,0,0,2
291,Layvin Kurzawa,fr  FRA,DF,Paris S-G,27,1992,14.2,971,853,118,16,1,77,8,39,0,0,0,0,713,157,101,733,84,29,102,5,849,2,14,21,15
292,Dereck Kutesa,ch  SUI,"MF,FW",Reims,22,1997,7.6,156,153,3,0,0,54,3,14,0,0,0,0,115,21,20,28,113,7,2,0,105,0,3,10,13
293,Enock Kwateng,fr  FRA,DF,Bordeaux,23,1997,11.5,660,563,97,6,0,99,6,14,0,0,0,0,420,128,112,75,452,26,91,3,546,0,10,19,9
294,Gaëtan Laborde,fr  FRA,"FW,MF",Montpellier,26,1994,36.2,917,899,18,2,3,268,16,54,0,0,0,0,515,183,219,434,270,82,7,25,613,4,19,28,49
295,Tom Lacoux,fr  FRA,MF,Bordeaux,18,2002,5.8,221,218,3,0,0,36,7,2,0,0,0,0,182,19,20,21,184,9,3,1,194,0,0,7,4
296,Alban Lafont,fr  FRA,GK,Nantes,21,1999,38.0,1127,735,392,133,0,40,28,0,0,0,0,0,426,30,671,37,893,1,1,128,653,3,29,7,3
297,Kenny Lala,fr  FRA,DF,Strasbourg,28,1991,20.4,1127,853,274,43,4,127,55,62,29,9,15,2,529,217,381,133,745,24,202,7,832,1,27,23,41
298,Loïck Landre,fr  FRA,DF,Nîmes,28,1992,18.1,782,742,40,32,0,61,35,0,0,0,0,0,627,51,104,83,659,20,4,4,695,3,13,10,3
299,Julien Laporte,fr  FRA,DF,Lorient,26,1993,29.5,1423,1384,39,38,1,119,48,0,0,0,0,0,1037,90,296,215,1085,84,1,5,1231,4,31,12,6
300,Gautier Larsonneur,fr  FRA,GK,Brest,23,1997,35.0,1264,878,386,104,0,77,22,0,0,0,0,0,759,67,438,62,971,0,0,165,1005,4,32,3,4
301,Paul Lasne,fr  FRA,MF,Brest,31,1989,18.7,1063,1044,19,17,0,109,25,4,1,1,0,0,833,111,119,438,563,40,0,5,916,2,17,22,12
302,Armand Lauriente,fr  FRA,"FW,MF",Lorient,21,1998,18.0,572,514,58,6,1,108,23,42,46,17,19,4,408,64,100,61,486,13,3,3,434,0,16,15,20
303,Wesley Lautoa,nc  NCL,"MF,DF",Dijon,32,1987,17.9,821,801,20,17,2,99,30,2,0,0,0,0,598,94,129,603,150,45,3,5,700,1,21,16,14
304,Jérémy Le Douaron,fr  FRA,"FW,MF",Brest,22,1998,9.1,197,191,6,1,0,58,1,11,0,0,0,0,123,34,40,120,36,13,2,3,138,1,1,5,10
305,Enzo Le Fée,fr  FRA,"MF,FW",Lorient,20,2000,20.2,880,792,88,32,4,113,43,21,45,16,17,4,619,105,156,90,764,19,2,4,689,5,30,27,16
306,Vincent Le Goff,fr  FRA,DF,Lorient,30,1989,25.6,1275,1016,259,19,3,150,28,57,1,0,1,0,707,327,241,917,72,33,239,4,1007,5,20,36,33
307,Damien Le Tallec,fr  FRA,"MF,DF",Montpellier,30,1990,13.6,435,420,15,15,0,58,24,0,0,0,0,0,264,51,120,37,329,47,0,1,349,0,8,7,6
308,James Lea Siliki,cm  CMR,MF,Rennes,24,1996,2.8,156,155,1,1,0,24,8,5,0,0,0,0,112,17,27,107,40,8,0,0,121,1,5,4,6
309,Jean-Louis Leca,fr  FRA,GK,Lens,34,1985,36.8,1031,677,354,95,0,54,22,0,0,0,0,0,490,24,517,66,785,0,0,135,699,1,23,4,2
310,Benjamin Lecomte,fr  FRA,GK,Monaco,29,1991,28.0,997,755,242,72,0,55,35,0,0,0,0,0,559,39,399,609,241,2,0,110,758,0,30,5,4
311,Pierre Lees-Melou,fr  FRA,MF,Nice,27,1993,22.9,1225,1188,37,29,4,189,37,16,1,0,0,0,878,166,181,201,976,32,5,5,1047,2,27,26,19
312,Fabien Lemoine,fr  FRA,MF,Lorient,33,1987,21.5,1454,1413,41,35,2,234,38,13,1,1,0,0,1064,175,215,192,1181,54,2,5,1255,3,24,25,18
313,Aaron Leya Iseka,be  BEL,FW,Metz,22,1997,11.2,199,191,8,0,3,56,2,4,0,0,0,0,129,38,32,19,143,9,0,8,151,1,4,6,6
314,Yanis Lhery,fr  FRA,"MF,FW",Saint-Étienne,17,2003,0.3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
315,Dimitri Liénard,fr  FRA,MF,Strasbourg,32,1988,20.3,1154,1022,132,41,2,177,112,69,87,39,35,9,660,129,365,929,186,18,4,5,853,6,40,17,36
316,Isaac Lihadji,fr  FRA,"MF,DF",Lille,18,2002,2.2,108,98,10,3,0,15,5,5,3,2,1,0,78,15,15,76,20,4,4,1,75,0,2,6,5
317,Pol Lirola,es  ESP,DF,Marseille,22,1997,17.3,825,664,161,11,1,111,43,57,0,0,0,0,465,203,157,22,609,27,150,2,638,1,11,30,31
318,Anthony Lopes,pt  POR,GK,Lyon,29,1990,38.0,1176,855,321,71,0,36,43,0,0,0,0,0,722,66,388,720,234,2,0,183,971,0,25,8,5
319,Rony Lopes,pt  POR,"FW,MF",Nice,24,1995,19.8,775,667,108,33,3,152,45,37,60,32,17,1,541,91,143,625,112,15,13,4,590,1,13,22,28
320,Maxime Lopez,fr  FRA,"FW,MF",Marseille,22,1997,1.5,57,56,1,0,0,12,1,1,0,0,0,0,47,6,4,3,50,4,0,0,46,1,0,0,3
321,Dion Lopy,sn  SEN,MF,Reims,18,2002,2.8,109,108,1,1,0,17,4,1,0,0,0,0,84,15,10,19,86,2,0,0,95,0,6,1,1
322,Jordan Lotomba,ch  SUI,DF,Nice,21,1998,23.6,1445,1177,268,29,1,160,18,43,0,0,0,0,944,312,189,104,1038,47,239,3,1185,1,18,42,42
323,Adrien Louveau,fr  FRA,"DF,MF",Lens,20,2000,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,1,4,0,0,0,5,0,0,0,0
324,Imran Louza,fr  FRA,MF,Nantes,21,1999,26.4,1323,1195,128,73,4,145,54,30,40,22,15,3,876,151,296,992,248,53,8,4,1038,7,29,22,30
325,Florentino Luís,pt  POR,MF,Monaco,20,1999,2.7,161,158,3,3,0,20,6,1,0,0,0,0,129,11,21,10,139,10,0,1,138,0,2,4,3
326,Yann M'Vila,fr  FRA,"MF,FW",Saint-Étienne,30,1990,0.2,15,15,0,0,0,0,0,0,0,0,0,0,12,3,0,0,15,0,0,0,13,0,0,0,0
327,Yvann Macon,fr  FRA,DF,Saint-Étienne,21,1998,6.0,320,239,81,4,0,43,8,13,0,0,0,0,171,78,71,74,149,13,77,2,241,2,5,7,13
328,Hugo Magnetti,fr  FRA,MF,Brest,22,1998,6.7,343,331,12,11,1,40,17,3,0,0,0,0,237,33,73,18,302,19,1,1,290,1,9,6,5
329,Hicham Mahou,fr  FRA,DF,Nice,21,1999,0.4,18,16,2,1,0,3,1,3,0,0,0,0,12,3,3,1,16,0,1,0,12,0,1,1,0
330,Habib Maïga,ci  CIV,MF,Metz,24,1996,29.9,1440,1398,42,29,2,258,50,17,0,0,0,0,1070,132,238,131,1206,59,12,3,1196,3,33,21,21
331,Mike Maignan,fr  FRA,GK,Lille,24,1995,38.0,1070,761,309,69,1,43,19,0,0,0,0,0,600,40,430,122,729,0,2,192,777,5,33,4,0
332,Josh Maja,ng  NGA,FW,Bordeaux,21,1998,8.9,187,178,9,0,0,55,1,0,0,0,0,0,145,32,10,27,140,6,2,7,165,0,0,3,4
333,Radosław Majecki,pl  POL,GK,Monaco,20,1999,1.0,37,25,12,0,0,3,0,0,0,0,0,0,21,0,16,5,30,0,0,2,25,1,1,0,0
334,Abdul Majeed Waris,gh  GHA,"FW,MF",Strasbourg,28,1991,6.1,140,139,1,0,0,17,4,9,0,0,0,0,100,27,13,15,114,6,0,4,106,1,3,3,9
335,Marco Majouga,fr  FRA,"FW,MF",Nîmes,19,2001,1.2,33,33,0,0,0,10,1,1,0,0,0,0,22,5,6,7,22,1,0,0,23,0,0,1,4
336,Adilson Malanda,fr  FRA,MF,Nîmes,18,2001,0.2,6,5,1,0,0,1,0,0,0,0,0,0,3,0,3,0,5,0,0,0,4,0,0,0,0
337,Hianga Mananga Mbock,fr  FRA,MF,Brest,20,1999,5.1,222,220,2,2,0,28,13,1,0,0,0,0,185,12,25,34,174,7,0,1,203,1,1,2,3
338,Vincent Manceau,fr  FRA,DF,Angers,31,1989,25.7,1597,1309,288,27,0,115,27,42,0,0,0,0,948,295,354,176,1104,42,261,5,1290,2,21,50,32
339,Steve Mandanda,fr  FRA,GK,Marseille,35,1985,37.0,1324,937,387,97,0,77,11,0,0,0,0,0,694,61,569,149,919,0,0,187,942,3,38,1,1
340,Reinildo Mandava,mz  MOZ,DF,Lille,26,1994,24.2,1564,1314,250,27,1,159,25,55,0,0,0,0,984,305,275,1093,157,60,223,3,1259,3,18,38,52
341,Thomas Mangani,fr  FRA,MF,Angers,33,1987,29.9,2052,1877,175,108,4,278,109,36,63,27,31,3,1298,220,534,1634,317,68,4,6,1676,7,21,24,31
342,Vito Mannone,it  ITA,GK,Monaco,32,1988,9.0,287,210,77,16,0,26,7,0,0,0,0,0,140,12,135,17,230,1,0,26,201,0,5,0,1
343,Myziane Maolida,fr  FRA,"FW,MF",Nice,21,1999,12.0,365,357,8,1,1,100,7,23,1,0,0,0,288,39,38,77,278,7,0,2,274,2,7,20,21
344,Faitout Maouassa,fr  FRA,DF,Rennes,22,1998,13.0,818,680,138,11,0,65,20,42,0,0,0,0,482,183,153,583,70,29,127,0,640,1,14,22,34
345,Sekou Mara,fr  FRA,FW,Bordeaux,18,2002,2.5,67,62,5,0,0,28,0,1,0,0,0,0,39,17,11,8,39,6,1,0,38,0,2,4,6
346,Fernando Marçal,br  BRA,DF,Lyon,31,1989,0.9,71,67,4,2,0,3,6,3,0,0,0,0,50,11,10,52,10,4,2,1,64,0,3,1,0
347,Marcelo,br  BRA,DF,Lyon,33,1987,32.3,2028,1974,54,45,0,165,66,5,0,0,0,0,1612,124,292,159,1706,83,9,6,1801,4,25,17,10
348,Dario Maresic,at  AUT,DF,Reims,20,1999,5.7,343,328,15,6,0,18,13,3,0,0,0,0,237,30,76,48,269,12,9,3,288,2,10,6,5
349,Jordan Marié,fr  FRA,MF,Dijon,28,1991,15.9,762,746,16,9,1,119,32,7,7,1,6,0,528,93,141,79,627,40,0,5,622,2,15,18,12
350,Guillermo Maripán,cl  CHI,DF,Monaco,26,1994,23.2,1648,1608,40,37,0,120,55,1,0,0,0,0,1387,91,170,116,1442,51,3,6,1490,1,22,27,9
351,Marquinhos,br  BRA,DF,Paris S-G,26,1994,23.6,1729,1695,34,30,2,131,45,3,0,0,0,0,1461,101,167,261,1389,41,4,11,1610,5,9,15,6
352,Jonas Martin,fr  FRA,MF,Rennes,30,1990,5.4,384,371,13,11,0,41,6,2,0,0,0,0,316,35,33,62,301,13,1,0,340,0,4,6,8
353,Pablo Martinez,fr  FRA,DF,Nîmes,31,1989,6.0,299,283,16,15,0,27,23,0,0,0,0,0,196,29,74,236,42,18,1,0,250,1,12,1,2
354,Gelson Martins,pt  POR,"MF,FW",Monaco,25,1995,17.2,632,628,4,0,0,119,4,28,0,0,0,0,528,57,47,78,528,14,2,3,527,1,9,16,17
355,Sylvain Marveaux,fr  FRA,"MF,FW",Lorient,34,1986,2.2,85,82,3,1,1,12,0,1,0,0,0,0,66,6,13,67,12,3,1,0,69,0,1,1,1
356,Pape Matar Sarr,sn  SEN,MF,Metz,17,2002,17.7,928,909,19,16,0,173,44,6,3,0,1,0,740,87,101,110,775,25,0,2,794,2,20,25,21
357,Eliot Matazo,be  BEL,MF,Monaco,18,2002,3.5,92,91,1,1,0,15,1,0,0,0,0,0,70,17,5,11,70,8,0,0,72,0,2,3,0
