,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
26,Houssem Aouar,fr  FRA,"MF,FW",Lyon,22,1998,19.8,101,5.10,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0
27,Adil Aouchiche,fr  FRA,"MF,FW",Saint-Étienne,18,2002,19.2,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0
28,Dennis Appiah,fr  FRA,DF,Nantes,28,1992,17.3,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0
29,Luiz Araújo,br  BRA,MF,Lille,24,1996,16.6,50,3.01,33,0,10,4,2,1,5,0.30,4,0,0,1,0,0
30,Karim Aribi,dz  ALG,FW,Nîmes,26,1994,3.3,7,2.14,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
31,Roger Assalé,ci  CIV,"FW,MF",Dijon,26,1993,9.2,11,1.20,6,0,1,1,2,1,4,0.43,2,0,0,1,1,0
32,Youcef Attal,dz  ALG,"DF,MF",Nice,24,1996,10.6,20,1.88,12,1,5,0,2,0,1,0.09,0,0,1,0,0,0
33,Jean-Kévin Augustin,fr  FRA,FW,Nantes,23,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
34,Ludovic Baal,gf  GUF,DF,Brest,34,1986,3.3,7,2.13,5,1,0,0,0,1,1,0.30,1,0,0,0,0,0
35,Loïc Bade,fr  FRA,DF,Lens,20,2000,29.0,19,0.66,16,0,2,1,0,0,0,0.00,0,0,0,0,0,0
36,Stéphane Bahoken,cm  CMR,FW,Angers,28,1992,18.0,26,1.45,16,0,4,2,2,2,5,0.28,4,0,1,0,0,0
37,Stefan Bajic,fr  FRA,GK,Saint-Étienne,18,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
38,Mitchel Bakker,nl  NED,DF,Paris S-G,20,2000,18.8,33,1.75,32,1,0,0,0,0,3,0.16,2,1,0,0,0,0
39,Dilane Bakwa,fr  FRA,"FW,MF",Bordeaux,17,2002,0.6,5,8.04,2,0,0,1,2,0,1,1.61,0,0,0,1,0,0
40,Leonardo Balerdi,ar  ARG,DF,Marseille,21,1999,18.2,7,0.39,4,1,0,0,0,2,0,0.00,0,0,0,0,0,0
41,Fodé Ballo-Touré,sn  SEN,DF,Monaco,23,1997,7.4,13,1.77,12,0,0,0,1,0,4,0.54,3,0,0,0,1,0
42,Abdoulaye Bamba,ci  CIV,DF,Angers,30,1990,15.0,21,1.40,18,1,1,0,0,1,0,0.00,0,0,0,0,0,0
43,Jonathan Bamba,fr  FRA,MF,Lille,24,1996,33.2,120,3.62,77,22,7,4,8,2,16,0.48,11,2,1,1,1,0
44,Robson Bambu,br  BRA,DF,Nice,22,1997,11.6,2,0.17,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
45,Simon Banza,fr  FRA,FW,Lens,23,1996,15.2,29,1.90,20,0,1,4,3,1,5,0.33,4,0,0,0,1,0
46,Danilo Barbosa,br  BRA,DF,Nice,24,1996,2.8,2,0.72,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
47,Melvin Bard,fr  FRA,DF,Lyon,19,2000,4.8,9,1.87,8,0,0,0,1,0,1,0.21,0,0,0,0,1,0
48,Toma Bašić,hr  CRO,MF,Bordeaux,23,1996,28.9,52,1.80,28,8,4,2,5,5,3,0.10,0,1,2,0,0,0
49,Cristian Battocchio,it  ITA,"MF,FW",Brest,28,1992,3.9,13,3.30,9,3,1,0,0,0,0,0.00,0,0,0,0,0,0
50,Paul Baysse,fr  FRA,DF,Bordeaux,32,1988,29.0,15,0.52,12,1,0,1,0,1,3,0.10,3,0,0,0,0,0
51,Erwan Belhadji,fr  FRA,MF,Dijon,19,2001,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
52,Haris Belkebla,dz  ALG,MF,Brest,26,1994,30.3,34,1.12,28,1,2,1,2,0,2,0.07,1,0,0,0,1,0
53,Jean-Ricner Bellegarde,fr  FRA,"MF,FW",Strasbourg,22,1998,23.2,44,1.90,23,3,6,4,5,3,8,0.35,4,0,0,1,3,0
54,Sami Ben Amar,ma  MAR,MF,Nîmes,22,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
55,Hatem Ben Arfa,fr  FRA,"MF,FW",Bordeaux,33,1987,18.9,68,3.59,31,17,12,4,3,1,8,0.42,2,3,2,0,1,0
56,Salim Ben Seghir,fr  FRA,DF,Nice,17,2003,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
57,Wissam Ben Yedder,fr  FRA,FW,Monaco,29,1990,29.0,83,2.87,60,0,8,8,6,1,15,0.52,11,0,0,3,1,0
58,Samy Benchama,fr  FRA,"MF,DF",Montpellier,20,2000,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Darío Benedetto,ar  ARG,FW,Marseille,30,1990,17.5,30,1.71,19,0,3,2,3,3,8,0.46,6,0,0,0,1,1
60,Walter Benítez,ar  ARG,GK,Nice,27,1993,38.0,4,0.11,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
61,Loris Benito,ch  SUI,DF,Bordeaux,28,1992,29.5,31,1.05,23,7,0,1,0,0,0,0.00,0,0,0,0,0,0
62,Bilal Benkhedim,fr  FRA,FW,Saint-Étienne,19,2001,0.8,1,1.23,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
63,Djamel Benlamri,dz  ALG,DF,Lyon,30,1989,1.7,2,1.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Yassine Benrahou,fr  FRA,MF,Nîmes,21,1999,13.8,49,3.56,23,17,2,0,6,1,2,0.15,1,0,0,0,1,0
65,Yassine Benzia,dz  ALG,"MF,FW",Dijon,25,1994,4.5,14,3.10,10,3,1,0,0,0,0,0.00,0,0,0,0,0,0
66,Valon Berisha,xk  KVX,MF,Reims,27,1993,18.3,51,2.79,44,7,0,0,0,0,6,0.33,4,2,0,0,0,0
67,Paul Bernardoni,fr  FRA,GK,Angers,23,1997,38.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
68,Juan Bernat,es  ESP,DF,Paris S-G,27,1993,2.2,3,1.39,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
69,Dimitry Bertaud,fr  FRA,GK,Montpellier,22,1998,8.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
70,Loïc Bessile,tg  TOG,DF,Bordeaux,21,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Giulian Biancone,fr  FRA,"DF,MF",Monaco,20,2000,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
72,El Bilal Touré,ml  MLI,"FW,MF",Reims,18,2001,13.8,16,1.16,12,0,1,1,1,1,3,0.22,2,0,0,0,0,1
73,Ludovic Blas,fr  FRA,"MF,FW",Nantes,22,1997,31.0,75,2.42,49,4,13,5,3,1,10,0.32,6,0,3,0,1,0
74,Antonin Bobichon,fr  FRA,"MF,FW",Angers,24,1995,10.1,39,3.85,25,5,2,2,4,1,3,0.30,2,0,0,1,0,0
75,Quentin Boisgard,fr  FRA,"MF,FW",Lorient,23,1997,14.6,48,3.29,26,13,0,3,5,1,6,0.41,6,0,0,0,0,0
76,Sven Botman,nl  NED,DF,Lille,20,2000,36.8,13,0.35,12,0,0,0,1,0,1,0.03,1,0,0,0,0,0
77,Denis Bouanga,ga  GAB,"MF,FW",Saint-Étienne,25,1994,30.2,83,2.75,42,2,21,8,5,5,13,0.43,8,0,2,1,1,1
78,Hicham Boudaoui,dz  ALG,"MF,FW",Nice,20,1999,19.3,16,0.83,11,0,3,0,1,1,4,0.21,2,0,1,0,1,0
79,Ryad Boudebouz,dz  ALG,"MF,FW",Saint-Étienne,30,1990,7.2,43,5.94,23,11,5,1,2,1,1,0.14,0,1,0,0,0,0
80,Sofiane Boufal,ma  MAR,"FW,MF",Angers,26,1993,8.1,18,2.21,10,0,3,0,4,1,2,0.25,0,0,0,0,2,0
81,Farid Boulaya,dz  ALG,"MF,FW",Metz,27,1993,31.3,148,4.73,78,37,9,6,17,1,13,0.42,7,2,0,2,2,0
82,Ismaëlben Boura,fr  FRA,DF,Lens,19,2000,9.1,9,0.99,7,1,1,0,0,0,0,0.00,0,0,0,0,0,0
83,Benjamin Bourigeaud,fr  FRA,"MF,FW",Rennes,26,1994,28.4,107,3.77,52,47,1,6,0,1,11,0.39,5,6,0,0,0,0
84,John Boye,gh  GHA,DF,Metz,33,1987,33.8,13,0.38,10,0,0,2,0,1,3,0.09,3,0,0,0,0,0
85,Umut Bozok,tr  TUR,"FW,MF",Lorient,23,1996,0.7,4,5.90,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
86,Domagoj Bradarić,hr  CRO,DF,Lille,20,1999,14.0,23,1.64,22,1,0,0,0,0,5,0.36,5,0,0,0,0,0
87,Lilian Brassier,fr  FRA,DF,Brest,20,1999,10.7,7,0.65,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0
88,Anthony Briançon,fr  FRA,DF,Nîmes,25,1994,13.6,7,0.51,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
89,Jimmy Briand,fr  FRA,FW,Bordeaux,34,1985,6.3,4,0.63,3,0,0,0,1,0,3,0.47,2,0,0,0,1,0
90,Dylan Bronn,tn  TUN,DF,Metz,25,1995,37.9,24,0.63,20,0,1,2,0,1,2,0.05,2,0,0,0,0,0
91,Lucas Buadés,fr  FRA,MF,Nîmes,22,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
92,Marcin Bułka,pl  POL,GK,Paris S-G,20,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
93,Jimmy Cabot,fr  FRA,"FW,MF",Angers,26,1994,10.5,21,2.01,13,1,4,1,1,1,1,0.10,1,0,0,0,0,0
94,Anthony Caci,fr  FRA,DF,Strasbourg,23,1997,31.1,37,1.19,30,3,2,1,1,0,2,0.06,2,0,0,0,0,0
95,Mathieu Cafaro,fr  FRA,"MF,FW",Reims,23,1997,23.0,41,1.78,25,8,3,2,0,3,8,0.35,5,0,0,2,0,1
96,Yannick Cahuzac,fr  FRA,MF,Lens,35,1985,25.0,28,1.12,22,1,1,2,0,2,2,0.08,1,0,0,1,0,0
97,Marc-Aurèle Caillard,fr  FRA,GK,Metz,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
98,Duje Ćaleta-Car,hr  CRO,DF,Marseille,23,1996,31.3,11,0.35,10,0,0,1,0,0,1,0.03,1,0,0,0,0,0
99,Mahdi Camara,fr  FRA,"MF,DF",Saint-Étienne,22,1998,36.6,61,1.67,50,1,4,1,2,3,4,0.11,2,0,2,0,0,0
100,Eduardo Camavinga,fr  FRA,MF,Rennes,17,2002,26.7,44,1.65,32,0,2,3,6,1,4,0.15,2,0,0,2,0,0
101,Pierrick Capelle,fr  FRA,"MF,DF",Angers,33,1987,22.8,52,2.28,39,3,5,1,1,3,4,0.18,2,2,0,0,0,0
102,Maxence Caqueret,fr  FRA,MF,Lyon,20,2000,19.6,47,2.40,40,0,2,2,2,1,3,0.15,2,0,0,0,1,0
103,Irvin Cardona,fr  FRA,"FW,MF",Brest,22,1997,22.5,46,2.04,35,2,3,4,2,0,3,0.13,1,0,1,0,1,0
104,Lionel Carole,fr  FRA,DF,Strasbourg,29,1991,14.9,21,1.41,18,3,0,0,0,0,4,0.27,4,0,0,0,0,0
105,Moreto Cassamã,gw  GNB,MF,Reims,22,1998,22.6,34,1.51,26,6,2,0,0,0,1,0.04,0,1,0,0,0,0
106,Jean-Charles Castelletto,cm  CMR,DF,Nantes,25,1995,21.6,7,0.32,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
107,Zeki Çelik,tr  TUR,DF,Lille,23,1997,26.5,44,1.66,39,0,2,1,1,1,6,0.23,6,0,0,0,0,0
108,Bersant Celina,xk  KVX,"MF,FW",Dijon,23,1996,25.5,67,2.62,42,23,1,0,0,1,6,0.23,4,2,0,0,0,0
109,Fabien Centonze,fr  FRA,DF,Metz,24,1996,35.8,49,1.37,32,3,3,1,6,4,5,0.14,3,0,0,0,1,1
110,Nassim Chadli,fr  FRA,"FW,MF",Nîmes,19,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
111,Fouad Chafik,ma  MAR,DF,Dijon,33,1986,18.0,18,1.00,16,0,1,0,1,0,1,0.06,1,0,0,0,0,0
112,Mehdi Chahiri,ma  MAR,"FW,MF",Strasbourg,24,1996,8.9,20,2.25,12,1,5,1,0,1,1,0.11,0,0,0,1,0,0
113,Aníbal Chalá,ec  ECU,DF,Dijon,24,1996,8.3,8,0.97,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
114,Trevoh Chalobah,eng  ENG,"DF,MF",Lorient,21,1999,24.9,26,1.05,19,3,1,0,2,1,2,0.08,2,0,0,0,0,0
115,Gaëtan Charbonnier,fr  FRA,"MF,FW",Brest,31,1988,17.4,47,2.69,37,0,5,1,2,2,2,0.11,1,0,1,0,0,0
116,Brendan Chardonnet,fr  FRA,DF,Brest,25,1994,30.2,11,0.36,10,0,0,1,0,0,2,0.07,2,0,0,0,0,0
117,Xavier Chavalerin,fr  FRA,MF,Reims,29,1991,28.3,33,1.17,28,0,0,3,1,1,4,0.14,2,0,0,1,0,1
118,Pape Cheikh Diop,sn  SEN,MF,Dijon,22,1997,12.1,20,1.65,15,0,0,1,4,0,1,0.08,0,0,0,0,1,0
119,Rayan Cherki,fr  FRA,"FW,MF",Lyon,16,2003,7.8,34,4.38,24,2,3,1,4,0,7,0.90,5,0,0,1,1,0
120,Pedro Chirivella,es  ESP,MF,Nantes,23,1997,25.3,37,1.46,30,3,0,2,1,1,3,0.12,3,0,0,0,0,0
121,Joris Chotard,fr  FRA,MF,Montpellier,18,2001,12.9,15,1.16,10,1,1,1,0,2,1,0.08,1,0,0,0,0,0
122,Mounir Chouiar,fr  FRA,"FW,MF",Dijon,21,1999,14.3,50,3.49,21,15,5,4,5,0,2,0.14,2,0,0,0,0,0
123,Sébastien Cibois,fr  FRA,GK,Brest,22,1998,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
124,Alexis Claude-Maurice,fr  FRA,"MF,FW",Nice,22,1998,21.2,62,2.92,40,12,4,2,4,0,11,0.52,8,1,1,1,0,0
125,Jonathan Clauss,fr  FRA,DF,Lens,27,1992,28.0,92,3.28,59,21,5,1,3,3,12,0.43,9,2,0,0,0,1
126,Marcus Coco,fr  FRA,"MF,FW",Nantes,24,1996,16.4,35,2.14,23,1,4,1,3,3,4,0.24,2,1,0,1,0,0
127,Racine Coly,sn  SEN,DF,Nice,24,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
128,Daniel Congré,fr  FRA,DF,Montpellier,35,1985,36.6,15,0.41,12,0,0,3,0,0,2,0.05,1,0,0,1,0,0
129,Sébastien Corchia,fr  FRA,DF,Nantes,29,1990,23.0,38,1.66,20,16,1,0,0,1,1,0.04,1,0,0,0,0,0
130,Maxwel Cornet,ci  CIV,"DF,FW",Lyon,23,1996,27.2,56,2.06,39,6,0,5,6,0,13,0.48,10,0,0,1,2,0
131,David Pereira da Costa,pt  POR,"MF,FW",Lens,19,2001,1.8,6,3.42,5,0,1,0,0,0,2,1.14,2,0,0,0,0,0
132,Charles Costes,fr  FRA,MF,Dijon,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
133,Benoît Costil,fr  FRA,GK,Bordeaux,33,1987,38.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
134,Kalifa Coulibaly,ml  MLI,FW,Nantes,28,1991,10.9,17,1.56,17,0,0,0,0,0,3,0.28,3,0,0,0,0,0
135,Lassana Coulibaly,ml  MLI,"MF,FW",Angers,24,1996,18.7,20,1.07,17,0,1,0,1,1,3,0.16,2,0,0,0,0,1
136,Senou Coulibaly,ml  MLI,DF,Dijon,25,1994,21.5,4,0.19,3,0,0,1,0,0,1,0.05,0,0,0,1,0,0
137,Nicolas Cozza,fr  FRA,DF,Montpellier,21,1999,15.2,8,0.53,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
138,Adrián Cubas,py  PAR,MF,Nîmes,24,1996,24.9,19,0.76,14,0,1,0,0,4,1,0.04,1,0,0,0,0,0
139,Mickaël Cuisance,fr  FRA,MF,Marseille,20,1999,11.4,18,1.58,15,0,1,1,1,0,3,0.26,3,0,0,0,0,0
140,Damien Da Silva,fr  FRA,DF,Rennes,32,1988,29.6,18,0.61,16,0,0,0,0,2,1,0.03,1,0,0,0,0,0
141,Colin Dagba,fr  FRA,DF,Paris S-G,21,1998,15.1,22,1.46,18,0,2,0,2,0,3,0.20,3,0,0,0,0,0
142,Flavius Daniliuc,at  AUT,DF,Nice,19,2001,16.4,14,0.85,10,0,1,2,0,1,0,0.00,0,0,0,0,0,0
143,Dante,br  BRA,DF,Nice,36,1983,8.6,8,0.93,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0
144,Jonathan David,ca  CAN,FW,Lille,20,2000,26.2,70,2.68,50,1,7,8,4,0,12,0.46,7,0,1,2,2,0
145,Mattia De Sciglio,it  ITA,DF,Lyon,27,1992,16.3,21,1.29,18,1,0,1,0,1,2,0.12,1,1,0,0,0,0
146,Thibault De Smet,be  BEL,DF,Reims,22,1998,5.5,11,2.00,7,1,2,0,1,0,1,0.18,1,0,0,0,0,0
147,Lucas Deaux,fr  FRA,"MF,DF",Nîmes,31,1988,19.5,40,2.05,33,0,2,3,0,2,5,0.26,5,0,0,0,0,0
148,Mathieu Debuchy,fr  FRA,DF,Saint-Étienne,35,1985,23.4,33,1.41,24,2,0,5,1,1,3,0.13,1,0,0,2,0,0
149,Romain Del Castillo,fr  FRA,"MF,FW",Rennes,24,1996,7.2,37,5.11,21,5,6,2,1,2,6,0.83,3,2,1,0,0,0
150,Thomas Delaine,fr  FRA,DF,Metz,28,1992,19.8,26,1.32,19,0,4,1,2,0,2,0.10,2,0,0,0,0,0
151,Jonathan Delaplace,fr  FRA,DF,Lorient,34,1986,10.1,25,2.48,22,2,0,0,1,0,2,0.20,1,0,0,0,1,0
152,Sacha Delaye,fr  FRA,MF,Montpellier,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
153,Andy Delort,dz  ALG,FW,Montpellier,28,1991,27.6,102,3.70,72,4,9,9,8,0,15,0.54,12,0,1,1,1,0
154,Moussa Dembélé,fr  FRA,FW,Lyon,24,1996,7.5,23,3.06,14,0,2,4,2,1,1,0.13,1,0,0,0,0,0
155,Jason Denayer,be  BEL,DF,Lyon,25,1995,29.0,8,0.28,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
156,Kevin Denkey,tg  TOG,FW,Nîmes,19,2000,5.8,9,1.55,5,0,0,3,1,0,1,0.17,1,0,0,0,0,0
157,Memphis Depay,nl  NED,FW,Lyon,26,1994,32.5,167,5.14,94,30,21,8,10,4,29,0.89,17,2,6,0,3,1
158,Clément Depres,fr  FRA,MF,Nîmes,25,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
159,Ángel Di María,ar  ARG,"FW,MF",Paris S-G,32,1988,20.6,128,6.22,75,25,8,7,9,4,19,0.92,11,1,2,1,2,2
160,Boulaye Dia,sn  SEN,"FW,MF",Reims,23,1996,32.6,73,2.24,49,0,11,4,7,2,9,0.28,2,0,4,2,1,0
161,Abdou Diallo,sn  SEN,DF,Paris S-G,24,1996,16.6,6,0.36,5,0,0,0,0,1,1,0.06,1,0,0,0,0,0
162,Ibrahima Diallo,fr  FRA,MF,Brest,21,1999,4.9,11,2.25,7,0,1,0,2,1,0,0.00,0,0,0,0,0,0
163,Stéphane Diarra,fr  FRA,"FW,MF",Lorient,21,1998,2.2,8,3.65,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0
164,Raphael Dias Belloli,br  BRA,"FW,MF",Rennes,23,1996,4.5,24,5.35,11,3,4,1,5,0,6,1.34,3,0,2,0,1,0
165,Krepin Diatta,sn  SEN,"MF,DF",Monaco,21,1999,4.3,6,1.39,5,0,0,0,1,0,1,0.23,1,0,0,0,0,0
166,Tristan Dingomé,cm  CMR,MF,Reims,29,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
167,Sinaly Diomande,ci  CIV,DF,Lyon,19,2001,12.6,6,0.48,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
168,Lois Diony,fr  FRA,FW,Angers,27,1992,19.4,29,1.49,20,0,2,2,4,1,2,0.10,1,0,0,0,1,0
169,Sofiane Diop,fr  FRA,"MF,FW",Monaco,20,2000,22.5,63,2.80,48,3,2,4,2,4,6,0.27,2,0,0,1,0,3
170,Andy Diouf,fr  FRA,FW,Rennes,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
171,Yehvann Diouf,fr  FRA,GK,Reims,20,1999,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
172,Assane Dioussé,sn  SEN,DF,Saint-Étienne,22,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
173,Axel Disasi,fr  FRA,DF,Monaco,22,1998,22.3,8,0.36,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
174,Tiago Djaló,pt  POR,DF,Lille,20,2000,9.7,8,0.82,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0
175,Alexander Djiku,gh  GHA,"DF,MF",Strasbourg,25,1994,28.4,17,0.60,10,0,0,4,1,2,0,0.00,0,0,0,0,0,0
176,Mihai Dobre,ro  ROU,FW,Dijon,21,1998,5.9,12,2.04,7,0,2,1,1,1,1,0.17,0,0,0,0,0,1
177,Jeremy Doku,be  BEL,"MF,FW",Rennes,18,2002,25.7,90,3.50,66,0,10,2,9,3,9,0.35,8,0,0,0,0,1
178,Kasper Dolberg,dk  DEN,FW,Nice,22,1997,21.4,27,1.26,18,0,2,1,6,0,4,0.19,2,0,1,0,1,0
179,Keagan Dolly,za  RSA,MF,Montpellier,27,1993,5.0,15,2.99,10,4,1,0,0,0,1,0.20,1,0,0,0,0,0
180,Anastasios Donis,gr  GRE,MF,Reims,23,1996,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
181,Lucas Douath,fr  FRA,MF,Saint-Étienne,16,2003,14.7,14,0.95,9,0,2,0,1,2,1,0.07,1,0,0,0,0,0
182,Cheick Doucouré,ml  MLI,MF,Lens,20,2000,29.2,60,2.06,48,0,7,3,1,1,7,0.24,7,0,0,0,0,0
183,Fodé Doucouré,ml  MLI,DF,Reims,19,2001,3.7,7,1.89,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
184,Mahamadou Doucouré,fr  FRA,FW,Nîmes,20,2000,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
185,Moussa Doumbia,ml  MLI,"MF,FW",Reims,25,1994,10.0,33,3.30,26,3,1,3,0,0,3,0.30,2,1,0,0,0,0
186,Souleyman Doumbia,ci  CIV,DF,Angers,23,1996,24.7,25,1.01,22,1,0,0,1,1,2,0.08,1,0,0,0,1,0
