,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
17,Henrique Almeida,br  BRA,FW,América (MG),30,1991,28,1497,53,43.8,16.6,21,65,1,7,19,7,1.50,18,15,+3,+0.18,+0.32,20.0,21.8,-1.8,-0.11,0.00
18,Júnior Alonso,py  PAR,DF,Atlético Mineiro,28,1993,31,2598,84,76.0,28.9,30,85,27,1,45,2,1.48,31,30,+1,+0.03,-0.73,40.1,27.0,+13.1,+0.45,-0.34
19,Diego Alves,br  BRA,GK,Flamengo,36,1985,5,424,85,12.4,4.7,5,85,4,0,,15,1.20,7,8,-1,-0.21,-0.87,6.0,5.4,+0.6,+0.12,-0.75
20,Rodrigo Alves Soares,br  BRA,DF,Juventude,29,1992,35,2789,80,81.5,31.0,32,85,22,3,25,1,0.57,21,58,-37,-1.19,-0.77,25.4,47.9,-22.5,-0.73,-0.56
21,Anderson,br  BRA,GK,Atl Paranaense,23,1998,5,450,90,13.2,5.0,5,90,5,0,,33,1.00,4,10,-6,-1.20,-1.38,3.2,6.6,-3.3,-0.67,-0.73
22,Thonny Anderson,br  BRA,"MF,FW",Coritiba,24,1997,18,729,41,21.3,8.1,7,63,0,11,26,3,1.11,6,13,-7,-0.86,-0.40,10.4,11.6,-1.2,-0.15,+0.19
23,Andrey,br  BRA,MF,Avaí,19,2002,1,28,28,0.8,0.3,0,,0,1,28,0,3.00,1,0,+1,+3.21,+3.93,0.8,1.1,-0.4,-1.16,-0.68
24,Brayan Angulo,ec  ECU,"FW,MF",Santos,26,1995,16,479,30,14.0,5.3,5,68,1,11,12,11,1.31,5,3,+2,+0.38,+0.35,9.1,6.6,+2.5,+0.47,+0.60
25,Anthoni,br  BRA,GK,Internacional,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
26,Marco Antônio,br  BRA,MF,Goiás,21,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,
27,Apodi,br  BRA,"MF,FW",Goiás,35,1986,18,908,50,26.5,10.1,10,74,2,8,21,5,1.44,11,17,-6,-0.59,-0.34,10.1,16.8,-6.7,-0.66,+0.06
28,Guilherme Arana,br  BRA,DF,Atlético Mineiro,24,1997,20,1721,86,50.3,19.1,19,89,18,1,28,0,1.75,24,17,+7,+0.37,+0.31,27.2,16.1,+11.1,+0.58,+0.09
29,Willian Arão,br  BRA,"MF,DF",Flamengo,29,1992,14,922,66,27.0,10.2,10,85,8,4,19,0,1.29,12,11,+1,+0.10,-0.62,13.1,10.5,+2.6,+0.25,-0.72
30,Matheus Araújo,br  BRA,MF,Corinthians,19,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
31,Michel Araujo,uy  URU,"FW,MF",Fluminense,25,1996,8,83,10,2.4,0.9,0,,0,8,10,10,2.11,6,3,+3,+3.25,+2.74,2.0,1.4,+0.6,+0.66,+0.41
32,Robert Arboleda,ec  ECU,DF,São Paulo,30,1991,8,720,90,21.1,8.0,8,90,8,0,,2,1.25,10,10,0,0.00,-0.43,9.9,9.8,+0.1,+0.01,-0.17
33,Jhon Arias,co  COL,"FW,MF",Fluminense,24,1997,33,2663,81,77.9,29.6,31,84,12,2,33,1,1.97,50,27,+23,+0.78,+0.90,41.7,25.5,+16.2,+0.55,+1.32
34,Artur,br  BRA,"FW,MF",Bragantino,23,1998,33,2787,84,81.5,31.0,32,86,19,1,33,0,1.09,41,45,-4,-0.13,+0.72,44.8,37.3,+7.5,+0.24,+0.98
35,Ataíde,br  BRA,MF,Atl Paranaense,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
36,Eduard Atuesta,co  COL,MF,Palmeiras,24,1997,26,658,25,19.2,7.3,5,68,1,21,15,10,2.19,16,7,+9,+1.23,+0.25,16.8,7.8,+9.1,+1.24,+0.36
37,Felipe Augusto,br  BRA,FW,Corinthians,17,2004,3,68,23,2.0,0.8,1,55,0,2,7,7,2.33,0,0,0,0.00,-0.21,0.2,1.0,-0.8,-1.08,-1.10
38,Leo Augusto Pereira,br  BRA,"FW,MF",Atl Goianiense,21,2000,30,1134,38,33.2,12.6,6,83,3,24,26,3,0.90,12,20,-8,-0.63,-0.24,13.9,21.6,-7.7,-0.61,-0.59
39,Renato Augusto,br  BRA,MF,Corinthians,33,1988,25,1402,56,41.0,15.6,16,69,3,9,32,4,1.60,17,11,+6,+0.39,+0.30,17.9,15.0,+2.9,+0.19,+0.33
40,Auremir,br  BRA,MF,Goiás,30,1991,25,1480,59,43.3,16.4,19,73,3,6,14,10,1.28,15,20,-5,-0.30,+0.07,11.4,25.6,-14.2,-0.87,-0.28
41,Auro,br  BRA,DF,Santos,26,1996,8,387,48,11.3,4.3,5,57,0,3,35,12,1.13,4,5,-1,-0.23,-0.35,4.8,5.1,-0.3,-0.07,-0.03
42,Danilo Avelar,br  BRA,DF,América (MG),32,1989,19,862,45,25.2,9.6,10,75,4,9,12,8,1.11,12,14,-2,-0.21,-0.28,12.5,16.1,-3.6,-0.37,-0.35
43,Felipe Azevedo,br  BRA,"MF,FW",América (MG),35,1987,36,2274,63,66.5,25.3,30,71,4,6,27,1,1.47,29,26,+3,+0.12,+0.35,28.7,31.3,-2.5,-0.10,+0.03
44,Matheus Babi,br  BRA,"FW,MF",Atl Paranaense,24,1997,6,85,14,2.5,0.9,0,,0,6,14,5,1.83,1,2,-1,-1.06,-1.09,2.3,2.0,+0.3,+0.32,+0.36
45,Pedro Bahia,br  BRA,MF,Goiás,19,2002,1,27,27,0.8,0.3,0,,0,1,27,2,1.00,1,0,+1,+3.33,+3.70,,,,,
46,Fabrício Baiano,br  BRA,"FW,MF",Fortaleza,29,1992,5,58,12,1.7,0.6,0,,0,5,12,7,2.00,0,0,0,0.00,-0.19,1.0,0.8,+0.2,+0.32,+0.28
47,Fabián Balbuena,py  PAR,DF,Corinthians,30,1991,13,1080,83,31.6,12.0,13,83,11,0,,3,1.92,17,11,+6,+0.50,+0.42,13.2,11.8,+1.3,+0.11,+0.17
48,Robson Bambu,br  BRA,DF,Corinthians,24,1997,7,393,56,11.5,4.4,4,79,3,3,26,16,1.29,1,7,-6,-1.37,-1.79,2.2,5.7,-3.5,-0.79,-0.89
49,Léo Baptistão,br  BRA,"FW,MF",Santos,29,1992,17,1137,67,33.2,12.6,16,70,0,1,25,0,1.29,14,11,+3,+0.24,+0.24,19.1,17.0,+2.1,+0.17,+0.32
50,Gabriel Baralhas,br  BRA,MF,Atl Goianiense,23,1998,30,2161,72,63.2,24.0,26,78,12,4,34,3,0.90,26,45,-19,-0.79,-0.86,27.4,33.7,-6.3,-0.26,-0.13
51,Danilo Barbosa,br  BRA,MF,Botafogo (RJ),25,1996,6,166,28,4.9,1.8,1,73,0,5,19,1,1.67,3,1,+2,+1.08,+1.19,2.9,1.9,+1.0,+0.56,+0.82
52,Gabriel Barbosa,br  BRA,FW,Flamengo,25,1996,29,2047,71,59.9,22.7,22,86,12,7,23,0,1.66,33,25,+8,+0.35,-0.50,40.3,22.3,+18.0,+0.79,+0.03
53,Lucas Barbosa,br  BRA,"FW,MF",Santos,20,2001,26,770,30,22.5,8.6,5,63,0,21,22,11,1.35,11,7,+4,+0.47,+0.50,9.9,10.8,-0.9,-0.11,-0.08
54,Danilo Barcelos,br  BRA,"DF,MF",Goiás,30,1991,22,1029,47,30.1,11.4,10,81,5,12,18,12,1.18,12,19,-7,-0.61,-0.39,10.6,20.9,-10.3,-0.90,-0.27
55,Leandro Barcia,uy  URU,FW,Atl Goianiense,29,1992,1,26,26,0.8,0.3,0,,0,1,26,3,1.00,0,1,-1,-3.46,-3.01,0.1,0.5,-0.4,-1.55,-1.34
56,Barreto,br  BRA,MF,Botafogo (RJ),26,1995,2,25,13,0.7,0.3,0,,0,2,13,10,3.00,1,0,+1,+3.60,+3.68,0.3,0.2,+0.1,+0.21,+0.43
57,Fellipe Bastos,br  BRA,MF,Goiás,31,1990,25,864,35,25.3,9.6,7,69,2,18,21,8,1.12,13,14,-1,-0.10,+0.32,11.7,15.1,-3.4,-0.35,+0.48
58,Danilo Batista,br  BRA,MF,Goiás,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
59,Paulo Baya,br  BRA,MF,Avaí,22,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
60,Muriel Becker,br  BRA,GK,Fluminense,34,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,
61,Ramiro Benetti,br  BRA,"MF,FW",Corinthians,28,1993,12,552,46,16.1,6.1,6,60,0,6,32,5,1.75,8,7,+1,+0.16,-0.06,7.2,7.3,-0.2,-0.03,-0.03
62,Martín Benítez,ar  ARG,MF,América (MG),27,1994,15,754,50,22.0,8.4,7,77,1,8,27,1,1.87,14,8,+6,+0.72,+0.92,13.3,10.4,+3.0,+0.35,+0.59
63,Bento,br  BRA,GK,Atl Paranaense,22,1999,33,2970,90,86.8,33.0,33,90,33,0,,0,1.61,44,38,+6,+0.18,+1.38,43.9,41.9,+2.0,+0.06,+0.73
64,Lucas Beraldo,br  BRA,DF,São Paulo,18,2003,3,130,43,3.8,1.4,1,62,0,2,34,13,1.00,4,3,+1,+0.69,+0.36,2.4,3.7,-1.3,-0.93,-1.11
65,Eduardo de Biasi,br  BRA,MF,Avaí,25,1997,31,1871,60,54.7,20.8,24,72,3,7,19,4,1.00,16,26,-10,-0.48,+0.45,20.5,32.2,-11.6,-0.56,-0.16
66,Pedro Bicalho,br  BRA,MF,Palmeiras,20,2001,1,3,3,0.1,0.0,0,,0,1,3,8,1.00,0,0,0,0.00,-1.03,0.0,0.0,0.0,0.00,-0.94
67,Raul Bicalho,br  BRA,DF,Corinthians,22,1999,20,1684,84,49.2,18.7,18,90,18,2,32,8,1.70,25,17,+8,+0.43,+0.43,19.4,20.1,-0.7,-0.04,-0.06
68,Guilherme Bissoli,br  BRA,FW,Avaí,24,1998,32,2443,76,71.4,27.1,29,80,9,3,42,0,0.84,25,41,-16,-0.59,+0.33,28.9,47.0,-18.1,-0.67,-0.62
69,Marcelo Boeck,br  BRA,GK,Fortaleza,37,1984,13,1170,90,34.2,13.0,13,90,13,0,,24,0.85,13,18,-5,-0.38,-0.86,14.3,17.8,-3.5,-0.27,-0.47
70,Igor Bohn,br  BRA,GK,Avaí,25,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
71,Jean Bonora,br  BRA,FW,Atl Goianiense,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
72,Ângelo Borges,br  BRA,"FW,MF",Santos,17,2004,27,1532,57,44.8,17.0,16,79,6,11,24,0,1.37,23,19,+4,+0.23,+0.28,19.5,22.7,-3.2,-0.19,-0.26
73,Daniel Borges,br  BRA,DF,Botafogo (RJ),28,1993,26,1868,72,54.6,20.8,22,83,13,4,8,3,1.38,23,23,0,0.00,+0.12,19.6,26.6,-7.0,-0.34,-0.25
74,Douglas Borges,br  BRA,GK,Botafogo (RJ),31,1990,1,90,90,2.6,1.0,1,90,1,0,,37,0.00,0,1,-1,-1.00,-0.97,0.9,1.6,-0.8,-0.77,-0.56
75,Marllon Borges,br  BRA,DF,Cuiabá,29,1992,34,3005,88,87.9,33.4,34,88,32,0,,3,1.18,27,33,-6,-0.18,+0.90,37.2,38.0,-0.8,-0.02,+1.28
76,Danilo Boza,br  BRA,DF,Juventude,23,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
77,Lucas Braga,br  BRA,"FW,MF",Santos,25,1996,33,2078,63,60.8,23.1,22,82,13,11,26,1,1.30,29,23,+6,+0.26,+0.46,28.8,27.8,+1.0,+0.04,+0.23
78,David Braz,br  BRA,DF,Fluminense,34,1987,13,708,54,20.7,7.9,10,67,4,3,13,9,1.64,12,8,+4,+0.51,-0.09,10.2,9.2,+1.0,+0.12,-0.17
79,Bressan,br  BRA,DF,Avaí,29,1993,21,1851,88,54.1,20.6,21,88,18,0,,1,1.05,21,33,-12,-0.58,+0.22,25.2,30.4,-5.1,-0.25,+0.52
80,Emanuel Brítez,ar  ARG,DF,Fortaleza,29,1992,20,1800,90,52.6,20.0,20,90,20,0,,1,2.00,31,17,+14,+0.70,+1.09,23.7,22.5,+1.1,+0.06,+0.04
81,Bruninho,br  BRA,"MF,FW",Juventude,21,2000,5,113,23,3.3,1.3,1,45,0,4,17,8,0.40,0,2,-2,-1.59,-0.56,0.6,0.8,-0.2,-0.18,+0.46
82,Bruno,br  BRA,MF,Bragantino,18,2003,2,39,20,1.1,0.4,0,,0,2,20,11,0.00,0,0,0,0.00,+0.27,0.7,0.1,+0.6,+1.43,+1.38
83,Fabrício Bruno,br  BRA,DF,Flamengo,25,1996,13,1170,90,34.2,13.0,13,90,13,0,,10,2.15,26,11,+15,+1.15,+0.91,24.6,9.5,+15.1,+1.16,+0.58
84,Ricardo Bueno,br  BRA,FW,Juventude,34,1987,16,806,50,23.6,9.0,9,73,3,7,21,4,0.50,7,17,-10,-1.12,-0.08,9.4,16.4,-6.9,-0.77,-0.20
85,Vitor Bueno,br  BRA,"MF,FW",Atl Paranaense,27,1994,21,1124,54,32.9,12.5,13,72,2,8,24,15,1.38,21,16,+5,+0.40,+0.60,16.1,16.4,-0.2,-0.02,+0.02
86,Busanello,br  BRA,DF,Juventude,23,1998,4,290,73,8.5,3.2,3,87,1,1,28,8,1.25,6,6,0,0.00,+1.15,3.1,3.3,-0.2,-0.05,+0.62
87,Fabricio Bustos,ar  ARG,DF,Internacional,25,1996,31,2673,86,78.2,29.7,31,86,25,0,,0,2.03,46,22,+24,+0.81,+0.45,40.8,32.2,+8.6,+0.29,+0.03
88,Nahuel Bustos,ar  ARG,FW,São Paulo,23,1998,9,284,32,8.3,3.2,3,62,0,6,16,8,1.33,5,3,+2,+0.63,+0.32,4.7,3.6,+1.2,+0.37,+0.25
89,Daniel Cabral,br  BRA,FW,Flamengo,19,2002,1,3,3,0.1,0.0,0,,0,1,3,4,3.00,0,0,0,0.00,-0.55,0.0,0.0,0.0,0.00,-0.78
90,Patric Cabral Lalau,br  BRA,DF,América (MG),32,1989,30,1719,57,50.3,19.1,18,84,13,12,17,6,1.23,17,26,-9,-0.47,-0.95,20.0,29.2,-9.2,-0.48,-0.75
91,Raúl Cáceres,py  PAR,DF,América (MG),30,1991,26,1618,62,47.3,18.0,18,79,6,8,26,7,1.73,23,15,+8,+0.44,+0.84,23.7,21.4,+2.3,+0.13,+0.45
92,Caetano,br  BRA,DF,Goiás,22,1999,26,2211,85,64.6,24.6,26,85,22,0,,1,1.54,29,30,-1,-0.04,+0.85,21.8,40.6,-18.8,-0.76,-0.15
93,Gabriel Caetano,br  BRA,MF,Bragantino,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
94,Jonathan Cafu,br  BRA,"DF,MF",Cuiabá,30,1991,14,561,40,16.4,6.2,4,79,0,10,24,17,0.86,7,8,-1,-0.16,+0.15,8.2,10.8,-2.6,-0.42,-0.29
95,Rodrigo Caio,br  BRA,DF,Flamengo,28,1993,8,585,73,17.1,6.5,7,79,5,1,30,1,0.88,5,10,-5,-0.77,-1.59,6.8,9.3,-2.5,-0.39,-1.40
96,Calebe,br  BRA,"MF,FW",Atlético Mineiro,21,2000,13,265,20,7.7,2.9,2,76,1,11,10,21,2.00,7,4,+3,+1.02,+0.88,6.5,3.9,+2.6,+0.88,+0.37
97,Lucas Calegari,br  BRA,DF,Fluminense,19,2002,10,659,66,19.3,7.3,7,81,3,3,31,16,1.10,8,8,0,0.00,-0.72,9.8,8.3,+1.5,+0.21,-0.06
98,Jonathan Calleri,ar  ARG,FW,São Paulo,28,1993,36,2818,78,82.4,31.3,30,87,22,6,36,0,1.44,46,31,+15,+0.48,+0.78,41.4,35.3,+6.1,+0.20,+0.31
99,Guilherme Camacho,br  BRA,MF,Santos,31,1990,26,1630,63,47.7,18.1,18,83,10,8,16,9,1.23,18,22,-4,-0.22,-0.57,15.1,23.9,-8.8,-0.48,-0.83
100,Felipe Camargo,br  BRA,DF,Avaí,23,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
101,Nathan Camargo,br  BRA,"MF,FW",Bragantino,16,2005,5,70,14,2.0,0.8,0,,0,5,14,8,1.20,0,3,-3,-3.86,-3.67,0.1,2.5,-2.3,-2.98,-3.11
102,Camilo,br  BRA,MF,Cuiabá,22,1999,24,1664,69,48.7,18.5,17,85,14,7,30,1,1.04,13,22,-9,-0.49,-0.38,19.8,20.0,-0.3,-0.01,+0.32
103,Camutanga,br  BRA,DF,Atl Goianiense,28,1993,1,71,71,2.1,0.8,1,71,0,0,,5,0.00,0,1,-1,-1.27,-0.81,0.8,0.7,+0.1,+0.17,+0.39
104,Luan Cândido,br  BRA,DF,Bragantino,20,2001,32,2624,82,76.7,29.2,30,85,26,2,31,2,1.06,39,46,-7,-0.24,+0.10,42.3,35.0,+7.3,+0.25,+0.81
105,Germán Cano,ar  ARG,FW,Fluminense,33,1988,38,3081,81,90.1,34.2,37,83,13,1,23,0,1.84,55,35,+20,+0.58,+0.05,43.2,34.2,+9.0,+0.26,+0.05
106,Agustín Canobbio,uy  URU,FW,Atl Paranaense,23,1998,25,1408,56,41.2,15.6,18,67,4,7,28,2,1.52,18,21,-3,-0.19,-0.33,23.6,19.1,+4.5,+0.29,+0.55
107,Víctor Cantillo,co  COL,MF,Corinthians,28,1993,19,916,48,26.8,10.2,10,69,3,9,25,12,1.63,12,10,+2,+0.20,-0.02,9.2,10.1,-0.9,-0.08,-0.11
108,Capixaba,br  BRA,"FW,MF",Juventude,25,1997,27,1652,61,48.3,18.4,20,72,3,7,30,3,0.44,11,34,-23,-1.25,-0.39,13.6,30.0,-16.3,-0.89,-0.52
109,Juninho Capixaba,br  BRA,DF,Fortaleza,24,1997,34,2906,85,85.0,32.3,32,89,30,2,31,2,1.53,42,34,+8,+0.25,+0.42,37.7,38.4,-0.6,-0.02,-0.39
110,Gabriel Carabajal,ar  ARG,"MF,FW",Santos,30,1991,8,498,62,14.6,5.5,7,67,0,1,32,5,0.88,5,11,-6,-1.08,-1.36,4.1,7.2,-3.1,-0.56,-0.60
111,Johnny Cardoso,us  USA,MF,Internacional,20,2001,24,1410,59,41.2,15.7,17,73,3,7,25,8,2.21,23,15,+8,+0.51,-0.34,23.4,15.9,+7.5,+0.48,+0.33
112,Igor Cariús,br  BRA,"DF,MF",Cuiabá,28,1993,17,1159,68,33.9,12.9,14,80,8,3,15,12,1.18,12,13,-1,-0.08,+0.32,13.4,16.6,-3.2,-0.25,-0.10
113,Joel Carli,ar  ARG,DF,Botafogo (RJ),35,1986,5,365,73,10.7,4.1,4,90,4,1,5,12,1.80,4,5,-1,-0.25,-0.22,4.1,5.5,-1.5,-0.36,-0.15
114,Ed Carlos,br  BRA,MF,Santos,20,2001,6,261,44,7.6,2.9,3,68,0,3,19,4,1.00,6,2,+4,+1.38,+1.41,3.6,3.5,+0.1,+0.04,+0.10
115,Jan Carlos Hurtado,ve  VEN,FW,Bragantino,21,2000,13,490,38,14.3,5.4,7,56,0,6,17,5,1.00,4,13,-9,-1.65,-1.62,5.8,8.3,-2.5,-0.46,-0.61
116,João Carlos,br  BRA,GK,Cuiabá,33,1988,11,951,86,27.8,10.6,10,90,10,1,51,27,0.82,10,16,-6,-0.57,-0.39,8.6,15.9,-7.4,-0.70,-0.71
117,Alan Carvalho,cn  CHN,"FW,MF",Fluminense,32,1989,4,36,9,1.1,0.4,0,,0,4,9,6,2.50,3,0,+3,+7.50,+6.99,1.1,0.4,+0.7,+1.74,+1.50
118,Cássio,br  BRA,GK,Corinthians,34,1987,34,3059,90,89.4,34.0,34,90,33,0,,0,1.74,39,28,+11,+0.32,+1.07,37.2,35.2,+2.0,+0.06,+0.60
119,Luciano Castán,br  BRA,DF,Coritiba,32,1989,35,3149,90,92.1,35.0,35,90,34,0,,0,1.11,35,52,-17,-0.49,+0.84,38.2,49.0,-10.8,-0.31,-0.17
120,Iury de Castilho,br  BRA,FW,Ceará,26,1995,13,521,40,15.2,5.8,4,82,1,9,22,17,1.21,7,7,0,0.00,+0.22,5.5,6.7,-1.1,-0.19,-0.10
121,Cauã,br  BRA,DF,Juventude,18,2003,1,42,42,1.2,0.5,0,,0,1,42,0,0.00,1,2,-1,-2.14,-1.10,0.5,1.5,-1.0,-2.19,-1.59
122,Matheus Cavichioli,br  BRA,GK,América (MG),35,1986,25,2250,90,65.8,25.0,25,90,25,0,,9,1.52,29,26,+3,+0.12,+0.35,33.1,33.6,-0.5,-0.02,+0.26
123,Brayan Ceballos,co  COL,DF,Fortaleza,20,2001,16,1075,67,31.4,11.9,12,81,7,4,27,15,1.06,12,12,0,0.00,-0.27,13.2,10.5,+2.7,+0.23,+0.27
124,Murilo Cerqueira,br  BRA,DF,Palmeiras,24,1997,32,2837,89,83.0,31.5,32,89,30,0,,3,2.09,51,22,+29,+0.92,-0.62,53.8,26.2,+27.7,+0.88,-0.38
125,Júlio César,br  BRA,GK,Bragantino,37,1984,0,,,,,0,,0,0,,6,,,,,,,,,,,
126,Reynaldo Cesar Moraes,br  BRA,DF,Goiás,25,1997,32,2745,86,80.3,30.5,32,86,27,0,,0,1.19,31,43,-12,-0.39,-0.26,27.5,48.6,-21.0,-0.69,+0.11
127,Jhon Chancellor,ve  VEN,DF,Coritiba,30,1992,13,1170,90,34.2,13.0,13,90,13,0,,2,1.31,12,19,-7,-0.54,+0.02,11.5,16.7,-5.2,-0.40,-0.16
128,Arthur Chaves,br  BRA,DF,Avaí,21,2001,17,1485,87,43.4,16.5,17,87,16,0,,0,1.06,19,26,-7,-0.42,+0.46,20.5,26.7,-6.2,-0.37,+0.21
129,Renato Chaves,br  BRA,DF,Juventude,31,1990,2,164,82,4.8,1.8,2,82,1,0,,3,0.50,2,3,-1,-0.55,+0.53,3.0,2.6,+0.4,+0.22,+0.88
130,Chico,br  BRA,"MF,FW",Juventude,30,1991,33,2177,66,63.7,24.2,26,76,6,7,30,3,0.64,20,36,-16,-0.66,+1.08,21.0,34.1,-13.1,-0.54,+0.22
131,Christian,br  BRA,MF,Atl Paranaense,21,2000,9,428,48,12.5,4.8,4,67,1,5,32,12,1.56,5,6,-1,-0.21,-0.24,5.3,6.4,-1.0,-0.22,-0.21
132,Diego Churín,ar  ARG,FW,Atl Goianiense,32,1989,36,2387,66,69.8,26.5,25,83,15,11,27,0,0.97,31,41,-10,-0.38,+0.32,31.5,34.8,-3.3,-0.12,+0.30
133,Cipriano,br  BRA,DF,Fluminense,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
134,Marcelo Cirino,br  BRA,FW,Atl Paranaense,30,1992,11,472,43,13.8,5.2,6,63,0,5,19,0,1.82,4,5,-1,-0.19,-0.22,7.1,6.9,+0.2,+0.05,+0.10
135,Léo Cittadini,br  BRA,"MF,FW",Atl Paranaense,27,1994,20,724,36,21.2,8.0,4,76,2,16,26,11,1.80,10,9,+1,+0.12,+0.16,10.7,12.7,-2.1,-0.26,-0.28
136,Luccas Claro,br  BRA,DF,Fluminense,30,1991,10,464,46,13.6,5.2,4,68,2,6,32,10,1.50,4,10,-6,-1.16,-2.02,3.8,8.2,-4.4,-0.85,-1.28
137,Clayton,br  BRA,"FW,MF",Coritiba,23,1999,9,328,36,9.6,3.6,3,68,1,6,21,5,1.33,5,9,-4,-1.10,-0.60,4.4,5.2,-0.7,-0.20,+0.10
138,Cléber,br  BRA,FW,Ceará,25,1996,21,979,47,28.6,10.9,12,67,0,9,19,5,1.05,12,12,0,0.00,+0.26,15.0,12.1,+2.8,+0.26,+0.51
