,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
21,Anderson,br  BRA,GK,Atl Paranaense,23,1998,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1
22,Thonny Anderson,br  BRA,"MF,FW",Coritiba,24,1997,8.1,25,17,6,14,5,12,29,41.4,17,9,4,5,5,30,9,0
23,Andrey,br  BRA,MF,Avaí,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,Brayan Angulo,ec  ECU,"FW,MF",Santos,26,1995,5.3,4,2,2,2,0,1,6,16.7,5,6,1,5,1,5,4,0
25,Apodi,br  BRA,"MF,FW",Goiás,35,1986,10.1,13,5,9,2,2,5,12,41.7,7,7,3,4,4,17,8,0
26,Guilherme Arana,br  BRA,DF,Atlético Mineiro,24,1997,19.1,22,16,13,7,2,9,16,56.3,7,15,6,9,10,32,25,0
27,Willian Arão,br  BRA,"MF,DF",Flamengo,29,1992,10.2,11,4,7,2,2,7,14,50.0,7,13,10,3,17,28,19,1
28,Michel Araujo,uy  URU,"FW,MF",Fluminense,25,1996,0.9,5,3,2,2,1,2,4,50.0,2,2,0,2,0,5,0,0
29,Robert Arboleda,ec  ECU,DF,São Paulo,30,1991,8.0,8,6,6,2,0,6,7,85.7,1,10,7,3,6,14,52,0
30,Jhon Arias,co  COL,"FW,MF",Fluminense,24,1997,29.6,48,31,14,19,15,21,41,51.2,20,33,2,31,7,55,19,0
31,Artur,br  BRA,"FW,MF",Bragantino,23,1998,31.0,29,18,11,12,6,13,34,38.2,21,32,8,24,15,44,16,0
32,Eduard Atuesta,co  COL,MF,Palmeiras,24,1997,7.3,12,7,4,7,1,3,17,17.6,14,10,1,9,10,22,2,0
33,Felipe Augusto,br  BRA,FW,Corinthians,17,2004,0.8,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
