,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
11,Pau López,es  ESP,GK,Roma,26-098,1994,16.2,21,3,0,2,3,18.7,0.29,+0.7,+0.04,67,164,40.9,444,87,29.7,32.0,72,44.4,39.2,94,6,6.4,14,0.86,16.2
12,Federico Marchetti,it  ITA,GK,Genoa,38-042,1983,2.7,7,0,0,1,0,4.6,0.35,-2.4,-0.88,13,27,48.1,65,11,23.1,30.0,25,48.0,36.8,20,0,0.0,2,0.74,16.5
13,Alex Meret,it  ITA,GK,Napoli,23-364,1997,12.0,17,2,0,2,1,14.9,0.28,-1.1,-0.09,31,69,44.9,313,64,17.9,26.5,50,26.0,28.3,77,9,11.7,2,0.17,11.4
14,Vanja Milinković-Savić,rs  SRB,GK,Torino,24-029,1997,2.0,4,1,0,0,0,3.0,0.21,-1.0,-0.51,5,18,27.8,57,9,22.8,31.0,7,71.4,54.0,15,0,0.0,1,0.50,12.3
15,Antonio Mirante,it  ITA,GK,Roma,37-256,1983,10.8,16,2,1,0,0,12.7,0.26,-3.3,-0.31,62,116,53.4,284,61,34.2,33.1,65,29.2,30.1,84,2,2.4,12,1.11,15.9
16,Lorenzo Montipò,it  ITA,GK,Benevento,25-029,1996,27.0,52,3,0,8,3,46.7,0.38,-2.3,-0.08,198,495,40.0,744,125,51.1,40.5,202,56.9,42.6,285,22,7.7,9,0.33,13.4
17,Juan Musso,ar  ARG,GK,Udinese,26-319,1994,25.0,30,6,1,0,0,32.8,0.31,+2.8,+0.11,147,329,44.7,566,119,43.8,37.0,170,47.6,38.4,204,19,9.3,13,0.52,13.2
18,David Ospina,co  COL,GK,Napoli,32-202,1988,14.0,12,3,0,0,0,11.6,0.28,-0.4,-0.03,65,138,47.1,420,43,30.5,31.7,47,21.3,25.4,95,9,9.5,12,0.86,15.9
19,Alberto Paleari,it  ITA,GK,Genoa,28-204,1992,1.3,3,0,0,0,0,2.6,0.36,-0.4,-0.30,7,25,28.0,34,5,64.7,45.3,10,30.0,30.6,8,0,0.0,0,0.00,11.7
20,Gianluca Pegolo,it  ITA,GK,Sassuolo,39-361,1981,1.0,0,0,0,0,0,0.0,0.04,0.0,+0.04,0,1,0.0,13,2,7.7,18.5,8,0.0,13.6,4,0,0.0,0,0.00,14.5
21,Mattia Perin,it  ITA,GK,Genoa,28-131,1992,24.0,30,5,0,6,1,31.9,0.26,+2.9,+0.12,183,499,36.7,703,98,56.6,41.6,214,47.2,38.4,273,12,4.4,7,0.29,12.4
22,Ivan Provedel,it  ITA,GK,Spezia,27-004,1994,22.0,39,5,1,2,0,34.9,0.35,-4.1,-0.19,225,478,47.1,949,99,43.9,38.3,119,51.3,44.2,152,12,7.9,22,1.00,16.5
23,Rafael,br  BRA,GK,Spezia,39-018,1982,1.3,3,0,0,0,0,1.6,0.18,-1.4,-1.04,11,25,44.0,46,7,50.0,37.8,11,18.2,26.5,23,1,4.3,0,0.00,8.3
24,Federico Ravaglia,it  ITA,GK,Bologna,21-130,1999,1.0,5,0,0,0,1,3.3,0.48,-0.7,-0.66,1,2,50.0,25,1,4.0,19.2,6,16.7,18.7,6,0,0.0,2,2.00,23.5
25,Pepe Reina,es  ESP,GK,Lazio,38-202,1982,20.0,25,5,0,5,1,25.7,0.30,+1.7,+0.08,131,283,46.3,692,80,36.8,34.5,92,30.4,29.2,143,7,4.9,9,0.45,15.6
26,Luigi Sepe,it  ITA,GK,Parma,29-317,1991,28.0,54,1,0,8,3,43.6,0.33,-7.4,-0.26,263,488,53.9,919,138,44.1,37.9,210,39.5,35.9,319,20,6.3,11,0.39,13.4
27,Marco Silvestri,it  ITA,GK,Hellas Verona,30-019,1991,27.0,32,3,1,7,2,28.4,0.26,-1.6,-0.06,166,576,28.8,567,60,68.1,46.6,211,90.0,58.3,225,6,2.7,13,0.48,13.4
28,Salvatore Sirigu,it  ITA,GK,Torino,34-068,1987,24.0,45,6,1,5,1,32.5,0.34,-11.5,-0.48,140,330,42.4,568,81,41.7,35.2,192,48.4,37.3,217,14,6.5,10,0.42,12.8
29,Łukasz Skorupski,pl  POL,GK,Bologna,29-320,1991,21.0,30,3,0,6,1,30.4,0.28,+3.4,+0.17,81,227,35.7,523,115,34.6,33.6,157,29.3,25.6,186,21,11.3,9,0.45,12.7
30,Marco Sportiello,it  ITA,GK,Atalanta,28-315,1992,12.3,18,0,0,2,0,13.9,0.31,-4.1,-0.33,47,96,49.0,287,61,23.0,29.6,47,63.8,48.8,77,6,7.8,13,1.06,17.2
31,Thomas Strakosha,al  ALB,GK,Lazio,26-002,1995,6.0,12,1,0,1,0,10.6,0.36,-1.4,-0.23,41,86,47.7,220,35,36.8,32.3,32,15.6,26.0,61,4,6.6,1,0.17,11.7
32,Wojciech Szczęsny,pl  POL,GK,Juventus,30-337,1990,21.0,20,2,0,2,1,20.4,0.26,+1.4,+0.07,73,136,53.7,599,94,19.5,28.5,137,13.9,23.7,185,13,7.0,18,0.86,14.0
33,Ciprian Tătărușanu,ro  ROU,GK,Milan,35-040,1986,1.0,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40.0,23,7,13.0,21.8,4,50.0,30.8,3,1,33.3,0,0.00,8.1
34,Jeroen Zoet,nl  NED,GK,Spezia,30-074,1991,4.7,9,1,0,1,0,6.1,0.34,-1.9,-0.52,22,49,44.9,153,26,30.1,32.5,18,16.7,26.3,30,3,10.0,4,1.08,14.1
