,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
365,Neto,br  BRA,GK,Valencia,28,1989,33.0,0,1,0,0.0,0.03,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2
366,Saúl Ñíguez,es  ESP,MF,Atlético Madrid,22,1994,35.1,2,54,9,16.7,1.54,0.26,0.04,0.22,21.5,2,0,0,3.2,3.2,0.06,-1.2,-1.2
367,Nolito,es  ESP,"FW,MF",Sevilla,30,1986,17.8,4,37,18,48.6,2.08,1.01,0.11,0.22,16.4,0,0,1,4.6,3.9,0.11,-0.6,+0.1
368,Unai Núñez,es  ESP,DF,Athletic Club,20,1997,31.7,1,20,2,10.0,0.63,0.06,0.05,0.50,7.7,0,0,0,3.0,3.0,0.15,-2.0,-2.0
369,Steven Nzonzi,fr  FRA,MF,Sevilla,28,1988,24.6,1,21,5,23.8,0.85,0.20,0.05,0.20,18.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9
370,Jan Oblak,si  SVN,GK,Atlético Madrid,24,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
371,Álvaro Odriozola,es  ESP,DF,Real Sociedad,21,1995,32.4,0,10,5,50.0,0.31,0.15,0.00,0.00,17.9,0,0,0,0.8,0.8,0.08,-0.8,-0.8
372,Oier Olazábal,es  ESP,GK,Levante,27,1989,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
373,Paulo Oliveira,pt  POR,DF,Eibar,25,1992,24.6,0,15,3,20.0,0.61,0.12,0.00,0.00,10.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7
374,Mathías Olivera,uy  URU,"FW,MF",Getafe,19,1997,1.2,1,1,1,100.0,0.86,0.86,1.00,1.00,6.1,0,0,0,0.1,0.1,0.12,+0.9,+0.9
375,Michael Olunga,ke  KEN,FW,Girona,23,1994,4.9,3,18,6,33.3,3.69,1.23,0.17,0.50,13.2,0,0,0,3.1,3.1,0.17,-0.1,-0.1
376,Javier Ontiveros,es  ESP,"MF,FW",Málaga,19,1997,4.4,0,7,2,28.6,1.58,0.45,0.00,0.00,23.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2
377,Fabián Orellana,cl  CHI,"MF,FW",Eibar,31,1986,13.1,3,28,5,17.9,2.14,0.38,0.11,0.60,18.3,1,0,0,2.5,2.5,0.09,+0.5,+0.5
378,Mikel Oyarzabal,es  ESP,"FW,MF",Real Sociedad,20,1997,30.7,12,66,31,47.0,2.15,1.01,0.18,0.39,15.7,1,0,0,8.4,8.4,0.13,+3.6,+3.6
379,Daniel Pacheco,es  ESP,"MF,FW",Getafe,26,1991,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
380,Fernando Pacheco,es  ESP,GK,Alavés,25,1992,37.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
381,Costel Pantilimon,ro  ROU,GK,La Coruña,30,1987,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
382,Rubén Pardo,es  ESP,MF,Real Sociedad,24,1992,2.5,0,1,0,0.0,0.41,0.00,0.00,,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0
383,Nicolás Pareja,ar  ARG,DF,Sevilla,33,1984,4.5,0,3,0,0.0,0.67,0.00,0.00,,18.7,1,0,0,0.1,0.1,0.04,-0.1,-0.1
384,Daniel Parejo,es  ESP,MF,Valencia,28,1989,33.3,7,39,14,35.9,1.17,0.42,0.03,0.07,26.5,22,6,6,6.9,2.4,0.06,+0.1,-1.4
385,Thomas Partey,gh  GHA,"MF,DF",Atlético Madrid,24,1993,26.4,3,22,3,13.6,0.83,0.11,0.14,1.00,24.5,0,0,0,1.5,1.5,0.07,+1.5,+1.5
386,Paulinho,br  BRA,MF,Barcelona,29,1988,21.6,9,44,22,50.0,2.03,1.02,0.20,0.41,12.2,0,0,0,8.9,8.9,0.21,+0.1,+0.1
387,Gabriel Paulista,br  BRA,DF,Valencia,26,1990,28.7,0,17,5,29.4,0.59,0.17,0.00,0.00,14.2,1,0,0,0.9,0.9,0.05,-0.9,-0.9
388,Giampaolo Pazzini,it  ITA,FW,Levante,32,1984,5.0,1,10,4,40.0,2.02,0.81,0.10,0.25,13.5,0,0,0,0.9,0.9,0.09,+0.1,+0.1
389,Alfonso Pedraza,es  ESP,"MF,DF",Alavés,21,1996,27.1,3,42,13,31.0,1.55,0.48,0.07,0.23,18.9,0,0,0,3.5,3.5,0.08,-0.5,-0.5
390,Rubén Peña,es  ESP,"DF,FW",Eibar,26,1991,19.3,1,13,2,15.4,0.68,0.10,0.08,0.50,20.4,0,0,0,0.6,0.6,0.05,+0.4,+0.4
391,Gabriel Peñalba,ar  ARG,MF,Las Palmas,32,1984,6.3,0,6,0,0.0,0.95,0.00,0.00,,25.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
392,Adalberto Peñaranda,ve  VEN,"FW,MF",Málaga,20,1997,8.9,0,21,7,33.3,2.37,0.79,0.00,0.00,22.3,0,0,0,1.0,1.0,0.05,-1.0,-1.0
393,Andreas Pereira,br  BRA,"MF,FW",Valencia,21,1996,12.0,1,13,5,38.5,1.08,0.42,0.08,0.20,19.6,0,0,0,0.7,0.7,0.05,+0.3,+0.3
394,Lucas Pérez,es  ESP,FW,La Coruña,28,1988,31.1,8,52,24,46.2,1.67,0.77,0.10,0.21,16.1,4,3,4,9.1,6.0,0.12,-1.1,-1.0
395,Rubén Pérez,es  ESP,MF,Leganés,28,1989,27.9,0,17,1,5.9,0.61,0.04,0.00,0.00,35.4,0,0,0,0.3,0.3,0.02,-0.3,-0.3
396,Pablo Piatti,ar  ARG,"MF,FW",Espanyol,28,1989,19.3,2,31,6,19.4,1.61,0.31,0.03,0.17,19.5,1,1,1,3.5,2.7,0.09,-1.5,-1.7
397,Tomás Pina Isla,es  ESP,MF,Alavés,29,1987,26.5,1,12,3,25.0,0.45,0.11,0.08,0.33,17.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
398,Gerard Piqué,es  ESP,DF,Barcelona,30,1987,29.2,2,18,5,27.8,0.62,0.17,0.11,0.40,9.2,0,0,0,3.0,3.0,0.16,-1.0,-1.0
399,Guido Pizarro,ar  ARG,MF,Sevilla,27,1990,19.5,1,12,3,25.0,0.62,0.15,0.08,0.33,17.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4
400,Carles Planas,es  ESP,"DF,MF",Girona,26,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,4.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
401,Pere Pons,es  ESP,MF,Girona,24,1993,28.4,0,18,6,33.3,0.63,0.21,0.00,0.00,21.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1
402,Francisco Portillo,es  ESP,"MF,FW",Getafe,27,1990,27.2,2,15,6,40.0,0.55,0.22,0.07,0.17,19.5,0,1,2,2.7,1.1,0.07,-0.7,-0.1
