,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
29,Emiliano Martínez,ar  ARG,GK,Arsenal,21,1992,4,3,302,3.4,4,1.19,8,4,50.0,2,0,1,2,66.7,,,,,
30,Alex McCarthy,eng  ENG,GK,QPR,24,1989,3,2,237,2.6,8,3.04,17,9,52.9,1,0,2,1,50.0,,,,,
31,Allan McGregor,sco  SCO,GK,Hull City,32,1982,26,26,2340,26.0,39,1.50,102,63,61.8,5,7,13,5,19.2,,,,,
32,Simon Mignolet,be  BEL,GK,Liverpool,26,1988,36,35,3225,35.8,43,1.20,130,87,66.9,17,7,12,14,40.0,,,,,
33,Boaz Myhill,wal  WAL,GK,West Brom,31,1982,11,10,935,10.4,17,1.64,74,57,77.0,4,3,4,5,50.0,,,,,
34,David Ospina,co  COL,GK,Arsenal,25,1988,18,18,1620,18.0,11,0.61,57,46,80.7,13,3,2,8,44.4,,,,,
35,Costel Pantilimon,ro  ROU,GK,Sunderland,27,1987,28,28,2520,28.0,33,1.18,139,106,76.3,6,12,10,11,39.3,,,,,
36,Joel Robles,es  ESP,GK,Everton,24,1990,7,6,585,6.5,6,0.92,21,15,71.4,1,3,3,3,50.0,,,,,
37,Kasper Schmeichel,dk  DEN,GK,Leicester City,27,1986,24,24,2160,24.0,37,1.54,112,75,67.0,8,5,11,6,25.0,,,,,
38,Mark Schwarzer,au  AUS,GK,Leicester City,41,1972,6,6,540,6.0,10,1.67,31,21,67.7,0,2,4,1,16.7,,,,,
39,Julián Speroni,ar  ARG,GK,Crystal Palace,35,1979,36,36,3204,35.6,49,1.38,138,89,64.5,12,8,16,6,16.7,,,,,
40,Jed Steer,eng  ENG,GK,Aston Villa,21,1992,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,,,,,
41,Wojciech Szczęsny,pl  POL,GK,Arsenal,24,1990,17,17,1498,16.6,21,1.26,63,42,66.7,7,6,4,3,17.6,,,,,
42,Gerhard Tremmel,de  GER,GK,Swansea City,35,1978,2,1,112,1.2,3,2.41,7,4,57.1,0,0,1,0,0.0,,,,,
43,Víctor Valdés,es  ESP,GK,Manchester Utd,32,1982,2,1,107,1.2,1,0.84,7,6,85.7,0,1,0,0,0.0,,,,,
44,Michel Vorm,nl  NED,GK,Tottenham,30,1983,4,3,357,4.0,5,1.26,17,12,70.6,2,1,1,1,33.3,,,,,
