,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
387,Kieran Richardson,eng  ENG,"DF,MF",Aston Villa,29,1984,22,16,1345,14.9,0,1,0,0,0,2,1,0.00,0.07,0.07,0.00,0.07
388,Emmanuel Rivière,fr  FRA,FW,Newcastle Utd,24,1990,23,15,1209,13.4,1,1,1,0,0,0,0,0.07,0.07,0.15,0.07,0.15
389,Valentin Roberge,fr  FRA,DF,Sunderland,27,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
390,Andrew Robertson,sco  SCO,"DF,MF",Hull City,20,1994,24,17,1526,17.0,0,2,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12
391,Joel Robles,es  ESP,GK,Everton,24,1990,7,6,585,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
392,Jack Rodwell,eng  ENG,"DF,MF",Sunderland,23,1991,23,17,1483,16.5,3,0,3,0,0,5,0,0.18,0.00,0.18,0.18,0.18
393,Marcos Rojo,ar  ARG,DF,Manchester Utd,24,1990,22,20,1762,19.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
394,Wayne Rooney,eng  ENG,"FW,MF",Manchester Utd,28,1985,33,33,2873,31.9,12,5,11,1,2,5,1,0.38,0.16,0.53,0.34,0.50
395,Danny Rose,eng  ENG,"DF,MF",Tottenham,24,1990,28,27,2367,26.3,3,5,3,0,0,7,0,0.11,0.19,0.30,0.11,0.30
396,Liam Rosenior,eng  ENG,DF,Hull City,30,1984,13,5,581,6.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
397,Tomáš Rosický,cz  CZE,MF,Arsenal,33,1980,15,5,583,6.5,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46
398,Wayne Routledge,eng  ENG,"FW,MF",Swansea City,29,1985,29,27,2310,25.7,3,1,3,0,0,1,1,0.12,0.04,0.16,0.12,0.16
399,Yannick Sagbo,ci  CIV,FW,Hull City,26,1988,4,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
400,Bacary Sagna,fr  FRA,DF,Manchester City,31,1983,9,8,741,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
401,Diafra Sakho,sn  SEN,FW,West Ham,24,1989,23,20,1754,19.5,10,2,10,0,0,2,0,0.51,0.10,0.62,0.51,0.62
402,Mamadou Sakho,fr  FRA,DF,Liverpool,24,1990,16,15,1419,15.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
403,Mohamed Salah,eg  EGY,"FW,MF",Chelsea,22,1992,3,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
