,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
19,Jordi Amat,es  ESP,DF,Swansea City,22,1992,6.5,3,0,,8,,,,,,,,
20,Sammy Ameobi,eng  ENG,"FW,MF",Newcastle Utd,22,1992,15.8,2,0,,34,,,,,,,,
21,Shola Ameobi,ng  NGA,FW,Crystal Palace,32,1981,0.5,0,0,,1,,,,,,,,
22,Anderson,br  BRA,MF,Manchester Utd,26,1988,0.2,0,0,,1,,,,,,,,
23,Victor Anichebe,ng  NGA,FW,West Brom,26,1988,11.5,0,0,,17,,,,,,,,
24,Vurnon Anita,cw  CUW,"DF,MF",Newcastle Utd,25,1989,14.1,3,0,,17,,,,,,,,
25,Scott Arfield,ca  CAN,MF,Burnley,25,1988,35.6,6,0,,55,,,,,,,,
26,Adam Armstrong,eng  ENG,"FW,MF",Newcastle Utd,17,1997,2.3,1,0,,7,,,,,,,,
27,Marko Arnautović,at  AUT,"FW,MF",Stoke City,25,1989,21.3,2,0,,32,,,,,,,,
28,Mikel Arteta,es  ESP,MF,Arsenal,32,1982,5.0,1,0,,10,,,,,,,,
29,Oussama Assaidi,ma  MAR,"FW,MF",Stoke City,25,1988,2.6,1,0,,7,,,,,,,,
30,Christian Atsu,gh  GHA,"FW,MF",Everton,22,1992,1.3,0,0,,0,,,,,,,,
31,Charlie Austin,eng  ENG,FW,QPR,25,1989,34.1,5,1,,35,,,,,,,,
32,César Azpilicueta,es  ESP,DF,Chelsea,24,1989,27.6,1,1,,19,,,,,,,,
33,Leandro Bacuna,cw  CUW,"DF,MF",Aston Villa,22,1991,10.9,1,0,,15,,,,,,,,
34,Leighton Baines,eng  ENG,DF,Everton,29,1984,30.8,4,0,,23,,,,,,,,
35,Chris Baird,nir  NIR,"DF,MF",West Brom,32,1982,9.0,2,0,,8,,,,,,,,
36,Nathan Baker,eng  ENG,DF,Aston Villa,23,1991,8.5,0,0,,8,,,,,,,,
37,Mario Balotelli,it  ITA,FW,Liverpool,23,1990,10.4,5,0,,29,,,,,,,,
38,Barry Bannan,sco  SCO,MF,Crystal Palace,24,1989,1.5,1,0,,2,,,,,,,,
39,Phil Bardsley,sco  SCO,DF,Stoke City,29,1985,23.1,6,0,,26,,,,,,,,
40,Ross Barkley,eng  ENG,MF,Everton,20,1993,21.8,1,0,,19,,,,,,,,
41,Ashley Barnes,eng  ENG,FW,Burnley,24,1989,26.8,5,1,,71,,,,,,,,
42,Modou Barrow,gm  GAM,"FW,MF",Swansea City,21,1992,3.2,1,0,,8,,,,,,,,
43,Gareth Barry,eng  ENG,MF,Everton,33,1981,31.4,11,1,,60,,,,,,,,
44,Kyle Bartley,eng  ENG,DF,Swansea City,23,1991,7.0,2,0,,7,,,,,,,,
45,Joey Barton,eng  ENG,MF,QPR,31,1982,26.1,11,1,,49,,,,,,,,
46,Asmir Begović,ba  BIH,GK,Stoke City,27,1987,35.0,3,0,,0,,,,,,,,
47,Héctor Bellerín,es  ESP,"DF,MF",Arsenal,19,1995,17.4,5,0,,17,,,,,,,,
48,Hatem Ben Arfa,fr  FRA,"FW,MF",Hull City,27,1987,4.3,1,0,,8,,,,,,,,
49,Darren Bent,eng  ENG,FW,Aston Villa,30,1984,0.9,0,0,,0,,,,,,,,
50,Nabil Bentaleb,dz  ALG,MF,Tottenham,19,1994,24.4,8,0,,27,,,,,,,,
51,Christian Benteke,be  BEL,FW,Aston Villa,23,1990,26.4,1,1,,41,,,,,,,,
52,Saido Berahino,bi  BDI,"FW,MF",West Brom,20,1993,32.5,2,0,,32,,,,,,,,
53,Ryan Bertrand,eng  ENG,"DF,MF",Southampton,24,1989,33.9,3,1,,30,,,,,,,,
54,Muhamed Bešić,ba  BIH,"DF,MF",Everton,21,1992,14.3,8,0,,30,,,,,,,,
55,Mame Biram Diouf,sn  SEN,"FW,MF",Stoke City,26,1987,27.0,7,0,,61,,,,,,,,
56,Tyler Blackett,eng  ENG,DF,Manchester Utd,20,1994,7.3,3,1,,10,,,,,,,,
57,Sebastián Blanco,ar  ARG,"FW,MF",West Brom,26,1988,0.4,1,0,,1,,,,,,,,
58,Daley Blind,nl  NED,"DF,MF",Manchester Utd,24,1990,24.1,4,0,,25,,,,,,,,
59,Yannick Bolasie,cd  COD,"FW,MF",Crystal Palace,25,1989,30.8,3,0,,47,,,,,,,,
60,Fabio Borini,it  ITA,"FW,MF",Liverpool,23,1991,4.4,2,1,,9,,,,,,,,
61,Dedryck Boyata,be  BEL,DF,Manchester City,23,1990,1.0,1,0,,3,,,,,,,,
62,Robbie Brady,ie  IRL,"DF,FW",Hull City,22,1992,19.5,2,0,,16,,,,,,,,
63,Liam Bridcutt,sco  SCO,"DF,MF",Sunderland,25,1989,10.1,7,1,,21,,,,,,,,
64,Leon Britton,eng  ENG,MF,Swansea City,31,1982,5.9,1,0,,5,,,,,,,,
65,Izzy Brown,eng  ENG,"FW,MF",Chelsea,17,1997,0.1,0,0,,0,,,,,,,,
66,Wes Brown,eng  ENG,DF,Sunderland,34,1979,22.1,5,1,,16,,,,,,,,
67,Tyias Browning,cn  CHN,DF,Everton,20,1994,0.3,0,0,,1,,,,,,,,
68,Alex Bruce,nir  NIR,DF,Hull City,29,1984,16.1,3,0,,13,,,,,,,,
69,Chris Brunt,nir  NIR,"DF,MF",West Brom,29,1984,32.2,5,0,,31,,,,,,,,
70,Will Buckley,eng  ENG,"FW,MF",Sunderland,24,1989,9.7,2,0,,10,,,,,,,,
71,Reece Burke,eng  ENG,DF,West Ham,17,1996,4.6,0,0,,3,,,,,,,,
72,Jack Butland,eng  ENG,GK,Stoke City,21,1993,3.0,0,0,,0,,,,,,,,
73,Willy Caballero,ar  ARG,GK,Manchester City,32,1981,2.0,0,0,,0,,,,,,,,
74,Rémy Cabella,fr  FRA,"FW,MF",Newcastle Utd,24,1990,21.6,2,0,,30,,,,,,,,
75,Gary Cahill,eng  ENG,DF,Chelsea,28,1985,33.2,5,0,,23,,,,,,,,
76,Esteban Cambiasso,ar  ARG,MF,Leicester City,33,1980,26.8,1,0,,18,,,,,,,,
77,Geoff Cameron,us  USA,"DF,MF",Stoke City,29,1985,23.8,4,0,,13,,,,,,,,
78,Fraizer Campbell,eng  ENG,FW,Crystal Palace,26,1987,13.0,5,0,,18,,,,,,,,
79,Joel Campbell,cr  CRC,"FW,MF",Arsenal,22,1992,0.5,0,0,,0,,,,,,,,
80,Emre Can,de  GER,"DF,MF",Liverpool,20,1994,22.9,3,1,,29,,,,,,,,
81,Étienne Capoue,fr  FRA,MF,Tottenham,26,1988,10.0,2,0,,22,,,,,,,,
82,Michael Carrick,eng  ENG,MF,Manchester Utd,33,1981,16.2,1,0,,8,,,,,,,,
83,Andy Carroll,eng  ENG,FW,West Ham,25,1989,11.4,2,0,,27,,,,,,,,
84,Tom Carroll,eng  ENG,MF,Swansea City,22,1992,7.7,1,0,,5,,,,,,,,
85,Lee Cattermole,eng  ENG,MF,Sunderland,26,1988,26.2,14,0,,55,,,,,,,,
86,Steven Caulker,eng  ENG,DF,QPR,22,1991,33.5,1,0,,15,,,,,,,,
87,Santi Cazorla,es  ESP,MF,Arsenal,29,1984,33.2,5,0,,20,,,,,,,,
88,Petr Čech,cz  CZE,GK,Chelsea,32,1982,6.7,0,0,,0,,,,,,,,
89,Nacer Chadli,be  BEL,"FW,MF",Tottenham,24,1989,26.7,3,0,,26,,,,,,,,
90,Nathaniel Chalobah,eng  ENG,"DF,MF",Burnley,19,1994,0.8,1,0,,4,,,,,,,,
91,Marouane Chamakh,ma  MAR,FW,Crystal Palace,30,1984,12.8,4,0,,41,,,,,,,,
92,Calum Chambers,eng  ENG,"DF,MF",Arsenal,19,1995,17.5,8,1,,25,,,,,,,,
93,James Chester,wal  WAL,DF,Hull City,25,1989,20.8,5,1,,27,,,,,,,,
94,Vlad Chiricheș,ro  ROU,DF,Tottenham,24,1989,7.9,3,1,,11,,,,,,,,
95,Andreas Christensen,dk  DEN,DF,Chelsea,18,1996,0.1,0,0,,1,,,,,,,,
96,Lee Chung-yong,kr  KOR,"FW,MF",Crystal Palace,26,1988,1.0,0,0,,2,,,,,,,,
97,Papiss Cissé,sn  SEN,FW,Newcastle Utd,29,1985,12.9,1,0,,18,,,,,,,,
98,Aly Cissokho,fr  FRA,DF,Aston Villa,26,1987,23.6,1,0,,20,,,,,,,,
99,Ciaran Clark,ie  IRL,"DF,MF",Aston Villa,24,1989,22.1,9,1,,21,,,,,,,,
100,Gaël Clichy,fr  FRA,DF,Manchester City,29,1985,22.9,1,0,,11,,,,,,,,
101,Nathaniel Clyne,eng  ENG,DF,Southampton,23,1991,35.0,4,0,,21,,,,,,,,
102,Sebastián Coates,uy  URU,DF,Sunderland,23,1990,9.1,1,0,,9,,,,,,,,
103,Jack Colback,eng  ENG,MF,Newcastle Utd,24,1989,34.8,12,0,,57,,,,,,,,
104,Carlton Cole,eng  ENG,FW,West Ham,30,1983,10.1,2,0,,26,,,,,,,,
105,Joe Cole,eng  ENG,MF,Aston Villa,32,1981,3.2,0,0,,4,,,,,,,,
106,Séamus Coleman,ie  IRL,"DF,MF",Everton,25,1988,34.1,5,0,,21,,,,,,,,
107,James Collins,wal  WAL,DF,West Ham,30,1983,20.9,6,1,,18,,,,,,,,
108,Fabricio Coloccini,ar  ARG,"DF,MF",Newcastle Utd,32,1982,31.5,3,1,,15,,,,,,,,
109,Brandon Comley,ms  MSR,MF,QPR,18,1995,0.1,0,0,,0,,,,,,,,
110,Francis Coquelin,fr  FRA,"DF,MF",Arsenal,23,1991,18.5,5,0,,30,,,,,,,,
111,Diego Costa,es  ESP,FW,Chelsea,25,1988,23.0,8,0,,33,,,,,,,,
112,Thibaut Courtois,be  BEL,GK,Chelsea,22,1992,31.3,1,0,,0,,,,,,,,
113,Philippe Coutinho,br  BRA,"FW,MF",Liverpool,22,1992,31.0,3,0,,26,,,,,,,,
114,Aaron Cresswell,eng  ENG,"DF,MF",West Ham,24,1989,38.0,5,0,,17,,,,,,,,
115,Peter Crouch,eng  ENG,FW,Stoke City,33,1981,18.7,4,0,,29,,,,,,,,
116,Juan Cuadrado,co  COL,"DF,FW",Chelsea,26,1988,3.5,2,0,,5,,,,,,,,
117,Scott Dann,eng  ENG,DF,Crystal Palace,27,1987,32.4,6,0,,28,,,,,,,,
118,Jason Davidson,au  AUS,"DF,MF",West Brom,23,1991,1.1,0,0,,1,,,,,,,,
119,Ben Davies,wal  WAL,"DF,MF",Tottenham,21,1993,9.9,3,0,,7,,,,,,,,
120,Curtis Davies,eng  ENG,DF,Hull City,29,1985,20.1,2,0,,14,,,,,,,,
121,Kelvin Davis,eng  ENG,GK,Southampton,37,1976,6.9,0,0,,0,,,,,,,,
122,Steven Davis,nir  NIR,MF,Southampton,29,1985,29.3,3,0,,17,,,,,,,,
123,Craig Dawson,eng  ENG,DF,West Brom,24,1990,28.8,6,0,,24,,,,,,,,
124,Michael Dawson,eng  ENG,DF,Hull City,30,1983,27.0,7,0,,22,,,,,,,,
125,Ritchie De Laet,be  BEL,DF,Leicester City,25,1988,20.9,3,0,,23,,,,,,,,
126,Mathieu Debuchy,fr  FRA,DF,Arsenal,29,1985,8.9,2,0,,15,,,,,,,,
127,Jermain Defoe,eng  ENG,FW,Sunderland,31,1982,16.1,1,0,,8,,,,,,,,
128,Damien Delaney,ie  IRL,DF,Crystal Palace,33,1981,27.0,7,1,,14,,,,,,,,
129,Fabian Delph,eng  ENG,"DF,MF",Aston Villa,24,1989,27.0,1,1,,15,,,,,,,,
130,Mousa Dembélé,be  BEL,MF,Tottenham,27,1987,12.7,1,0,,37,,,,,,,,
131,Guy Demel,ci  CIV,"DF,MF",West Ham,33,1981,2.9,0,0,,4,,,,,,,,
132,Martín Demichelis,ar  ARG,"DF,MF",Manchester City,33,1980,28.5,6,0,,33,,,,,,,,
133,Ángel Di María,ar  ARG,"FW,MF",Manchester Utd,26,1988,18.2,1,0,,5,,,,,,,,
134,Eric Dier,eng  ENG,"DF,MF",Tottenham,20,1994,25.5,4,0,,21,,,,,,,,
135,Sylvain Distin,fr  FRA,DF,Everton,36,1977,12.0,0,0,,3,,,,,,,,
136,Graham Dorrans,sco  SCO,"FW,MF",West Brom,27,1987,17.6,5,0,,22,,,,,,,,
137,Michael Doughty,wal  WAL,MF,QPR,21,1992,0.6,0,0,,1,,,,,,,,
138,Stewart Downing,eng  ENG,"FW,MF",West Ham,30,1984,36.8,3,0,,11,,,,,,,,
139,Kevin Doyle,ie  IRL,FW,Crystal Palace,30,1983,0.4,0,0,,2,,,,,,,,
140,Danny Drinkwater,eng  ENG,MF,Leicester City,24,1990,16.5,1,0,,31,,,,,,,,
141,Didier Drogba,ci  CIV,FW,Chelsea,36,1978,9.7,5,0,,13,,,,,,,,
142,Michael Duff,nir  NIR,DF,Burnley,36,1978,20.1,4,1,,19,,,,,,,,
143,Paul Dummett,wal  WAL,DF,Newcastle Utd,22,1991,23.4,4,0,,13,,,,,,,,
144,Richard Dunne,ie  IRL,DF,QPR,34,1979,20.8,7,0,,25,,,,,,,,
145,Nathan Dyer,eng  ENG,"FW,MF",Swansea City,26,1987,20.7,2,0,,21,,,,,,,,
146,Edin Džeko,ba  BIH,FW,Manchester City,28,1986,10.4,1,0,,13,,,,,,,,
147,Eljero Elia,nl  NED,"FW,MF",Southampton,27,1987,8.7,2,0,,17,,,,,,,,
148,Rob Elliot,ie  IRL,GK,Newcastle Utd,28,1986,2.5,0,0,,0,,,,,,,,
149,Ahmed Elmohamady,eg  EGY,"DF,MF",Hull City,26,1987,38.0,4,0,,38,,,,,,,,
150,Marvin Emnes,nl  NED,"FW,MF",Swansea City,26,1988,5.7,2,0,,11,,,,,,,,
151,José Enrique,es  ESP,DF,Liverpool,28,1986,2.3,0,0,,3,,,,,,,,
152,Christian Eriksen,dk  DEN,"FW,MF",Tottenham,22,1992,34.8,4,0,,16,,,,,,,,
153,Samuel Eto'o,cm  CMR,FW,Everton,33,1981,8.7,1,0,,6,,,,,,,,
154,Jonny Evans,nir  NIR,DF,Manchester Utd,26,1988,12.1,1,0,,7,,,,,,,,
155,Łukasz Fabiański,pl  POL,GK,Swansea City,29,1985,36.8,0,1,,0,,,,,,,,
156,Cesc Fàbregas,es  ESP,"FW,MF",Chelsea,27,1987,32.0,11,1,,30,,,,,,,,
157,Radamel Falcao,co  COL,FW,Manchester Utd,28,1986,14.3,2,0,,21,,,,,,,,
158,Alejandro Faurlín,ar  ARG,MF,QPR,27,1986,1.0,0,0,,1,,,,,,,,
159,Federico Fazio,ar  ARG,DF,Tottenham,27,1987,19.7,2,1,,15,,,,,,,,
160,Marouane Fellaini,be  BEL,MF,Manchester Utd,26,1987,20.3,5,1,,61,,,,,,,,
161,Leroy Fer,nl  NED,MF,QPR,24,1990,26.2,4,0,,32,,,,,,,,
162,Rio Ferdinand,eng  ENG,DF,QPR,35,1978,11.0,2,0,,4,,,,,,,,
163,Federico Fernández,ar  ARG,DF,Swansea City,25,1989,27.5,0,0,,19,,,,,,,,
164,Fernandinho,br  BRA,"DF,MF",Manchester City,29,1985,25.2,7,0,,61,,,,,,,,
165,Fernando,br  BRA,MF,Manchester City,27,1987,20.9,6,0,,31,,,,,,,,
166,Maynor Figueroa,hn  HON,DF,Hull City,31,1983,2.3,0,0,,2,,,,,,,,
167,Mathieu Flamini,fr  FRA,MF,Arsenal,30,1984,16.2,3,0,,21,,,,,,,,
168,Steven Fletcher,sco  SCO,FW,Sunderland,27,1987,19.8,4,0,,22,,,,,,,,
169,José Fonte,pt  POR,DF,Southampton,30,1983,37.0,5,0,,30,,,,,,,,
170,Fraser Forster,eng  ENG,GK,Southampton,26,1988,29.1,1,0,,0,,,,,,,,
171,Ben Foster,eng  ENG,GK,West Brom,31,1983,27.6,2,0,,0,,,,,,,,
172,Zeki Fryers,eng  ENG,DF,Crystal Palace,21,1992,0.0,0,0,,0,,,,,,,,
173,Jay Fulton,sco  SCO,MF,Swansea City,20,1994,1.3,0,0,,1,,,,,,,,
174,Darnell Furlong,eng  ENG,DF,QPR,18,1995,2.5,1,0,,4,,,,,,,,
175,Brendan Galloway,eng  ENG,DF,Everton,18,1996,1.9,1,0,,2,,,,,,,,
176,Cristian Gamboa,cr  CRC,"DF,MF",West Brom,24,1989,2.7,1,0,,1,,,,,,,,
177,Dominic Gape,eng  ENG,MF,Southampton,19,1994,0.0,0,0,,0,,,,,,,,
178,Luke Garbutt,eng  ENG,"DF,MF",Everton,21,1993,3.2,1,0,,1,,,,,,,,
179,Craig Gardner,eng  ENG,MF,West Brom,27,1986,29.8,10,0,,58,,,,,,,,
180,Florin Gardoș,ro  ROU,"DF,MF",Southampton,25,1988,6.4,1,0,,7,,,,,,,,
181,Dwight Gayle,eng  ENG,FW,Crystal Palace,23,1990,12.2,1,0,,18,,,,,,,,
182,Paulo Gazzaniga,ar  ARG,GK,Southampton,22,1992,2.0,0,0,,0,,,,,,,,
183,David de Gea,es  ESP,GK,Manchester Utd,23,1990,36.8,0,0,,0,,,,,,,,
184,Steven Gerrard,eng  ENG,MF,Liverpool,34,1980,24.8,7,1,,11,,,,,,,,
185,Emanuele Giaccherini,it  ITA,"FW,MF",Sunderland,29,1985,3.4,2,0,,4,,,,,,,,
186,Kieran Gibbs,eng  ENG,"DF,MF",Arsenal,24,1989,18.4,3,0,,17,,,,,,,,
187,Darron Gibson,ie  IRL,MF,Everton,26,1987,4.6,0,0,,4,,,,,,,,
188,Carles Gil,es  ESP,"FW,MF",Aston Villa,21,1992,4.0,1,0,,3,,,,,,,,
189,Olivier Giroud,fr  FRA,FW,Arsenal,27,1986,20.7,5,1,,38,,,,,,,,
190,Shay Given,ie  IRL,GK,Aston Villa,38,1976,3.0,1,0,,0,,,,,,,,
191,Jordi Gómez,es  ESP,MF,Sunderland,29,1985,21.6,7,0,,34,,,,,,,,
192,Bafétimbi Gomis,fr  FRA,FW,Swansea City,28,1985,18.3,0,0,,24,,,,,,,,
193,Yoan Gouffran,fr  FRA,"FW,MF",Newcastle Utd,28,1986,21.8,3,0,,21,,,,,,,,
194,Danny Graham,eng  ENG,FW,Sunderland,28,1985,7.0,0,0,,3,,,,,,,,
195,Jack Grealish,eng  ENG,"FW,MF",Aston Villa,18,1995,9.1,0,0,,6,,,,,,,,
196,Robert Green,eng  ENG,GK,QPR,34,1980,35.4,1,0,,0,,,,,,,,
197,Reece Grego-Cox,ie  IRL,"FW,MF",QPR,17,1996,1.6,0,0,,1,,,,,,,,
198,Matt Grimes,eng  ENG,MF,Swansea City,19,1995,0.5,0,0,,1,,,,,,,,
199,Adlène Guedioura,dz  ALG,MF,Crystal Palace,28,1985,1.4,1,0,,6,,,,,,,,
200,Jonás Gutiérrez,ar  ARG,MF,Newcastle Utd,31,1983,7.1,4,0,,9,,,,,,,,
201,Brad Guzan,us  USA,GK,Aston Villa,29,1984,34.0,2,0,,0,,,,,,,,
202,Massadio Haïdara,ml  MLI,"DF,MF",Newcastle Utd,21,1992,12.2,0,0,,12,,,,,,,,
203,Ben Hamer,eng  ENG,GK,Leicester City,26,1987,8.0,0,0,,0,,,,,,,,
204,Dean Hammond,eng  ENG,MF,Leicester City,31,1983,8.6,3,0,,20,,,,,,,,
205,Brede Hangeland,no  NOR,DF,Crystal Palace,33,1981,13.0,2,0,,8,,,,,,,,
206,Steve Harper,eng  ENG,GK,Hull City,39,1975,9.5,0,0,,0,,,,,,,,
207,Joe Hart,eng  ENG,GK,Manchester City,27,1987,36.0,1,0,,0,,,,,,,,
208,Eden Hazard,be  BEL,"FW,MF",Chelsea,23,1991,37.4,2,0,,13,,,,,,,,
209,Tom Heaton,eng  ENG,GK,Burnley,28,1986,38.0,1,0,,0,,,,,,,,
210,Jordan Henderson,eng  ENG,MF,Liverpool,24,1990,36.2,6,0,,31,,,,,,,,
211,Wayne Hennessey,wal  WAL,GK,Crystal Palace,27,1987,2.4,0,0,,0,,,,,,,,
212,Karl Henry,eng  ENG,"DF,MF",QPR,31,1982,27.8,8,0,,39,,,,,,,,
213,Rushian Hepburn-Murphy,eng  ENG,FW,Aston Villa,15,1998,0.1,0,0,,0,,,,,,,,
214,Abel Hernández,uy  URU,FW,Hull City,23,1990,14.6,2,0,,17,,,,,,,,
215,Javier Hernández,mx  MEX,FW,Manchester Utd,26,1988,0.5,0,0,,2,,,,,,,,
216,Ander Herrera,es  ESP,MF,Manchester Utd,24,1989,20.8,6,0,,30,,,,,,,,
217,Jake Hesketh,eng  ENG,"FW,MF",Southampton,18,1996,0.6,1,0,,1,,,,,,,,
218,Tony Hibbert,eng  ENG,DF,Everton,33,1981,3.7,0,0,,2,,,,,,,,
219,Clint Hill,eng  ENG,DF,QPR,35,1978,15.6,4,0,,22,,,,,,,,
220,Junior Hoilett,ca  CAN,"FW,MF",QPR,24,1990,9.8,2,0,,13,,,,,,,,
221,Lewis Holtby,de  GER,MF,Tottenham,23,1990,0.3,0,0,,1,,,,,,,,
222,Tim Howard,us  USA,GK,Everton,35,1979,31.5,3,0,,0,,,,,,,,
223,Tom Huddlestone,eng  ENG,MF,Hull City,27,1986,28.2,7,2,,40,,,,,,,,
224,Alan Hutton,sco  SCO,DF,Aston Villa,29,1984,26.9,8,0,,19,,,,,,,,
225,Jordon Ibe,eng  ENG,"FW,MF",Liverpool,18,1995,6.9,0,0,,3,,,,,,,,
226,Brown Ideye,ng  NGA,FW,West Brom,25,1988,14.5,2,0,,26,,,,,,,,
227,Tom Ince,eng  ENG,"FW,MF",Hull City,22,1992,3.3,0,0,,5,,,,,,,,
228,Danny Ings,eng  ENG,FW,Burnley,22,1992,33.6,6,0,,24,,,,,,,,
229,Stephen Ireland,ie  IRL,MF,Stoke City,27,1986,10.4,3,0,,18,,,,,,,,
230,Lloyd Isgrove,wal  WAL,MF,Southampton,21,1993,0.1,0,0,,0,,,,,,,,
231,Mauricio Isla,cl  CHI,"DF,MF",QPR,26,1988,23.7,4,0,,16,,,,,,,,
232,Branislav Ivanović,rs  SRB,DF,Chelsea,30,1984,38.0,11,1,,42,,,,,,,,
233,Jussi Jääskeläinen,fi  FIN,GK,West Ham,39,1975,0.3,0,0,,,,,,,,,,
234,Phil Jagielka,eng  ENG,"DF,MF",Everton,31,1982,36.5,1,0,,21,,,,,,,,
235,Eldin Jakupović,ch  SUI,GK,Hull City,29,1984,2.5,0,0,,0,,,,,,,,
236,Matty James,eng  ENG,MF,Leicester City,23,1991,21.1,2,1,,15,,,,,,,,
237,Daryl Janmaat,nl  NED,DF,Newcastle Utd,25,1989,36.1,8,1,,31,,,,,,,,
238,Adnan Januzaj,be  BEL,"FW,MF",Manchester Utd,19,1995,9.5,0,0,,13,,,,,,,,
239,Matt Jarvis,eng  ENG,MF,West Ham,28,1986,4.6,0,0,,0,,,,,,,,
240,Mile Jedinak,au  AUS,MF,Crystal Palace,29,1984,23.1,4,1,,44,,,,,,,,
241,Nikica Jelavić,hr  CRO,FW,Hull City,28,1985,20.1,3,0,,28,,,,,,,,
242,Carl Jenkinson,eng  ENG,DF,West Ham,22,1992,29.7,2,0,,14,,,,,,,,
243,Adam Johnson,eng  ENG,MF,Sunderland,27,1987,23.1,2,0,,15,,,,,,,,
244,Glen Johnson,eng  ENG,DF,Liverpool,29,1984,14.8,2,0,,8,,,,,,,,
245,Billy Jones,eng  ENG,DF,Sunderland,27,1987,13.9,7,0,,20,,,,,,,,
246,Brad Jones,au  AUS,GK,Liverpool,32,1982,2.2,0,0,,0,,,,,,,,
247,David Jones,eng  ENG,MF,Burnley,29,1984,35.6,0,0,,28,,,,,,,,
248,Phil Jones,eng  ENG,"DF,MF",Manchester Utd,22,1992,20.8,3,0,,26,,,,,,,,
249,Siem de Jong,nl  NED,"FW,MF",Newcastle Utd,25,1989,1.7,0,0,,1,,,,,,,,
250,Stevan Jovetić,me  MNE,"FW,MF",Manchester City,24,1989,8.7,0,0,,16,,,,,,,,
251,Lukas Jutkiewicz,eng  ENG,FW,Burnley,25,1989,10.9,1,0,,25,,,,,,,,
252,Younès Kaboul,fr  FRA,DF,Tottenham,28,1986,11.0,2,0,,10,,,,,,,,
253,Harry Kane,eng  ENG,FW,Tottenham,21,1993,28.7,4,0,,33,,,,,,,,
254,Martin Kelly,eng  ENG,"DF,MF",Crystal Palace,24,1990,27.8,2,0,,36,,,,,,,,
255,Michael Kightly,eng  ENG,"FW,MF",Burnley,28,1986,10.5,3,0,,17,,,,,,,,
256,Andy King,wal  WAL,MF,Leicester City,25,1988,15.3,1,0,,7,,,,,,,,
257,Anthony Knockaert,fr  FRA,"FW,MF",Leicester City,22,1991,3.7,0,0,,5,,,,,,,,
258,Aleksandar Kolarov,rs  SRB,DF,Manchester City,28,1985,16.5,4,0,,22,,,,,,,,
259,Vincent Kompany,be  BEL,DF,Manchester City,28,1986,22.6,7,0,,33,,,,,,,,
260,Paul Konchesky,eng  ENG,"DF,FW",Leicester City,33,1981,25.0,4,2,,20,,,,,,,,
261,Arouna Koné,ci  CIV,FW,Everton,30,1983,6.7,2,0,,10,,,,,,,,
262,Laurent Koscielny,fr  FRA,DF,Arsenal,28,1985,25.4,4,0,,19,,,,,,,,
263,Cheikhou Kouyaté,sn  SEN,"DF,MF",West Ham,24,1989,29.5,5,0,,49,,,,,,,,
264,Cole Kpekawa,eng  ENG,DF,QPR,18,1996,0.1,0,0,,0,,,,,,,,
265,Andrej Kramarić,hr  CRO,"FW,MF",Leicester City,23,1991,6.4,0,0,,29,,,,,,,,
