,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
26,Ben Amos,eng  ENG,GK,Manchester Utd,24,1990,0,,,,,0,,0,0,,3,,,,,,
27,Anderson,br  BRA,MF,Manchester Utd,26,1988,1,21,21,0.6,0.2,0,,0,1,,0,1.00,0,0,0,0.00,-0.66
28,Angeliño,es  ESP,"DF,MF",Manchester City,17,1997,0,,,,,0,,0,0,,1,,,,,,
29,Victor Anichebe,ng  NGA,FW,West Brom,26,1988,21,1035,49,30.3,11.5,11,,5,10,,3,0.95,11,15,-4,-0.35,-0.01
30,Vurnon Anita,cw  CUW,"DF,MF",Newcastle Utd,25,1989,19,1266,67,37.0,14.1,17,,5,2,,17,0.84,14,25,-11,-0.78,-0.28
31,Scott Arfield,ca  CAN,MF,Burnley,25,1988,37,3202,87,93.6,35.6,36,,33,1,,0,0.81,26,51,-25,-0.70,-0.70
32,Adam Armstrong,eng  ENG,"FW,MF",Newcastle Utd,17,1997,11,211,19,6.2,2.3,1,,0,10,,14,0.36,2,8,-6,-2.56,-2.08
33,Marko Arnautović,at  AUT,"FW,MF",Stoke City,25,1989,29,1918,66,56.1,21.3,20,,11,9,,6,1.17,23,26,-3,-0.14,-0.50
34,Mikel Arteta,es  ESP,MF,Arsenal,32,1982,7,447,64,13.1,5.0,6,,4,1,,1,2.00,8,3,+5,+1.01,+0.10
35,Oussama Assaidi,ma  MAR,"FW,MF",Stoke City,25,1988,9,231,26,6.8,2.6,1,,0,8,,6,1.11,1,4,-3,-1.17,-1.34
36,Christian Atsu,gh  GHA,"FW,MF",Everton,22,1992,5,113,23,3.3,1.3,1,,0,4,,8,1.60,4,5,-1,-0.80,-0.77
37,Charlie Austin,eng  ENG,FW,QPR,25,1989,35,3066,88,89.6,34.1,35,,31,0,,0,0.77,39,65,-26,-0.76,+0.51
38,César Azpilicueta,es  ESP,DF,Chelsea,24,1989,29,2482,86,72.6,27.6,29,,26,0,,6,2.45,53,20,+33,+1.20,+0.43
39,Leandro Bacuna,cw  CUW,"DF,MF",Aston Villa,22,1991,19,983,52,28.7,10.9,10,,4,9,,15,1.32,16,16,0,0.00,+0.96
40,Leighton Baines,eng  ENG,DF,Everton,29,1984,31,2773,89,81.1,30.8,31,,30,0,,0,1.29,44,41,+3,+0.10,+0.79
41,Chris Baird,nir  NIR,"DF,MF",West Brom,32,1982,19,806,42,23.6,9.0,9,,5,10,,15,1.26,5,17,-12,-1.34,-1.31
42,Lewis Baker,eng  ENG,MF,Chelsea,19,1995,0,,,,,0,,0,0,,1,,,,,,
43,Nathan Baker,eng  ENG,DF,Aston Villa,23,1991,11,764,69,22.3,8.5,8,,6,3,,5,0.73,4,13,-9,-1.06,-0.48
44,Dominic Ball,eng  ENG,"DF,MF",Tottenham,18,1995,0,,,,,0,,0,0,,1,,,,,,
45,Mario Balotelli,it  ITA,FW,Liverpool,23,1990,16,939,59,27.5,10.4,10,,4,6,,4,1.31,11,11,0,0.00,-0.15
46,Barry Bannan,sco  SCO,MF,Crystal Palace,24,1989,7,138,20,4.0,1.5,2,,0,5,,9,1.14,1,3,-2,-1.30,-1.25
47,Phil Bardsley,sco  SCO,DF,Stoke City,29,1985,25,2082,83,60.9,23.1,24,,23,1,,6,1.40,26,29,-3,-0.13,-0.53
48,Ross Barkley,eng  ENG,MF,Everton,20,1993,29,1961,68,57.3,21.8,22,,12,7,,2,1.31,23,22,+1,+0.05,+0.23
49,Ashley Barnes,eng  ENG,FW,Burnley,24,1989,35,2416,69,70.6,26.8,28,,11,7,,1,0.91,24,38,-14,-0.52,+0.46
50,Modou Barrow,gm  GAM,"FW,MF",Swansea City,21,1992,11,286,26,8.4,3.2,1,,0,10,,3,1.36,6,4,+2,+0.63,+0.77
51,Gareth Barry,eng  ENG,MF,Everton,33,1981,33,2823,86,82.5,31.4,33,,28,0,,0,1.03,35,40,-5,-0.16,-0.61
52,Kyle Bartley,eng  ENG,DF,Swansea City,23,1991,7,630,90,18.4,7.0,7,,7,0,,17,1.00,8,10,-2,-0.29,-0.25
53,Joey Barton,eng  ENG,MF,QPR,31,1982,28,2349,84,68.7,26.1,27,,24,1,,0,0.96,28,47,-19,-0.73,+0.28
54,Mitchell Beeney,eng  ENG,GK,Chelsea,18,1995,0,,,,,0,,0,0,,1,,,,,,
55,Asmir Begović,ba  BIH,GK,Stoke City,27,1987,35,3150,90,92.1,35.0,35,,35,0,,1,1.43,45,43,+2,+0.06,-0.28
56,Héctor Bellerín,es  ESP,"DF,MF",Arsenal,19,1995,20,1563,78,45.7,17.4,17,,15,3,,10,2.15,35,15,+20,+1.15,+0.42
57,Hatem Ben Arfa,fr  FRA,"FW,MF",Hull City,27,1987,8,383,48,11.2,4.3,5,,1,3,,1,0.38,3,5,-2,-0.47,0.00
58,Darren Bent,eng  ENG,FW,Aston Villa,30,1984,7,83,12,2.4,0.9,0,,0,7,,4,1.14,0,2,-2,-2.17,-1.52
59,Nabil Bentaleb,dz  ALG,MF,Tottenham,19,1994,26,2193,84,64.1,24.4,25,,22,1,,1,1.81,40,35,+5,+0.21,+0.21
60,Christian Benteke,be  BEL,FW,Aston Villa,23,1990,29,2379,82,69.6,26.4,26,,22,3,,0,0.86,24,42,-18,-0.68,+0.01
61,Saido Berahino,bi  BDI,"FW,MF",West Brom,20,1993,38,2924,77,85.5,32.5,32,,20,6,,0,1.16,35,46,-11,-0.34,+0.02
62,Ryan Bertrand,eng  ENG,"DF,MF",Southampton,24,1989,34,3054,90,89.3,33.9,34,,32,0,,0,1.62,52,30,+22,+0.65,+0.89
63,Muhamed Bešić,ba  BIH,"DF,MF",Everton,21,1992,23,1284,56,37.5,14.3,15,,6,8,,14,1.22,9,16,-7,-0.49,-0.70
64,Mame Biram Diouf,sn  SEN,"FW,MF",Stoke City,26,1987,34,2433,72,71.1,27.0,28,,17,6,,1,1.41,39,32,+7,+0.26,+0.62
65,Tyler Blackett,eng  ENG,DF,Manchester Utd,20,1994,11,654,59,19.1,7.3,6,,5,5,,11,1.18,12,11,+1,+0.14,-0.64
66,Jamal Blackman,eng  ENG,GK,Chelsea,20,1993,0,,,,,0,,0,0,,1,,,,,,
67,Sebastián Blanco,ar  ARG,"FW,MF",West Brom,26,1988,3,39,13,1.1,0.4,0,,0,3,,3,0.33,1,0,+1,+2.31,+2.68
68,Daley Blind,nl  NED,"DF,MF",Manchester Utd,24,1990,25,2169,87,63.4,24.1,25,,22,0,,0,1.88,41,27,+14,+0.58,-0.21
69,Hiram Boateng,eng  ENG,MF,Crystal Palace,18,1996,0,,,,,0,,0,0,,3,,,,,,
70,Jeremie Boga,ci  CIV,"FW,MF",Chelsea,17,1997,0,,,,,0,,0,0,,1,,,,,,
71,Yannick Bolasie,cd  COD,"FW,MF",Crystal Palace,25,1989,34,2769,81,81.0,30.8,31,,19,3,,0,1.15,38,42,-4,-0.13,-0.13
72,Fabio Borini,it  ITA,"FW,MF",Liverpool,23,1991,12,397,33,11.6,4.4,3,,0,9,,4,1.25,4,7,-3,-0.68,-0.89
73,Dedryck Boyata,be  BEL,DF,Manchester City,23,1990,2,92,46,2.7,1.0,1,,1,1,,12,3.00,4,1,+3,+2.93,+1.80
74,Robbie Brady,ie  IRL,"DF,FW",Hull City,22,1992,27,1759,65,51.4,19.5,17,,11,10,,6,0.89,14,23,-9,-0.46,+0.03
75,Cameron Brannagan,eng  ENG,MF,Liverpool,18,1996,0,,,,,0,,0,0,,3,,,,,,
76,Liam Bridcutt,sco  SCO,"DF,MF",Sunderland,25,1989,18,912,51,26.7,10.1,10,,7,8,,16,1.28,10,15,-5,-0.49,+0.12
77,Leon Britton,eng  ENG,MF,Swansea City,31,1982,9,534,59,15.6,5.9,7,,2,2,,11,0.89,6,10,-4,-0.67,-0.71
78,Izzy Brown,eng  ENG,"FW,MF",Chelsea,17,1997,1,12,12,0.4,0.1,0,,0,1,,2,0.00,0,0,0,0.00,-1.08
79,Wes Brown,eng  ENG,DF,Sunderland,34,1979,25,1993,80,58.3,22.1,23,,19,2,,4,0.84,15,25,-10,-0.45,+0.31
80,Tyias Browning,cn  CHN,DF,Everton,20,1994,2,31,16,0.9,0.3,0,,0,2,,4,0.50,1,0,+1,+2.90,+2.98
81,Alex Bruce,nir  NIR,DF,Hull City,29,1984,22,1449,66,42.4,16.1,17,,12,5,,11,1.32,14,17,-3,-0.19,+0.50
82,Chris Brunt,nir  NIR,"DF,MF",West Brom,29,1984,34,2894,85,84.6,32.2,33,,28,1,,0,1.18,35,40,-5,-0.16,+1.21
83,Will Buckley,eng  ENG,"FW,MF",Sunderland,24,1989,22,876,40,25.6,9.7,9,,4,13,,8,0.91,11,22,-11,-1.13,-0.74
84,Reece Burke,eng  ENG,DF,West Ham,17,1996,5,415,83,12.1,4.6,4,,3,1,,5,0.80,2,4,-2,-0.43,-0.40
85,Jack Butland,eng  ENG,GK,Stoke City,21,1993,3,270,90,7.9,3.0,3,,3,0,,23,1.33,3,2,+1,+0.33,+0.28
86,Willy Caballero,ar  ARG,GK,Manchester City,32,1981,2,180,90,5.3,2.0,2,,2,0,,36,3.00,7,4,+3,+1.50,+0.33
87,Rémy Cabella,fr  FRA,"FW,MF",Newcastle Utd,24,1990,31,1943,63,56.8,21.6,21,,11,10,,4,1.00,21,34,-13,-0.60,+0.01
88,Cabral,ch  SUI,MF,Sunderland,25,1988,0,,,,,0,,0,0,,3,,,,,,
89,Gary Cahill,eng  ENG,DF,Chelsea,28,1985,36,2986,83,87.3,33.2,33,,32,3,,2,2.31,66,30,+36,+1.09,+0.05
90,Riccardo Calder,eng  ENG,MF,Aston Villa,18,1996,0,,,,,0,,0,0,,2,,,,,,
91,Esteban Cambiasso,ar  ARG,MF,Leicester City,33,1980,31,2415,78,70.6,26.8,27,,17,4,,2,1.13,33,37,-4,-0.15,+0.30
92,Geoff Cameron,us  USA,"DF,MF",Stoke City,29,1985,27,2138,79,62.5,23.8,21,,19,6,,3,1.37,33,30,+3,+0.13,+0.13
93,Fraizer Campbell,eng  ENG,FW,Crystal Palace,26,1987,20,1172,59,34.3,13.0,13,,3,7,,9,0.90,13,24,-11,-0.84,-1.12
94,Joel Campbell,cr  CRC,"FW,MF",Arsenal,22,1992,4,41,10,1.2,0.5,0,,0,4,,10,0.75,3,1,+2,+4.39,+3.51
95,Emre Can,de  GER,"DF,MF",Liverpool,20,1994,27,2065,76,60.4,22.9,23,,18,4,,7,1.74,32,26,+6,+0.26,+0.39
96,Étienne Capoue,fr  FRA,MF,Tottenham,26,1988,12,897,75,26.2,10.0,11,,6,1,,1,1.17,11,15,-4,-0.40,-0.72
97,Michael Carrick,eng  ENG,MF,Manchester Utd,33,1981,18,1457,81,42.6,16.2,16,,14,2,,3,2.33,32,11,+21,+1.30,+1.11
98,Andy Carroll,eng  ENG,FW,West Ham,25,1989,14,1024,73,29.9,11.4,12,,8,2,,0,1.43,16,11,+5,+0.44,+0.74
99,Tom Carroll,eng  ENG,MF,Swansea City,22,1992,13,692,53,20.2,7.7,8,,3,5,,10,2.00,7,10,-3,-0.39,-0.39
100,Lee Cattermole,eng  ENG,MF,Sunderland,26,1988,28,2357,84,68.9,26.2,26,,23,2,,1,1.18,20,35,-15,-0.57,+0.02
101,Steven Caulker,eng  ENG,DF,QPR,22,1991,35,3015,86,88.2,33.5,34,,32,1,,1,0.86,36,61,-25,-0.75,+0.59
102,Santi Cazorla,es  ESP,MF,Arsenal,29,1984,37,2990,81,87.4,33.2,33,,28,4,,1,2.00,67,30,+37,+1.11,+1.53
103,Cristian Ceballos,es  ESP,"FW,MF",Tottenham,21,1992,0,,,,,0,,0,0,,1,,,,,,
104,Petr Čech,cz  CZE,GK,Chelsea,32,1982,7,607,87,17.7,6.7,6,,6,1,,29,3.00,18,2,+16,+2.37,+1.57
105,Nacer Chadli,be  BEL,"FW,MF",Tottenham,24,1989,35,2406,69,70.4,26.7,28,,12,7,,1,1.57,45,40,+5,+0.19,+0.19
106,Nathaniel Chalobah,eng  ENG,"DF,MF",Burnley,19,1994,4,69,17,2.0,0.8,0,,1,4,,4,0.00,0,5,-5,-6.52,-5.98
107,Marouane Chamakh,ma  MAR,FW,Crystal Palace,30,1984,18,1149,64,33.6,12.8,15,,5,3,,1,1.00,15,17,-2,-0.16,-0.08
108,Calum Chambers,eng  ENG,"DF,MF",Arsenal,19,1995,23,1573,68,46.0,17.5,17,,14,6,,3,1.91,28,20,+8,+0.46,-0.86
109,James Chester,wal  WAL,DF,Hull City,25,1989,23,1872,81,54.7,20.8,23,,18,0,,5,1.04,15,20,-5,-0.24,+0.52
110,Vlad Chiricheș,ro  ROU,DF,Tottenham,24,1989,10,708,71,20.7,7.9,8,,5,2,,10,1.00,6,10,-4,-0.51,-0.81
111,Andreas Christensen,dk  DEN,DF,Chelsea,18,1996,1,13,13,0.4,0.1,0,,0,1,,2,3.00,1,0,+1,+6.92,+5.87
112,Lee Chung-yong,kr  KOR,"FW,MF",Crystal Palace,26,1988,3,92,31,2.7,1.0,1,,0,2,,2,1.00,1,2,-1,-0.98,-0.90
113,Papiss Cissé,sn  SEN,FW,Newcastle Utd,29,1985,22,1158,53,33.9,12.9,11,,6,11,,1,1.36,18,16,+2,+0.16,+1.15
114,Aly Cissokho,fr  FRA,DF,Aston Villa,26,1987,25,2128,85,62.2,23.6,24,,18,1,,2,0.88,12,31,-19,-0.80,-0.32
115,Ciaran Clark,ie  IRL,"DF,MF",Aston Villa,24,1989,25,1991,80,58.2,22.1,22,,17,3,,4,0.88,18,34,-16,-0.72,-0.09
116,Gaël Clichy,fr  FRA,DF,Manchester City,29,1985,23,2057,89,60.1,22.9,23,,22,0,,8,1.91,44,27,+17,+0.74,-1.11
117,Nathaniel Clyne,eng  ENG,DF,Southampton,23,1991,35,3146,90,92.0,35.0,35,,34,0,,1,1.51,49,32,+17,+0.49,-0.83
118,Sebastián Coates,uy  URU,DF,Sunderland,23,1990,9,823,91,24.1,9.1,8,,8,1,,14,1.20,9,12,-3,-0.33,+0.33
119,Jack Colback,eng  ENG,MF,Newcastle Utd,24,1989,35,3128,89,91.5,34.8,35,,34,0,,0,1.00,37,61,-24,-0.69,-1.00
120,Carlton Cole,eng  ENG,FW,West Ham,30,1983,23,912,40,26.7,10.1,8,,1,15,,12,1.09,9,16,-7,-0.69,-0.83
121,Joe Cole,eng  ENG,MF,Aston Villa,32,1981,12,284,24,8.3,3.2,3,,0,9,,8,1.00,3,6,-3,-0.95,-0.29
122,Séamus Coleman,ie  IRL,"DF,MF",Everton,25,1988,35,3066,88,89.6,34.1,34,,34,1,,0,1.31,42,43,-1,-0.03,+0.22
123,James Collins,wal  WAL,DF,West Ham,30,1983,27,1882,70,55.0,20.9,21,,17,6,,5,1.37,18,22,-4,-0.19,-0.25
124,Fabricio Coloccini,ar  ARG,"DF,MF",Newcastle Utd,32,1982,32,2836,89,82.9,31.5,32,,30,0,,0,1.09,37,55,-18,-0.57,+0.20
125,Brandon Comley,ms  MSR,MF,QPR,18,1995,1,11,11,0.3,0.1,0,,0,1,,4,0.00,0,1,-1,-8.18,-7.39
126,Francis Coquelin,fr  FRA,"DF,MF",Arsenal,23,1991,22,1661,76,48.6,18.5,19,,14,3,,6,2.32,40,14,+26,+1.41,+0.95
127,David Cornell,wal  WAL,GK,Swansea City,23,1991,0,,,,,0,,0,0,,1,,,,,,
128,Diego Costa,es  ESP,FW,Chelsea,25,1988,26,2068,80,60.5,23.0,24,,8,2,,0,2.27,51,23,+28,+1.22,+0.35
129,Thibaut Courtois,be  BEL,GK,Chelsea,22,1992,32,2813,88,82.3,31.3,32,,31,0,,5,2.16,55,30,+25,+0.80,-1.57
130,Philippe Coutinho,br  BRA,"FW,MF",Liverpool,22,1992,35,2792,80,81.6,31.0,32,,22,3,,2,1.60,43,43,0,0.00,-0.57
131,Aaron Cresswell,eng  ENG,"DF,MF",West Ham,24,1989,38,3420,90,100.0,38.0,38,,38,0,,0,1.24,44,47,-3,-0.08,
132,Peter Crouch,eng  ENG,FW,Stoke City,33,1981,33,1685,51,49.3,18.7,17,,12,16,,4,1.30,22,23,-1,-0.05,-0.26
133,Juan Cuadrado,co  COL,"DF,FW",Chelsea,26,1988,12,315,26,9.2,3.5,4,,0,8,,3,2.08,4,1,+3,+0.86,-0.24
134,Josh Cullen,ie  IRL,"DF,MF",West Ham,18,1996,0,,,,,0,,0,0,,2,,,,,,
135,Luke Daniels,eng  ENG,GK,West Brom,26,1988,0,,,,,0,,0,0,,2,,,,,,
136,Scott Dann,eng  ENG,DF,Crystal Palace,27,1987,34,2920,86,85.4,32.4,34,,31,0,,0,1.35,41,40,+1,+0.03,+0.93
137,Jason Davidson,au  AUS,"DF,MF",West Brom,23,1991,2,102,51,3.0,1.1,1,,0,1,,2,0.50,0,3,-3,-2.65,-2.38
138,Ben Davies,wal  WAL,"DF,MF",Tottenham,21,1993,14,895,64,26.2,9.9,9,,8,5,,13,2.00,14,12,+2,+0.20,+0.09
139,Curtis Davies,eng  ENG,DF,Hull City,29,1985,21,1812,86,53.0,20.1,21,,18,0,,9,0.81,18,32,-14,-0.70,-0.47
140,Kelvin Davis,eng  ENG,GK,Southampton,37,1976,7,617,88,18.0,6.9,6,,6,1,,31,1.00,8,9,-1,-0.15,-0.85
141,Steven Davis,nir  NIR,MF,Southampton,29,1985,35,2637,75,77.1,29.3,32,,16,3,,1,1.60,44,24,+20,+0.68,+0.57
142,Craig Dawson,eng  ENG,DF,West Brom,24,1990,29,2590,89,75.7,28.8,29,,28,0,,8,1.21,31,38,-7,-0.24,+0.41
143,Ritchie De Laet,be  BEL,DF,Leicester City,25,1988,26,1883,72,55.1,20.9,20,,15,6,,7,1.27,27,38,-11,-0.53,-0.64
144,Mathieu Debuchy,fr  FRA,DF,Arsenal,29,1985,10,805,81,23.5,8.9,10,,7,0,,1,1.90,18,12,+6,+0.67,-0.33
145,Jermain Defoe,eng  ENG,FW,Sunderland,31,1982,17,1451,85,42.4,16.1,17,,11,0,,0,1.06,13,20,-7,-0.43,+0.25
146,Damien Delaney,ie  IRL,DF,Crystal Palace,33,1981,29,2434,84,71.2,27.0,28,,26,1,,5,1.31,34,37,-3,-0.11,-0.02
147,Fabian Delph,eng  ENG,"DF,MF",Aston Villa,24,1989,28,2434,87,71.2,27.0,27,,26,1,,0,1.00,25,46,-21,-0.78,-0.32
148,Mousa Dembélé,be  BEL,MF,Tottenham,27,1987,26,1146,44,33.5,12.7,10,,2,16,,4,1.77,21,22,-1,-0.08,-0.32
149,Guy Demel,ci  CIV,"DF,MF",West Ham,33,1981,6,258,43,7.5,2.9,3,,0,3,,11,0.67,5,7,-2,-0.70,-0.67
150,Martín Demichelis,ar  ARG,"DF,MF",Manchester City,33,1980,31,2562,83,74.9,28.5,28,,28,3,,7,2.13,61,30,+31,+1.09,-0.38
151,Ángel Di María,ar  ARG,"FW,MF",Manchester Utd,26,1988,27,1639,61,47.9,18.2,20,,7,7,,1,1.78,28,20,+8,+0.44,-0.42
152,Abou Diaby,fr  FRA,MF,Arsenal,28,1986,0,,,,,0,,0,0,,2,,,,,,
153,Eric Dier,eng  ENG,"DF,MF",Tottenham,20,1994,28,2293,82,67.0,25.5,25,,24,3,,4,1.61,35,37,-2,-0.08,-0.64
154,Sylvain Distin,fr  FRA,DF,Everton,36,1977,13,1080,83,31.6,12.0,12,,11,1,,3,0.77,19,26,-7,-0.58,-0.78
155,Graham Dorrans,sco  SCO,"FW,MF",West Brom,27,1987,21,1587,76,46.4,17.6,19,,10,2,,1,0.90,16,24,-8,-0.45,-0.21
156,Michael Doughty,wal  WAL,MF,QPR,21,1992,3,54,18,1.6,0.6,0,,0,3,,3,1.33,1,2,-1,-1.67,-0.86
157,Stewart Downing,eng  ENG,"FW,MF",West Ham,30,1984,37,3312,90,96.8,36.8,37,,35,0,,0,1.27,43,45,-2,-0.05,+0.78
158,Kevin Doyle,ie  IRL,FW,Crystal Palace,30,1983,3,36,12,1.1,0.4,0,,0,3,,7,1.33,0,0,0,0.00,+0.11
159,Danny Drinkwater,eng  ENG,MF,Leicester City,24,1990,23,1488,65,43.5,16.5,16,,10,7,,13,1.13,16,27,-11,-0.67,-0.76
160,Didier Drogba,ci  CIV,FW,Chelsea,36,1978,28,869,31,25.4,9.7,8,,5,20,,5,2.39,15,5,+10,+1.04,-0.06
161,Michael Duff,nir  NIR,DF,Burnley,36,1978,21,1808,86,52.9,20.1,21,,19,0,,9,0.86,10,25,-15,-0.75,-0.19
162,Paul Dummett,wal  WAL,DF,Newcastle Utd,22,1991,25,2107,84,61.6,23.4,24,,21,1,,2,1.24,26,34,-8,-0.34,+0.69
163,Cameron Dummigan,nir  NIR,DF,Burnley,18,1996,0,,,,,0,,0,0,,1,,,,,,
164,Richard Dunne,ie  IRL,DF,QPR,34,1979,23,1870,81,54.7,20.8,22,,18,1,,4,0.70,20,39,-19,-0.91,-0.22
165,Nathan Dyer,eng  ENG,"FW,MF",Swansea City,26,1987,32,1862,58,54.4,20.7,23,,8,9,,1,1.44,26,28,-2,-0.10,-0.04
166,Edin Džeko,ba  BIH,FW,Manchester City,28,1986,22,932,42,27.3,10.4,11,,2,11,,7,1.73,16,9,+7,+0.68,-0.70
167,Eljero Elia,nl  NED,"FW,MF",Southampton,27,1987,16,787,49,23.0,8.7,9,,1,7,,1,1.25,3,8,-5,-0.57,-1.46
168,Rob Elliot,ie  IRL,GK,Newcastle Utd,28,1986,3,225,75,6.6,2.5,3,,2,0,,16,1.33,1,2,-1,-0.40,+0.22
169,Ahmed Elmohamady,eg  EGY,"DF,MF",Hull City,26,1987,38,3419,90,100.0,38.0,38,,37,0,,0,0.92,33,51,-18,-0.47,-0.47
170,Marvin Emnes,nl  NED,"FW,MF",Swansea City,26,1988,17,514,30,15.0,5.7,3,,1,14,,11,1.29,5,9,-4,-0.70,-0.73
171,José Enrique,es  ESP,DF,Liverpool,28,1986,4,205,51,6.0,2.3,2,,2,2,,6,3.00,5,2,+3,+1.32,+1.29
172,Christian Eriksen,dk  DEN,"FW,MF",Tottenham,22,1992,38,3131,82,91.5,34.8,37,,26,1,,0,1.68,54,49,+5,+0.14,+0.14
173,Samuel Eto'o,cm  CMR,FW,Everton,33,1981,14,787,56,23.0,8.7,8,,7,6,,4,1.07,12,18,-6,-0.69,-0.82
174,Jonny Evans,nir  NIR,DF,Manchester Utd,26,1988,14,1090,78,31.9,12.1,12,,9,2,,1,2.21,22,7,+15,+1.24,+0.85
175,Łukasz Fabiański,pl  POL,GK,Swansea City,29,1985,37,3308,89,96.7,36.8,37,,36,0,,0,1.51,45,46,-1,-0.03,+1.58
176,Cesc Fàbregas,es  ESP,"FW,MF",Chelsea,27,1987,34,2883,85,84.3,32.0,33,,24,1,,0,2.26,63,26,+37,+1.16,+0.48
177,Radamel Falcao,co  COL,FW,Manchester Utd,28,1986,26,1287,50,37.6,14.3,14,,4,12,,3,2.08,25,15,+10,+0.70,+0.07
178,Alejandro Faurlín,ar  ARG,MF,QPR,27,1986,2,91,46,2.7,1.0,1,,0,1,,0,0.00,0,1,-1,-0.99,-0.18
179,Federico Fazio,ar  ARG,DF,Tottenham,27,1987,20,1777,89,52.0,19.7,20,,19,0,,8,1.65,29,25,+4,+0.20,+0.15
