,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
10,Marc-Aurèle Caillard,fr  FRA,GK,Guingamp,24,1994,21,21,1890,21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0
11,Yoan Cardinale,fr  FRA,GK,Nice,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0
12,Benoît Costil,fr  FRA,GK,Bordeaux,31,1987,37,37,3330,37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3
13,Abdoulaye Diallo,sn  SEN,GK,Rennes,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0
14,Maxime Dupé,fr  FRA,GK,Nantes,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3
15,Mauro Goicoechea,uy  URU,GK,Toulouse,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0
16,Mathieu Gorgelin,fr  FRA,GK,Lyon,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
17,Régis Gurtner,fr  FRA,GK,Amiens,31,1986,38,38,3420,38.0,54,1.42,155,109,69.0,9,11,18,11,28.9,9,6,2,1,25.0
18,Karl-Johan Johnsson,se  SWE,GK,Guingamp,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3
19,Eiji Kawashima,jp  JPN,GK,Strasbourg,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
20,Tomáš Koubek,cz  CZE,GK,Rennes,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0
21,Benjamin Lecomte,fr  FRA,GK,Montpellier,27,1991,37,37,3330,37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0
22,Anthony Lopes,pt  POR,GK,Lyon,27,1990,34,34,3060,34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0
23,Mike Maignan,fr  FRA,GK,Lille,22,1995,38,38,3420,38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0
24,Steve Mandanda,fr  FRA,GK,Marseille,33,1985,31,31,2736,30.4,41,1.35,108,74,67.6,14,5,12,9,29.0,7,6,1,0,14.3
25,Edouard Mendy,sn  SEN,GK,Reims,26,1992,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0
26,Jessy Moulin,fr  FRA,GK,Saint-Étienne,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
27,Alexandre Olliero,fr  FRA,GK,Nantes,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
28,Yohann Pelé,fr  FRA,GK,Marseille,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0
29,Gaëtan Poussin,fr  FRA,GK,Bordeaux,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
30,Baptiste Reynet,fr  FRA,GK,Toulouse,27,1990,31,31,2704,30.0,46,1.53,140,99,70.0,6,11,14,6,19.4,5,4,1,0,20.0
31,Stéphane Ruffier,fr  FRA,GK,Saint-Étienne,31,1986,37,37,3330,37.0,40,1.08,147,114,77.6,19,8,10,13,35.1,9,7,1,1,12.5
32,Brice Samba,cg  CGO,GK,Caen,24,1994,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0
33,Matz Sels,be  BEL,GK,Strasbourg,26,1992,37,37,3330,37.0,48,1.30,151,111,72.8,10,16,11,8,21.6,9,7,2,0,22.2
34,Danijel Subašić,hr  CRO,GK,Monaco,33,1984,14,14,1138,12.6,12,0.95,36,26,72.2,4,5,5,4,28.6,3,2,1,0,33.3
35,Seydou Sy,sn  SEN,GK,Monaco,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,
36,Ciprian Tătărușanu,ro  ROU,GK,Nantes,32,1986,27,27,2391,26.6,30,1.13,95,67,69.5,8,6,13,7,25.9,4,1,3,0,75.0
