,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
27,2021-02-06,20:30,Segunda División,Matchweek 24,Sat,Away,D,1,1,Fuenlabrada,49.0,,José Corpas,4-2-3-1,Gorka Sagues,Match Report,
28,2021-02-14,16:00,Segunda División,Matchweek 25,Sun,Home,W,3,1,Las Palmas,45.0,,Iván Balliu,4-4-2,Jon González,Match Report,
29,2021-02-17,19:00,Segunda División,Matchweek 21,Wed,Away,L,1,2,Leganés,53.0,,Fernando,4-2-3-1,Javier Villanueva,Match Report,
30,2021-02-21,16:00,Segunda División,Matchweek 26,Sun,Away,L,0,2,Mallorca,56.0,,José Corpas,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
31,2021-02-27,18:15,Segunda División,Matchweek 27,Sat,Home,W,4,1,Lugo,72.0,,Iván Balliu,4-2-3-1,Dámaso Arcediano,Match Report,
32,2021-03-07,21:00,Segunda División,Matchweek 28,Sun,Away,W,1,0,Girona,53.0,,José Corpas,4-2-3-1,Javier Villanueva,Match Report,
33,2021-03-15,19:00,Segunda División,Matchweek 29,Mon,Home,D,0,0,Alcorcón,61.0,,José Corpas,4-2-3-1,Oliver De La Fuente,Match Report,
34,2021-03-21,14:00,Segunda División,Matchweek 30,Sun,Away,L,1,2,Ponferradina,66.0,,José Corpas,4-2-3-1,Iosu Galech,Match Report,
35,2021-03-27,18:15,Segunda División,Matchweek 31,Sat,Home,D,1,1,Leganés,70.0,,Iván Balliu,4-2-3-1,José López,Match Report,
36,2021-03-30,19:30,Segunda División,Matchweek 32,Tue,Away,W,3,0,Málaga,55.0,,Iván Balliu,4-2-3-1,Rubén Ávalos,Match Report,
37,2021-04-02,21:00,Segunda División,Matchweek 33,Fri,Home,L,0,1,Rayo Vallecano,58.0,,Fernando,4-2-3-1,Alejandro Muñíz,Match Report,
38,2021-04-11,16:00,Segunda División,Matchweek 34,Sun,Away,L,1,2,Zaragoza,65.0,,Iván Balliu,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
39,2021-04-19,21:00,Segunda División,Matchweek 35,Mon,Home,D,1,1,Espanyol,54.0,,Iván Balliu,4-2-3-1,David Gálvez,Match Report,
40,2021-04-25,16:00,Segunda División,Matchweek 36,Sun,Away,D,1,1,CD Mirandés,54.0,,José Corpas,3-4-3,Francisco Hernández,Match Report,
41,2021-05-01,18:15,Segunda División,Matchweek 37,Sat,Home,D,2,2,Oviedo,52.0,,José Corpas,4-1-4-1,Saúl Ais,Match Report,
42,2021-05-07,20:00,Segunda División,Matchweek 38,Fri,Away,W,1,0,Tenerife,62.0,,José Corpas,4-2-3-1,Álvaro Moreno,Match Report,
43,2021-05-15,21:00,Segunda División,Matchweek 39,Sat,Home,D,1,1,Albacete,74.0,,Iván Balliu,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
44,2021-05-18,19:00,Segunda División,Matchweek 40,Tue,Away,L,2,3,Cartagena,63.0,2643.0,Nikola Maraš,4-2-3-1,Javier Villanueva,Match Report,
45,2021-05-24,21:00,Segunda División,Matchweek 41,Mon,Home,W,2,1,UD Logroñés,54.0,,César de la Hoz,4-2-3-1,Francisco Hernández,Match Report,
46,2021-05-30,21:00,Segunda División,Matchweek 42,Sun,Away,W,2,0,Sporting Gijón,55.0,4450.0,Fernando,4-2-3-1,Eduardo Prieto,Match Report,
47,2021-06-02,21:00,Segunda División,Semi-finals,Wed,Away,L,0,3,Girona,62.0,,César de la Hoz,4-2-3-1,Alejandro Muñíz,Match Report,Leg 1 of 2
48,2021-06-05,21:00,Segunda División,Semi-finals,Sat,Home,D,0,0,Girona,68.0,,Fernando,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,Leg 2 of 2; Girona won
