,id,minute,teamId,playerId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,eventId,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType.value,cardType.displayName,isGoal,venue,opponent
20,2071653165.0,0,130,115868.0,63.9,22.4,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.3'}]","[90, 118, 116, 29, 34, 37, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,15.0,37.0,59.5,6.1,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
21,1696332711.0,0,130,110290.0,59.5,5.9,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.2'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,16.0,38.0,58.4,13.4,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
22,2134980852.0,0,130,279423.0,67.2,11.7,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,1,FirstHalf,1,Pass,1,Successful,17.0,44.0,75.4,3.1,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
23,2008313622.0,0,130,110290.0,76.5,2.8,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.7'}]","[90, 118, 116, 29, 204, 34, 36, 216, 217]",True,1,FirstHalf,1,Pass,1,Successful,18.0,46.0,69.0,7.9,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
24,1998089921.0,0,130,279423.0,67.1,8.5,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.1'}]","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,1,FirstHalf,1,Pass,1,Successful,19.0,48.0,73.6,26.1,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
25,1615292380.0,0,130,22300.0,73.6,26.1,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '79.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}]","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,1,FirstHalf,1,Pass,1,Successful,20.0,50.0,79.2,23.6,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
26,1851890037.0,0,758,336064.0,19.2,42.1,0,[],[61],False,1,FirstHalf,55,OffsideProvoked,1,Successful,9.0,52.0,,,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
27,1450772497.0,0,130,115868.0,79.2,26.8,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.9'}, {'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '29474'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 216]",True,1,FirstHalf,2,OffsidePass,1,Successful,21.0,52.0,81.9,23.7,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
28,2075663445.0,1,758,68854.0,20.4,69.9,1,"[{'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}]","[90, 119, 127, 132, 35, 37, 215, 217]",True,1,FirstHalf,1,Pass,0,Unsuccessful,10.0,20.0,63.9,26.1,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
29,1911677843.0,1,758,288873.0,63.0,23.8,1,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '23'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[197, 198]",False,1,FirstHalf,44,Aerial,0,Unsuccessful,11.0,25.0,,,,,,,,,,,,,Hitachi Capital Mobility Stadion,FC Groningen
