,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
50,Iván Balliu,al  ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35.0,1,2,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,1.1,1.1,3.9,5.0,0.03,0.11,0.14,0.03,0.14
51,Barbero,es  ESP,"FW,MF",Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
52,Barcia,es  ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
53,Enis Bardhi,mk  MKD,"MF,FW",Levante,26,1995,30,17,1701,18.9,3,3,1,2,2,3,0,0.16,0.16,0.32,0.05,0.21,4.2,2.6,4.4,7.0,0.22,0.24,0.46,0.14,0.37
54,Keidi Bare,al  ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,0.9,1.3,0.02,0.05,0.08,0.02,0.08
55,Kike Barja,es  ESP,"MF,FW",Osasuna,24,1997,21,9,865,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.4,1.4,0.5,1.9,0.14,0.05,0.19,0.14,0.19
56,Antonio Barragán,es  ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
57,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,19,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.8,0.8,0.9,1.7,0.13,0.15,0.28,0.13,0.28
58,Marc Bartra,es  ESP,DF,Betis,30,1991,23,23,1993,22.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.1,1.8,0.07,0.01,0.08,0.07,0.08
59,Álvaro Bastida,es  ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
60,Rodrigo Battaglia,ar  ARG,MF,Mallorca,30,1991,26,12,1179,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.04,0.01,0.04,0.04,0.04
61,Jon Bautista,es  ESP,MF,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.10,0.00,0.10,0.10,0.10
62,Bebé,cv  CPV,FW,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,2.1,2.1,1.9,4.0,0.22,0.20,0.42,0.22,0.42
63,Héctor Bellerín,es  ESP,DF,Betis,26,1995,23,22,1979,22.0,0,2,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.7,0.7,2.9,3.6,0.03,0.13,0.16,0.03,0.16
64,Fran Beltrán,es  ESP,MF,Celta Vigo,22,1999,37,31,2597,28.9,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.5,0.5,0.4,0.9,0.02,0.01,0.03,0.02,0.03
65,Darío Benedetto,ar  ARG,"FW,MF",Elche,31,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.4,2.4,0.7,3.1,0.36,0.11,0.47,0.36,0.47
66,Iker Benito,es  ESP,"FW,MF",Osasuna,18,2002,4,1,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.12,0.08,0.20,0.12,0.20
67,Pedro Benito,es  ESP,FW,Cádiz,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
68,Karim Benzema,fr  FRA,FW,Real Madrid,33,1987,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35,0.69,1.11,24.3,16.7,9.3,25.9,0.84,0.32,1.17,0.58,0.90
69,Yuri Berchiche,es  ESP,DF,Athletic Club,31,1990,14,11,1015,11.3,1,2,1,0,0,3,0,0.09,0.18,0.27,0.09,0.27,0.5,0.5,1.2,1.7,0.04,0.10,0.15,0.04,0.15
70,Álex Berenguer,es  ESP,MF,Athletic Club,26,1995,34,24,2168,24.1,3,6,3,0,1,8,0,0.12,0.25,0.37,0.12,0.37,5.4,4.6,5.7,10.3,0.22,0.24,0.46,0.19,0.43
71,Pedro Bigas,es  ESP,DF,Elche,30,1990,19,19,1551,17.2,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.3,1.0,0.04,0.02,0.06,0.04,0.06
72,Blanco,es  ESP,MF,Real Madrid,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
73,Yassine Bounou,ma  MAR,GK,Sevilla,30,1991,31,31,2790,31.0,0,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.8,0.8,0.00,0.03,0.03,0.00,0.03
74,Lucas Boyé,ar  ARG,FW,Elche,25,1996,24,22,1713,19.0,7,3,7,0,0,3,0,0.37,0.16,0.53,0.37,0.53,5.0,5.0,2.5,7.5,0.26,0.13,0.39,0.26,0.39
75,Martin Braithwaite,dk  DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,2,0,0,0,0,0.77,0.38,1.15,0.77,1.15,1.4,1.4,1.1,2.4,0.52,0.41,0.93,0.52,0.93
76,Darko Brašanac,rs  SRB,MF,Osasuna,29,1992,35,27,2405,26.7,1,2,1,0,0,8,0,0.04,0.07,0.11,0.04,0.11,1.5,1.5,2.0,3.4,0.05,0.07,0.13,0.05,0.13
77,Claudio Bravo,cl  CHI,GK,Betis,38,1983,17,17,1456,16.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
78,Yan Brice Eteki,cm  CMR,MF,Granada,23,1997,12,2,343,3.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01
79,Bryan,es  ESP,"MF,FW",Valencia,20,2001,13,9,753,8.4,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,1.4,1.4,1.5,2.9,0.16,0.18,0.35,0.16,0.35
80,Ante Budimir,hr  CRO,FW,Osasuna,30,1991,28,20,1738,19.3,8,2,6,2,2,3,0,0.41,0.10,0.52,0.31,0.41,8.9,7.4,0.9,8.3,0.46,0.05,0.51,0.38,0.43
81,Sergio Busquets,es  ESP,MF,Barcelona,33,1988,36,36,3198,35.5,2,0,2,0,0,12,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,2.4,3.2,0.02,0.07,0.09,0.02,0.09
82,Adrián Butzke,es  ESP,FW,Granada,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
83,Erick Cabaco,uy  URU,DF,Getafe,26,1995,10,5,403,4.5,0,1,0,0,0,4,1,0.00,0.22,0.22,0.00,0.22,0.1,0.1,0.3,0.3,0.01,0.06,0.07,0.01,0.07
84,Leandro Cabrera,uy  URU,DF,Espanyol,30,1991,37,37,3330,37.0,2,0,2,0,0,7,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.8,2.2,0.04,0.02,0.06,0.04,0.06
85,Martín Cáceres,uy  URU,DF,Levante,34,1987,10,9,663,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02
86,Cala,es  ESP,DF,Cádiz,31,1989,14,10,947,10.5,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.06,0.05,0.11,0.06,0.11
87,Calderón,es  ESP,DF,Betis,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.12,0.12,0.00,0.12
88,Fernando Calero,es  ESP,DF,Espanyol,25,1995,16,13,1090,12.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02
89,Víctor Camarasa,es  ESP,"MF,FW",Betis,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
90,Eduardo Camavinga,fr  FRA,MF,Real Madrid,18,2002,26,13,1236,13.7,2,1,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,1.3,1.3,1.1,2.4,0.09,0.08,0.17,0.09,0.17
91,José Campaña,es  ESP,MF,Levante,28,1993,20,16,1422,15.8,2,2,2,0,1,6,1,0.13,0.13,0.25,0.13,0.25,1.6,0.7,1.7,2.4,0.10,0.11,0.21,0.04,0.15
92,Sergio Canales,es  ESP,"FW,MF",Betis,30,1991,34,33,2791,31.0,5,8,5,0,0,6,0,0.16,0.26,0.42,0.16,0.42,4.8,4.8,5.5,10.3,0.15,0.18,0.33,0.15,0.33
93,Álex Cantero,es  ESP,"FW,MF",Levante,21,2000,25,4,610,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,2.4,2.4,0.5,2.9,0.35,0.08,0.42,0.35,0.42
94,Ander Capa,es  ESP,DF,Athletic Club,29,1992,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.85,0.00,0.85,0.85,0.85
95,Étienne Capoue,fr  FRA,MF,Villarreal,33,1988,30,26,2290,25.4,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,1.5,0.03,0.03,0.06,0.03,0.06
96,Isaac Carcelen,es  ESP,"DF,MF",Cádiz,28,1993,25,17,1544,17.2,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06
97,Cárdenas,es  ESP,GK,Levante,24,1997,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
98,Carlo,es  ESP,MF,Villarreal,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
99,Diego Carlos,br  BRA,DF,Sevilla,28,1993,34,34,2957,32.9,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,2.4,2.4,0.6,3.0,0.07,0.02,0.09,0.07,0.09
100,Carmona,es  ESP,DF,Sevilla,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
101,Yannick Carrasco,be  BEL,"FW,MF",Atlético Madrid,27,1993,34,28,2583,28.7,6,6,4,2,2,5,0,0.21,0.21,0.42,0.14,0.35,6.0,4.9,7.7,12.6,0.21,0.27,0.48,0.17,0.44
102,Guido Carrillo,ar  ARG,FW,Elche,30,1991,29,11,1168,13.0,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.4,3.2,0.22,0.03,0.25,0.22,0.25
103,Dani Carvajal,es  ESP,DF,Real Madrid,29,1992,24,17,1551,17.2,1,3,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,0.7,0.7,2.5,3.1,0.04,0.14,0.18,0.04,0.18
104,William Carvalho,pt  POR,MF,Betis,29,1992,33,20,1805,20.1,2,3,2,0,0,6,0,0.10,0.15,0.25,0.10,0.25,4.0,4.0,2.0,5.9,0.20,0.10,0.29,0.20,0.29
105,Casemiro,br  BRA,MF,Real Madrid,29,1992,32,31,2569,28.5,1,3,1,0,0,11,0,0.04,0.11,0.14,0.04,0.14,2.6,2.6,3.4,6.0,0.09,0.12,0.21,0.09,0.21
106,Kiko Casilla,es  ESP,GK,Elche,34,1986,14,14,1260,14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
107,Catena,es  ESP,DF,Rayo Vallecano,26,1994,36,36,3240,36.0,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1.8,1.8,0.9,2.7,0.05,0.02,0.07,0.05,0.07
108,Dani Ceballos,es  ESP,MF,Real Madrid,24,1996,11,2,276,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.7,0.2,0.9,0.25,0.07,0.32,0.24,0.31
109,Franco Cervi,ar  ARG,MF,Celta Vigo,27,1994,33,21,1801,20.0,4,3,4,0,0,5,0,0.20,0.15,0.35,0.20,0.35,3.2,3.2,1.2,4.4,0.16,0.06,0.22,0.16,0.22
110,Chapela,es  ESP,"MF,FW",Cádiz,22,1999,9,4,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.04,0.07,0.03,0.07
111,Chema,es  ESP,MF,Getafe,29,1992,1,1,45,0.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.06,0.07,0.14,0.06,0.14
112,Denis Cheryshev,ru  RUS,"MF,FW",Valencia,30,1990,17,5,563,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,0.4,1.6,0.18,0.07,0.25,0.18,0.25
113,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,22,1999,27,12,1333,14.8,3,3,3,0,0,4,0,0.20,0.20,0.41,0.20,0.41,4.5,4.5,4.9,9.4,0.30,0.33,0.64,0.30,0.64
114,Víctor Chust,es  ESP,DF,Cádiz,21,2000,25,20,1830,20.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.04,0.00,0.04,0.04,0.04
115,Jasper Cillessen,nl  NED,GK,Valencia,32,1989,17,17,1457,16.2,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
116,Pathé Ciss,sn  SEN,MF,Rayo Vallecano,27,1994,31,11,1097,12.2,2,1,2,0,0,5,0,0.16,0.08,0.25,0.16,0.25,1.7,1.7,0.6,2.3,0.14,0.05,0.19,0.14,0.19
117,Carlos Clerc,es  ESP,DF,Levante,29,1992,19,18,1514,16.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.0,1.4,0.02,0.06,0.08,0.02,0.08
118,Coke,es  ESP,DF,Levante,34,1987,6,1,118,1.3,1,0,1,0,0,1,0,0.76,0.00,0.76,0.76,0.76,0.6,0.6,0.0,0.7,0.47,0.03,0.50,0.47,0.50
