,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
50,Iván Balliu,al  ALB,DF,Rayo Vallecano,29,1992,35.0,2072,88,532,929,643,37,2072,22,54,40.7,40,20,1096,46
51,Barbero,es  ESP,"FW,MF",Osasuna,22,1998,0.2,18,1,1,6,11,3,18,0,0,,5,2,14,3
52,Barcia,es  ESP,DF,Granada,20,2000,0.8,26,1,13,12,1,0,26,0,0,,0,1,8,0
53,Enis Bardhi,mk  MKD,"MF,FW",Levante,26,1995,18.9,982,12,124,423,449,40,980,38,74,51.4,52,32,661,73
54,Keidi Bare,al  ALB,MF,Espanyol,23,1997,16.5,1032,51,273,632,135,15,1032,9,16,56.3,11,11,700,11
55,Kike Barja,es  ESP,"MF,FW",Osasuna,24,1997,9.6,516,5,48,213,264,32,516,34,57,59.6,37,28,386,53
56,Antonio Barragán,es  ESP,DF,Elche,34,1987,11.3,635,60,261,272,106,2,635,0,1,0.0,9,1,350,10
57,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,19,2001,6.1,270,5,43,115,118,25,270,15,37,40.5,23,16,197,47
58,Marc Bartra,es  ESP,DF,Betis,30,1991,22.1,1395,199,768,578,51,24,1395,7,8,87.5,12,4,859,4
59,Álvaro Bastida,es  ESP,MF,Cádiz,17,2004,2.2,67,2,12,46,9,0,67,0,0,,0,0,39,0
60,Rodrigo Battaglia,ar  ARG,MF,Mallorca,30,1991,13.1,664,53,197,393,81,14,664,10,15,66.7,12,11,336,1
61,Jon Bautista,es  ESP,MF,Real Sociedad,26,1995,0.5,15,1,2,8,5,1,15,1,1,100.0,0,1,6,1
62,Bebé,cv  CPV,FW,Rayo Vallecano,31,1990,9.6,487,8,47,181,277,21,487,29,48,60.4,41,19,325,50
63,Héctor Bellerín,es  ESP,DF,Betis,26,1995,22.0,1265,67,360,568,350,43,1265,22,42,52.4,26,8,718,56
64,Fran Beltrán,es  ESP,MF,Celta Vigo,22,1999,28.9,2171,62,580,1345,263,5,2171,19,27,70.4,31,20,1506,19
65,Darío Benedetto,ar  ARG,"FW,MF",Elche,31,1990,6.6,173,0,11,97,68,20,173,10,18,55.6,16,4,127,24
66,Iker Benito,es  ESP,"FW,MF",Osasuna,18,2002,1.3,50,1,9,21,20,0,50,2,6,33.3,4,4,28,6
67,Pedro Benito,es  ESP,FW,Cádiz,21,2000,0.3,7,0,0,4,3,0,7,0,0,,2,0,6,2
68,Karim Benzema,fr  FRA,FW,Real Madrid,33,1987,28.8,1489,15,59,509,932,223,1478,36,51,70.6,35,24,1263,208
69,Yuri Berchiche,es  ESP,DF,Athletic Club,31,1990,11.3,748,33,222,346,191,12,748,8,11,72.7,13,7,415,26
70,Álex Berenguer,es  ESP,MF,Athletic Club,26,1995,24.1,1215,22,162,443,622,81,1214,33,71,46.5,70,36,788,132
71,Pedro Bigas,es  ESP,DF,Elche,30,1990,17.2,1112,118,579,488,49,10,1112,2,6,33.3,12,0,738,4
72,Blanco,es  ESP,MF,Real Madrid,21,2000,0.3,24,1,12,12,2,0,24,1,1,100.0,0,1,15,0
73,Yassine Bounou,ma  MAR,GK,Sevilla,30,1991,31.0,1130,1040,1128,2,0,0,1130,1,1,100.0,1,0,570,0
74,Lucas Boyé,ar  ARG,FW,Elche,25,1996,19.0,787,25,62,413,328,74,787,57,88,64.8,142,78,602,90
75,Martin Braithwaite,dk  DEN,FW,Barcelona,30,1991,2.6,81,3,7,40,35,12,81,2,3,66.7,8,5,65,18
76,Darko Brašanac,rs  SRB,MF,Osasuna,29,1992,26.7,1114,29,156,511,461,77,1114,15,27,55.6,43,26,705,131
77,Claudio Bravo,cl  CHI,GK,Betis,38,1983,16.2,536,437,533,3,0,0,536,0,0,,0,0,223,0
78,Yan Brice Eteki,cm  CMR,MF,Granada,23,1997,3.8,169,15,33,106,31,1,169,1,3,33.3,6,7,87,0
79,Bryan,es  ESP,"MF,FW",Valencia,20,2001,8.4,374,6,55,108,221,29,374,17,35,48.6,48,11,239,44
80,Ante Budimir,hr  CRO,FW,Osasuna,30,1991,19.3,608,21,48,267,301,91,606,11,31,35.5,62,28,415,89
81,Sergio Busquets,es  ESP,MF,Barcelona,33,1988,35.5,3077,81,545,2050,494,23,3077,21,26,80.8,20,15,2259,31
82,Adrián Butzke,es  ESP,FW,Granada,22,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0
83,Erick Cabaco,uy  URU,DF,Getafe,26,1995,4.5,201,16,81,109,13,2,201,0,0,,1,0,117,1
84,Leandro Cabrera,uy  URU,DF,Espanyol,30,1991,37.0,2320,419,1262,980,90,27,2320,1,5,20.0,16,3,1399,4
85,Martín Cáceres,uy  URU,DF,Levante,34,1987,7.4,394,27,175,190,36,4,394,1,1,100.0,4,1,257,5
86,Cala,es  ESP,DF,Cádiz,31,1989,10.5,399,68,239,154,9,7,399,1,1,100.0,3,3,186,2
87,Calderón,es  ESP,DF,Betis,21,2000,0.7,51,2,12,20,19,1,51,0,0,,1,0,36,3
88,Fernando Calero,es  ESP,DF,Espanyol,25,1995,12.1,754,81,379,363,19,4,754,4,5,80.0,8,1,469,2
89,Víctor Camarasa,es  ESP,"MF,FW",Betis,27,1994,1.2,68,3,16,38,14,2,68,0,1,0.0,5,0,45,3
90,Eduardo Camavinga,fr  FRA,MF,Real Madrid,18,2002,13.7,1012,34,233,570,222,22,1012,22,32,68.8,16,10,761,28
91,José Campaña,es  ESP,MF,Levante,28,1993,15.8,1017,32,216,564,255,18,1017,21,35,60.0,21,10,680,40
92,Sergio Canales,es  ESP,"FW,MF",Betis,30,1991,31.0,2094,21,246,1104,772,70,2094,29,57,50.9,50,41,1694,131
93,Álex Cantero,es  ESP,"FW,MF",Levante,21,2000,6.8,192,4,22,75,99,28,192,8,15,53.3,16,8,143,33
94,Ander Capa,es  ESP,DF,Athletic Club,29,1992,0.0,3,0,1,1,1,0,3,0,0,,0,0,3,1
95,Étienne Capoue,fr  FRA,MF,Villarreal,33,1988,25.4,1574,85,357,1005,236,15,1574,41,55,74.5,23,14,1125,25
96,Isaac Carcelen,es  ESP,"DF,MF",Cádiz,28,1993,17.2,943,61,333,414,207,13,943,11,24,45.8,28,14,437,17
97,Cárdenas,es  ESP,GK,Levante,24,1997,24.0,800,706,793,8,0,0,800,0,0,,0,0,301,0
98,Carlo,es  ESP,MF,Villarreal,20,2001,0.1,5,0,1,3,1,0,5,0,0,,0,0,4,0
99,Diego Carlos,br  BRA,DF,Sevilla,28,1993,32.9,2488,373,1407,1017,68,36,2488,2,4,50.0,14,2,1808,3
100,Carmona,es  ESP,DF,Sevilla,19,2002,0.3,15,2,9,4,2,1,15,1,1,100.0,0,0,5,0
101,Yannick Carrasco,be  BEL,"FW,MF",Atlético Madrid,27,1993,28.7,1551,28,216,569,792,139,1549,88,136,64.7,77,52,1037,152
102,Guido Carrillo,ar  ARG,FW,Elche,30,1991,13.0,446,29,56,234,163,39,446,8,14,57.1,34,15,313,43
103,Dani Carvajal,es  ESP,DF,Real Madrid,29,1992,17.2,1352,73,399,524,441,36,1352,10,18,55.6,24,9,900,56
104,William Carvalho,pt  POR,MF,Betis,29,1992,20.1,1537,32,230,1038,290,40,1537,48,70,68.6,23,27,1168,35
105,Casemiro,br  BRA,MF,Real Madrid,29,1992,28.5,2351,156,709,1295,367,29,2351,19,27,70.4,33,14,1599,27
106,Kiko Casilla,es  ESP,GK,Elche,34,1986,14.0,515,432,513,2,0,0,515,0,0,,1,0,181,0
107,Catena,es  ESP,DF,Rayo Vallecano,26,1994,36.0,2048,297,1138,862,57,42,2048,5,5,100.0,9,6,1230,6
108,Dani Ceballos,es  ESP,MF,Real Madrid,24,1996,3.1,309,7,68,172,75,9,309,5,11,45.5,10,1,246,8
109,Franco Cervi,ar  ARG,MF,Celta Vigo,27,1994,20.0,1054,15,204,457,401,48,1054,20,39,51.3,46,21,591,64
110,Chapela,es  ESP,"MF,FW",Cádiz,22,1999,4.4,127,7,41,52,39,5,127,3,5,60.0,8,3,65,8
111,Chema,es  ESP,MF,Getafe,29,1992,0.5,17,1,5,10,2,0,17,0,0,,0,0,7,1
112,Denis Cheryshev,ru  RUS,"MF,FW",Valencia,30,1990,6.3,247,8,43,89,121,24,247,6,11,54.5,16,3,124,25
113,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,22,1999,14.8,665,4,71,236,376,108,665,67,126,53.2,47,20,511,80
114,Víctor Chust,es  ESP,DF,Cádiz,21,2000,20.3,984,124,523,427,41,18,984,4,5,80.0,3,1,564,0
115,Jasper Cillessen,nl  NED,GK,Valencia,32,1989,16.2,482,401,480,2,0,0,482,0,0,,0,0,178,0
116,Pathé Ciss,sn  SEN,MF,Rayo Vallecano,27,1994,12.2,694,42,194,434,75,6,694,10,15,66.7,12,11,370,8
117,Carlos Clerc,es  ESP,DF,Levante,29,1992,16.8,1026,51,374,458,209,15,1026,23,33,69.7,15,6,571,26
118,Coke,es  ESP,DF,Levante,34,1987,1.3,85,8,40,25,22,3,85,2,3,66.7,1,0,39,1
119,Álex Collado,es  ESP,"MF,FW",Granada,22,1999,11.3,543,13,82,239,232,18,543,14,38,36.8,29,19,307,27
120,Eray Cömert,ch  SUI,DF,Valencia,23,1998,4.5,229,21,119,106,6,4,229,0,0,,3,0,143,1
121,Santi Comesaña,es  ESP,MF,Rayo Vallecano,24,1996,29.8,1836,68,402,1138,325,58,1836,48,64,75.0,45,35,1175,45
122,Diego Conde,es  ESP,GK,Getafe,22,1998,0.1,6,5,6,0,0,0,6,0,0,,0,0,2,0
123,Francis Coquelin,fr  FRA,MF,Villarreal,30,1991,9.2,586,19,97,303,194,21,586,17,20,85.0,13,17,415,40
124,Jesús Corona,mx  MEX,"FW,DF",Sevilla,28,1993,12.9,729,6,107,277,349,50,729,19,44,43.2,36,29,557,65
125,Ángel Correa,ar  ARG,"FW,MF",Atlético Madrid,26,1995,20.6,888,6,85,338,476,127,888,32,55,58.2,73,48,669,129
126,Thierry Correia,pt  POR,DF,Valencia,22,1999,15.7,824,38,276,317,237,13,824,11,22,50.0,28,8,380,32
127,Hélder Costa,ao  ANG,"MF,FW",Valencia,27,1994,12.4,451,12,96,143,221,31,451,23,58,39.7,35,22,274,44
128,Jaume Costa,es  ESP,DF,Mallorca,33,1988,20.3,1182,71,340,473,381,19,1182,9,14,64.3,15,6,606,51
129,Thibaut Courtois,be  BEL,GK,Real Madrid,29,1992,36.0,1202,1036,1196,6,0,0,1202,0,0,,1,0,659,0
130,Philippe Coutinho,br  BRA,"MF,FW",Barcelona,29,1992,5.6,399,4,24,159,220,23,398,13,19,68.4,19,16,346,38
131,Cristo,es  ESP,DF,Real Sociedad,21,2000,0.2,14,0,3,6,5,0,14,0,2,0.0,0,0,8,1
132,Juan Cruz Armada,es  ESP,DF,Osasuna,29,1992,21.5,1091,97,457,576,70,6,1091,10,13,76.9,10,11,639,3
133,Marc Cucurella,es  ESP,"MF,DF",Getafe,23,1998,0.3,25,0,2,7,18,2,25,1,1,100.0,0,0,14,2
134,Jorge Cuenca,es  ESP,DF,Getafe,21,1999,29.8,1438,177,745,654,48,26,1438,3,6,50.0,14,3,713,3
135,Matheus Cunha,br  BRA,FW,Atlético Madrid,22,1999,11.8,375,12,37,163,180,58,375,7,12,58.3,33,12,241,61
136,Sergi Darder,es  ESP,MF,Espanyol,27,1993,34.7,2007,60,388,1187,463,39,2007,53,77,68.8,38,32,1525,55
137,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,27,1994,23.9,1641,29,276,978,409,19,1641,25,38,65.8,35,31,1156,39
138,Thomas Delaney,dk  DEN,MF,Sevilla,29,1991,17.2,966,63,281,536,154,24,966,6,9,66.7,11,6,631,17
139,Ousmane Dembélé,fr  FRA,FW,Barcelona,24,1997,15.7,1004,5,61,316,637,84,1004,59,90,65.6,37,28,803,95
140,Yusuf Demir,at  AUT,FW,Barcelona,18,2003,2.1,111,2,16,29,68,9,111,5,9,55.6,8,5,79,12
141,Sergiño Dest,us  USA,"DF,FW",Barcelona,20,2000,16.8,1160,27,250,522,409,47,1160,37,66,56.1,33,24,840,64
142,Boulaye Dia,sn  SEN,FW,Villarreal,24,1996,14.1,370,3,35,152,190,75,370,11,21,52.4,33,21,287,89
143,Mouctar Diakhaby,gn  GUI,DF,Valencia,24,1996,21.6,974,154,506,418,60,20,974,13,19,68.4,15,4,442,5
144,Javier Díaz,es  ESP,GK,Sevilla,24,1997,1.0,35,32,35,0,0,0,35,0,0,,0,0,23,0
145,Víctor Díaz,es  ESP,DF,Granada,33,1988,16.7,849,116,442,355,58,13,849,4,8,50.0,5,0,461,4
146,Landry Dimata,be  BEL,"FW,MF",Espanyol,23,1997,6.0,164,8,14,80,71,20,164,6,10,60.0,24,10,129,31
147,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,27,1993,30.8,1017,871,1010,7,0,0,1017,0,0,,0,0,366,0
148,Matías Dituro,ar  ARG,GK,Celta Vigo,34,1987,38.0,1534,1311,1521,11,2,0,1534,0,0,,2,0,717,0
149,Djené,tg  TOG,DF,Getafe,29,1991,34.6,1648,186,777,781,100,12,1648,18,18,100.0,32,9,874,2
150,Naïs Djouahra,fr  FRA,"FW,MF",Real Sociedad,21,1999,2.4,126,4,16,48,63,7,126,3,7,42.9,9,5,92,11
151,Marko Dmitrović,rs  SRB,GK,Sevilla,29,1992,6.0,238,208,237,1,0,0,238,0,0,,1,0,131,0
152,Jaume Doménech,es  ESP,GK,Valencia,30,1990,3.8,115,99,113,2,0,0,115,0,0,,0,0,31,0
153,Carlos Dominguez,es  ESP,DF,Celta Vigo,20,2001,3.8,203,24,122,79,3,2,203,1,1,100.0,2,0,120,0
154,Mario Dominguez,es  ESP,FW,Valencia,17,2004,0.3,4,1,2,1,1,0,4,0,0,,0,0,2,1
155,John Donald,es  ESP,DF,Elche,20,2000,2.0,111,9,54,53,5,2,111,1,1,100.0,1,0,63,1
156,Domingos Duarte,pt  POR,DF,Granada,26,1995,18.7,903,139,491,395,23,14,903,2,3,66.7,6,1,485,3
157,Óscar Duarte,cr  CRC,DF,Levante,32,1989,19.7,1172,206,684,465,30,25,1172,1,2,50.0,5,1,703,1
158,Rubén Duarte,es  ESP,DF,Alavés,25,1995,29.1,1651,99,529,733,403,18,1651,5,9,55.6,20,7,692,17
159,Unai Dufur,es  ESP,DF,Osasuna,22,1999,1.0,62,6,16,43,3,2,62,0,0,,0,0,34,0
160,Aritz Elustondo,es  ESP,DF,Real Sociedad,27,1994,23.4,1388,162,682,645,71,14,1388,6,7,85.7,11,1,819,6
161,Adri Embarba,es  ESP,"FW,MF",Espanyol,29,1992,22.1,1068,35,191,357,536,45,1068,41,80,51.3,56,38,622,80
162,Emerson,br  BRA,DF,Barcelona,22,1999,1.0,77,1,17,47,13,0,77,0,1,0.0,0,0,54,3
163,Youssef En-Nesyri,ma  MAR,FW,Sevilla,24,1997,14.2,328,22,48,144,139,58,327,4,14,28.6,25,12,210,57
164,Gonzalo Escalante,ar  ARG,MF,Alavés,28,1993,14.4,579,37,138,333,114,24,579,7,9,77.8,14,14,255,14
165,Aarón Escandell,es  ESP,GK,Granada,25,1995,3.2,137,115,137,0,0,0,137,0,0,,0,0,34,0
166,Sergio Escudero,es  ESP,"DF,MF",Granada,31,1989,15.9,930,48,283,441,211,14,930,3,12,25.0,19,10,409,22
167,Alfonso Espino,uy  URU,DF,Cádiz,29,1992,37.0,2181,147,770,927,528,46,2181,24,47,51.1,43,21,961,79
168,Estanis,es  ESP,FW,Barcelona,17,2003,0.1,4,0,2,2,0,0,4,0,0,,1,0,1,0
169,Pervis Estupiñán,ec  ECU,DF,Villarreal,23,1998,17.5,1230,50,346,494,404,30,1230,17,35,48.6,26,14,734,65
170,Abdessamad Ezzalzouli,ma  MAR,FW,Barcelona,19,2001,6.4,299,1,42,77,189,52,299,34,59,57.6,23,12,212,42
171,Radamel Falcao,co  COL,FW,Rayo Vallecano,35,1986,9.3,279,12,19,136,125,41,279,3,10,30.0,31,11,229,42
172,Fali,es  ESP,"DF,MF",Cádiz,27,1993,20.0,899,122,461,383,57,13,899,1,1,100.0,10,3,454,2
173,Omar Faraj,se  SWE,FW,Levante,19,2002,0.0,6,0,5,1,1,0,6,0,0,,1,0,2,0
174,Ansu Fati,es  ESP,FW,Barcelona,18,2002,3.7,218,0,10,71,140,32,218,4,14,28.6,18,2,188,34
175,Aleix Febas,es  ESP,MF,Mallorca,25,1996,1.3,69,2,8,49,13,2,69,1,3,33.3,3,1,48,1
176,Nabil Fekir,fr  FRA,MF,Betis,28,1993,31.0,1856,4,109,828,936,125,1856,82,123,66.7,102,81,1423,180
177,Felipe,br  BRA,DF,Atlético Madrid,32,1989,16.7,968,117,456,478,37,21,968,2,3,66.7,8,2,536,2
178,João Félix,pt  POR,"FW,MF",Atlético Madrid,21,1999,14.0,595,9,44,281,278,52,595,31,52,59.6,29,19,514,66
179,Aitor Fernández,es  ESP,GK,Levante,30,1991,13.0,416,357,412,4,0,0,416,0,0,,0,0,156,0
180,Álex Fernández,es  ESP,MF,Cádiz,28,1992,22.8,1265,53,270,727,287,26,1263,9,22,40.9,29,27,787,34
181,Fernando,br  BRA,"MF,DF",Sevilla,34,1987,20.6,1415,114,540,742,142,10,1415,7,11,63.6,23,6,984,9
182,Fidel,es  ESP,MF,Elche,31,1989,25.1,1352,37,237,639,497,49,1351,44,75,58.7,62,40,983,87
183,José Fontán,es  ESP,DF,Celta Vigo,21,2000,3.1,234,20,89,135,12,1,234,1,1,100.0,0,1,167,0
184,Juan Foyth,ar  ARG,DF,Villarreal,23,1998,21.4,1393,78,463,708,244,18,1393,28,40,70.0,25,7,776,16
185,Enric Franquesa,es  ESP,"DF,FW",Levante,24,1997,6.9,319,12,85,147,92,4,319,10,19,52.6,10,8,177,17
186,Jorge de Frutos,es  ESP,"MF,FW",Levante,24,1997,19.6,745,16,126,275,356,76,745,36,76,47.4,51,16,466,107
187,Javi Galán,es  ESP,DF,Celta Vigo,26,1994,36.6,2609,70,717,1181,749,40,2609,85,125,68.0,70,37,1584,84
188,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,27,1993,15.3,922,35,181,585,163,5,922,26,35,74.3,20,15,555,13
189,Thiago Galhardo,br  BRA,"FW,MF",Celta Vigo,32,1989,12.8,404,13,40,175,191,49,404,8,20,40.0,28,11,283,60
190,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,28,1992,33.3,1383,39,247,419,732,154,1383,22,50,44.0,70,13,883,208
191,Dani García,es  ESP,MF,Athletic Club,31,1990,24.2,1206,57,259,750,206,12,1206,4,6,66.7,7,9,748,7
192,David García,es  ESP,DF,Osasuna,27,1994,34.5,1816,236,819,916,87,56,1816,3,4,75.0,12,3,975,2
193,Eric García,es  ESP,DF,Barcelona,20,2001,22.7,1860,133,681,1134,52,10,1860,2,3,66.7,12,1,1444,3
194,Francisco Garcia,es  ESP,DF,Rayo Vallecano,21,1999,33.6,2012,95,621,877,547,29,2012,22,45,48.9,54,15,1056,62
195,Joan García,es  ESP,GK,Espanyol,20,2001,1.2,36,26,33,3,0,0,36,0,0,,0,0,13,0
196,Manu García,es  ESP,MF,Alavés,23,1998,12.0,689,9,91,411,200,9,689,32,45,71.1,31,22,458,26
197,Raúl García,es  ESP,FW,Athletic Club,35,1986,20.0,792,27,82,369,345,67,791,9,12,75.0,29,15,572,99
198,Rubén García,es  ESP,"MF,FW",Osasuna,28,1993,26.4,1540,21,187,628,740,61,1538,24,47,51.1,56,18,995,119
199,Saúl García,es  ESP,MF,Alavés,26,1994,0.0,5,1,4,0,1,0,5,0,0,,0,0,1,0
200,Unai García,es  ESP,DF,Osasuna,29,1992,15.6,724,101,347,343,41,12,724,3,4,75.0,10,2,353,1
201,Mario Gaspar,es  ESP,DF,Villarreal,30,1990,6.9,421,26,136,194,95,14,421,3,4,75.0,5,2,252,15
202,Gavi,es  ESP,"MF,FW",Barcelona,16,2004,25.7,1567,14,145,820,620,82,1567,53,86,61.6,61,49,1231,113
203,Óscar Gil,es  ESP,DF,Espanyol,24,1997,18.8,953,55,339,364,259,14,953,13,27,48.1,38,12,511,41
204,Mario Gila,es  ESP,DF,Real Madrid,20,2000,0.3,24,4,18,6,0,0,24,1,1,100.0,0,0,14,0
205,Dani Gómez,es  ESP,FW,Levante,23,1998,11.8,357,6,22,156,187,53,357,18,46,39.1,47,24,265,80
206,Maxi Gómez,uy  URU,FW,Valencia,24,1996,21.7,595,23,39,259,303,75,595,5,18,27.8,58,19,482,81
