,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
11,Aitor Fernández,es  ESP,GK,Levante,29-322,1991,24.0,33,3,1,6,0,30.7,0.30,-2.3,-0.10,110,287,38.3,593,128,40.1,36.9,171,28.7,30.5,223,13,5.8,22,0.92,14.8
12,Álvaro Fernández,es  ESP,GK,Huesca,22-342,1998,16.0,27,1,0,6,0,24.3,0.34,-2.7,-0.17,92,250,36.8,474,78,40.5,37.7,132,43.9,40.7,151,10,6.6,9,0.56,14.8
13,Andrés Fernández,es  ESP,GK,Huesca,34-094,1986,12.0,17,3,1,3,0,13.3,0.29,-3.7,-0.33,56,176,31.8,313,48,42.2,37.0,82,53.7,43.8,109,9,8.3,3,0.27,11.9
14,David Gil,es  ESP,GK,Cádiz,27-069,1994,1.0,2,0,0,0,0,1.2,0.40,-0.8,-0.80,5,29,17.2,28,3,75.0,51.4,9,88.9,64.3,5,0,0.0,0,0.00,9.0
15,Sergio Herrera,es  ESP,GK,Osasuna,27-289,1993,24.9,30,4,0,3,2,32.4,0.33,+4.4,+0.18,332,701,47.4,676,56,78.4,54.6,178,96.1,64.6,274,27,9.9,42,1.69,16.7
16,Ángel Jiménez,es  ESP,GK,Granada,18-272,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3
17,Jeremías Ledesma,ar  ARG,GK,Cádiz,28-036,1993,24.0,37,6,2,4,1,29.2,0.28,-6.8,-0.28,240,624,38.5,521,42,81.2,57.1,210,95.7,69.1,237,25,10.5,11,0.46,13.5
18,Jordi Masip,es  ESP,GK,Valladolid,32-077,1989,18.0,25,3,1,3,0,25.6,0.32,+0.6,+0.03,131,408,32.1,391,59,68.0,49.4,164,86.6,63.3,221,13,5.9,11,0.61,13.8
19,Neto,br  BRA,GK,Barcelona,31-245,1989,6.0,6,2,0,1,0,6.6,0.26,+0.6,+0.10,17,35,48.6,150,30,18.7,27.3,41,17.1,24.4,52,2,3.8,4,0.67,15.7
20,Jan Oblak,si  SVN,GK,Atlético Madrid,28-073,1993,27.0,18,1,0,4,3,22.1,0.25,+7.1,+0.26,196,452,43.4,507,83,58.8,44.4,226,68.1,50.3,262,15,5.7,14,0.52,15.8
21,Fernando Pacheco,es  ESP,GK,Alavés,28-307,1992,27.0,43,3,0,5,0,39.6,0.36,-3.4,-0.13,248,467,53.1,544,72,60.5,45.7,219,63.0,47.3,239,22,9.2,18,0.67,14.5
22,Juan Pérez,es  ESP,GK,Osasuna,24-249,1996,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
23,Álex Remiro,es  ESP,GK,Real Sociedad,25-362,1995,27.0,22,2,0,2,0,18.4,0.26,-3.6,-0.13,166,379,43.8,683,86,42.3,38.1,138,65.2,52.6,194,14,7.2,19,0.70,15.8
24,Roberto,es  ESP,GK,Valladolid,35-039,1986,10.0,13,2,0,0,0,11.1,0.30,-0.9,-0.10,61,206,29.6,205,31,68.3,52.8,77,85.7,66.9,85,8,9.4,5,0.56,13.9
25,Joel Robles,es  ESP,GK,Betis,30-277,1990,18.0,25,4,1,5,2,21.5,0.31,-1.5,-0.08,99,301,32.9,449,80,52.6,43.0,116,56.0,45.3,145,10,6.9,14,0.78,16.3
26,Rubén,es  ESP,"GK,MF",Osasuna,36-272,1984,2.1,5,0,0,0,0,4.9,0.55,-0.1,-0.04,33,54,61.1,46,2,84.8,55.7,15,100.0,65.7,19,1,5.3,3,1.44,14.6
27,Rui Silva,pt  POR,GK,Granada,27-042,1994,26.0,42,1,2,3,1,40.4,0.37,-0.6,-0.02,217,604,35.9,643,52,66.9,49.7,216,80.6,58.3,262,13,5.0,19,0.73,15.3
28,Unai Simón,es  ESP,GK,Athletic Club,23-283,1997,28.0,32,5,1,5,1,28.0,0.30,-2.0,-0.08,182,424,42.9,617,145,44.6,40.2,182,81.9,61.2,254,17,6.7,16,0.59,14.3
29,David Soria,es  ESP,GK,Getafe,27-351,1993,18.0,20,4,0,2,1,21.4,0.32,+2.4,+0.14,181,486,37.2,450,6,86.0,58.0,123,80.5,55.6,125,17,13.6,22,1.22,15.8
30,Marc-André ter Stegen,de  GER,GK,Barcelona,28-325,1992,21.0,17,2,0,3,1,19.2,0.27,+3.2,+0.15,103,166,62.0,588,108,22.1,28.7,108,33.3,33.3,130,17,13.1,15,0.71,16.8
31,Tomáš Vaclík,cz  CZE,GK,Sevilla,31-357,1989,4.0,5,0,0,0,0,3.3,0.28,-1.7,-0.41,16,35,45.7,103,17,29.1,30.4,15,33.3,29.9,32,1,3.1,3,0.75,14.8
32,Koke Vegas,es  ESP,GK,Levante,25-175,1995,1.0,2,0,0,0,0,2.6,0.64,+0.6,+0.56,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0.0,1,1.00,18.8
33,Iván Villar,es  ESP,GK,Celta Vigo,23-255,1997,9.8,16,2,0,0,1,11.7,0.34,-0.3,-0.03,40,137,29.2,211,41,44.1,37.9,74,59.5,47.2,92,10,10.9,9,1.02,15.7
34,Rubén Yáñez,es  ESP,GK,Getafe,27-160,1993,9.0,12,1,0,0,0,11.1,0.36,-0.9,-0.10,78,181,43.1,187,25,71.1,48.7,58,82.8,60.0,67,5,7.5,5,0.56,14.6
35,Yoel,es  ESP,GK,Eibar,32-205,1988,1.3,1,0,0,0,0,0.6,0.58,-0.4,-0.32,13,23,56.5,35,14,54.3,42.3,4,100.0,69.0,1,0,0.0,3,2.25,17.9
