,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
16,Ismael Diawara,ml  MLI,GK,se  Malmö,26,1994,3,2,225,2.5,6,2.40,16,12,75.0,0,0,2,0,0.0,2,2,0,0,0.0
17,Gianluigi Donnarumma,it  ITA,GK,fr  Paris S-G,22,1999,5,5,450,5.0,6,1.20,23,18,78.3,3,1,1,2,40.0,2,1,1,0,50.0
18,Ederson,br  BRA,GK,eng  Manchester City,27,1993,11,11,1002,11.1,14,1.26,26,15,53.8,7,2,2,4,36.4,2,2,0,0,0.0
19,Guillaume Faivre,ch  SUI,GK,ch  Young Boys,34,1987,3,3,270,3.0,6,2.00,17,11,64.7,0,2,1,0,0.0,0,0,0,0,
20,David de Gea,es  ESP,GK,eng  Manchester Utd,30,1990,7,7,630,7.0,9,1.29,29,20,69.0,3,2,2,1,14.3,0,0,0,0,
21,Ivo Grbić,hr  CRO,GK,fr  Lille,25,1996,6,6,540,6.0,4,0.67,15,13,86.7,3,2,1,3,50.0,2,2,0,0,0.0
22,Péter Gulácsi,hu  HUN,GK,de  RB Leipzig,31,1990,5,5,450,5.0,14,2.80,23,10,47.8,1,1,3,0,0.0,3,2,0,1,0.0
23,Mert Günok,tr  TUR,GK,tr  Beşiktaş,32,1989,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
24,Samir Handanović,si  SVN,GK,it  Inter,37,1984,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,
25,Tom Heaton,eng  ENG,GK,eng  Manchester Utd,35,1986,1,0,23,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
26,Dean Henderson,eng  ENG,GK,eng  Manchester Utd,24,1997,1,1,67,0.7,1,1.34,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
27,Mikhail Kerzhakov,ru  RUS,GK,ru  Zenit,34,1987,2,2,180,2.0,4,2.00,9,5,55.6,0,2,0,0,0.0,0,0,0,0,
28,Gregor Kobel,ch  SUI,GK,de  Dortmund,23,1997,6,6,540,6.0,11,1.83,23,13,52.2,3,0,3,2,33.3,1,0,0,1,
29,Philipp Köhn,ch  SUI,GK,at  RB Salzburg,23,1998,8,8,720,8.0,14,1.75,27,16,59.3,3,2,3,1,12.5,3,3,0,0,0.0
30,Stanislav Kritsyuk,ru  RUS,GK,ru  Zenit,30,1990,4,4,360,4.0,6,1.50,17,12,70.6,1,0,3,1,25.0,1,1,0,0,0.0
31,Mike Maignan,fr  FRA,GK,it  Milan,26,1995,3,3,270,3.0,7,2.33,18,13,66.7,0,0,3,0,0.0,2,1,0,1,0.0
32,Josep Martinez,es  ESP,GK,de  RB Leipzig,23,1998,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
33,Edouard Mendy,sn  SEN,GK,eng  Chelsea,29,1992,9,9,840,9.3,7,0.75,15,9,60.0,7,0,2,5,55.6,1,1,0,0,0.0
34,Simon Mignolet,be  BEL,GK,be  Club Brugge,33,1988,6,6,540,6.0,20,3.33,44,27,61.4,1,1,4,0,0.0,3,3,0,0,0.0
35,Juan Musso,ar  ARG,GK,it  Atalanta,27,1994,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,
36,Keylor Navas,cr  CRC,GK,fr  Paris S-G,34,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,0,0,0,0,
37,Manuel Neuer,de  GER,GK,de  Bayern Munich,35,1986,9,9,810,9.0,6,0.67,20,14,70.0,7,1,1,4,44.4,0,0,0,0,
38,Jan Oblak,si  SVN,GK,es  Atlético Madrid,28,1993,10,10,900,10.0,10,1.00,33,25,75.8,3,3,4,3,30.0,2,2,0,0,0.0
39,André Onana,cm  CMR,GK,nl  Ajax,25,1996,2,2,180,2.0,2,1.00,3,2,66.7,1,0,1,0,0.0,1,1,0,0,0.0
40,Remko Pasveer,nl  NED,GK,nl  Ajax,37,1983,6,6,540,6.0,6,1.00,17,12,70.6,5,1,0,2,33.3,1,1,0,0,0.0
41,Mattia Perin,it  ITA,GK,it  Juventus,28,1992,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
42,Pavao Pervan,at  AUT,GK,de  Wolfsburg,33,1987,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,
43,Andriy Pyatov,ua  UKR,GK,ua  Shakhtar,37,1984,3,3,265,2.9,2,0.68,8,6,75.0,0,2,1,1,33.3,0,0,0,0,
44,Gerónimo Rulli,ar  ARG,GK,es  Villarreal,29,1992,12,12,1080,12.0,16,1.33,56,41,71.4,5,3,4,3,25.0,0,0,0,0,
45,Oleksiy Shevchenko,ua  UKR,GK,ua  Shakhtar,29,1992,1,0,5,0.1,1,18.00,2,1,50.0,0,0,0,0,,0,0,0,0,
46,Zack Steffen,us  USA,GK,eng  Manchester City,26,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
47,Wojciech Szczęsny,pl  POL,GK,it  Juventus,31,1990,7,7,630,7.0,10,1.43,20,13,60.0,4,1,2,3,42.9,2,2,0,0,0.0
48,Ciprian Tătărușanu,ro  ROU,GK,it  Milan,35,1986,3,3,270,3.0,2,0.67,9,7,77.8,1,1,1,1,33.3,0,0,0,0,
49,Marc-André ter Stegen,de  GER,GK,es  Barcelona,29,1992,6,6,540,6.0,9,1.50,24,16,66.7,2,1,3,3,50.0,1,1,0,0,0.0
50,Anatolii Trubin,ua  UKR,GK,ua  Shakhtar,19,2001,3,3,270,3.0,9,3.00,25,17,64.0,0,0,3,0,0.0,0,0,0,0,
51,Sven Ulreich,de  GER,GK,de  Bayern Munich,32,1988,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
52,João Virgínia,pt  POR,GK,pt  Sporting CP,21,1999,1,1,90,1.0,4,4.00,6,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0
53,Odisseas Vlachodimos,gr  GRE,GK,pt  Benfica,27,1994,10,10,900,10.0,17,1.70,52,34,67.3,3,4,3,5,50.0,1,0,0,1,
