,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
242,Josuha Guilavogui,fr  FRA,"MF,DF",de  Wolfsburg,30,1990,4.7,212,204,8,4,0,27,4,0,0,0,0,0,155,29,28,25,165,11,0,2,180,0,3,5,2
243,Daouda Guindo,ml  MLI,DF,at  RB Salzburg,18,2002,0.1,8,7,1,0,0,0,0,1,0,0,0,0,5,2,1,6,0,1,1,0,7,0,0,0,0
244,Péter Gulácsi,hu  HUN,GK,de  RB Leipzig,31,1990,5.0,180,146,34,16,0,14,2,0,0,0,0,0,103,9,68,25,130,0,0,22,144,0,0,2,1
245,İlkay Gündoğan,de  GER,MF,eng  Manchester City,30,1990,7.4,413,389,24,6,0,63,12,7,15,10,1,0,345,30,38,109,292,4,0,2,365,2,2,7,6
246,Mert Günok,tr  TUR,GK,tr  Beşiktaş,32,1989,1.0,43,29,14,2,0,4,4,0,0,0,0,0,16,0,27,1,35,0,0,5,27,1,2,2,0
247,Miguel Gutiérrez,es  ESP,DF,es  Real Madrid,20,2001,0.7,58,47,11,0,0,4,1,2,0,0,0,0,39,13,6,43,3,1,11,0,48,0,1,3,2
248,Joško Gvardiol,hr  CRO,DF,de  RB Leipzig,19,2002,3.7,204,191,13,4,0,19,4,1,0,0,0,0,137,28,39,124,53,16,9,0,163,0,4,5,3
249,Erling Haaland,no  NOR,FW,de  Dortmund,21,2000,2.3,53,47,6,0,0,10,2,4,0,0,0,0,33,12,8,34,10,3,1,0,31,0,0,3,5
250,Munir El Haddadi,ma  MAR,"FW,MF",es  Sevilla,25,1995,2.3,55,52,3,0,0,18,2,2,0,0,0,0,38,11,6,40,11,2,0,0,46,0,0,0,4
251,Amadou Haidara,ml  MLI,MF,de  RB Leipzig,23,1998,2.0,127,123,4,4,1,19,2,0,0,0,0,0,90,21,16,10,110,3,0,0,104,1,4,3,3
252,Achraf Hakimi,ma  MAR,DF,fr  Paris S-G,22,1998,8.0,486,425,61,5,0,44,4,7,1,1,0,0,387,77,22,44,377,6,55,2,441,0,2,11,7
253,Sébastien Haller,ci  CIV,FW,nl  Ajax,27,1994,7.4,174,159,15,0,1,53,1,2,0,0,0,0,118,25,31,23,118,8,0,4,135,0,2,9,5
254,Samir Handanović,si  SVN,GK,it  Inter,37,1984,8.0,262,226,36,7,0,40,2,0,0,0,0,0,180,11,71,20,198,2,0,41,232,1,5,2,1
255,Denys Harmash,ua  UKR,FW,ua  Dynamo Kyiv,31,1990,3.6,100,97,3,0,1,23,0,2,0,0,0,0,67,19,14,5,81,7,0,3,77,0,1,3,4
256,Hans Hateboer,nl  NED,DF,it  Atalanta,27,1994,1.0,49,39,10,0,0,8,0,3,0,0,0,0,27,11,11,8,28,1,10,0,39,1,2,2,0
257,Kai Havertz,de  GER,FW,eng  Chelsea,22,1999,7.5,262,249,13,0,0,70,2,6,0,0,0,0,210,30,22,188,52,6,1,1,218,1,2,14,7
258,Eden Hazard,be  BEL,FW,es  Real Madrid,30,1991,0.9,58,55,3,0,0,15,1,2,3,0,0,1,48,2,8,4,51,1,0,1,50,0,0,0,1
259,Thorgan Hazard,be  BEL,FW,de  Dortmund,28,1993,1.6,71,67,4,0,0,6,2,6,2,0,2,0,54,9,8,15,50,3,2,1,54,2,0,5,3
260,Tom Heaton,eng  ENG,GK,eng  Manchester Utd,35,1986,0.3,11,6,5,0,0,0,0,0,0,0,0,0,5,0,6,1,9,0,0,1,7,0,0,0,0
