,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
13,Thibaut Courtois,be  BEL,GK,es  Real Madrid,29,1992,13.7,14,0,0,1,0,19.1,0.26,+5.1,+0.37,56,178,31.5,435,65,31.0,34.7,68,63.2,51.5,92,7,7.6,7,0.51,14.7
14,Johan Dahlin,se  SWE,GK,se  Malmö,34,1986,3.5,8,2,0,2,0,9.1,0.27,+1.1,+0.31,18,69,26.1,66,11,63.6,47.5,37,73.0,57.1,39,1,2.6,1,0.29,11.0
15,Ersin Destanoğlu,tr  TUR,GK,tr  Beşiktaş,20,2001,5.0,17,3,0,3,0,14.8,0.37,-2.2,-0.44,30,77,39.0,107,21,46.7,38.5,44,61.4,49.1,47,2,4.3,3,0.60,14.9
16,Ismael Diawara,ml  MLI,GK,se  Malmö,26,1994,2.5,6,2,0,0,0,6.5,0.29,+0.5,+0.21,13,32,40.6,44,7,40.9,34.8,26,53.8,46.7,20,1,5.0,2,0.80,17.1
17,Gianluigi Donnarumma,it  ITA,GK,fr  Paris S-G,22,1999,5.0,6,1,0,0,0,7.1,0.24,+1.1,+0.22,13,38,34.2,121,28,20.7,26.8,36,36.1,30.1,50,3,6.0,6,1.20,15.2
18,Ederson,br  BRA,GK,eng  Manchester City,27,1993,11.1,14,2,0,0,1,10.5,0.33,-2.5,-0.23,48,92,52.2,275,33,26.5,32.1,52,36.5,38.3,56,1,1.8,11,0.99,17.6
19,Guillaume Faivre,ch  SUI,GK,ch  Young Boys,34,1987,3.0,6,0,1,2,0,5.7,0.35,-0.3,-0.10,29,56,51.8,120,10,45.0,35.2,12,16.7,26.1,15,1,6.7,1,0.33,20.0
20,David de Gea,es  ESP,GK,eng  Manchester Utd,30,1990,7.0,9,0,0,2,0,7.8,0.27,-1.2,-0.18,36,77,46.8,107,17,44.9,39.5,61,47.5,39.1,40,1,2.5,2,0.29,15.5
21,Ivo Grbić,hr  CRO,GK,fr  Lille,25,1996,6.0,4,2,0,0,0,4.3,0.18,+0.3,+0.05,31,110,28.2,129,28,57.4,43.3,45,80.0,55.8,57,3,5.3,1,0.17,11.6
22,Péter Gulácsi,hu  HUN,GK,de  RB Leipzig,31,1990,5.0,14,2,0,4,1,10.9,0.40,-2.1,-0.42,30,61,49.2,162,22,36.4,33.4,18,11.1,19.5,27,2,7.4,5,1.00,15.4
23,Mert Günok,tr  TUR,GK,tr  Beşiktaş,32,1989,1.0,2,0,0,0,0,2.4,0.40,+0.4,+0.38,14,27,51.9,31,5,61.3,44.3,12,66.7,47.8,11,1,9.1,1,1.00,14.2
24,Samir Handanović,si  SVN,GK,it  Inter,37,1984,8.0,7,0,1,1,0,4.1,0.22,-2.9,-0.36,32,59,54.2,233,41,22.7,27.2,29,20.7,30.3,45,3,6.7,5,0.63,13.4
25,Tom Heaton,eng  ENG,GK,eng  Manchester Utd,35,1986,0.3,0,0,0,0,0,0.0,,0.0,0.00,2,6,33.3,6,1,50.0,34.7,5,60.0,41.0,4,1,25.0,0,0.00,10.5
26,Dean Henderson,eng  ENG,GK,eng  Manchester Utd,24,1997,0.7,1,0,0,1,0,1.2,0.29,+0.2,+0.24,1,12,8.3,24,8,41.7,40.8,6,33.3,42.5,11,2,18.2,2,2.69,18.0
27,Mikhail Kerzhakov,ru  RUS,GK,ru  Zenit,34,1987,2.0,4,0,0,1,0,2.8,0.31,-1.2,-0.60,5,11,45.5,22,4,31.8,33.0,10,40.0,36.0,8,1,12.5,1,0.50,22.7
28,Gregor Kobel,ch  SUI,GK,de  Dortmund,23,1997,6.0,11,0,0,0,1,9.3,0.36,-0.7,-0.11,27,48,56.3,142,15,27.5,31.6,36,25.0,30.9,54,2,3.7,4,0.67,12.5
29,Philipp Köhn,ch  SUI,GK,at  RB Salzburg,23,1998,8.0,14,3,1,1,0,12.2,0.35,-1.8,-0.23,43,111,38.7,176,35,43.2,39.9,56,62.5,48.1,68,9,13.2,4,0.50,12.5
30,Stanislav Kritsyuk,ru  RUS,GK,ru  Zenit,30,1990,4.0,6,1,0,1,0,7.0,0.36,+1.0,+0.26,20,45,44.4,64,12,40.6,35.9,38,50.0,38.2,49,3,6.1,2,0.50,13.6
31,Mike Maignan,fr  FRA,GK,it  Milan,26,1995,3.0,7,1,0,2,1,4.4,0.17,-1.6,-0.53,11,44,25.0,91,17,34.1,34.8,22,59.1,53.6,35,1,2.9,2,0.67,11.4
32,Josep Martinez,es  ESP,GK,de  RB Leipzig,23,1998,1.0,0,0,0,0,0,0.2,0.08,+0.2,+0.24,9,25,36.0,26,2,80.8,57.2,5,80.0,58.2,3,0,0.0,2,2.00,15.6
33,Edouard Mendy,sn  SEN,GK,eng  Chelsea,29,1992,9.3,7,1,0,0,0,5.3,0.29,-1.7,-0.18,14,47,29.8,174,40,19.5,28.4,48,27.1,27.5,39,5,12.8,7,0.75,16.9
34,Simon Mignolet,be  BEL,GK,be  Club Brugge,33,1988,6.0,20,3,0,0,0,19.8,0.40,-0.2,-0.03,66,120,55.0,180,21,52.2,39.6,47,55.3,39.9,33,3,9.1,4,0.67,13.6
35,Juan Musso,ar  ARG,GK,it  Atalanta,27,1994,6.0,13,0,0,3,0,10.9,0.32,-2.1,-0.35,27,69,39.1,133,28,31.6,34.2,33,81.8,58.0,38,1,2.6,3,0.50,14.3
36,Keylor Navas,cr  CRC,GK,fr  Paris S-G,34,1986,3.0,5,0,0,0,0,5.8,0.36,+0.8,+0.27,9,27,33.3,88,16,25.0,28.3,21,23.8,25.6,26,0,0.0,1,0.33,10.6
37,Manuel Neuer,de  GER,GK,de  Bayern Munich,35,1986,9.0,6,0,0,0,0,5.6,0.28,-0.4,-0.04,55,87,63.2,315,41,24.1,30.2,44,25.0,31.7,42,2,4.8,10,1.11,19.6
38,Jan Oblak,si  SVN,GK,es  Atlético Madrid,28,1993,10.0,10,2,0,1,0,11.9,0.31,+1.9,+0.19,60,193,31.1,196,36,66.3,47.1,97,64.9,49.9,70,3,4.3,2,0.20,12.8
39,André Onana,cm  CMR,GK,nl  Ajax,25,1996,2.0,2,1,0,0,0,2.5,0.51,+0.5,+0.26,3,11,27.3,47,6,14.9,25.7,11,36.4,33.1,12,0,0.0,2,1.00,14.4
40,Remko Pasveer,nl  NED,GK,nl  Ajax,37,1983,6.0,6,1,0,0,1,5.5,0.28,+0.5,+0.08,31,64,48.4,209,15,28.2,31.7,33,15.2,27.3,32,1,3.1,1,0.17,16.5
41,Mattia Perin,it  ITA,GK,it  Juventus,28,1992,1.0,0,0,0,0,0,0.2,0.10,+0.2,+0.19,4,8,50.0,19,3,36.8,31.7,3,33.3,29.3,3,0,0.0,0,0.00,13.5
42,Pavao Pervan,at  AUT,GK,de  Wolfsburg,33,1987,1.0,2,0,0,0,0,2.0,0.28,0.0,-0.04,8,22,36.4,33,7,48.5,36.2,9,66.7,47.1,12,0,0.0,2,2.00,16.4
43,Andriy Pyatov,ua  UKR,GK,ua  Shakhtar,37,1984,2.9,2,0,0,0,0,2.4,0.29,+0.4,+0.12,10,14,71.4,71,12,14.1,23.8,14,28.6,29.4,19,1,5.3,2,0.68,27.3
44,Gerónimo Rulli,ar  ARG,GK,es  Villarreal,29,1992,12.0,16,0,0,0,1,16.1,0.29,+1.1,+0.09,69,242,28.5,385,46,43.1,40.0,124,61.3,48.9,134,14,10.4,13,1.08,14.9
45,Oleksiy Shevchenko,ua  UKR,GK,ua  Shakhtar,29,1992,0.1,1,0,0,0,0,0.9,0.44,-0.1,-2.02,0,1,0.0,2,1,0.0,20.5,2,50.0,37.5,2,0,0.0,0,0.00,8.0
46,Zack Steffen,us  USA,GK,eng  Manchester City,26,1995,1.0,2,0,0,0,0,2.6,0.52,+0.6,+0.59,0,2,0.0,21,5,9.5,23.1,2,0.0,19.0,6,0,0.0,1,1.00,14.8
47,Wojciech Szczęsny,pl  POL,GK,it  Juventus,31,1990,7.0,10,2,0,3,1,10.4,0.43,+1.4,+0.20,26,53,49.1,142,30,28.2,33.7,50,26.0,28.2,51,3,5.9,2,0.29,12.3
48,Ciprian Tătărușanu,ro  ROU,GK,it  Milan,35,1986,3.0,2,0,0,0,0,1.6,0.18,-0.4,-0.14,20,31,64.5,72,20,27.8,32.4,26,42.3,36.8,22,2,9.1,1,0.33,11.9
49,Marc-André ter Stegen,de  GER,GK,es  Barcelona,29,1992,6.0,9,1,0,0,0,8.3,0.31,-0.7,-0.12,33,57,57.9,180,26,22.8,29.1,36,44.4,37.6,27,5,18.5,5,0.83,16.6
50,Anatolii Trubin,ua  UKR,GK,ua  Shakhtar,19,2001,3.0,9,0,0,1,1,9.2,0.37,+1.2,+0.39,12,25,48.0,79,16,29.1,30.1,14,14.3,19.9,20,0,0.0,2,0.67,12.1
51,Sven Ulreich,de  GER,GK,de  Bayern Munich,32,1988,1.0,1,0,0,0,0,1.6,0.32,+0.6,+0.59,2,3,66.7,30,7,10.0,24.4,2,0.0,20.0,4,0,0.0,1,1.00,13.6
52,João Virgínia,pt  POR,GK,pt  Sporting CP,21,1999,1.0,4,1,0,0,0,3.3,0.38,-0.7,-0.75,3,11,27.3,32,4,34.4,30.9,5,0.0,22.8,7,2,28.6,0,0.00,10.8
53,Odisseas Vlachodimos,gr  GRE,GK,pt  Benfica,27,1994,10.0,17,0,1,3,1,19.7,0.36,+3.7,+0.37,68,178,38.2,269,45,50.2,41.4,91,47.3,41.5,113,5,4.4,2,0.20,12.3
