,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
695,Domagoj Vida,hr  CRO,DF,tr  Beşiktaş,32,1989,2.0,93,104,89.4,1828,628,35,38,92.1,45,49,91.8,13,17,76.5,0,0.0,0.0,0,2,0,0,4
696,Arturo Vidal,cl  CHI,MF,it  Inter,34,1987,4.6,222,265,83.8,3963,1165,100,110,90.9,92,105,87.6,24,35,68.6,2,0.9,+1.1,6,26,5,2,27
697,Fabio Vieira,pt  POR,"MF,DF",pt  Porto,21,2000,1.0,33,44,75.0,717,194,6,8,75.0,16,20,80.0,7,10,70.0,1,0.2,+0.8,1,5,3,1,6
698,Rúben Vinagre,pt  POR,DF,pt  Sporting CP,22,1999,0.7,26,35,74.3,383,143,15,18,83.3,11,14,78.6,0,2,0.0,0,0.0,0.0,0,0,0,0,2
699,João Virgínia,pt  POR,GK,pt  Sporting CP,21,1999,1.0,28,37,75.7,617,221,9,9,100.0,14,15,93.3,5,13,38.5,0,0.0,0.0,0,0,0,0,0
700,Vitão,br  BRA,DF,ua  Shakhtar,21,2000,1.0,74,82,90.2,1532,276,18,19,94.7,50,53,94.3,6,10,60.0,0,0.0,0.0,0,2,0,0,4
701,Vitinha,pt  POR,MF,pt  Porto,21,2000,2.5,132,155,85.2,2595,596,56,59,94.9,55,61,90.2,21,32,65.6,0,0.0,0.0,0,16,1,0,10
702,Vitinho,br  BRA,"FW,MF",ua  Dynamo Kyiv,22,1999,1.1,21,30,70.0,352,68,10,13,76.9,9,12,75.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0
703,Odisseas Vlachodimos,gr  GRE,GK,pt  Benfica,27,1994,10.0,247,360,68.6,7856,4618,44,44,100.0,97,97,100.0,105,218,48.2,0,0.0,0.0,0,4,0,0,0
704,Dušan Vlahović,rs  SRB,FW,it  Juventus,21,2000,2.0,23,34,67.6,412,53,13,18,72.2,7,9,77.8,3,5,60.0,0,0.1,-0.1,1,1,1,0,3
705,Ruud Vormer,nl  NED,MF,be  Club Brugge,33,1988,1.8,71,88,80.7,1295,388,33,34,97.1,26,30,86.7,10,21,47.6,1,0.4,+0.6,2,6,1,1,7
706,Aster Vranckx,be  BEL,"MF,FW",de  Wolfsburg,18,2002,3.7,83,109,76.1,1532,380,41,48,85.4,29,36,80.6,13,18,72.2,0,0.1,-0.1,1,14,2,1,4
707,Stefan de Vrij,nl  NED,DF,it  Inter,29,1992,5.4,299,330,90.6,5677,1707,115,120,95.8,148,161,91.9,32,43,74.4,0,0.0,0.0,2,22,0,0,17
708,Šime Vrsaljko,hr  CRO,DF,es  Atlético Madrid,29,1992,3.4,70,106,66.0,1333,600,28,37,75.7,31,49,63.3,10,18,55.6,0,0.0,0.0,0,5,1,1,5
709,Luca Waldschmidt,de  GER,"MF,FW",de  Wolfsburg,25,1996,1.3,26,31,83.9,437,145,11,12,91.7,12,14,85.7,3,5,60.0,0,0.0,0.0,1,3,1,0,3
710,Kyle Walker,eng  ENG,DF,eng  Manchester City,31,1990,6.4,382,455,84.0,7448,2236,144,163,88.3,195,209,93.3,41,72,56.9,0,0.2,-0.2,4,38,7,1,35
