,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
10,Paul Pogba,fr  FRA,"MF,FW",28-007,19,15,1349.0,15.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.2,0.0,0.2,0.2,0.2,1.3,1.3,1.2,2.5,0.09,0.08,0.17,0.09,0.17,fr  FRA,"MF,FW",28-007,15.0,3,20,10,50.0,1.33,0.67,0.15,0.3,16.2,0,0,0,1.3,1.3,0.07,1.7,1.7,fr  FRA,"MF,FW",28-007,15.0,829,999,83.0,15916,3772,376,421,89.3,301,334,90.1,132,198,66.7,0,1.2,-1.2,14,81,20,0,80,fr  FRA,"MF,FW",28-007,15.0,999,975,24,21,4,162,57,12,0,0,0,0,751,96,152,134,802,28,3,3,829,7,13,26,21,fr  FRA,"MF,FW",28-007,15.0,46,3.07,31,1,2,3,6,3,2,0.13,0,0,1,0,1,0,0,fr  FRA,"MF,FW",28-007,15.0,31,22,13,14,4,9,26,34.6,17,212,72,34.0,72,89,51,13,1,0,12,15,46,32,0,fr  FRA,"MF,FW",28-007,15.0,1210,41,263,680,333,42,1192,28,46,60.9,30,0,863,3917,2064,97,17,2,31,30,1019,912,89.5,57
11,Mason Greenwood,eng  ENG,FW,19-172,23,15,1294.0,14.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,3.5,3.5,1.0,4.5,0.25,0.07,0.31,0.25,0.31,eng  ENG,FW,19-172,14.4,1,40,10,25.0,2.78,0.7,0.03,0.1,17.4,0,0,0,3.5,3.5,0.09,-2.5,-2.5,eng  ENG,FW,19-172,14.4,427,508,84.1,6953,1080,243,267,91.0,145,171,84.8,32,51,62.7,1,1.0,0.0,11,19,11,2,27,eng  ENG,FW,19-172,14.4,508,504,4,1,0,95,20,23,2,0,0,0,418,38,52,385,112,6,0,1,427,3,2,13,12,eng  ENG,FW,19-172,14.4,34,2.36,23,1,5,3,1,1,2,0.14,2,0,0,0,0,0,0,eng  ENG,FW,19-172,14.4,17,11,8,4,5,2,20,10.0,18,194,55,28.4,41,88,65,4,0,0,4,7,24,1,0,eng  ENG,FW,19-172,14.4,662,3,70,280,365,67,658,30,53,56.6,34,2,558,2921,1502,87,18,24,22,27,743,548,73.8,103
12,Nemanja Matić,rs  SRB,MF,32-233,15,10,915.0,10.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,rs  SRB,MF,32-233,10.2,0,6,3,50.0,0.59,0.3,0.0,0.0,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,rs  SRB,MF,32-233,10.2,734,805,91.2,13889,3806,288,307,93.8,348,375,92.8,89,107,83.2,0,0.3,-0.3,6,74,8,2,72,rs  SRB,MF,32-233,10.2,805,780,25,22,1,109,26,4,0,0,0,0,678,53,74,681,97,14,3,0,734,2,3,11,11,rs  SRB,MF,32-233,10.2,18,1.77,16,0,0,2,0,0,3,0.3,3,0,0,0,0,0,0,rs  SRB,MF,32-233,10.2,21,12,12,8,1,9,24,37.5,15,138,42,30.4,59,68,11,27,4,0,23,9,30,13,0,rs  SRB,MF,32-233,10.2,899,29,253,589,166,8,877,10,13,76.9,10,0,649,4315,2702,93,33,2,5,9,708,681,96.2,7
13,Edinson Cavani,uy  URU,FW,34-036,18,9,927.0,10.3,6.0,2.0,6.0,0.0,0.0,1.0,0.0,0.58,0.19,0.78,0.58,0.78,5.0,5.0,1.7,6.7,0.48,0.16,0.65,0.48,0.65,uy  URU,FW,34-036,10.3,6,27,10,37.0,2.62,0.97,0.22,0.6,10.1,0,0,0,5.0,5.0,0.18,1.0,1.0,uy  URU,FW,34-036,10.3,180,231,77.9,3057,425,91,109,83.5,59,74,79.7,23,26,88.5,2,1.7,0.3,9,8,9,1,12,uy  URU,FW,34-036,10.3,231,224,7,0,1,41,6,5,0,0,0,0,166,31,34,44,175,5,2,4,180,0,1,13,8,uy  URU,FW,34-036,10.3,20,1.94,14,0,2,2,2,0,2,0.19,2,0,0,0,0,0,0,uy  URU,FW,34-036,10.3,9,5,0,4,5,3,10,30.0,7,142,36,25.4,11,51,80,5,1,0,4,7,16,6,0,uy  URU,FW,34-036,10.3,320,7,28,130,167,55,313,6,11,54.5,6,0,166,588,163,10,3,1,14,3,423,225,53.2,72
14,Daniel James,wal  WAL,FW,23-132,12,9,727.0,8.1,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.37,0.0,0.37,0.37,0.37,1.9,1.9,0.3,2.2,0.23,0.04,0.27,0.23,0.27,wal  WAL,FW,23-132,8.1,3,16,6,37.5,1.98,0.74,0.19,0.5,16.8,0,0,0,1.9,1.9,0.12,1.1,1.1,wal  WAL,FW,23-132,8.1,200,257,77.8,2736,626,127,151,84.1,58,75,77.3,5,8,62.5,0,0.3,-0.3,5,5,9,2,21,wal  WAL,FW,23-132,8.1,257,254,3,1,1,46,2,17,0,0,0,0,211,27,19,26,218,6,2,0,200,1,6,4,14,wal  WAL,FW,23-132,8.1,9,1.11,8,0,0,0,1,0,1,0.12,1,0,0,0,0,0,0,wal  WAL,FW,23-132,8.1,9,7,2,3,4,2,21,9.5,19,167,37,22.2,33,67,67,10,0,0,10,9,18,2,0,wal  WAL,FW,23-132,8.1,339,6,43,129,198,33,337,7,12,58.3,8,0,258,1647,1075,55,15,10,12,13,340,250,73.5,39
15,Eric Bailly,ci  CIV,DF,26-344,8,7,638.0,7.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,ci  CIV,DF,26-344,7.1,0,1,0,0.0,0.14,0.0,0.0,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,ci  CIV,DF,26-344,7.1,343,382,89.8,7151,2276,97,105,92.4,196,211,92.9,49,64,76.6,0,0.0,0.0,0,24,0,0,23,ci  CIV,DF,26-344,7.1,382,375,7,7,0,29,4,0,0,0,0,0,315,31,36,45,310,18,0,0,343,0,2,7,3,ci  CIV,DF,26-344,7.1,1,0.14,1,0,0,0,0,0,1,0.14,1,0,0,0,0,0,0,ci  CIV,DF,26-344,7.1,8,5,4,3,1,0,0,,0,43,16,37.2,20,22,1,13,12,0,1,17,25,38,0,ci  CIV,DF,26-344,7.1,464,64,261,226,10,3,459,4,4,100.0,4,0,296,1939,1016,27,1,0,2,1,298,294,98.7,0
16,Alex Telles,br  BRA,DF,28-097,7,6,510.0,5.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,0.1,0.1,0.8,1.0,0.02,0.15,0.17,0.02,0.17,br  BRA,DF,28-097,5.7,0,4,1,25.0,0.71,0.18,0.0,0.0,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,br  BRA,DF,28-097,5.7,363,451,80.5,5994,2493,189,200,94.5,129,153,84.3,33,81,40.7,2,0.8,1.2,10,29,12,2,39,br  BRA,DF,28-097,5.7,451,372,79,3,0,35,13,23,24,4,16,0,270,64,117,354,27,12,52,0,363,0,3,9,6,br  BRA,DF,28-097,5.7,17,3.0,7,7,0,2,1,0,2,0.35,1,1,0,0,0,0,0,br  BRA,DF,28-097,5.7,8,4,7,1,0,3,7,42.9,4,49,16,32.7,25,16,8,8,0,0,8,5,13,17,0,br  BRA,DF,28-097,5.7,506,21,126,237,168,2,427,1,2,50.0,1,0,290,1496,922,35,9,0,4,7,356,332,93.3,12
17,Dean Henderson,eng  ENG,GK,24-010,6,5,495.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng  ENG,GK,24-010,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,eng  ENG,GK,24-010,5.5,94,132,71.2,2031,980,32,32,100.0,42,42,100.0,20,57,35.1,0,0.0,0.0,0,0,0,0,0,eng  ENG,GK,24-010,5.5,132,75,57,7,0,8,1,0,0,0,0,0,84,6,42,7,95,0,0,27,94,0,2,0,1,eng  ENG,GK,24-010,5.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,eng  ENG,GK,24-010,5.5,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0,eng  ENG,GK,24-010,5.5,149,138,149,0,0,0,92,0,0,,0,0,49,239,105,0,0,0,0,0,45,45,100.0,0
18,Juan Mata,es  ESP,FW,32-328,7,4,338.0,3.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,0.3,0.3,0.8,1.2,0.09,0.22,0.31,0.09,0.31,es  ESP,FW,32-328,3.8,0,4,3,75.0,1.07,0.8,0.0,0.0,17.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,es  ESP,FW,32-328,3.8,160,193,82.9,2459,608,98,107,91.6,45,54,83.3,15,25,60.0,2,0.8,1.2,8,13,3,1,15,es  ESP,FW,32-328,3.8,193,183,10,4,1,33,5,5,6,0,6,0,154,12,27,157,30,2,0,3,160,1,0,6,3,es  ESP,FW,32-328,3.8,18,4.79,12,4,0,2,0,0,5,1.33,3,1,0,1,0,0,0,es  ESP,FW,32-328,3.8,2,2,1,1,0,0,5,0.0,5,42,10,23.8,9,13,20,2,0,0,2,0,2,2,0,es  ESP,FW,32-328,3.8,219,4,22,100,107,15,210,2,3,66.7,2,0,152,861,417,29,9,4,4,9,215,182,84.7,28
19,Donny van de Beek,nl  NED,"MF,FW",23-338,13,2,322.0,3.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,0.3,0.3,0.1,0.4,0.07,0.03,0.11,0.07,0.11,nl  NED,"MF,FW",23-338,3.6,1,1,1,100.0,0.28,0.28,1.0,1.0,9.8,0,0,0,0.3,0.3,0.26,0.7,0.7,nl  NED,"MF,FW",23-338,3.6,146,173,84.4,2089,393,87,99,87.9,53,57,93.0,3,5,60.0,0,0.1,-0.1,2,7,1,1,5,nl  NED,"MF,FW",23-338,3.6,173,172,1,0,0,23,2,4,0,0,0,0,147,17,9,13,154,4,1,1,146,0,1,5,9,nl  NED,"MF,FW",23-338,3.6,10,2.8,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,nl  NED,"MF,FW",23-338,3.6,7,7,3,3,1,1,6,16.7,5,59,17,28.8,8,33,18,9,1,0,8,4,11,4,0,nl  NED,"MF,FW",23-338,3.6,214,5,33,99,92,23,213,3,5,60.0,3,0,130,494,246,14,6,0,6,5,214,165,77.1,36
