,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Match Report
18,2020-11-21,Sat,La Liga,Matchweek 10,Away,L 0–1,Barcelona,Atlético Madrid,Y,"DM,CB",90,0,0,0,0,0,0,0,0,87,26,6,2,2,0.0,0.0,0.0,1,0,71,77,92.2,2,69,10,0,0,Match Report
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-11-29,Sun,La Liga,Matchweek 11,Home,W 4–0,Barcelona,Osasuna,Y,"DM,CB",90,0,0,0,0,1,0,0,0,110,6,0,1,1,0.4,0.4,0.1,4,0,96,104,92.3,5,91,4,1,1,Match Report
21,2020-12-02,Wed,Champions Lg,Group stage,Away,W 3–0,es  Barcelona,hu  Ferencváros,N,"CB,CM",45,0,0,0,0,0,0,0,0,51,4,1,4,1,0.0,0.0,0.1,1,0,44,47,93.6,1,39,5,0,0,Match Report
22,2020-12-05,Sat,La Liga,Matchweek 12,Away,L 1–2,Barcelona,Cádiz,Y,"DM,CB",90,0,0,0,0,1,0,0,0,123,9,3,1,2,0.0,0.0,0.0,1,0,99,111,89.2,5,88,21,0,1,Match Report
23,2020-12-08,Tue,Champions Lg,Group stage,Home,L 0–3,es  Barcelona,it  Juventus,Y,DM,90,0,0,0,0,0,0,0,0,103,17,2,3,0,0.0,0.0,0.0,3,0,93,96,96.9,13,90,23,1,1,Match Report
24,2020-12-13,Sun,La Liga,Matchweek 13,Home,W 1–0,Barcelona,Levante,Y,CM,90,0,1,0,0,0,0,1,0,62,11,1,1,0,0.0,0.0,0.5,7,1,52,56,92.9,6,52,8,2,2,Match Report
25,2020-12-16,Wed,La Liga,Matchweek 19,Home,W 2–1,Barcelona,Real Sociedad,Y,"DM,CM",90,1,0,0,0,1,1,0,0,66,10,0,1,1,0.4,0.4,0.4,2,0,49,58,84.5,6,45,9,2,3,Match Report
26,2020-12-19,Sat,La Liga,Matchweek 14,Home,D 2–2,Barcelona,Valencia,N,CM,45,0,0,0,0,0,0,0,0,51,6,0,1,0,0.0,0.0,0.2,6,0,45,47,95.7,6,45,9,2,2,Match Report
27,2020-12-22,Tue,La Liga,Matchweek 15,Away,W 3–0,Barcelona,Valladolid,Y,DM,70,0,0,0,0,0,0,1,0,73,9,0,0,1,0.0,0.0,0.3,2,0,55,65,84.6,5,51,12,2,2,Match Report
28,2020-12-29,Tue,La Liga,Matchweek 16,Home,D 1–1,Barcelona,Eibar,Y,DM,90,0,0,0,0,1,1,0,0,98,5,1,0,0,0.1,0.1,0.0,1,0,85,90,94.4,9,61,5,1,3,Match Report
29,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 1–0,Barcelona,Huesca,Y,"CM,DM",90,1,0,0,0,1,1,0,0,81,14,4,1,0,0.4,0.4,0.0,1,0,68,72,94.4,6,59,7,1,2,Match Report
30,2021-01-06,Wed,La Liga,Matchweek 2,Away,W 3–2,Barcelona,Athletic Club,Y,CM,90,0,1,0,0,0,0,0,0,78,9,1,2,3,0.0,0.0,0.2,2,1,64,67,95.5,4,58,9,0,0,Match Report
31,2021-01-09,Sat,La Liga,Matchweek 18,Away,W 4–0,Barcelona,Granada,Y,CM,64,0,0,0,0,1,0,0,0,58,4,1,0,0,0.1,0.1,0.1,3,0,48,53,90.6,8,41,10,2,2,Match Report
32,2021-01-13,Wed,Supercopa de España,Semi-finals,Away,D 1  (3)  –1  (2),Barcelona,Real Sociedad,Y,DM,120,1,0,0,0,1,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report
33,2021-01-17,Sun,Supercopa de España,Final,Home,L 2–3,Barcelona,Athletic Club,Y,CM,120,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,,,,,Match Report
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2021-01-24,Sun,La Liga,Matchweek 20,Away,W 2–0,Barcelona,Elche,Y,CM,90,1,1,0,0,1,1,0,0,87,7,2,3,1,0.9,0.9,0.1,3,1,66,79,83.5,8,68,10,0,0,Match Report
36,2021-01-27,Wed,Copa del Rey,Round of 16,Away,W 2–1,Barcelona,Rayo Vallecano,Y,CM,90,1,0,0,0,3,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
37,2021-01-31,Sun,La Liga,Matchweek 21,Home,W 2–1,Barcelona,Athletic Club,Y,DM,90,0,0,0,0,0,0,1,0,93,4,0,0,1,0.0,0.0,0.1,2,0,80,87,92.0,3,73,5,4,4,Match Report
38,2021-02-03,Wed,Copa del Rey,Quarter-finals,Away,W 5–3,Barcelona,Granada,Y,CM,120,1,0,0,0,1,1,0,0,,,,3,,,,,,,,,,,,,,,Match Report
39,2021-02-07,Sun,La Liga,Matchweek 22,Away,W 3–2,Barcelona,Betis,N,"CB,DM",80,0,0,0,0,0,0,1,0,92,5,0,1,0,0.0,0.0,0.0,0,0,88,88,100.0,4,59,7,0,0,Match Report
40,2021-02-10,Wed,Copa del Rey,Semi-finals,Away,L 0–2,Barcelona,Sevilla,Y,CM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
41,2021-02-13,Sat,La Liga,Matchweek 23,Home,W 5–1,Barcelona,Alavés,Y,"CB,DM",71,0,0,0,0,0,0,0,0,105,7,1,0,0,0.0,0.0,0.0,0,0,97,102,95.1,2,79,6,0,0,Match Report
42,2021-02-16,Tue,Champions Lg,Round of 16,Home,L 1–4,es  Barcelona,fr  Paris S-G,Y,"CM,CB",90,0,0,0,0,0,0,0,0,51,11,1,1,2,0.0,0.0,0.0,3,1,39,43,90.7,4,30,5,0,1,Match Report
43,2021-02-21,Sun,La Liga,Matchweek 24,Home,D 1–1,Barcelona,Cádiz,Y,"CM,DM",90,0,0,0,0,1,0,0,0,84,4,0,0,0,0.3,0.3,0.0,3,0,75,81,92.6,5,62,7,0,1,Match Report
44,2021-02-24,Wed,La Liga,Matchweek 1,Home,W 3–0,Barcelona,Elche,Y,CM,90,0,1,0,0,0,0,0,0,114,6,1,1,1,0.0,0.0,0.5,2,0,97,102,95.1,8,93,25,2,3,Match Report
45,2021-02-27,Sat,La Liga,Matchweek 25,Away,W 2–0,Barcelona,Sevilla,Y,CM,90,0,0,0,0,0,0,0,0,62,6,0,1,0,0.0,0.0,0.2,2,0,52,59,88.1,4,61,9,3,3,Match Report
46,2021-03-03,Wed,Copa del Rey,Semi-finals,Home,W 3–0,Barcelona,Sevilla,Y,AM,120,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
47,2021-03-06,Sat,La Liga,Matchweek 26,Away,W 2–0,Barcelona,Osasuna,Y,CM,90,0,0,0,0,1,0,0,0,75,11,0,3,0,0.2,0.2,0.0,2,0,63,69,91.3,3,63,6,1,3,Match Report
48,2021-03-10,Wed,Champions Lg,Round of 16,Away,D 1–1,es  Barcelona,fr  Paris S-G,Y,CB,90,0,0,0,0,0,0,1,0,111,11,0,1,1,0.0,0.0,0.0,0,0,100,106,94.3,3,93,7,2,2,Match Report
49,2021-03-15,Mon,La Liga,Matchweek 27,Home,W 4–1,Barcelona,Huesca,Y,CB,62,0,0,0,0,1,0,0,0,88,5,2,0,1,0.3,0.3,0.0,0,0,83,84,98.8,0,74,8,0,0,Match Report
50,2021-03-21,Sun,La Liga,Matchweek 28,Away,W 6–1,Barcelona,Real Sociedad,Y,"CB,DM",90,0,0,0,0,0,0,0,0,104,16,2,1,3,0.0,0.0,0.0,1,1,95,97,97.9,3,79,9,0,0,Match Report
51,2021-03-24,Wed,WCQ — UEFA (M),First round,Away,L 2–4,nl  Netherlands,tr  Turkey,Y,CM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
52,2021-03-27,Sat,WCQ — UEFA (M),First round,Home,W 2–0,nl  Netherlands,lv  Latvia,Y,CM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
53,2021-03-30,Tue,WCQ — UEFA (M),First round,Away,W 7–0,nl  Netherlands,gi  Gibraltar,Y,CM,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,Match Report
54,2021-04-05,Mon,La Liga,Matchweek 29,Home,W 1–0,Barcelona,Valladolid,Y,"CB,DM,CM",90,0,0,0,0,0,0,0,0,113,12,2,2,2,0.0,0.0,0.2,5,0,98,104,94.2,4,93,20,1,2,Match Report
55,2021-04-10,Sat,La Liga,Matchweek 30,Away,L 1–2,Barcelona,Real Madrid,Y,"DM,CM",90,0,0,0,0,0,0,0,0,80,12,1,1,3,0.0,0.0,0.0,1,0,63,73,86.3,6,70,5,3,3,Match Report
56,2021-04-17,Sat,Copa del Rey,Final,Neutral,W 4–0,Barcelona,Athletic Club,Y,AM,90,1,2,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
57,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 5–2,Barcelona,Getafe,Y,"CM,CB",90,0,0,0,0,0,0,0,0,107,13,1,3,1,0.0,0.0,0.2,1,0,90,98,91.8,4,80,3,2,3,Match Report
58,2021-04-25,Sun,La Liga,Matchweek 32,Away,W 2–1,Barcelona,Villarreal,Y,"CM,DM",90,0,0,0,0,3,1,0,0,74,22,2,0,0,1.3,1.3,0.5,5,0,53,61,86.9,6,52,9,5,5,Match Report
59,2021-04-29,Thu,La Liga,Matchweek 33,Home,L 1–2,Barcelona,Granada,Y,CM,90,0,0,0,0,0,0,0,0,74,5,0,0,0,0.0,0.0,0.3,6,0,63,69,91.3,5,63,6,1,2,Match Report
60,2021-05-02,Sun,La Liga,Matchweek 34,Away,W 3–2,Barcelona,Valencia,Y,CM,90,0,0,0,0,1,1,0,0,71,6,0,3,0,0.1,0.1,0.3,3,1,57,62,91.9,7,42,3,3,3,Match Report
61,2021-05-08,Sat,La Liga,Matchweek 35,Home,D 0–0,Barcelona,Atlético Madrid,Y,CM,90,0,0,0,0,0,0,0,0,81,18,1,1,1,0.0,0.0,0.1,1,0,72,74,97.3,1,64,8,0,1,Match Report
62,2021-05-11,Tue,La Liga,Matchweek 36,Away,D 3–3,Barcelona,Levante,Y,CM,90,0,0,0,0,1,0,1,0,61,21,1,1,1,0.3,0.3,0.7,6,0,44,54,81.5,3,36,5,2,2,Match Report
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2021-05-22,Sat,La Liga,Matchweek 38,Away,W 1–0,Barcelona,Eibar,Y,"CB,CM",73,0,0,0,0,0,0,0,0,86,11,3,3,0,0.0,0.0,0.0,1,0,77,79,97.5,5,62,6,0,1,Match Report
65,,,,,,37-12-12,,,58/61,,5344,7,7,0,0,29,12,7,0,3640,433,48,68,38,5.5,5.5,6.0,97,10,3083,3345,92.2,222,2805,395,52,68,
