,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
355,Stefan Mitrović,rs  SRB,DF,Getafe,31-349,1990,30,29,2489,27.7,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01
356,Luka Modrić,hr  CRO,MF,Real Madrid,36-239,1985,25,23,1866,20.7,2,5,1,1,1,3,0,0.10,0.24,0.34,0.05,0.29,2.6,1.9,3.1,5.0,0.13,0.15,0.28,0.09,0.24
357,Johan Mojica,co  COL,DF,Elche,29-258,1992,32,31,2765,30.7,2,5,2,0,0,4,1,0.07,0.16,0.23,0.07,0.23,0.7,0.7,4.5,5.2,0.02,0.15,0.17,0.02,0.17
358,Jorge Molina,es  ESP,FW,Granada,40-014,1982,31,16,1669,18.5,8,4,8,0,0,2,0,0.43,0.22,0.65,0.43,0.65,4.4,4.4,2.8,7.2,0.24,0.15,0.39,0.24,0.39
359,Jon Moncayola,es  ESP,MF,Osasuna,23-358,1998,33,31,2715,30.2,2,3,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,2.2,2.2,2.0,4.2,0.07,0.07,0.14,0.07,0.14
360,Monchu,es  ESP,MF,Granada,22-235,1999,14,7,668,7.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.06,0.03,0.09,0.06,0.09
361,Gonzalo Montiel,ar  ARG,DF,Sevilla,25-125,1997,16,13,947,10.5,1,2,1,0,0,6,0,0.10,0.19,0.29,0.10,0.29,0.3,0.3,1.2,1.5,0.03,0.11,0.15,0.03,0.15
362,Ángel Montoro,es  ESP,MF,Granada,33-315,1988,24,13,1331,14.8,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,1.6,2.7,0.08,0.11,0.19,0.08,0.19
363,Martín Montoya,es  ESP,DF,Betis,31-022,1991,6,6,518,5.8,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.1,1.5,0.06,0.19,0.25,0.06,0.25
364,Jon Morcillo,es  ESP,MF,Athletic Club,23-233,1998,7,0,54,0.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.63,0.00,0.63,0.63,0.63
365,Alberto Moreno,es  ESP,"MF,DF",Villarreal,29-305,1992,24,13,1223,13.6,3,2,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,3.0,3.0,2.0,5.0,0.22,0.15,0.37,0.22,0.37
366,Álex Moreno,es  ESP,DF,Betis,28-332,1993,26,24,2063,22.9,5,3,5,0,0,3,1,0.22,0.13,0.35,0.22,0.35,2.8,2.8,1.9,4.7,0.12,0.08,0.21,0.12,0.21
367,Gerard Moreno,es  ESP,FW,Villarreal,30-029,1992,17,14,1191,13.2,9,3,8,1,2,2,0,0.68,0.23,0.91,0.60,0.83,6.5,5.0,4.7,9.6,0.49,0.35,0.84,0.37,0.73
368,Tete Morente,es  ESP,MF,Elche,25-153,1996,28,16,1438,16.0,3,3,3,0,0,3,0,0.19,0.19,0.38,0.19,0.38,3.1,3.1,2.1,5.2,0.20,0.13,0.33,0.20,0.33
369,Ilaix Moriba,gn  GUI,MF,Valencia,19-107,2003,10,5,483,5.4,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.07,0.05,0.12,0.07,0.12
370,Manu Morlanes,es  ESP,MF,Espanyol,23-114,1999,26,10,1099,12.2,2,0,2,0,0,6,1,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.3,1.1,0.06,0.02,0.09,0.06,0.09
371,Cristhian Mosquera,co  COL,DF,Valencia,17-313,2004,6,3,212,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05
372,Toni Moya,es  ESP,MF,Alavés,24-047,1998,26,16,1329,14.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.2,1.2,1.8,2.9,0.08,0.12,0.20,0.08,0.20
373,Iker Muniain,es  ESP,MF,Athletic Club,29-138,1992,31,30,2425,26.9,4,9,3,1,3,3,0,0.15,0.33,0.48,0.11,0.45,6.7,4.2,8.3,12.5,0.25,0.31,0.56,0.16,0.46
374,Aihen Muñoz,es  ESP,DF,Real Sociedad,24-263,1997,19,15,1334,14.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.1,0.5,0.6,0.01,0.03,0.05,0.01,0.04
375,Jeison Murillo,co  COL,DF,Celta Vigo,29-344,1992,17,12,1084,12.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.04,0.00,0.04,0.04,0.04
376,Vedat Muriqi,xk  KVX,FW,Mallorca,28-012,1994,12,12,1078,12.0,4,1,2,2,2,5,0,0.33,0.08,0.42,0.17,0.25,4.1,2.5,0.5,3.1,0.34,0.04,0.38,0.21,0.26
377,Yunus Musah,us  USA,MF,Valencia,19-158,2002,25,12,1154,12.8,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,1.1,1.4,0.03,0.08,0.11,0.03,0.11
378,Shkodran Mustafi,de  GER,DF,Levante,30-019,1992,11,8,658,7.3,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
379,Nacho,es  ESP,DF,Real Madrid,32-108,1990,24,13,1204,13.4,3,0,3,0,0,5,0,0.22,0.00,0.22,0.22,0.22,1.0,1.0,0.3,1.3,0.07,0.02,0.10,0.07,0.10
380,Roberto Navarro,es  ESP,"MF,FW",Real Sociedad,20-024,2002,6,3,199,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.32,0.02,0.35,0.32,0.35
381,Ximo Navarro,es  ESP,DF,Alavés,32-103,1990,15,13,1104,12.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.02,0.05,0.03,0.05
382,Jesús Navas,es  ESP,DF,Sevilla,36-166,1985,21,17,1569,17.4,0,3,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,4.1,4.5,0.02,0.24,0.26,0.02,0.26
383,Loum Ndiaye,sn  SEN,MF,Alavés,25-127,1996,29,23,2051,22.8,2,0,2,0,0,8,0,0.09,0.00,0.09,0.09,0.09,2.3,2.3,0.1,2.4,0.10,0.01,0.11,0.10,0.11
384,Álvaro Negredo,es  ESP,FW,Cádiz,36-259,1985,30,21,1898,21.1,6,2,4,2,2,2,0,0.28,0.09,0.38,0.19,0.28,6.1,4.5,1.6,6.1,0.29,0.08,0.36,0.22,0.29
385,Neto,br  BRA,GK,Barcelona,32-291,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
386,Carlos Neva,es  ESP,DF,Granada,25-328,1996,26,24,2108,23.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.3,2.2,0.04,0.05,0.09,0.04,0.09
387,Saúl Ñíguez,es  ESP,"DF,MF",Atlético Madrid,27-166,1994,3,2,201,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21
388,Fernando Niño,es  ESP,FW,Mallorca,21-194,2000,23,9,884,9.8,2,0,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,4.0,4.0,0.3,4.3,0.41,0.03,0.44,0.41,0.44
389,Peru Nolaskoain,es  ESP,DF,Athletic Club,23-193,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
390,Nolito,es  ESP,MF,Celta Vigo,35-203,1986,30,14,1297,14.4,2,0,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,2.7,2.7,1.3,4.0,0.19,0.09,0.28,0.19,0.28
391,Randy Ntekja,fr  FRA,"FW,MF",Rayo Vallecano,24-151,1997,30,13,1239,13.8,3,0,3,0,0,2,0,0.22,0.00,0.22,0.22,0.22,3.3,3.3,1.8,5.1,0.24,0.13,0.37,0.24,0.37
392,Unai Núñez,es  ESP,DF,Athletic Club,25-096,1997,9,7,622,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.11,0.01,0.12,0.11,0.12
393,Allan Nyom,cm  CMR,DF,Getafe,33-361,1988,5,3,244,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04
394,Jan Oblak,si  SVN,GK,Atlético Madrid,29-119,1993,34,34,3060,34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
395,Lucas Ocampos,ar  ARG,FW,Sevilla,27-299,1994,27,22,2034,22.6,6,4,6,0,0,7,0,0.27,0.18,0.44,0.27,0.44,5.7,5.7,1.8,7.5,0.25,0.08,0.33,0.25,0.33
396,Lucas Olaza,uy  URU,DF,Elche,27-289,1994,3,1,115,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07
397,Oier Olazábal,es  ESP,GK,Espanyol,32-234,1989,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
398,Brian Oliván,es  ESP,DF,Mallorca,28-035,1994,24,21,1913,21.3,1,0,1,0,1,6,0,0.05,0.00,0.05,0.05,0.05,2.2,1.4,2.0,3.4,0.10,0.09,0.20,0.07,0.16
399,Mathías Olivera,uy  URU,DF,Getafe,24-187,1997,29,29,2533,28.1,1,3,1,0,0,8,0,0.04,0.11,0.14,0.04,0.14,2.5,2.0,2.8,4.8,0.09,0.10,0.19,0.07,0.17
400,Javier Ontiveros,es  ESP,"MF,FW",Osasuna,24-239,1997,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13
401,Pedro Ortiz,es  ESP,MF,Sevilla,21-260,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,4.70,4.92,9.63,4.70,9.63
402,Milutin Osmajić,me  MNE,"FW,MF",Cádiz,22-285,1999,10,2,257,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.00,0.09,0.09,0.09
403,Jesús Owono,gq  EQG,GK,Alavés,21-066,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
404,Mikel Oyarzabal,es  ESP,"FW,MF",Real Sociedad,25-015,1997,22,19,1671,18.6,9,3,5,4,5,0,1,0.48,0.16,0.65,0.27,0.43,9.1,5.3,3.4,8.7,0.49,0.18,0.67,0.29,0.47
405,Fernando Pacheco,es  ESP,GK,Alavés,29-353,1992,31,31,2783,30.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01
