,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,18,16,1347.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.03,0.02,0.04,0.03,0.04
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,32,17,1614.0,17.9,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.06,0.06,0.11,0.06,0.11,2.1,2.1,1.8,3.9,0.12,0.1,0.22,0.12,0.22
ESP-La Liga,2122,Athletic Club,Aitor Paredes,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,17,1,412.0,4.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.04,0.04,0.08,0.04,0.08
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.74
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,19,3,548.0,6.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,2.2,2.2,0.1,2.3,0.36,0.01,0.37,0.36,0.37
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,32,27,2177.0,24.2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,24,22,1986.0,22.1,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.09,0.05,0.14,0.09,0.14,1.8,1.8,0.2,2.0,0.08,0.01,0.09,0.08,0.09
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,35,34,2785.0,30.9,4.0,10.0,3.0,1.0,3.0,3.0,0.0,0.13,0.32,0.45,0.1,0.42,6.7,4.3,9.5,13.8,0.22,0.31,0.52,0.14,0.45
ESP-La Liga,2122,Athletic Club,Iru,ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,38,32,2777.0,30.9,8.0,5.0,7.0,1.0,1.0,4.0,0.0,0.26,0.16,0.42,0.23,0.39,14.2,13.4,5.4,18.9,0.46,0.18,0.64,0.44,0.61
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,25,22,1925.0,21.4,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,2.1,2.3,0.01,0.1,0.11,0.01,0.11
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,27,26,2341.0,26.0,3.0,0.0,3.0,0.0,0.0,9.0,2.0,0.12,0.0,0.12,0.12,0.12,2.1,2.1,0.5,2.5,0.08,0.02,0.1,0.08,0.1
ESP-La Liga,2122,Athletic Club,Jokin Ezkieta,ESP,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,7,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.63,0.0,0.63,0.63,0.63
ESP-La Liga,2122,Athletic Club,Juan Artola,ESP,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Athletic Club,Luis Bilbao,ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,26,23,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,0.01,0.02,0.03,0.01,0.03
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,32,17,1358.0,15.1,2.0,0.0,2.0,0.0,0.0,7.0,2.0,0.13,0.0,0.13,0.13,0.13,0.9,0.9,0.9,1.8,0.06,0.06,0.12,0.06,0.12
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,34,11,1337.0,14.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,1.5,4.6,0.21,0.1,0.31,0.21,0.31
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,14,3,317.0,3.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,0.5,0.5,0.1,0.6,0.15,0.03,0.18,0.15,0.18
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,31,8,1166.0,13.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.08,0.0,0.08,0.0,0.0,1.3,0.5,0.2,0.7,0.1,0.02,0.12,0.04,0.06
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,27,16,1422.0,15.8,6.0,4.0,6.0,0.0,0.0,2.0,0.0,0.38,0.25,0.63,0.38,0.63,2.6,2.6,2.8,5.3,0.16,0.18,0.34,0.16,0.34
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38,418,3420.0,38.0,35.0,26.0,32.0,3.0,3.0,105.0,9.0,0.92,0.68,1.61,0.84,1.53,38.2,35.9,26.2,62.2,1.0,0.69,1.69,0.95,1.64
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,35,24,1802.0,20.0,6.0,2.0,6.0,0.0,1.0,3.0,0.0,0.3,0.1,0.4,0.3,0.4,6.0,5.2,2.7,7.9,0.3,0.13,0.43,0.26,0.39
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38,418,3420.0,38.0,40.0,34.0,37.0,3.0,7.0,90.0,4.0,1.05,0.89,1.95,0.97,1.87,50.1,44.7,35.8,80.5,1.32,0.94,2.26,1.18,2.12
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,9,7,622.0,6.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,0.11,0.01,0.12,0.11,0.12
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,34,29,2383.0,26.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.8,0.04,0.03,0.07,0.04,0.07
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,22,21,1860.0,20.7,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.02,0.0,0.02,0.02,0.02
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,14,11,1015.0,11.3,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.09,0.18,0.27,0.09,0.27,0.4,0.4,0.6,1.0,0.03,0.06,0.09,0.03,0.09
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,34,24,2168.0,24.1,3.0,6.0,3.0,0.0,1.0,8.0,0.0,0.12,0.25,0.37,0.12,0.37,4.6,3.9,5.6,9.5,0.19,0.23,0.42,0.16,0.39
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,22,19,1679.0,18.7,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.11,0.16,0.05,0.16,0.2,0.2,1.6,1.8,0.01,0.08,0.1,0.01,0.1
ESP-La Liga,2122,Atlético Madrid,Alberto Moreno Rebanal,ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,26,21,1695.0,18.8,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.16,0.21,0.37,0.16,0.37,4.8,4.8,3.4,8.2,0.25,0.18,0.43,0.25,0.43
ESP-La Liga,2122,Atlético Madrid,Antonio Gomis,ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Benjamin Lecomte,FRA,GK,30.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,26,15,1504.0,16.7,2.0,1.0,2.0,0.0,0.0,5.0,1.0,0.12,0.06,0.18,0.12,0.18,1.0,1.0,0.4,1.4,0.06,0.03,0.09,0.06,0.09
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,28,21,1882.0,20.9,1.0,2.0,1.0,0.0,0.0,13.0,2.0,0.05,0.1,0.14,0.05,0.14,0.5,0.5,1.0,1.4,0.02,0.05,0.07,0.02,0.07
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,21,8,859.0,9.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.05,0.04,0.1,0.05,0.1
ESP-La Liga,2122,Atlético Madrid,Ibrahima Camara,ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Ivan Šaponjić,SRB,FW,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Ivo Grbić,CRO,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,5,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Joan Rojas,ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,24,24,2042.0,22.7,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.09,0.04,0.09,1.2,1.2,0.1,1.3,0.05,0.0,0.06,0.05,0.06
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,24,13,1263.0,14.0,8.0,4.0,8.0,0.0,0.0,3.0,1.0,0.57,0.29,0.86,0.57,0.86,5.0,5.0,3.7,8.6,0.36,0.26,0.62,0.36,0.62
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,15,12,976.0,10.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,31,29,2508.0,27.9,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.04,0.07,0.11,0.04,0.11,1.0,1.0,1.9,2.9,0.04,0.07,0.1,0.04,0.1
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,35,20,1835.0,20.4,11.0,2.0,9.0,2.0,3.0,7.0,0.0,0.54,0.1,0.64,0.44,0.54,9.0,6.8,1.7,8.4,0.44,0.08,0.53,0.33,0.41
ESP-La Liga,2122,Atlético Madrid,Manu Lama,ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Marco Moreno,ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,29,29,2447.0,27.2,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,0.8,0.8,2.8,3.6,0.03,0.1,0.13,0.03,0.13
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,26,21,1865.0,20.7,2.0,1.0,2.0,0.0,0.0,6.0,1.0,0.1,0.05,0.14,0.1,0.14,2.0,2.0,0.6,2.6,0.1,0.03,0.13,0.1,0.13
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,29,8,1063.0,11.8,6.0,4.0,6.0,0.0,0.0,3.0,0.0,0.51,0.34,0.85,0.51,0.85,6.3,6.3,2.2,8.5,0.53,0.19,0.72,0.53,0.72
ESP-La Liga,2122,Atlético Madrid,Nehuén Pérez,ARG,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38,418,3420.0,38.0,41.0,28.0,34.0,7.0,8.0,102.0,4.0,1.08,0.74,1.82,0.89,1.63,33.7,27.9,19.2,47.1,0.89,0.51,1.39,0.73,1.24
ESP-La Liga,2122,Atlético Madrid,Pablo Barrios,ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,17,15,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,29,13,1181.0,13.1,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.15,0.15,0.3,0.15,0.3,0.7,0.7,1.9,2.6,0.05,0.15,0.2,0.05,0.2
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,36,24,2151.0,23.9,3.0,1.0,3.0,0.0,0.0,7.0,0.0,0.13,0.04,0.17,0.13,0.17,1.6,1.6,4.1,5.7,0.07,0.17,0.24,0.07,0.24
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,3,2,201.0,2.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21
ESP-La Liga,2122,Atlético Madrid,Sergio Camello,ESP,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Sergio Diez Roldan,ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38,418,3420.0,38.0,63.0,45.0,59.0,4.0,5.0,111.0,7.0,1.66,1.18,2.84,1.55,2.74,52.8,49.0,38.0,87.0,1.39,1.0,2.39,1.29,2.29
