,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
572,Trézéguet,eg  EGY,FW,Aston Villa,25,1994,21,1166,56,34.1,13.0,12,80,,9,23,2,1.43,24,14,+10,+0.77,+0.81,18.3,18.5,-0.2,-0.02,-0.03
573,Leandro Trossard,be  BEL,"FW,MF",Brighton,25,1994,35,2607,74,76.2,29.0,30,81,,5,36,1,1.06,34,30,+4,+0.14,+1.25,41.2,24.6,+16.6,+0.57,+0.87
574,Nathan Trott,eng  ENG,GK,West Ham,21,1998,0,,,,,0,,,0,,10,,,,,,,,,,,
575,Kostas Tsimikas,gr  GRE,"DF,FW",Liverpool,24,1996,2,7,4,0.2,0.1,0,,,2,4,20,1.50,0,0,0,0.00,-0.69,0.0,0.0,0.0,0.00,-0.72
576,Axel Tuanzebe,eng  ENG,DF,Manchester Utd,22,1997,9,404,45,11.8,4.5,4,88,,5,10,21,1.67,7,8,-1,-0.22,-1.12,6.3,5.0,+1.3,+0.29,-0.21
577,Harry Tyrer,eng  ENG,GK,Everton,18,2001,0,,,,,0,,,0,,5,,,,,,,,,,,
578,Cengiz Ünder,tr  TUR,"MF,FW",Leicester City,23,1997,9,281,31,8.2,3.1,1,61,,8,28,17,0.78,4,5,-1,-0.32,-0.87,5.4,5.3,+0.1,+0.02,-0.22
579,Yan Valery,fr  FRA,"DF,MF",Southampton,21,1999,3,103,34,3.0,1.1,1,90,,2,7,6,1.00,1,4,-3,-2.62,-2.13,1.4,2.6,-1.2,-1.03,-0.74
580,Jamie Vardy,eng  ENG,FW,Leicester City,33,1987,34,2840,84,83.0,31.6,31,89,,3,29,0,1.82,61,44,+17,+0.54,+0.38,47.2,41.3,+5.9,+0.19,-0.20
581,Joël Veltman,nl  NED,DF,Brighton,28,1992,28,2281,81,66.7,25.3,25,87,,3,34,5,1.04,22,27,-5,-0.20,-0.12,35.1,24.7,+10.5,+0.41,+0.14
582,Michael Verrips,nl  NED,GK,Sheffield Utd,23,1996,0,,,,,0,,,0,,13,,,,,,,,,,,
583,Jannik Vestergaard,dk  DEN,DF,Southampton,27,1992,30,2574,86,75.3,28.6,29,87,,1,45,1,1.27,42,46,-4,-0.14,+1.67,35.2,40.0,-4.8,-0.17,+0.57
584,Rúben Vinagre,pt  POR,DF,Wolves,21,1999,2,173,87,5.1,1.9,1,90,,1,83,1,0.00,1,7,-6,-3.12,-2.84,1.5,3.5,-2.0,-1.03,-0.91
585,Carlos Vinícius,br  BRA,FW,Tottenham,25,1995,9,308,34,9.0,3.4,3,75,,6,14,16,1.89,5,2,+3,+0.88,+0.30,4.6,5.3,-0.7,-0.20,-0.37
586,João Virgínia,pt  POR,GK,Everton,20,1999,1,48,48,1.4,0.5,0,,,1,48,16,0.00,0,0,0,0.00,+0.03,0.9,0.8,+0.1,+0.20,+0.33
587,Vitinha,pt  POR,MF,Wolves,20,2000,19,520,27,15.2,5.8,5,67,,14,13,15,1.00,7,8,-1,-0.17,+0.29,8.0,7.8,+0.2,+0.03,+0.22
588,Jake Vokins,eng  ENG,DF,Southampton,20,2000,1,66,66,1.9,0.7,1,66,,0,,7,0.00,1,2,-1,-1.36,-0.83,0.9,1.5,-0.6,-0.76,-0.46
589,Matěj Vydra,cz  CZE,FW,Burnley,28,1992,28,1371,49,40.1,15.2,15,78,,13,16,5,0.75,18,24,-6,-0.39,+0.31,19.2,21.6,-2.3,-0.15,+0.52
590,Kyle Walker,eng  ENG,DF,Manchester City,30,1990,24,1946,81,56.9,21.6,22,87,,2,21,9,2.21,48,20,+28,+1.29,-0.11,35.6,21.2,+14.4,+0.67,-1.02
591,Kyle Walker-Peters,eng  ENG,DF,Southampton,23,1997,30,2645,88,77.3,29.4,30,88,,0,,1,1.40,41,40,+1,+0.03,+2.59,31.9,39.4,-7.4,-0.25,+0.25
592,Christian Walton,eng  ENG,GK,Brighton,24,1995,0,,,,,0,,,0,,8,,,,,,,,,,,
593,Aaron Wan-Bissaka,eng  ENG,DF,Manchester Utd,22,1997,34,3060,90,89.5,34.0,34,90,,0,,3,2.06,67,36,+31,+0.91,+1.41,54.8,37.9,+17.0,+0.50,+0.24
594,Danny Ward,wls  WAL,GK,Leicester City,27,1993,0,,,,,0,,,0,,38,,,,,,,,,,,
595,Joel Ward,eng  ENG,DF,Crystal Palace,30,1989,26,2256,87,66.0,25.1,25,90,,1,6,7,1.15,25,43,-18,-0.72,-0.18,19.4,39.1,-19.7,-0.78,-0.37
596,James Ward-Prowse,eng  ENG,MF,Southampton,25,1994,38,3420,90,100.0,38.0,38,90,,0,,0,1.13,47,68,-21,-0.55,,42.4,54.2,-11.8,-0.31,
597,Ollie Watkins,eng  ENG,FW,Aston Villa,24,1995,37,3328,90,97.3,37.0,37,90,,0,,0,1.46,55,46,+9,+0.24,+0.24,52.2,51.8,+0.4,+0.01,+0.39
598,Caleb Watts,au  AUS,"MF,FW",Southampton,18,2002,3,39,13,1.1,0.4,0,,,3,13,6,0.00,0,0,0,0.00,+0.56,1.0,0.8,+0.2,+0.51,+0.83
599,Adam Webster,eng  ENG,DF,Brighton,25,1995,29,2594,89,75.8,28.8,29,89,,0,,2,1.14,32,35,-3,-0.10,+0.22,38.3,30.7,+7.6,+0.26,-0.43
600,Jensen Weir,sct  SCO,MF,Brighton,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
601,Danny Welbeck,eng  ENG,FW,Brighton,29,1990,24,1545,64,45.2,17.2,17,81,,7,24,2,1.04,18,18,0,0.00,+0.29,26.2,16.3,+9.9,+0.58,+0.38
602,Reece Welch,eng  ENG,DF,Everton,16,2003,0,,,,,0,,,0,,2,,,,,,,,,,,
603,Timo Werner,de  GER,FW,Chelsea,24,1996,35,2602,74,76.1,28.9,29,86,,6,20,3,1.80,52,29,+23,+0.80,+0.91,49.3,26.5,+22.8,+0.79,-0.13
604,Ashley Westwood,eng  ENG,MF,Burnley,30,1990,38,3410,90,99.7,37.9,38,90,,0,,0,1.03,33,55,-22,-0.58,-0.58,39.9,57.6,-17.7,-0.47,+0.17
605,Ben White,eng  ENG,"DF,MF",Brighton,22,1997,36,3191,89,93.3,35.5,36,89,,0,,1,1.14,39,44,-5,-0.14,+0.25,46.5,35.1,+11.4,+0.32,-0.67
606,Connor Wickham,eng  ENG,"FW,MF",Crystal Palace,27,1993,0,,,,,0,,,0,,3,,,,,,,,,,,
607,Georginio Wijnaldum,nl  NED,MF,Liverpool,29,1990,38,2941,77,86.0,32.7,34,85,,4,11,0,1.82,58,39,+19,+0.58,-0.73,63.6,41.2,+22.3,+0.68,-0.25
608,Brandon Williams,eng  ENG,DF,Manchester Utd,19,2000,4,188,47,5.5,2.1,2,90,,2,4,16,2.25,4,3,+1,+0.48,-0.30,2.4,1.7,+0.7,+0.35,-0.13
609,Neco Williams,wls  WAL,DF,Liverpool,19,2001,6,249,42,7.3,2.8,3,62,,3,21,25,1.83,5,1,+4,+1.45,+0.82,5.3,3.7,+1.6,+0.59,-0.14
610,Rhys Williams,eng  ENG,DF,Liverpool,19,2001,9,661,73,19.3,7.3,7,89,,2,19,16,2.44,14,6,+8,+1.09,+0.50,14.7,8.3,+6.4,+0.87,+0.19
