,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,cardType.value,cardType.displayName,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,venue,opponent
23,2306667347.0,10,0,48.0,335,52.6,17.4,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 100, 55]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,8,Interception,1,Successful,85070.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
24,2306667349.0,18,0,51.0,324,41.9,60.6,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 34, 37, 214, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,248010.0,31.2,60.5,,,,,,,,,,,Johan Cruijff Arena,Netherlands
25,2306667351.0,19,0,55.0,324,37.2,66.9,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 35, 36, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,39722.0,43.9,83.4,,,,,,,,,,,Johan Cruijff Arena,Netherlands
26,2306667353.0,20,0,58.0,324,56.0,83.6,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 118, 116, 29, 123, 204, 35, 37, 216, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,83659.0,76.3,71.1,,,,,,,,,,,Johan Cruijff Arena,Netherlands
27,2306667355.0,21,1,0.0,324,76.3,71.1,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.6'}]","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,1,Successful,369979.0,76.6,77.1,,,,,,,,,,,Johan Cruijff Arena,Netherlands
28,2306667357.0,22,1,5.0,324,87.2,82.0,1,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[90, 69]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,50,Dispossessed,1,Successful,25032.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
29,2306667359.0,11,1,5.0,335,12.8,18.0,1,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '22'}]","[90, 141]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,7,Tackle,0,Unsuccessful,70033.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
30,2306667361.0,23,1,5.0,324,85.4,83.7,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 68]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,61,BallTouch,0,Unsuccessful,25032.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
31,2306667363.0,12,1,7.0,335,9.8,10.7,1,[],[92],False,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,49,BallRecovery,1,Successful,85070.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
32,2306667367.0,13,1,9.0,335,9.5,4.1,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.3'}]","[90, 119, 127, 35, 36, 215, 217]",True,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,1,Pass,0,Unsuccessful,85070.0,53.5,10.3,,,,,,,,,,,Johan Cruijff Arena,Netherlands
33,2306667369.0,24,1,15.0,324,46.1,80.0,1,[],[92],False,1434359,2021-06-17T00:00:00,2021-06-17T20:00:00,2 : 0,2 : 0,1 : 0,,Johan Cruijff Arena,94,1,FirstHalf,49,BallRecovery,1,Successful,39722.0,,,,,,,,,,,,,Johan Cruijff Arena,Netherlands
