,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
280,Jonas Lössl,dk  DEN,GK,Brentford,32,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
281,Imran Louza,ma  MAR,MF,Watford,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0
282,Matthew Lowton,eng  ENG,DF,Burnley,32,1989,19.7,33,1.68,25,4,0,1,2,1,2,0.10,1,0,0,1,0,0
283,Douglas Luiz,br  BRA,MF,Aston Villa,23,1998,30.2,75,2.49,46,19,1,3,6,0,8,0.27,3,2,0,2,1,0
284,Romelu Lukaku,be  BEL,FW,Chelsea,28,1993,17.7,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1
285,Lyanco,br  BRA,DF,Southampton,24,1997,10.1,9,0.89,6,0,0,1,0,2,1,0.10,1,0,0,0,0,0
286,Alexis Mac Allister,ar  ARG,"MF,FW",Brighton,22,1998,23.6,66,2.80,46,9,1,2,4,4,4,0.17,1,2,0,1,0,0
287,James Maddison,eng  ENG,"MF,FW",Leicester City,24,1996,27.3,100,3.66,56,12,9,8,12,3,19,0.70,13,1,1,1,2,1
288,Harry Maguire,eng  ENG,DF,Manchester Utd,28,1993,27.9,20,0.72,11,2,1,4,1,1,1,0.04,1,0,0,0,0,0
289,Riyad Mahrez,dz  ALG,FW,Manchester City,30,1991,16.6,64,3.85,49,9,1,3,1,1,7,0.42,4,2,0,1,0,0
290,Ainsley Maitland-Niles,eng  ENG,MF,Arsenal,23,1997,3.0,8,2.69,5,1,0,1,0,1,0,0.00,0,0,0,0,0,0
291,Sadio Mané,sn  SEN,FW,Liverpool,29,1992,31.3,97,3.10,67,0,5,14,8,3,13,0.42,7,0,1,4,1,0
292,Javier Manquillo,es  ESP,DF,Newcastle Utd,27,1994,14.0,9,0.64,8,0,0,0,1,0,4,0.29,3,0,0,0,1,0
293,Fernando Marçal,br  BRA,DF,Wolves,32,1989,16.1,17,1.06,15,0,0,1,1,0,1,0.06,0,0,0,1,0,0
294,Solly March,eng  ENG,"DF,FW",Brighton,27,1994,19.4,67,3.45,41,14,7,0,3,2,4,0.21,3,0,0,0,1,0
295,Pablo Marí,es  ESP,DF,Arsenal,27,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
296,Anthony Martial,fr  FRA,FW,Manchester Utd,25,1995,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0
297,Martinelli,br  BRA,"FW,MF",Arsenal,20,2001,20.7,70,3.39,47,4,8,7,2,2,11,0.53,6,2,1,2,0,0
298,Emiliano Martínez,ar  ARG,GK,Aston Villa,28,1992,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
299,Adam Masina,ma  MAR,DF,Watford,27,1994,12.0,11,0.92,6,3,0,0,1,1,1,0.08,1,0,0,0,0,0
300,Arthur Masuaku,cd  COD,"DF,FW",West Ham,27,1993,7.2,6,0.83,4,2,0,0,0,0,2,0.28,1,1,0,0,0,0
301,Juan Mata,es  ESP,MF,Manchester Utd,33,1988,2.6,6,2.30,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
302,Jean-Philippe Mateta,fr  FRA,FW,Crystal Palace,24,1997,12.7,18,1.41,15,0,0,3,0,0,2,0.16,1,0,0,1,0,0
303,Nemanja Matić,rs  SRB,MF,Manchester Utd,32,1988,15.4,28,1.82,25,0,0,0,1,2,5,0.33,5,0,0,0,0,0
304,Joël Matip,cm  CMR,DF,Liverpool,29,1991,31.0,34,1.10,26,0,0,7,1,0,9,0.29,7,0,0,1,1,0
305,Neal Maupay,fr  FRA,FW,Brighton,24,1996,25.3,64,2.53,46,0,7,6,5,0,3,0.12,3,0,0,0,0,0
306,Bryan Mbeumo,fr  FRA,FW,Brentford,21,1999,32.3,77,2.39,49,9,8,5,5,1,12,0.37,10,1,0,0,1,0
307,James McArthur,sct  SCO,MF,Crystal Palace,33,1987,16.0,29,1.81,25,1,1,0,1,1,3,0.19,3,0,0,0,0,0
308,James Mcatee,eng  ENG,"MF,FW",Manchester City,18,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
309,Kasey McAteer,eng  ENG,FW,Leicester City,19,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
310,Liam McCarron,sct  SCO,FW,Leeds United,20,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
311,Alex McCarthy,eng  ENG,GK,Southampton,31,1989,17.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
312,John McGinn,sct  SCO,MF,Aston Villa,26,1994,34.3,96,2.80,66,20,3,2,4,1,5,0.15,4,1,0,0,0,0
313,Stuart McKinstry,sct  SCO,MF,Leeds United,18,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
314,Kenny McLean,sct  SCO,MF,Norwich City,29,1992,30.1,34,1.13,27,2,0,2,0,3,2,0.07,2,0,0,0,0,0
315,Dwight McNeil,eng  ENG,MF,Burnley,21,1999,34.5,97,2.81,52,22,5,6,10,2,5,0.14,3,2,0,0,0,0
316,Scott McTominay,sct  SCO,MF,Manchester Utd,24,1996,26.5,45,1.70,37,0,3,1,2,2,6,0.23,4,0,0,1,0,1
317,Ben Mee,eng  ENG,DF,Burnley,31,1989,20.4,8,0.39,5,0,0,2,1,0,0,0.00,0,0,0,0,0,0
318,Hannibal Mejbri,tn  TUN,FW,Manchester Utd,18,2003,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
319,Benjamin Mendy,fr  FRA,DF,Manchester City,27,1994,0.9,4,4.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
320,Edouard Mendy,sn  SEN,GK,Chelsea,29,1992,34.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
321,Nampalys Mendy,sn  SEN,MF,Leicester City,29,1992,11.5,6,0.52,5,0,0,0,0,1,3,0.26,3,0,0,0,0,0
322,Illan Meslier,fr  FRA,GK,Leeds United,21,2000,37.6,2,0.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
323,Luka Milivojević,rs  SRB,MF,Crystal Palace,30,1991,8.6,16,1.86,6,9,0,0,1,0,1,0.12,1,0,0,0,0,0
324,James Milner,eng  ENG,"MF,DF",Liverpool,35,1986,9.5,31,3.27,23,6,1,1,0,0,1,0.11,1,0,0,0,0,0
325,Yerry Mina,co  COL,DF,Everton,26,1994,9.4,3,0.32,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
326,Takumi Minamino,jp  JPN,"FW,MF",Liverpool,26,1995,2.1,7,3.39,5,0,0,0,1,1,1,0.48,1,0,0,0,0,0
327,Tyrone Mings,eng  ENG,DF,Aston Villa,28,1993,35.4,26,0.73,20,0,0,3,2,1,4,0.11,3,0,0,1,0,0
328,Tyrick Mitchell,eng  ENG,DF,Crystal Palace,21,1999,34.5,41,1.19,35,2,1,1,1,1,5,0.15,5,0,0,0,0,0
329,Jakub Moder,pl  POL,"MF,FW",Brighton,22,1999,18.9,37,1.96,23,3,3,6,0,2,4,0.21,3,0,0,1,0,0
330,Wesley Moraes,br  BRA,FW,Aston Villa,24,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
331,Tyler Morton,eng  ENG,MF,Liverpool,18,2002,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
332,Mason Mount,eng  ENG,"MF,FW",Chelsea,22,1999,26.3,111,4.23,72,21,5,8,4,1,15,0.57,9,4,0,1,1,0
333,Lucas Moura,br  BRA,"FW,MF",Tottenham,28,1992,19.7,63,3.19,52,0,3,2,5,1,9,0.46,9,0,0,0,0,0
334,João Moutinho,pt  POR,MF,Wolves,34,1986,33.0,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0
335,Bali Mumba,eng  ENG,DF,Norwich City,19,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
336,Jacob Murphy,eng  ENG,"FW,DF",Newcastle Utd,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0
337,Enock Mwepu,zm  ZAM,"MF,FW",Brighton,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0
338,Vitaliy Mykolenko,ua  UKR,DF,Everton,22,1999,11.7,14,1.19,8,4,0,0,1,1,3,0.26,1,1,0,0,1,0
339,Marvelous Nakamba,zw  ZIM,MF,Aston Villa,27,1994,10.0,6,0.60,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
340,Wilfred Ndidi,ng  NGA,"MF,DF",Leicester City,24,1996,18.0,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0
341,Tanguy Ndombele,fr  FRA,MF,Tottenham,24,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0
342,Reiss Nelson,eng  ENG,FW,Arsenal,21,1999,0.2,3,13.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
343,Pedro Neto,pt  POR,"FW,MF",Wolves,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0
344,Rúben Neves,pt  POR,MF,Wolves,24,1997,29.6,55,1.86,45,2,1,3,2,2,3,0.10,3,0,0,0,0,0
345,Jeremy Ngakia,eng  ENG,DF,Watford,20,2000,10.0,12,1.20,8,2,0,1,1,0,1,0.10,1,0,0,0,0,0
346,Saúl Ñíguez,es  ESP,"MF,DF",Chelsea,26,1994,5.3,8,1.50,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
347,Eddie Nketiah,eng  ENG,FW,Arsenal,22,1999,9.3,23,2.48,15,0,2,3,1,2,4,0.43,1,0,0,1,0,2
348,Nicolas Nkoulou,cm  CMR,DF,Watford,31,1990,1.9,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
349,Mark Noble,eng  ENG,MF,West Ham,34,1987,3.7,5,1.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
350,Mathias Normann,no  NOR,MF,Norwich City,25,1996,18.3,34,1.86,14,5,5,3,4,3,3,0.16,3,0,0,0,0,0
351,Christian Nørgaard,dk  DEN,MF,Brentford,27,1994,33.9,49,1.44,43,0,3,1,1,1,6,0.18,5,0,1,0,0,0
352,Angelo Ogbonna,it  ITA,DF,West Ham,33,1988,10.2,2,0.20,2,0,0,0,0,0,1,0.10,1,0,0,0,0,0
353,Michael Olise,fr  FRA,"FW,MF",Crystal Palace,19,2001,12.7,38,3.00,32,3,1,1,1,0,7,0.55,6,0,0,1,0,0
354,Robin Olsen,se  SWE,GK,Aston Villa,31,1990,1.0,1,1.00,0,1,0,0,0,0,1,1.00,0,1,0,0,0,0
