,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
27,2018-12-11,Tue,Champions Lg,Group stage,Home,D 1–1,es  Barcelona,eng  Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
28,2018-12-16,Sun,La Liga,Matchweek 16,Away,W 5–0,Barcelona,Levante,Y,GK,90,6,0,6,100.0,1,1.7,0,0,0,0,8,14,57.1,26,9,38.5,35.1,9,44.4,39.8,8,0,0.0,2,15.6,Match Report
29,2018-12-22,Sat,La Liga,Matchweek 17,Home,W 2–0,Barcelona,Celta Vigo,Y,GK,90,3,0,3,100.0,1,0.8,0,0,0,0,7,9,77.8,30,7,23.3,27.5,4,50.0,42.3,8,2,25.0,0,14.0,Match Report
30,2019-01-06,Sun,La Liga,Matchweek 18,Away,W 2–1,Barcelona,Getafe,Y,GK,90,2,1,1,50.0,0,1.0,0,0,0,0,1,4,25.0,30,7,6.7,25.0,6,33.3,43.8,12,3,25.0,0,16.5,Match Report
31,2019-01-10,Thu,Copa del Rey,Round of 16,Away,L 1–2,Barcelona,Levante,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
32,2019-01-13,Sun,La Liga,Matchweek 19,Home,W 3–0,Barcelona,Eibar,Y,GK,90,1,0,1,100.0,1,0.5,0,0,0,0,2,5,40.0,33,4,9.1,22.9,9,22.2,29.9,25,0,0.0,0,12.0,Match Report
33,2019-01-17,Thu,Copa del Rey,Round of 16,Home,W 3–0,Barcelona,Levante,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
34,2019-01-20,Sun,La Liga,Matchweek 20,Home,W 3–1,Barcelona,Leganés,Y,GK,90,2,1,1,50.0,0,0.9,0,0,0,0,3,6,50.0,27,4,18.5,27.5,2,50.0,34.0,4,2,50.0,1,29.0,Match Report
35,2019-01-23,Wed,Copa del Rey,Quarter-finals,Away,L 0–2,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
36,2019-01-27,Sun,La Liga,Matchweek 21,Away,W 2–0,Barcelona,Girona,Y,GK,90,4,0,4,100.0,1,1.1,0,0,0,0,3,13,23.1,35,7,17.1,26.1,9,77.8,51.0,12,2,16.7,1,16.0,Match Report
37,2019-01-30,Wed,Copa del Rey,Quarter-finals,Home,W 6–1,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
38,2019-02-02,Sat,La Liga,Matchweek 22,Home,D 2–2,Barcelona,Valencia,Y,GK,90,6,2,5,83.3,0,2.4,1,1,0,0,2,4,50.0,20,4,10.0,28.6,3,66.7,51.7,6,1,16.7,1,24.0,Match Report
39,2019-02-06,Wed,Copa del Rey,Semi-finals,Home,D 1–1,Barcelona,Real Madrid,Y,GK,90,2,1,1,50.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
40,2019-02-10,Sun,La Liga,Matchweek 23,Away,D 0–0,Barcelona,Athletic Club,Y,GK,90,5,0,5,100.0,1,1.1,0,0,0,0,7,11,63.6,29,7,27.6,29.8,7,42.9,45.7,9,0,0.0,0,17.5,Match Report
41,2019-02-16,Sat,La Liga,Matchweek 24,Home,W 1–0,Barcelona,Valladolid,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,3,10,30.0,28,6,28.6,27.6,6,33.3,33.2,9,2,22.2,0,11.7,Match Report
42,2019-02-19,Tue,Champions Lg,Round of 16,Away,D 0–0,es  Barcelona,fr  Lyon,Y,GK,90,2,0,2,100.0,1,0.3,0,0,0,0,3,6,50.0,16,3,25.0,29.0,6,33.3,35.2,5,0,0.0,0,11.0,Match Report
43,2019-02-23,Sat,La Liga,Matchweek 25,Away,W 4–2,Barcelona,Sevilla,Y,GK,90,4,2,2,50.0,0,1.8,0,0,0,0,3,8,37.5,29,4,24.1,31.9,3,33.3,40.3,12,0,0.0,2,23.4,Match Report
44,2019-02-27,Wed,Copa del Rey,Semi-finals,Away,W 3–0,Barcelona,Real Madrid,Y,GK,90,4,0,4,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
45,2019-03-02,Sat,La Liga,Matchweek 26,Away,W 1–0,Barcelona,Real Madrid,Y,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,2,12,16.7,22,4,31.8,39.7,8,62.5,55.5,17,2,11.8,1,15.7,Match Report
