,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
20,2014-12-16,Tue,Copa del Rey,Round of 32,Home,W 8–1,Barcelona,Huesca,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
21,2014-12-20,Sat,La Liga,Matchweek 16,Home,W 5–0,Barcelona,Córdoba,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
22,2015-01-04,Sun,La Liga,Matchweek 17,Away,L 0–1,Barcelona,Real Sociedad,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
23,2015-01-08,Thu,Copa del Rey,Round of 16,Home,W 5–0,Barcelona,Elche,Y,,90,,0,,,1,0,0,0,0,Match Report
24,2015-01-11,Sun,La Liga,Matchweek 18,Home,W 3–1,Barcelona,Atlético Madrid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
25,2015-01-15,Thu,Copa del Rey,Round of 16,Away,W 4–0,Barcelona,Elche,Y,,90,,0,,,1,0,0,0,0,Match Report
26,2015-01-18,Sun,La Liga,Matchweek 19,Away,W 4–0,Barcelona,La Coruña,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
27,2015-01-21,Wed,Copa del Rey,Quarter-finals,Home,W 1–0,Barcelona,Atlético Madrid,Y,,90,,0,,,1,0,0,0,0,Match Report
28,2015-01-24,Sat,La Liga,Matchweek 20,Away,W 6–0,Barcelona,Elche,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
29,2015-01-28,Wed,Copa del Rey,Quarter-finals,Away,W 3–2,Barcelona,Atlético Madrid,Y,,90,,2,,,0,1,1,0,0,Match Report
30,2015-02-01,Sun,La Liga,Matchweek 21,Home,W 3–2,Barcelona,Villarreal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
31,2015-02-08,Sun,La Liga,Matchweek 22,Away,W 5–2,Barcelona,Athletic Club,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
32,2015-02-11,Wed,Copa del Rey,Semi-finals,Home,W 3–1,Barcelona,Villarreal,Y,,90,,1,,,0,0,0,0,0,Match Report
33,2015-02-15,Sun,La Liga,Matchweek 23,Home,W 5–0,Barcelona,Levante,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
34,2015-02-21,Sat,La Liga,Matchweek 24,Home,L 0–1,Barcelona,Málaga,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
35,2015-02-24,Tue,Champions Lg,Round of 16,Away,W 2–1,es  Barcelona,eng  Manchester City,Y,,90,5,1,,80.0,0,0,0,0,0,Match Report
36,2015-02-28,Sat,La Liga,Matchweek 25,Away,W 3–1,Barcelona,Granada,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
37,2015-03-04,Wed,Copa del Rey,Semi-finals,Away,W 3–1,Barcelona,Villarreal,Y,,90,,1,,,0,0,0,0,0,Match Report
38,2015-03-08,Sun,La Liga,Matchweek 26,Home,W 6–1,Barcelona,Rayo Vallecano,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
39,2015-03-14,Sat,La Liga,Matchweek 27,Away,W 2–0,Barcelona,Eibar,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
40,2015-03-18,Wed,Champions Lg,Round of 16,Home,W 1–0,es  Barcelona,eng  Manchester City,Y,,90,4,0,,100.0,1,1,0,0,1,Match Report
41,2015-03-22,Sun,La Liga,Matchweek 28,Home,W 2–1,Barcelona,Real Madrid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
42,2015-04-05,Sun,La Liga,Matchweek 29,Away,W 1–0,Barcelona,Celta Vigo,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
43,2015-04-08,Wed,La Liga,Matchweek 30,Home,W 4–0,Barcelona,Almería,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
44,2015-04-11,Sat,La Liga,Matchweek 31,Away,D 2–2,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
45,2015-04-15,Wed,Champions Lg,Quarter-finals,Away,W 3–1,es  Barcelona,fr  Paris S-G,Y,,90,4,1,,75.0,0,0,0,0,0,Match Report
46,2015-04-18,Sat,La Liga,Matchweek 32,Home,W 2–0,Barcelona,Valencia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
47,2015-04-21,Tue,Champions Lg,Quarter-finals,Home,W 2–0,es  Barcelona,fr  Paris S-G,Y,,90,2,0,,100.0,1,0,0,0,0,Match Report
48,2015-04-25,Sat,La Liga,Matchweek 33,Away,W 2–0,Barcelona,Espanyol,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
49,2015-04-28,Tue,La Liga,Matchweek 34,Home,W 6–0,Barcelona,Getafe,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
50,2015-05-02,Sat,La Liga,Matchweek 35,Away,W 8–0,Barcelona,Córdoba,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
51,2015-05-06,Wed,Champions Lg,Semi-finals,Home,W 3–0,es  Barcelona,de  Bayern Munich,Y,,90,0,0,,,1,0,0,0,0,Match Report
52,2015-05-09,Sat,La Liga,Matchweek 36,Home,W 2–0,Barcelona,Real Sociedad,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
53,2015-05-12,Tue,Champions Lg,Semi-finals,Away,L 2–3,es  Barcelona,de  Bayern Munich,Y,,90,8,3,,62.5,0,0,0,0,0,Match Report
54,2015-05-17,Sun,La Liga,Matchweek 37,Away,W 1–0,Barcelona,Atlético Madrid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
55,,,,,,,,,,,,,,,,,,,,,
56,2015-05-30,Sat,Copa del Rey,Final,Away,W 3–1,Barcelona,Athletic Club,Y,,90,,1,,,0,0,0,0,0,Match Report
57,2015-06-06,Sat,Champions Lg,Final,Away,W 3–1,es  Barcelona,it  Juventus,Y,,90,6,1,,83.3,0,0,0,0,0,Match Report
58,,,,,,19-0-2,,,21/21,,1890,41,16,,73.2,10,2,1,0,1,
