,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels,Match Report
21,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 2–1,Atlético Madrid,Alavés,Y,FW,61,0,0,0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0,9.0,0.0,2.0,0.0,Match Report
22,2021-01-06,Wed,Copa del Rey,Second round,Away,L 0–1,Atlético Madrid,Cornellà,Y,FW,90,0,0,0,1.0,2.0,2.0,3.0,0.0,0.0,,,0,,,,,Match Report
23,2021-01-12,Tue,La Liga,Matchweek 1,Home,W 2–0,Atlético Madrid,Sevilla,Y,FW,65,0,0,0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0,2.0,1.0,0.0,100.0,Match Report
24,2021-01-21,Thu,La Liga,Matchweek 19,Away,W 2–1,Atlético Madrid,Eibar,Y,FW,45,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,0.0,3.0,0.0,Match Report
25,2021-01-24,Sun,La Liga,Matchweek 20,Home,W 3–1,Atlético Madrid,Valencia,N,"RW,FW",29,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,Match Report
26,2021-01-31,Sun,La Liga,Matchweek 21,Away,W 4–2,Atlético Madrid,Cádiz,N,FW,31,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,2.0,0.0,Match Report
27,2021-02-08,Mon,La Liga,Matchweek 22,Home,D 2–2,Atlético Madrid,Celta Vigo,Y,FW,90,0,0,0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0,4.0,2.0,4.0,33.3,Match Report
28,2021-02-13,Sat,La Liga,Matchweek 23,Away,W 2–1,Atlético Madrid,Granada,Y,"FW,RW",90,0,0,0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0,11.0,2.0,1.0,66.7,Match Report
29,2021-02-17,Wed,La Liga,Matchweek 2,Away,D 1–1,Atlético Madrid,Levante,Y,"FW,AM",80,0,0,0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0,9.0,0.0,0.0,,Match Report
30,2021-02-20,Sat,La Liga,Matchweek 24,Home,L 0–2,Atlético Madrid,Levante,Y,"AM,RM",60,0,0,0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,4.0,0.0,0.0,,Match Report
31,2021-02-23,Tue,Champions Lg,Round of 16,Home,L 0–1,es  Atlético Madrid,eng  Chelsea,Y,RW,81,0,0,0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0,6.0,0.0,3.0,0.0,Match Report
32,2021-02-28,Sun,La Liga,Matchweek 25,Away,W 2–0,Atlético Madrid,Villarreal,Y,"FW,RM",82,0,0,0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0,5.0,1.0,1.0,50.0,Match Report
33,2021-03-07,Sun,La Liga,Matchweek 26,Home,D 1–1,Atlético Madrid,Real Madrid,Y,RM,81,1,0,0,5.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0,5.0,1.0,0.0,100.0,Match Report
34,2021-03-10,Wed,La Liga,Matchweek 18,Home,W 2–1,Atlético Madrid,Athletic Club,N,"FW,RW",24,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.0,0.0,2.0,0.0,Match Report
35,2021-03-13,Sat,La Liga,Matchweek 27,Away,D 0–0,Atlético Madrid,Getafe,Y,RM,63,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,Match Report
36,2021-03-17,Wed,Champions Lg,Round of 16,Away,L 0–2,es  Atlético Madrid,eng  Chelsea,N,AM,32,0,0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,,Match Report
37,2021-03-21,Sun,La Liga,Matchweek 28,Home,W 1–0,Atlético Madrid,Alavés,Y,FW,73,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,0.0,2.0,0.0,Match Report
38,2021-04-04,Sun,La Liga,Matchweek 29,Away,L 0–1,Atlético Madrid,Sevilla,N,FW,57,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.0,0.0,1.0,0.0,Match Report
39,2021-04-11,Sun,La Liga,Matchweek 30,Away,D 1–1,Atlético Madrid,Betis,Y,FW,90,0,0,0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0,3.0,1.0,1.0,50.0,Match Report
40,2021-04-18,Sun,La Liga,Matchweek 33,Home,W 5–0,Atlético Madrid,Eibar,Y,FW,60,0,0,0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0,2.0,0.0,0.0,,Match Report
41,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 2–0,Atlético Madrid,Huesca,Y,"FW,AM",83,0,0,0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,Match Report
42,2021-04-25,Sun,La Liga,Matchweek 32,Away,L 1–2,Atlético Madrid,Athletic Club,Y,"FW,RM",64,0,0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,7.0,0.0,2.0,0.0,Match Report
43,2021-05-01,Sat,La Liga,Matchweek 34,Away,W 1–0,Atlético Madrid,Elche,Y,AM,64,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,,Match Report
44,,,,,,26-10-8,,,32/44,,2741,3,0,0,44.0,38.0,15.0,51.0,21.0,30.0,0.0,0.0,0,190.0,15.0,43.0,25.9,
