,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
10,Ben Davies,wal  WAL,DF,27-332,20,14,1346.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,wal  WAL,DF,27-332,15.0,0,3,0,0.0,0.2,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,wal  WAL,DF,27-332,15.0,593,760,78.0,10602,4059,257,285,90.2,275,324,84.9,52,125,41.6,1,0.6,0.4,7,40,9,4,41,wal  WAL,DF,27-332,15.0,760,619,141,12,1,56,8,25,1,1,0,0,440,164,156,531,61,26,128,0,593,1,8,14,27,wal  WAL,DF,27-332,15.0,17,1.17,12,0,1,0,2,2,4,0.27,2,0,1,0,1,0,0,wal  WAL,DF,27-332,15.0,26,13,14,8,4,10,28,35.7,18,180,41,22.8,89,63,28,23,4,0,19,13,39,71,0,wal  WAL,DF,27-332,15.0,908,79,311,459,194,14,771,5,7,71.4,6,0,498,2253,1358,52,17,4,3,5,569,527,92.6,24
11,Serge Aurier,ci  CIV,DF,28-088,14,14,1155.0,12.8,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.16,0.08,0.23,0.16,0.23,1.0,1.0,1.5,2.6,0.08,0.12,0.2,0.08,0.2,ci  CIV,DF,28-088,12.8,2,10,5,50.0,0.78,0.39,0.2,0.4,16.2,0,0,0,1.0,1.0,0.1,1.0,1.0,ci  CIV,DF,28-088,12.8,511,656,77.9,8108,3387,273,304,89.8,193,258,74.8,34,66,51.5,1,1.5,-0.5,9,14,17,6,41,ci  CIV,DF,28-088,12.8,656,538,118,5,2,58,7,20,0,0,0,0,377,142,137,41,446,39,113,1,511,0,7,14,21,ci  CIV,DF,28-088,12.8,22,1.71,16,0,2,2,1,1,1,0.08,1,0,0,0,0,0,0,ci  CIV,DF,28-088,12.8,53,26,36,15,2,16,37,43.2,21,272,77,28.3,153,90,29,26,5,0,21,18,71,39,2,ci  CIV,DF,28-088,12.8,837,60,293,357,219,18,722,10,21,47.6,11,0,458,1596,890,42,13,2,10,13,529,472,89.2,30
12,Matt Doherty,ie  IRL,DF,29-065,15,12,1142.0,12.7,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.16,0.16,0.0,0.16,0.3,0.3,0.7,1.0,0.03,0.05,0.08,0.03,0.08,ie  IRL,DF,29-065,12.7,0,1,1,100.0,0.08,0.08,0.0,0.0,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,ie  IRL,DF,29-065,12.7,595,743,80.1,9657,3617,328,369,88.9,214,268,79.9,43,80,53.8,2,0.7,1.3,10,17,13,6,35,ie  IRL,DF,29-065,12.7,743,612,131,10,0,78,10,21,0,0,0,0,427,174,142,38,512,41,121,4,595,2,8,18,20,ie  IRL,DF,29-065,12.7,21,1.65,17,1,1,0,2,0,2,0.16,2,0,0,0,0,0,0,ie  IRL,DF,29-065,12.7,18,6,5,8,5,10,29,34.5,19,165,32,19.4,67,66,32,36,5,0,31,14,32,47,0,ie  IRL,DF,29-065,12.7,898,56,281,421,240,18,769,7,15,46.7,8,0,468,1895,1044,58,19,1,11,11,604,538,89.1,39
13,Lucas Moura,br  BRA,"FW,MF",28-221,24,11,1103.0,12.3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.24,0.24,0.49,0.24,0.49,1.9,1.9,0.5,2.4,0.17,0.05,0.21,0.17,0.21,br  BRA,"FW,MF",28-221,12.3,3,14,6,42.9,1.14,0.49,0.21,0.5,14.8,0,0,0,1.9,1.9,0.13,1.1,1.1,br  BRA,"FW,MF",28-221,12.3,325,437,74.4,4789,1051,192,234,82.1,108,135,80.0,15,37,40.5,3,0.5,2.5,7,21,6,1,27,br  BRA,"FW,MF",28-221,12.3,437,422,15,4,1,91,5,10,4,2,2,0,299,71,67,38,348,24,4,3,325,1,6,15,22,br  BRA,"FW,MF",28-221,12.3,22,1.95,16,1,1,0,2,2,4,0.36,3,0,0,0,0,1,0,br  BRA,"FW,MF",28-221,12.3,25,17,8,14,3,6,20,30.0,14,190,43,22.6,54,89,47,12,0,0,12,14,39,5,0,br  BRA,"FW,MF",28-221,12.3,612,9,72,365,232,37,599,24,43,55.8,26,2,432,2406,1413,67,30,6,26,30,544,431,79.2,61
14,Steven Bergwijn,nl  NED,"FW,MF",23-165,17,11,1046.0,11.6,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.17,0.17,0.0,0.17,1.7,1.7,1.0,2.7,0.15,0.09,0.24,0.15,0.24,nl  NED,"FW,MF",23-165,11.6,0,12,2,16.7,1.03,0.17,0.0,0.0,16.7,0,0,0,1.7,1.7,0.14,-1.7,-1.7,nl  NED,"FW,MF",23-165,11.6,279,345,80.9,3848,723,171,191,89.5,84,104,80.8,7,25,28.0,2,1.0,1.0,10,17,6,0,14,nl  NED,"FW,MF",23-165,11.6,345,337,8,3,0,59,1,10,2,2,0,0,273,32,40,12,318,12,1,0,279,0,0,7,7,nl  NED,"FW,MF",23-165,11.6,27,2.38,20,1,0,1,5,0,4,0.35,2,0,0,1,1,0,0,nl  NED,"FW,MF",23-165,11.6,13,8,7,3,3,6,23,26.1,17,196,47,24.0,52,79,65,9,1,0,8,9,22,4,0,nl  NED,"FW,MF",23-165,11.6,462,11,74,229,208,27,454,15,30,50.0,16,0,352,2008,1082,46,21,7,22,19,511,342,66.9,56
15,Harry Winks,eng  ENG,MF,25-048,10,7,637.0,7.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.04,0.04,0.01,0.04,eng  ENG,MF,25-048,7.1,0,3,1,33.3,0.42,0.14,0.0,0.0,29.6,0,0,0,0.0,0.0,0.01,0.0,0.0,eng  ENG,MF,25-048,7.1,409,482,84.9,7718,2050,172,189,91.0,179,196,91.3,55,82,67.1,0,0.3,-0.3,4,54,4,0,37,eng  ENG,MF,25-048,7.1,482,468,14,13,2,36,16,1,0,0,0,0,375,35,72,49,410,18,0,0,409,0,9,4,8,eng  ENG,MF,25-048,7.1,6,0.85,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,eng  ENG,MF,25-048,7.1,13,8,9,4,0,5,15,33.3,10,114,38,33.3,51,51,12,10,3,0,7,12,25,10,0,eng  ENG,MF,25-048,7.1,538,25,129,372,55,1,526,2,4,50.0,3,0,344,1365,641,19,5,0,1,4,417,402,96.4,6
16,Gareth Bale,wal  WAL,FW,31-249,12,6,556.0,6.2,5.0,2.0,5.0,0.0,0.0,1.0,0.0,0.81,0.32,1.13,0.81,1.13,3.0,3.0,0.9,3.9,0.48,0.14,0.62,0.48,0.62,wal  WAL,FW,31-249,6.2,5,19,8,42.1,3.08,1.29,0.26,0.63,17.9,4,0,0,3.0,3.0,0.16,2.0,2.0,wal  WAL,FW,31-249,6.2,167,247,67.6,3500,1021,78,94,83.0,47,65,72.3,36,70,51.4,2,0.9,1.1,10,17,4,1,19,wal  WAL,FW,31-249,6.2,247,227,20,8,0,46,27,14,10,9,0,1,123,47,77,206,12,16,2,3,167,1,4,8,10,wal  WAL,FW,31-249,6.2,26,4.21,13,5,6,1,1,0,3,0.49,2,1,0,0,0,0,0,wal  WAL,FW,31-249,6.2,9,6,4,2,3,3,8,37.5,5,72,16,22.2,17,34,21,9,1,0,8,4,13,12,0,wal  WAL,FW,31-249,6.2,335,13,50,160,145,24,313,18,30,60.0,19,1,220,1316,601,36,7,4,11,8,321,235,73.2,44
17,Érik Lamela,ar  ARG,"FW,MF",29-018,17,5,601.0,6.7,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.15,0.0,0.15,0.15,0.15,1.1,1.1,0.9,1.9,0.16,0.13,0.29,0.16,0.29,ar  ARG,"FW,MF",29-018,6.7,1,18,8,44.4,2.7,1.2,0.06,0.13,19.6,4,0,0,1.1,1.1,0.06,-0.1,-0.1,ar  ARG,"FW,MF",29-018,6.7,235,301,78.1,3988,789,121,141,85.8,81,96,84.4,29,46,63.0,0,0.9,-0.9,6,16,7,0,21,ar  ARG,"FW,MF",29-018,6.7,301,272,29,8,2,65,6,8,15,11,1,0,220,39,42,276,17,3,1,0,235,1,1,5,13,ar  ARG,"FW,MF",29-018,6.7,20,3.0,11,3,1,1,2,2,5,0.75,2,1,0,1,0,1,0,ar  ARG,"FW,MF",29-018,6.7,14,9,0,10,4,4,10,40.0,6,147,37,25.2,26,78,43,6,0,0,6,4,18,1,0,ar  ARG,"FW,MF",29-018,6.7,383,4,43,211,166,19,353,14,20,70.0,14,0,281,1807,846,58,20,2,12,15,366,276,75.4,42
18,Giovani Lo Celso,ar  ARG,"MF,FW",24-347,12,5,504.0,5.6,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.18,0.18,0.36,0.18,0.36,0.8,0.8,1.0,1.8,0.17,0.21,0.38,0.17,0.38,ar  ARG,"MF,FW",24-347,5.6,1,9,5,55.6,1.61,0.89,0.11,0.2,16.4,1,0,0,0.8,0.8,0.09,0.2,0.2,ar  ARG,"MF,FW",24-347,5.6,178,241,73.9,3344,849,84,98,85.7,60,79,75.9,31,51,60.8,1,1.0,0.0,9,18,5,0,21,ar  ARG,"MF,FW",24-347,5.6,241,216,25,10,2,27,7,4,11,9,0,2,149,36,56,204,23,3,1,3,178,0,2,6,9,ar  ARG,"MF,FW",24-347,5.6,17,3.49,10,3,0,1,3,0,3,0.62,3,0,0,0,0,0,0,ar  ARG,"MF,FW",24-347,5.6,17,10,9,6,2,4,17,23.5,13,162,42,25.9,56,76,30,5,1,0,4,2,19,4,0,ar  ARG,"MF,FW",24-347,5.6,305,8,55,147,124,13,282,7,10,70.0,7,1,206,970,533,15,11,5,5,15,248,197,79.4,17
19,Joe Rodon,wal  WAL,DF,23-151,8,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wal  WAL,DF,23-151,5.1,0,1,0,0.0,0.19,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,wal  WAL,DF,23-151,5.1,221,249,88.8,4744,1142,61,65,93.8,124,131,94.7,35,51,68.6,0,0.0,0.0,0,5,0,0,7,wal  WAL,DF,23-151,5.1,249,246,3,3,0,17,2,0,0,0,0,0,198,10,41,13,218,14,0,0,221,0,5,0,1,wal  WAL,DF,23-151,5.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,wal  WAL,DF,23-151,5.1,10,8,8,2,0,4,4,100.0,0,37,11,29.7,28,9,0,5,2,0,3,8,18,26,2,wal  WAL,DF,23-151,5.1,291,52,163,141,2,1,289,0,0,,0,0,183,882,328,4,0,0,1,0,203,201,99.0,0
