,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
16,Diego López,es  ESP,GK,Espanyol,39-340,1981,8,8,720,8.0,8,1.00,31,24,74.2,2,3,3,3,37.5,0,0,0,0,
17,Giorgi Mamardashvili,ge  GEO,GK,Valencia,21-010,2000,6,6,540,6.0,7,1.17,25,18,72.0,3,1,2,2,33.3,0,0,0,0,
18,Luís Maximiano,pt  POR,GK,Granada,22-277,1999,5,5,436,4.8,6,1.24,31,25,80.6,1,1,3,1,20.0,1,0,1,0,100.0
19,Neto,br  BRA,GK,Barcelona,32-082,1989,2,2,180,2.0,3,1.50,9,6,66.7,1,1,0,0,0.0,0,0,0,0,
20,Jan Oblak,si  SVN,GK,Atlético Madrid,28-275,1993,8,8,720,8.0,6,0.75,12,7,58.3,5,2,1,3,37.5,1,1,0,0,0.0
21,Fernando Pacheco,es  ESP,GK,Alavés,29-144,1992,6,6,540,6.0,10,1.67,19,10,52.6,1,0,5,1,16.7,2,1,1,0,50.0
22,Manolo Reina,es  ESP,GK,Mallorca,36-191,1985,7,7,630,7.0,9,1.29,25,17,64.0,3,2,2,4,57.1,1,0,1,0,100.0
23,Álex Remiro,es  ESP,GK,Real Sociedad,26-199,1995,7,7,630,7.0,5,0.71,18,12,72.2,4,2,1,5,71.4,0,0,0,0,
24,Gerónimo Rulli,ar  ARG,GK,Villarreal,29-142,1992,6,6,540,6.0,2,0.33,12,10,83.3,1,5,0,5,83.3,0,0,0,0,
25,Mathew Ryan,au  AUS,GK,Real Sociedad,29-184,1992,1,1,90,1.0,2,2.00,1,0,0.0,1,0,0,0,0.0,1,1,0,0,0.0
26,Rui Silva,pt  POR,GK,Betis,27-244,1994,5,5,450,5.0,6,1.20,12,7,58.3,1,2,2,0,0.0,1,1,0,0,0.0
27,Unai Simón,es  ESP,GK,Athletic Club,24-120,1997,6,6,540,6.0,3,0.50,16,11,81.3,3,2,1,4,66.7,0,0,0,0,
28,Antonio Sivera,es  ESP,GK,Alavés,25-059,1996,1,1,90,1.0,2,2.00,4,3,75.0,0,0,1,0,0.0,1,1,0,0,0.0
29,David Soria,es  ESP,GK,Getafe,28-188,1993,8,8,720,8.0,13,1.62,28,15,60.7,0,1,7,0,0.0,2,2,0,0,0.0
30,Marc-André ter Stegen,de  GER,GK,Barcelona,29-162,1992,5,5,450,5.0,4,0.80,13,9,69.2,2,2,1,2,40.0,0,0,0,0,
31,Rúben Vezo,pt  POR,DF,Levante,27-167,1994,1,1,4,5.1,0,0.00,0,0,,0,1,0,0,0.0,0,0,0,0,
32,Luca Zidane,fr  FRA,"MF,GK",Rayo Vallecano,23-149,1998,1,1,15,0.2,0,0.00,0,0,,0,0,1,0,0.0,0,0,0,0,
