,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
13,Dominik Greif,sk  SVK,GK,Mallorca,24-186,1997,1.0,3,0,1,0,0,1.1,0.19,-1.9,-1.87,2,13,15.4,21,6,42.9,37.8,10,40.0,37.4,8,0,0.0,1,1.00,13.0
14,Sergio Herrera,es  ESP,GK,Osasuna,28-126,1993,8.0,11,1,0,3,1,9.3,0.31,-0.7,-0.08,88,186,47.3,182,17,78.0,54.7,49,89.8,64.4,84,8,9.5,9,1.13,16.3
15,Jeremías Ledesma,ar  ARG,GK,Cádiz,28-238,1993,8.0,11,3,0,2,0,11.3,0.28,+0.3,+0.04,72,199,36.2,145,11,84.1,59.5,82,93.9,70.3,91,5,5.5,3,0.38,13.1
16,Diego López,es  ESP,GK,Espanyol,39-340,1981,8.0,8,0,0,0,1,6.6,0.21,-0.4,-0.05,36,120,30.0,181,33,44.8,38.8,86,45.3,38.0,88,6,6.8,6,0.75,13.8
17,Giorgi Mamardashvili,ge  GEO,GK,Valencia,21-010,2000,6.0,7,0,0,0,0,5.4,0.22,-1.6,-0.27,42,105,40.0,109,21,63.3,45.8,45,80.0,57.9,55,3,5.5,0,0.00,10.3
18,Luís Maximiano,pt  POR,GK,Granada,22-277,1999,4.8,6,0,0,1,0,10.5,0.32,+4.5,+0.92,32,114,28.1,112,17,64.3,47.4,53,79.2,53.6,77,3,3.9,6,1.24,15.6
19,Neto,br  BRA,GK,Barcelona,32-082,1989,2.0,3,0,1,1,0,3.0,0.33,0.0,-0.01,19,36,52.8,81,11,42.0,36.2,16,12.5,28.4,21,1,4.8,2,1.00,13.9
20,Jan Oblak,si  SVN,GK,Atlético Madrid,28-275,1993,8.0,6,1,0,2,1,4.3,0.28,-0.7,-0.09,34,95,35.8,158,41,42.4,40.5,56,50.0,42.9,62,6,9.7,1,0.13,14.3
21,Fernando Pacheco,es  ESP,GK,Alavés,29-144,1992,6.0,10,1,0,3,0,9.4,0.41,-0.6,-0.10,62,116,53.4,131,12,64.1,48.6,60,53.3,43.8,53,5,9.4,0,0.00,12.1
22,Manolo Reina,es  ESP,GK,Mallorca,36-191,1985,7.0,9,0,0,0,1,6.0,0.23,-2.0,-0.29,45,113,39.8,156,31,53.8,43.4,61,47.5,37.3,54,5,9.3,5,0.71,14.2
23,Álex Remiro,es  ESP,GK,Real Sociedad,26-199,1995,7.0,5,0,0,0,0,4.4,0.25,-0.6,-0.08,55,87,63.2,171,27,38.6,34.6,37,56.8,46.2,43,5,11.6,8,1.14,17.2
24,Gerónimo Rulli,ar  ARG,GK,Villarreal,29-142,1992,6.0,2,0,0,0,1,3.3,0.27,+2.3,+0.38,17,56,30.4,194,25,18.0,30.9,52,40.4,39.4,62,7,11.3,7,1.17,17.6
25,Mathew Ryan,au  AUS,GK,Real Sociedad,29-184,1992,1.0,2,1,0,1,0,1.2,0.34,-0.8,-0.76,9,15,60.0,27,4,40.7,36.6,5,80.0,56.6,5,0,0.0,1,1.00,14.5
26,Rui Silva,pt  POR,GK,Betis,27-244,1994,5.0,6,1,0,0,0,4.3,0.28,-1.7,-0.34,25,49,51.0,107,18,32.7,33.5,35,40.0,37.8,38,1,2.6,5,1.00,16.4
27,Unai Simón,es  ESP,GK,Athletic Club,24-120,1997,6.0,3,0,0,0,0,3.7,0.23,+0.7,+0.12,43,93,46.2,121,31,51.2,42.4,57,54.4,47.2,71,4,5.6,3,0.50,11.9
28,Antonio Sivera,es  ESP,GK,Alavés,25-059,1996,1.0,2,1,0,1,0,1.1,0.06,-0.9,-0.87,8,23,34.8,21,2,71.4,51.3,13,61.5,48.8,6,2,33.3,1,1.00,18.3
29,David Soria,es  ESP,GK,Getafe,28-188,1993,8.0,13,2,0,1,0,10.5,0.32,-2.5,-0.31,73,165,44.2,187,20,66.3,48.7,55,74.5,54.7,53,4,7.5,7,0.88,15.3
30,Marc-André ter Stegen,de  GER,GK,Barcelona,29-162,1992,5.0,4,0,0,1,0,4.7,0.36,+0.7,+0.14,24,50,48.0,159,15,22.6,28.9,33,42.4,40.6,30,2,6.7,4,0.80,17.6
31,Rúben Vezo,pt  POR,DF,Levante,27-167,1994,5.1,0,0,0,0,0,0.0,,0.0,0.00,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.00,
32,Luca Zidane,fr  FRA,"MF,GK",Rayo Vallecano,23-149,1998,0.2,0,0,0,0,0,0.0,,0.0,0.00,0,0,,4,2,0.0,20.0,0,,,1,0,0.0,0,0.00,3.0
