,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
23,2021-01-17,12:00,Copa del Rey,Round of 32,Sun,Home,L,0,2,Osasuna,58.0,,David López,4-2-3-1,Mario Melero,Match Report,
24,2021-01-23,18:15,Segunda División,Matchweek 22,Sat,Away,L,0,1,Girona,64.0,,David López,4-4-2,Juan Pulido,Match Report,
25,2021-01-31,16:00,Segunda División,Matchweek 23,Sun,Home,L,2,3,Rayo Vallecano,43.0,,Diego López,4-4-2,Jon González,Match Report,
26,2021-02-08,21:00,Segunda División,Matchweek 24,Mon,Away,D,1,1,Lugo,72.0,,David López,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
27,2021-02-14,14:00,Segunda División,Matchweek 25,Sun,Away,W,2,1,Mallorca,43.0,,David López,4-2-3-1,Dámaso Arcediano,Match Report,
28,2021-02-20,16:00,Segunda División,Matchweek 26,Sat,Home,W,1,0,Sabadell,46.0,,David López,4-4-2,Daniel Ocón,Match Report,
29,2021-02-28,16:00,Segunda División,Matchweek 27,Sun,Away,D,1,1,Sporting Gijón,51.0,,David López,4-4-2,Luis Milla,Match Report,
30,2021-03-05,21:00,Segunda División,Matchweek 28,Fri,Home,D,1,1,Oviedo,46.0,,David López,4-4-2,Daniel Trujillo,Match Report,
31,2021-03-13,21:00,Segunda División,Matchweek 29,Sat,Away,D,2,2,CD Mirandés,54.0,,David López,4-2-3-1,Jon González,Match Report,
32,2021-03-20,21:00,Segunda División,Matchweek 30,Sat,Home,W,4,0,UD Logroñés,66.0,,David López,4-2-3-1,Juan Pulido,Match Report,
33,2021-03-26,21:00,Segunda División,Matchweek 31,Fri,Away,W,3,1,Castellón,75.0,,David López,4-2-3-1,Aitor Gorostegui,Match Report,
34,2021-04-01,17:00,Segunda División,Matchweek 32,Thu,Home,W,4,0,Fuenlabrada,77.0,,David López,4-4-2,Iosu Galech,Match Report,
35,2021-04-04,16:00,Segunda División,Matchweek 33,Sun,Away,W,3,0,Albacete,53.0,,David López,4-4-2,José López,Match Report,
36,2021-04-11,21:00,Segunda División,Matchweek 34,Sun,Home,W,2,1,Leganés,38.0,,David López,4-4-2,Javier Villanueva,Match Report,
37,2021-04-19,21:00,Segunda División,Matchweek 35,Mon,Away,D,1,1,Almería,47.0,,Diego López,4-4-2,David Gálvez,Match Report,
38,2021-04-24,18:15,Segunda División,Matchweek 36,Sat,Home,W,4,0,Las Palmas,51.0,,Diego López,4-4-2,Álvaro Moreno,Match Report,
39,2021-05-02,16:00,Segunda División,Matchweek 37,Sun,Home,W,3,0,Málaga,50.0,,Diego López,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
40,2021-05-08,18:15,Segunda División,Matchweek 38,Sat,Away,D,0,0,Zaragoza,59.0,,David López,4-2-3-1,Juan Pulido,Match Report,
41,2021-05-14,21:00,Segunda División,Matchweek 39,Fri,Home,L,0,2,Cartagena,64.0,,Leandro Cabrera,4-4-2,Iñaki Bikandi,Match Report,
42,2021-05-18,21:30,Segunda División,Matchweek 40,Tue,Away,W,4,1,Ponferradina,60.0,,David López,4-2-3-1,Rafael Sánchez,Match Report,
43,2021-05-23,18:15,Segunda División,Matchweek 41,Sun,Home,D,1,1,Tenerife,67.0,,David López,4-2-3-1,Oliver De La Fuente,Match Report,
44,2021-05-30,21:00,Segunda División,Matchweek 42,Sun,Away,L,0,1,Alcorcón,62.0,,David López,4-4-2,Iosu Galech,Match Report,
