,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
68,Fernando Calero,es  ESP,DF,Espanyol,27-107,1995,9.7,24,15,17,5,2,14,19,73.7,5,22,8,14,8,32,29,0
69,Eduardo Camavinga,fr  FRA,MF,Real Madrid,20-050,2002,5.7,16,13,6,8,2,2,7,28.6,5,8,2,6,3,19,2,0
70,Sergio Camello,es  ESP,FW,Rayo Vallecano,21-323,2001,11.4,8,5,2,4,2,2,6,33.3,4,4,0,4,0,8,7,0
71,Sergio Canales,es  ESP,"MF,FW",Betis,31-317,1991,10.4,8,5,5,2,1,5,9,55.6,4,5,0,5,2,10,4,0
72,Ander Capa,es  ESP,FW,Athletic Club,30-325,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
73,Étienne Capoue,fr  FRA,MF,Villarreal,34-172,1988,9.3,15,8,5,9,1,8,9,88.9,1,7,2,5,10,25,14,0
74,Isaac Carcelen,es  ESP,DF,Cádiz,29-251,1993,5.0,19,14,17,1,1,12,12,100.0,0,7,3,4,5,24,15,0
75,Juan Carlos,es  ESP,GK,Girona,34-344,1988,10.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1
76,Carmona,es  ESP,DF,Sevilla,20-335,2002,4.9,13,11,5,3,5,9,15,60.0,6,8,4,4,6,19,15,1
77,Yannick Carrasco,be  BEL,"DF,FW",Atlético Madrid,29-117,1993,8.8,16,10,8,8,0,12,22,54.5,10,7,1,6,4,20,7,0
78,Dani Carvajal,es  ESP,DF,Real Madrid,30-353,1992,9.7,18,9,8,7,3,11,17,64.7,6,13,3,10,11,29,23,0
79,William Carvalho,pt  POR,MF,Betis,30-267,1992,11.3,16,9,7,8,1,3,15,20.0,12,13,4,9,7,23,8,0
80,Casals,es  ESP,MF,Girona,17-206,2005,0.1,,0,,,,,,,,,,,0,,,
81,Casemiro,br  BRA,MF,Real Madrid,30-310,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
82,Valentín Castellanos,ar  ARG,FW,Girona,24-088,1998,13.2,6,3,1,2,3,0,7,0.0,7,11,2,9,4,10,9,0
83,Samu Castillejo,es  ESP,FW,Valencia,27-346,1995,6.8,8,2,2,4,2,3,11,27.3,8,12,2,10,3,11,0,0
84,Catena,es  ESP,DF,Rayo Vallecano,28-063,1994,14.0,6,2,4,2,0,4,8,50.0,4,11,9,2,7,13,61,1
85,Edinson Cavani,uy  URU,FW,Valencia,35-319,1987,4.8,2,0,1,0,1,0,5,0.0,5,5,2,3,0,2,2,0
86,Dani Ceballos,es  ESP,MF,Real Madrid,26-145,1996,2.0,7,4,2,1,4,4,10,40.0,6,4,0,4,5,12,1,0
87,Franco Cervi,ar  ARG,MF,Celta Vigo,28-218,1994,11.3,36,19,11,20,5,15,35,42.9,20,20,1,19,20,56,7,0
88,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-264,1998,0.7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0
89,Andreas Christensen,dk  DEN,DF,Barcelona,26-264,1996,3.5,4,2,2,2,0,1,1,100.0,0,1,0,1,3,7,9,0
90,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-222,1999,6.0,6,2,1,1,4,3,5,60.0,2,4,0,4,2,8,8,0
91,Víctor Chust,es  ESP,DF,Cádiz,22-300,2000,9.5,8,6,7,1,0,3,6,50.0,3,7,3,4,10,18,44,0
92,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-289,1994,8.1,25,21,7,14,4,9,20,45.0,11,12,8,4,13,38,23,0
93,Carlos Clerc,es  ESP,DF,Elche,30-312,1992,10.6,24,16,19,5,0,6,9,66.7,3,10,3,7,8,32,28,1
94,Álex Collado,es  ESP,MF,Elche,23-252,1999,6.0,22,11,11,9,2,7,11,63.6,4,10,1,9,2,24,3,0
95,Eray Cömert,ch  SUI,DF,Valencia,24-329,1998,9.7,12,7,9,3,0,8,13,61.5,5,13,6,7,12,24,29,1
96,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-086,1996,9.0,27,16,11,16,0,17,31,54.8,14,11,1,10,11,38,3,0
97,Copete,es  ESP,DF,Mallorca,23-081,1999,11.1,26,16,16,9,1,11,13,84.6,2,18,6,12,25,51,45,0
98,Francis Coquelin,fr  FRA,MF,Villarreal,31-231,1991,5.8,14,9,6,6,2,6,6,100.0,0,7,2,5,6,20,6,0
99,Jesús Corona,mx  MEX,FW,Sevilla,29-358,1993,0.7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
100,Ángel Correa,ar  ARG,"FW,MF",Atlético Madrid,27-296,1995,5.7,5,2,2,2,1,3,7,42.9,4,3,0,3,7,12,4,0
101,Thierry Correia,pt  POR,DF,Valencia,23-296,1999,13.5,32,22,19,12,1,17,26,65.4,9,13,1,12,16,48,32,2
102,Jaume Costa,es  ESP,DF,Mallorca,34-287,1988,10.7,18,11,9,6,3,12,18,66.7,6,6,2,4,4,22,15,0
103,Samu Costa,pt  POR,MF,Almería,22-033,2000,8.5,21,9,13,5,3,8,24,33.3,16,10,4,6,13,34,15,1
104,Thibaut Courtois,be  BEL,GK,Real Madrid,30-233,1992,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
105,Yan Couto,br  BRA,"DF,MF",Girona,20-210,2002,6.4,15,10,8,5,2,7,12,58.3,5,5,2,3,3,18,2,0
106,Juan Cruz Armada,es  ESP,DF,Osasuna,30-155,1992,11.2,14,8,10,2,2,9,12,75.0,3,6,4,2,6,20,24,0
107,Juan Cruz,es  ESP,FW,Betis,22-249,2000,1.9,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0
108,Jorge Cuenca,es  ESP,DF,Villarreal,23-043,1999,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0
109,Braian Cufré,ar  ARG,DF,Mallorca,26-015,1996,2.2,5,2,2,1,2,2,4,50.0,2,2,1,1,1,6,0,0
110,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-217,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0
111,Curro,es  ESP,MF,Almería,26-361,1996,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
112,Sergi Darder,es  ESP,MF,Espanyol,29-008,1993,13.7,26,13,5,12,9,10,16,62.5,6,8,0,8,13,39,8,0
113,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-220,1994,7.4,8,1,1,7,0,4,7,57.1,3,11,2,9,2,10,2,0
114,Alberto Del Moral,es  ESP,MF,Villarreal,22-163,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
115,Thomas Delaney,dk  DEN,MF,Sevilla,31-118,1991,3.4,4,2,0,4,0,3,5,60.0,2,3,2,1,4,8,3,0
116,Fran Delgado,es  ESP,DF,Betis,21-172,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
117,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-229,1997,9.6,14,9,4,6,4,2,10,20.0,8,7,0,7,0,14,2,0
118,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-011,1996,8.8,14,8,9,5,0,6,8,75.0,2,10,6,4,7,21,31,1
119,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-187,2000,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0
120,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-005,1993,14.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,6,2
121,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-079,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
122,Djené,tg  TOG,DF,Getafe,30-364,1991,11.1,9,5,8,1,0,5,8,62.5,3,4,4,0,12,21,25,1
123,Marko Dmitrović,rs  SRB,GK,Sevilla,30-340,1992,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
124,Kasper Dolberg,dk  DEN,FW,Sevilla,25-085,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0
125,Carlos Dominguez,es  ESP,MF,Celta Vigo,21-322,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
126,John Donald,es  ESP,DF,Elche,22-122,2000,1.7,1,0,1,0,0,0,0,,0,2,2,0,5,6,3,1
127,Domingos Duarte,pt  POR,DF,Getafe,27-295,1995,12.5,12,7,10,2,0,10,12,83.3,2,15,13,2,18,30,65,0
128,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,21-339,2001,0.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0
129,Hugo Duro,es  ESP,FW,Valencia,23-050,1999,4.3,5,2,1,1,3,4,5,80.0,1,1,0,1,0,5,3,1
130,Íñigo Eguaras,es  ESP,MF,Almería,30-298,1992,5.5,7,6,3,4,0,3,8,37.5,5,7,3,4,4,11,9,0
131,Aritz Elustondo,es  ESP,DF,Real Sociedad,28-277,1994,6.9,13,9,7,5,1,6,7,85.7,1,6,5,1,9,22,18,1
132,Rodrigo Ely,br  BRA,DF,Almería,29-057,1993,13.7,9,7,7,2,0,6,9,66.7,3,18,15,3,16,25,81,0
133,Youssef En-Nesyri,ma  MAR,"FW,MF",Sevilla,25-212,1997,4.0,3,2,0,3,0,1,3,33.3,2,1,1,0,1,4,3,0
134,Sergio Escudero,es  ESP,DF,Valladolid,33-119,1989,7.9,22,15,15,7,0,9,21,42.9,12,14,2,12,10,32,23,0
135,Alfonso Espino,uy  URU,DF,Cádiz,30-359,1992,12.7,33,23,22,7,4,20,41,48.8,21,25,5,20,12,45,29,0
136,Bernardo Espinosa,co  COL,DF,Girona,33-172,1989,5.5,4,0,1,3,0,2,3,66.7,1,7,3,4,3,7,20,2
137,Edu Expósito,es  ESP,MF,Espanyol,26-151,1996,8.6,24,15,9,13,2,9,14,64.3,5,5,0,5,9,33,13,0
138,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,22-353,2000,3.3,14,8,6,4,4,7,12,58.3,5,4,0,4,5,19,2,0
139,Abdessamad Ezzalzouli,ma  MAR,"MF,FW",Osasuna,21-013,2001,3.5,11,9,5,5,1,5,5,100.0,0,7,0,7,2,13,1,0
140,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,36-323,1986,4.6,3,3,1,2,0,1,4,25.0,3,4,1,3,1,4,7,0
141,Fali,es  ESP,"DF,MF",Cádiz,29-140,1993,6.2,10,6,6,4,0,6,9,66.7,3,5,3,2,3,13,25,0
142,Ansu Fati,es  ESP,FW,Barcelona,20-060,2002,5.2,5,5,2,1,2,3,6,50.0,3,6,0,6,3,8,3,0
143,Zouhair Feddal,ma  MAR,DF,Valladolid,33-363,1989,3.9,4,2,1,3,0,3,4,75.0,1,9,9,0,4,8,25,0
144,Nabil Fekir,fr  FRA,"MF,FW",Betis,29-165,1993,5.7,5,1,2,1,2,1,4,25.0,3,4,0,4,0,5,0,0
145,Felipe,br  BRA,DF,Atlético Madrid,33-228,1989,2.0,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0
146,Luiz Felipe,it  ITA,DF,Betis,25-283,1997,5.6,12,8,6,6,0,5,8,62.5,3,16,10,6,3,15,29,0
147,João Félix,pt  POR,"FW,MF",Atlético Madrid,23-050,1999,6.4,8,6,2,1,5,1,5,20.0,4,0,0,0,3,11,2,0
148,Kiko Femenía,es  ESP,DF,Villarreal,31-331,1991,9.4,6,3,4,1,1,4,7,57.1,3,11,5,6,14,20,17,0
149,Aitor Fernández,es  ESP,GK,Osasuna,31-241,1991,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
150,Álex Fernández,es  ESP,"MF,FW",Cádiz,30-076,1992,7.8,5,2,3,1,1,2,5,40.0,3,7,1,6,4,9,8,0
151,Álvaro Fernández,es  ESP,GK,Espanyol,24-261,1998,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2
152,Carlos Fernández,es  ESP,FW,Real Sociedad,26-222,1996,2.6,2,2,0,2,0,0,5,0.0,5,1,0,1,1,3,2,0
153,Federico Fernández,ar  ARG,DF,Elche,33-312,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0
154,Joaquín Fernández,es  ESP,DF,Valladolid,26-213,1996,10.6,14,13,11,3,0,9,11,81.8,2,17,12,5,12,26,44,1
155,Fidel,es  ESP,"MF,FW",Elche,33-064,1989,1.9,1,1,1,0,0,0,3,0.0,3,2,0,2,1,2,0,0
156,Dimitri Foulquier,fr  FRA,"DF,MF",Valencia,29-282,1993,3.2,4,4,2,2,0,1,1,100.0,0,2,0,2,2,6,4,0
157,Juan Foyth,ar  ARG,DF,Villarreal,24-352,1998,2.8,6,4,3,3,0,5,7,71.4,2,3,0,3,4,10,12,0
158,Iván Fresneda,es  ESP,DF,Valladolid,18-093,2004,5.2,15,10,6,8,1,9,12,75.0,3,5,1,4,8,23,18,0
159,Javi Galán,es  ESP,DF,Celta Vigo,28-041,1994,13.9,44,29,27,15,2,16,35,45.7,19,20,1,19,8,52,14,0
160,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,29-146,1993,9.5,23,17,13,8,2,6,12,50.0,6,7,3,4,11,34,9,0
161,Aleix García,es  ESP,MF,Girona,25-185,1997,14.8,20,8,3,11,6,5,11,45.5,6,14,5,9,22,42,12,0
162,Álvaro García,es  ESP,FW,Rayo Vallecano,30-064,1992,13.2,20,9,9,4,7,4,7,57.1,3,17,1,16,8,28,10,0
163,Dani García,es  ESP,MF,Athletic Club,32-220,1990,4.9,11,8,4,6,1,8,11,72.7,3,3,0,3,4,15,7,0
164,David García,es  ESP,DF,Osasuna,28-319,1994,11.5,15,8,11,4,0,9,10,90.0,1,6,3,3,19,34,56,0
165,Eric García,es  ESP,DF,Barcelona,21-355,2001,6.8,12,7,8,2,2,4,6,66.7,2,12,6,6,9,21,9,1
166,Francisco Garcia,es  ESP,DF,Rayo Vallecano,23-138,1999,15.0,24,16,16,5,3,15,29,51.7,14,14,1,13,17,41,22,0
167,Raúl García,es  ESP,"MF,FW",Athletic Club,36-172,1986,4.2,7,5,2,1,4,3,5,60.0,2,4,1,3,1,8,5,0
168,Rubén García,es  ESP,MF,Osasuna,29-169,1993,4.7,7,1,5,1,1,3,8,37.5,5,5,0,5,4,11,6,0
169,Unai García,es  ESP,DF,Osasuna,30-330,1992,12.4,12,7,8,2,2,7,10,70.0,3,17,11,6,16,28,43,0
170,Felix Garreta,es  ESP,DF,Betis,18-253,2004,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0
171,Sékou Gassama,sn  SEN,FW,Valladolid,27-238,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
172,Gavi,es  ESP,MF,Barcelona,18-147,2004,8.9,14,11,2,8,4,6,11,54.5,5,9,1,8,9,23,5,0
173,Paulo Gazzaniga,ar  ARG,GK,Girona,30-362,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
174,Óscar Gil,es  ESP,DF,Espanyol,25-248,1997,9.6,23,13,12,7,4,8,13,61.5,5,10,3,7,9,32,15,0
175,Álvaro Giménez,es  ESP,FW,Cádiz,31-225,1991,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
176,Dani Gómez,es  ESP,"MF,FW",Espanyol,24-153,1998,0.7,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0
177,Maxi Gómez,uy  URU,FW,Valencia,26-138,1996,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
178,Moi Gómez,es  ESP,"MF,FW",Osasuna,28-190,1994,12.7,10,6,5,4,1,6,11,54.5,5,6,2,4,6,16,2,0
179,Papu Gómez,ar  ARG,"FW,MF",Sevilla,34-318,1988,7.2,5,4,2,3,0,1,3,33.3,2,4,1,3,4,9,5,0
180,Sergi Gómez,es  ESP,DF,Espanyol,30-277,1992,9.9,11,5,8,3,0,8,9,88.9,1,8,5,3,12,23,56,0
181,Diego González,es  ESP,DF,Elche,27-336,1995,4.6,6,5,3,3,0,3,5,60.0,2,5,5,0,3,9,21,0
182,Édgar González,es  ESP,DF,Betis,25-273,1997,9.4,13,11,10,3,0,9,13,69.2,4,7,7,0,10,23,54,0
183,Giovanni González,uy  URU,DF,Mallorca,28-101,1994,3.8,4,3,3,1,0,3,8,37.5,5,2,1,1,3,7,8,0
184,Nicolás González,es  ESP,MF,Valencia,20-361,2002,5.7,10,5,2,5,3,3,8,37.5,5,6,2,4,4,14,7,0
185,Roberto González,es  ESP,"FW,MF",Betis,21-358,2001,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
186,Andoni Gorosabel,es  ESP,DF,Real Sociedad,26-148,1996,7.9,19,7,11,3,5,12,16,75.0,4,6,0,6,7,26,6,0
187,Ivo Grbić,hr  CRO,GK,Atlético Madrid,26-346,1996,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
188,Clément Grenier,fr  FRA,MF,Mallorca,31-357,1991,4.5,11,4,3,7,1,5,7,71.4,2,4,0,4,5,16,4,0
189,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,31-284,1991,9.5,20,13,4,11,5,5,14,35.7,9,13,2,11,7,27,7,0
190,Arnaut Groeneveld,nl  NED,FW,Villarreal,25-333,1997,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1
