,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
186,Andoni Gorosabel,es  ESP,DF,Real Sociedad,26-148,1996,7.9,2,0,0,5,6,0,16,7,7,0,0,0,28,5,13,27.8
187,Ivo Grbić,hr  CRO,GK,Atlético Madrid,26-346,1996,2.3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
188,Clément Grenier,fr  FRA,MF,Mallorca,31-357,1991,4.5,6,0,0,13,5,0,23,5,4,0,0,0,24,0,3,0.0
189,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,31-284,1991,9.5,0,0,0,8,11,3,60,7,13,0,0,0,51,8,9,47.1
190,Arnaut Groeneveld,nl  NED,FW,Villarreal,25-333,1997,5.3,0,0,0,2,7,3,6,0,3,0,0,0,9,0,3,0.0
191,Andrés Guardado,mx  MEX,MF,Betis,36-093,1986,4.4,2,0,0,7,3,0,7,8,6,0,0,0,34,1,8,11.1
192,Sergi Guardiola,es  ESP,FW,Valladolid,31-215,1991,4.2,0,0,0,11,7,2,2,2,6,0,0,0,10,8,8,50.0
193,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,31-044,1991,11.5,4,0,0,9,11,0,0,10,10,0,0,0,32,16,7,69.6
194,Ander Guevara,es  ESP,"MF,DF",Real Sociedad,25-176,1997,1.4,1,0,0,2,2,0,0,1,0,0,0,0,5,1,1,50.0
195,Hugo Guillamón,es  ESP,MF,Valencia,22-333,2000,10.2,4,0,0,22,24,0,21,10,4,0,1,1,58,12,11,52.2
196,Gerard Gumbau,es  ESP,MF,Elche,28-012,1994,9.2,5,0,0,19,6,0,41,6,7,0,0,0,45,5,9,35.7
197,Gorka Guruzeta,es  ESP,"FW,MF",Athletic Club,26-109,1996,3.0,1,0,0,7,2,7,0,2,2,0,0,0,9,6,6,50.0
198,Raúl Guti,es  ESP,MF,Elche,26-000,1996,8.1,1,0,0,5,15,0,2,7,8,0,0,0,40,3,3,50.0
199,Miguel Gutiérrez,es  ESP,DF,Girona,21-156,2001,11.1,3,0,0,8,8,0,45,6,7,0,0,0,64,4,5,44.4
200,Munir El Haddadi,ma  MAR,"MF,FW",Getafe,27-120,1995,2.6,2,0,0,9,12,1,6,1,1,0,0,0,12,5,4,55.6
201,Eden Hazard,be  BEL,FW,Real Madrid,31-357,1991,1.1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,
202,Luiz Henrique,br  BRA,FW,Betis,21-362,2001,9.2,1,0,0,4,16,2,11,7,19,0,0,0,49,11,23,32.4
203,Mario Hermoso,es  ESP,DF,Atlético Madrid,27-195,1995,1.9,5,2,2,5,1,0,0,3,0,0,0,0,12,3,0,100.0
204,Aridane Hernández,gq  EQG,DF,Osasuna,33-282,1989,1.6,0,0,0,2,0,0,0,3,1,0,0,0,7,4,1,80.0
205,Luis Hernández,es  ESP,DF,Cádiz,33-260,1989,12.0,2,1,1,7,2,2,5,11,5,0,0,0,52,16,11,59.3
206,Ander Herrera,es  ESP,MF,Athletic Club,33-138,1989,2.6,2,1,0,8,3,0,1,4,1,0,0,0,15,1,1,50.0
207,Sergio Herrera,es  ESP,GK,Osasuna,29-208,1993,10.0,3,0,0,1,1,0,0,1,0,0,1,0,8,2,1,66.7
