,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,21.7,61,2.94,24,27,1,2,6,1,10,0.48,3,4,1,0,2,0,0
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
22,Santiago Ascacíbar,ar  ARG,MF,Hertha BSC,24-024,1997,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
23,Ludwig Augustinsson,se  SWE,DF,Werder Bremen,26-334,1994,16.7,45,2.86,22,19,0,3,1,0,6,0.38,2,4,0,0,0,0,0
24,Taiwo Awoniyi,ng  NGA,FW,Union Berlin,23-221,1997,14.3,32,2.23,23,0,3,2,3,1,6,0.42,3,0,1,0,2,0,0
25,Leon Bailey,jm  JAM,FW,Leverkusen,23-224,1997,19.1,82,4.29,46,13,7,6,9,1,11,0.58,5,4,0,1,0,1,0
26,Aymen Barkok,ma  MAR,"FW,MF",Eint Frankfurt,22-304,1998,9.3,35,4.14,24,7,2,0,1,1,5,0.59,3,1,1,0,0,0,0
27,Leandro Barreiro Martins,lu  LUX,MF,Mainz 05,21-077,2000,17.3,24,1.39,19,1,1,0,3,0,1,0.06,1,0,0,0,0,0,0
28,Jacob Barrett Laursen,dk  DEN,DF,Arminia,26-124,1994,11.7,7,0.60,7,0,0,0,0,0,1,0.09,1,0,0,0,0,0,0
29,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24.0,2,0.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
30,Julian Baumgartlinger,at  AUT,MF,Leverkusen,33-078,1988,11.9,23,1.93,18,0,0,1,4,0,2,0.17,1,0,0,1,0,0,0
31,Christoph Baumgartner,at  AUT,"MF,FW",Hoffenheim,21-232,1999,20.3,56,2.75,34,1,2,4,12,3,10,0.49,6,0,1,0,3,0,0
32,Noah Joel Sarenren Bazee,ng  NGA,"FW,MF",Augsburg,24-212,1996,0.4,1,2.50,1,0,0,0,0,0,1,2.50,1,0,0,0,0,0,0
33,Ihlas Bebou,tg  TOG,FW,Hoffenheim,26-332,1994,16.0,48,2.99,37,0,6,2,2,1,11,0.69,6,0,2,2,1,0,0
34,Sheraldo Becker,nl  NED,"FW,MF",Union Berlin,26-040,1995,11.9,33,2.77,25,0,2,3,3,0,7,0.59,6,0,0,0,1,0,0
35,Timo Becker,de  GER,DF,Schalke 04,23-361,1997,11.5,8,0.76,5,1,0,0,2,0,3,0.29,2,1,0,0,0,0,0
36,Brian Behrendt,de  GER,DF,Arminia,29-148,1991,0.9,2,2.28,0,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0
37,Maximilian Beier,de  GER,"FW,DF",Hoffenheim,18-155,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
38,Ishak Belfodil,dz  ALG,FW,Hoffenheim,29-068,1992,6.4,17,2.64,12,0,0,2,3,0,1,0.16,1,0,0,0,0,0,0
39,Stefan Bell,de  GER,DF,Mainz 05,29-209,1991,8.8,4,0.45,2,1,0,0,0,1,2,0.23,1,1,0,0,0,0,0
40,Karim Bellarabi,de  GER,"MF,FW",Leverkusen,30-347,1990,4.9,15,3.08,9,0,4,2,0,0,1,0.21,0,0,0,1,0,0,0
41,Jude Bellingham,eng  ENG,MF,Dortmund,17-265,2003,13.3,30,2.44,24,0,1,1,3,1,7,0.57,7,0,0,0,0,0,0
42,Lars Bender,de  GER,DF,Leverkusen,31-328,1989,10.4,17,1.64,16,0,1,0,0,0,3,0.29,3,0,0,0,0,0,0
43,Sven Bender,de  GER,DF,Leverkusen,31-328,1989,8.1,9,1.12,8,0,0,1,0,0,2,0.25,2,0,0,0,0,0,0
44,Ramy Bensebaini,dz  ALG,DF,M'Gladbach,25-339,1995,13.9,11,0.85,8,0,2,1,0,0,2,0.15,0,0,1,1,0,0,0
45,Nabil Bentaleb,dz  ALG,MF,Schalke 04,26-117,1994,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
46,Louis Beyer,de  GER,DF,M'Gladbach,20-306,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
47,Bartosz Bialek,pl  POL,"FW,MF",Wolfsburg,19-130,2001,2.3,9,3.99,9,0,0,0,0,0,2,0.89,2,0,0,0,0,0,0
48,Ermin Bičakčić,ba  BIH,DF,Hoffenheim,31-056,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
49,Leonardo Bittencourt,de  GER,"MF,FW",Werder Bremen,27-092,1993,14.1,33,2.40,18,7,3,1,2,2,4,0.29,1,1,0,0,1,1,0
50,Jérôme Boateng,de  GER,DF,Bayern Munich,32-199,1988,20.5,10,0.51,10,0,0,0,0,0,3,0.15,3,0,0,0,0,0,0
51,Jean-Paul Boëtius,nl  NED,"MF,FW",Mainz 05,26-364,1994,16.2,47,2.90,37,0,3,2,4,1,5,0.31,4,0,0,1,0,0,0
52,Melayro Bogarde,nl  NED,"DF,MF",Hoffenheim,18-297,2002,3.1,8,2.61,6,0,0,0,2,0,1,0.33,1,0,0,0,0,0,0
53,Dennis Borkowski,de  GER,MF,RB Leipzig,19-054,2002,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
54,Sebastiaan Bornauw,be  BEL,DF,Köln,21-364,1999,17.0,2,0.12,2,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0
55,Nassim Boujellab,ma  MAR,"MF,FW",Schalke 04,21-274,1999,6.7,14,2.08,9,0,0,2,3,0,0,0.00,0,0,0,0,0,0,0
56,Dedryck Boyata,be  BEL,DF,Hertha BSC,30-113,1990,12.8,8,0.62,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0
57,Can Bozdogan,de  GER,MF,Schalke 04,19-350,2001,5.0,6,1.20,5,1,0,0,0,0,1,0.20,1,0,0,0,0,0,0
58,Julian Brandt,de  GER,"FW,MF",Dortmund,24-323,1996,14.1,56,4.11,48,2,2,2,2,0,4,0.29,4,0,0,0,0,0,0
59,Josip Brekalo,hr  CRO,FW,Wolfsburg,22-271,1998,15.3,53,3.66,37,8,5,2,1,0,7,0.48,4,0,1,1,1,0,0
60,Joshua Brenet,nl  NED,DF,Hoffenheim,27-001,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
61,John Brooks,us  USA,DF,Wolfsburg,28-052,1993,23.2,18,0.81,15,0,1,1,0,1,1,0.05,1,0,0,0,0,0,0
62,Daniel Brosinski,de  GER,DF,Mainz 05,32-247,1988,11.4,21,1.83,14,7,0,0,0,0,3,0.26,1,2,0,0,0,0,0
63,Cédric Brunner,ch  SUI,DF,Arminia,27-032,1994,22.9,15,0.65,11,3,1,0,0,0,1,0.04,1,0,0,0,0,0,0
64,Jacob Bruun Larsen,dk  DEN,FW,Hoffenheim,22-183,1998,1.0,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
65,Marius Bülter,de  GER,"FW,MF",Union Berlin,27-357,1993,9.1,21,2.33,17,0,2,0,1,1,3,0.33,3,0,0,0,0,0,0
66,Jonathan Burkardt,de  GER,"FW,DF",Mainz 05,20-253,2000,11.7,22,1.88,18,0,0,1,3,0,3,0.26,2,0,0,0,1,0,0
67,Roman Bürki,ch  SUI,GK,Dortmund,30-127,1990,16.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0
68,Kerim Calhanoglu,de  GER,DF,Schalke 04,18-207,2002,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
69,Daniel Caligiuri,it  ITA,"MF,DF",Augsburg,33-065,1988,23.9,62,2.59,34,18,6,0,3,1,7,0.29,5,2,0,0,0,0,0
70,Emre Can,de  GER,"DF,MF",Dortmund,27-068,1994,18.2,29,1.68,24,0,3,0,0,2,3,0.17,3,0,0,0,0,0,0
71,Koen Casteels,be  BEL,GK,Wolfsburg,28-269,1992,25.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
72,Gonzalo Castro,de  GER,"MF,FW",Stuttgart,33-283,1987,16.0,67,4.40,36,22,3,3,0,3,5,0.33,3,1,1,0,0,0,0
73,Sava Cestic,de  GER,DF,Köln,20-030,2001,10.0,4,0.40,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
74,Timothy Chandler,us  USA,DF,Eint Frankfurt,30-357,1990,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
75,Kwon Chang-hoon,kr  KOR,"MF,FW",Freiburg,26-264,1994,2.1,3,1.41,3,0,0,0,0,0,1,0.47,1,0,0,0,0,0,0
76,Tahith Chong,nl  NED,"FW,MF",Werder Bremen,21-107,1999,4.3,13,3.03,10,0,1,0,1,1,1,0.23,1,0,0,0,0,0,0
77,Darko Churlinov,mk  MKD,"DF,FW",Stuttgart,20-253,2000,0.7,1,1.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
78,Tim Civeja,de  GER,"MF,DF",Augsburg,19-076,2002,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
79,Kingsley Coman,fr  FRA,"FW,MF",Bayern Munich,24-281,1996,15.3,64,4.29,50,0,9,3,2,0,13,0.87,10,0,2,0,1,0,0
80,Jhon Córdoba,co  COL,FW,Hertha BSC,27-314,1993,12.2,38,3.11,25,0,4,3,5,1,3,0.25,1,0,0,0,2,0,0
81,Sergio Córdova,ve  VEN,"FW,MF",Arminia,23-224,1997,11.8,29,2.46,21,0,3,2,2,1,2,0.17,2,0,0,0,0,0,0
82,Douglas Costa,br  BRA,"FW,MF",Bayern Munich,30-188,1990,3.6,17,4.78,8,7,2,0,0,0,2,0.56,1,0,1,0,0,0,0
83,Tanguy Coulibaly,fr  FRA,"DF,FW",Stuttgart,20-031,2001,11.9,35,3.22,22,0,7,2,3,1,2,0.18,2,0,0,0,0,0,0
84,Mickaël Cuisance,fr  FRA,FW,Bayern Munich,21-217,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
85,Matheus Cunha,br  BRA,"FW,MF",Hertha BSC,21-298,1999,19.2,79,4.11,34,17,10,7,7,4,7,0.36,4,1,0,2,0,0,0
86,Rafael Czichos,de  GER,DF,Köln,30-311,1990,17.1,9,0.56,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0
87,Moanes Dabour,il  ISR,FW,Hoffenheim,28-311,1992,10.8,26,2.41,19,0,3,1,3,0,3,0.28,3,0,0,0,0,0,0
88,Finn Dahmen,de  GER,GK,Mainz 05,22-359,1998,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
89,Mahmoud Dahoud,de  GER,MF,Dortmund,25-079,1996,8.4,14,1.88,10,0,2,1,0,1,1,0.13,1,0,0,0,0,0,0
90,Leon Dajaku,de  GER,FW,Union Berlin,19-343,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
91,Tiago Dantas,pt  POR,MF,Bayern Munich,20-087,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
92,Márton Dárdai,de  GER,DF,Hertha BSC,19-037,2002,4.2,3,0.72,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
93,Vladimír Darida,cz  CZE,MF,Hertha BSC,30-225,1990,18.2,57,3.14,41,9,3,0,4,0,9,0.50,9,0,0,0,0,0,0
94,Alphonso Davies,ca  CAN,DF,Bayern Munich,20-139,2000,13.6,34,2.52,29,0,2,0,3,0,4,0.30,2,0,1,0,1,0,0
95,Thomas Delaney,dk  DEN,MF,Dortmund,29-199,1991,10.6,14,1.33,10,0,0,1,1,2,0,0.00,0,0,0,0,0,0,0
96,Kerem Demirbay,de  GER,MF,Leverkusen,27-261,1993,13.0,49,3.77,25,15,4,4,1,0,3,0.23,0,2,0,1,0,0,0
97,Ermedin Demirović,ba  BIH,FW,Freiburg,22-361,1998,11.0,20,1.81,14,0,1,1,3,1,7,0.64,5,0,1,1,0,0,0
98,Emmanuel Dennis,ng  NGA,FW,Köln,23-126,1997,4.2,8,1.93,6,0,1,0,1,0,1,0.24,1,0,0,0,0,0,0
99,Mike van der Hoorn,nl  NED,DF,Arminia,28-157,1992,14.0,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
100,Moussa Diaby,fr  FRA,"FW,MF",Leverkusen,21-257,1999,22.3,67,3.00,49,0,11,5,1,1,11,0.49,7,0,2,2,0,0,0
101,Daniel Didavi,de  GER,"FW,MF",Stuttgart,31-028,1990,8.4,29,3.51,24,3,0,1,1,0,5,0.61,3,1,0,1,0,0,0
102,Javairô Dilrosun,nl  NED,"FW,MF",Hertha BSC,22-272,1998,3.3,10,3.04,5,2,2,0,0,1,3,0.91,2,0,0,0,0,1,0
103,Eren Dinkçi,de  GER,"FW,DF",Werder Bremen,19-098,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
104,Ritsu Doan,jp  JPN,"MF,FW",Arminia,22-278,1998,23.1,66,2.85,28,16,15,4,2,1,4,0.17,3,0,1,0,0,0,0
105,Ji Dong-won,kr  KOR,FW,Mainz 05,29-297,1991,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
106,Bas Dost,nl  NED,FW,Eint Frankfurt,31-294,1989,9.1,18,1.98,17,0,0,1,0,0,3,0.33,3,0,0,0,0,0,0
107,Aleksandar Dragović,at  AUT,DF,Leverkusen,30-015,1991,8.6,13,1.51,9,2,0,1,0,1,0,0.00,0,0,0,0,0,0,0
108,Dominick Drexler,de  GER,"MF,FW",Köln,30-299,1990,10.4,21,2.23,18,0,0,1,1,1,1,0.11,0,0,0,1,0,0,0
109,Ondrej Duda,sk  SVK,"FW,MF",Köln,26-106,1994,21.5,57,2.77,27,21,4,4,1,0,5,0.24,3,2,0,0,0,0,0
110,Erik Durm,de  GER,DF,Eint Frankfurt,28-313,1992,12.4,22,1.78,14,1,1,6,0,0,3,0.24,0,0,0,3,0,0,0
111,Johannes Eggestein,de  GER,"FW,MF",Werder Bremen,22-317,1998,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
112,Maximilian Eggestein,de  GER,MF,Werder Bremen,24-103,1996,25.7,40,1.62,34,1,0,1,2,2,8,0.32,8,0,0,0,0,0,0
113,Lilian Egloff,de  GER,MF,Stuttgart,18-213,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
114,Kingsley Ehizibue,nl  NED,DF,Köln,25-300,1995,8.6,11,1.43,9,0,2,0,0,0,2,0.26,1,0,1,0,0,0,0
115,Nico Elvedi,ch  SUI,DF,M'Gladbach,24-172,1996,22.2,8,0.38,7,0,0,1,0,0,2,0.09,2,0,0,0,0,0,0
116,Breel Embolo,ch  SUI,"FW,MF",M'Gladbach,24-035,1997,13.0,35,2.71,21,0,2,9,3,0,8,0.62,2,0,0,3,3,0,0
117,Keita Endo,jp  JPN,"MF,FW",Union Berlin,23-119,1997,2.8,8,3.30,5,0,0,0,2,1,0,0.00,0,0,0,0,0,0,0
118,Wataru Endo,jp  JPN,MF,Stuttgart,28-040,1993,25.8,56,2.24,45,0,1,1,5,4,6,0.24,5,0,0,0,1,0,0
119,Patrick Erras,de  GER,"FW,MF",Werder Bremen,26-059,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
120,Ralf Fährmann,de  GER,GK,Schalke 04,32-175,1988,13.8,4,0.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
121,Ohis Felix Uduokhai,de  GER,DF,Augsburg,23-193,1997,24.0,9,0.37,7,0,0,0,1,1,1,0.04,1,0,0,0,0,0,0
122,Edimilson Fernandes,ch  SUI,"MF,DF",Mainz 05,24-340,1996,8.6,12,1.39,9,3,0,0,0,0,0,0.00,0,0,0,0,0,0,0
123,Alfreð Finnbogason,is  ISL,FW,Augsburg,32-048,1989,4.6,16,3.46,12,0,2,2,0,0,1,0.22,1,0,0,0,0,0,0
124,Emil Forsberg,se  SWE,"FW,MF",RB Leipzig,29-149,1991,12.6,53,4.20,35,6,5,3,2,2,7,0.56,5,0,1,0,0,1,0
125,Philipp Förster,de  GER,"FW,MF",Stuttgart,26-045,1995,10.3,27,2.74,20,3,3,0,1,0,3,0.30,3,0,0,0,0,0,0
126,Timothy Fosu-Mensah,nl  NED,DF,Leverkusen,23-078,1998,4.5,6,1.32,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
127,Raphael Framberger,de  GER,DF,Augsburg,25-196,1995,12.6,15,1.19,11,2,1,0,0,1,1,0.08,1,0,0,0,0,0,0
128,Marco Friedl,at  AUT,DF,Werder Bremen,23-005,1998,25.0,19,0.79,14,2,1,0,1,1,2,0.08,1,1,0,0,0,0,0
129,Marvin Friedrich,de  GER,DF,Union Berlin,25-098,1995,26.0,16,0.64,14,0,1,0,1,0,2,0.08,2,0,0,0,0,0,0
130,Jeremie Frimpong,nl  NED,"DF,FW",Leverkusen,20-101,2000,2.7,7,2.57,6,0,1,0,0,0,2,0.73,2,0,0,0,0,0,0
131,Niclas Füllkrug,de  GER,FW,Werder Bremen,28-040,1993,5.5,10,1.94,5,0,0,1,4,0,1,0.19,0,0,0,0,1,0,0
132,Mijat Gaćinović,rs  SRB,"DF,MF",Hoffenheim,26-041,1995,7.9,21,2.66,15,4,1,1,0,0,3,0.38,1,1,0,1,0,0,0
133,Christian Gebauer,at  AUT,"MF,FW",Arminia,27-091,1993,6.4,11,1.72,9,0,0,2,0,0,1,0.16,1,0,0,0,0,0,0
134,Theodor Gebre Selassie,cz  CZE,DF,Werder Bremen,34-087,1986,25.7,27,1.09,22,3,0,1,1,0,3,0.12,2,1,0,0,0,0,0
135,Dennis Geiger,de  GER,MF,Hoffenheim,22-284,1998,7.3,24,3.28,15,8,0,1,0,0,1,0.14,0,1,0,0,0,0,0
136,Christian Gentner,de  GER,MF,Union Berlin,35-219,1985,6.1,12,1.97,11,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0
137,Yannick Gerhardt,de  GER,MF,Wolfsburg,27-008,1994,15.6,28,1.92,20,2,1,2,3,0,7,0.48,5,0,0,1,1,0,0
138,Hamadi Al Ghaddioui,ma  MAR,"MF,FW",Stuttgart,30-180,1990,0.3,2,6.92,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
139,Niko Gießelmann,de  GER,DF,Union Berlin,29-176,1991,4.5,6,1.33,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0
140,Rafał Gikiewicz,pl  POL,GK,Augsburg,33-146,1987,25.0,2,0.08,1,1,0,0,0,0,1,0.04,0,1,0,0,0,0,0
141,Daniel Ginczek,de  GER,"FW,MF",Wolfsburg,29-342,1991,2.0,3,1.53,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
142,Matthias Ginter,de  GER,DF,M'Gladbach,27-061,1994,26.0,22,0.88,21,0,1,0,0,0,3,0.12,3,0,0,0,0,0,0
143,Robert Glatzel,de  GER,FW,Mainz 05,27-072,1994,1.4,4,2.93,3,0,0,1,0,0,2,1.46,1,0,0,1,0,0,0
144,Serge Gnabry,de  GER,"FW,MF",Bayern Munich,25-250,1995,15.8,64,4.22,51,7,3,2,1,0,9,0.59,7,1,0,0,1,0,0
145,Akaki Gogia,de  GER,FW,Union Berlin,29-062,1992,1.6,5,3.21,4,0,0,0,1,0,3,1.93,2,0,0,0,1,0,0
146,Nicolás González,ar  ARG,"FW,DF",Stuttgart,22-349,1998,10.4,27,2.73,18,0,3,3,3,0,7,0.71,3,0,2,1,1,0,0
147,Leon Goretzka,de  GER,MF,Bayern Munich,26-043,1995,17.2,40,2.46,30,0,2,4,2,2,13,0.80,10,0,2,1,0,0,0
148,Jeffrey Gouweleeuw,nl  NED,DF,Augsburg,29-254,1991,24.0,16,0.67,11,2,1,0,0,2,1,0.04,1,0,0,0,0,0,0
149,Demarai Gray,eng  ENG,"FW,MF",Leverkusen,24-266,1996,2.8,9,3.18,5,2,1,1,0,0,2,0.71,2,0,0,0,0,0,0
150,Michael Gregoritsch,at  AUT,"FW,MF",Augsburg,26-337,1994,8.5,15,1.76,10,1,2,0,2,0,4,0.47,3,0,0,0,1,0,0
151,Sebastian Griesbeck,de  GER,MF,Union Berlin,30-169,1990,8.6,6,0.72,3,0,1,0,2,0,1,0.12,0,0,0,0,1,0,0
152,Vincenzo Grifo,it  ITA,"MF,FW",Freiburg,27-348,1993,21.1,97,4.60,56,28,5,4,3,1,12,0.57,8,3,0,1,0,0,0
153,Lennart Grill,de  GER,GK,Leverkusen,22-055,1999,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
154,Florian Grillitsch,at  AUT,"MF,DF",Hoffenheim,25-226,1995,12.3,24,1.96,19,0,1,2,1,1,4,0.33,2,0,1,0,1,0,0
155,Christian Groß,de  GER,"MF,DF",Werder Bremen,32-041,1989,10.9,8,0.73,7,0,0,1,0,0,1,0.09,1,0,0,0,0,0,0
156,Ilia Gruev,bg  BUL,FW,Werder Bremen,20-319,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
157,Carlos Gruezo,ec  ECU,MF,Augsburg,25-336,1995,17.3,11,0.64,8,0,1,0,1,1,0,0.00,0,0,0,0,0,0,0
158,Mattéo Guendouzi,fr  FRA,MF,Hertha BSC,21-341,1999,15.9,30,1.89,23,2,0,1,4,0,1,0.06,0,0,0,0,1,0,0
159,Raphaël Guerreiro,pt  POR,DF,Dortmund,27-089,1993,17.7,67,3.78,58,4,2,1,1,1,12,0.68,10,1,0,1,0,0,0
160,Josuha Guilavogui,fr  FRA,"MF,DF",Wolfsburg,30-183,1990,7.8,10,1.29,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
161,Péter Gulácsi,hu  HUN,GK,RB Leipzig,30-319,1990,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
162,Manuel Gulde,de  GER,DF,Freiburg,30-037,1991,14.8,4,0.27,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,0
163,Robert Gumny,pl  POL,DF,Augsburg,22-290,1998,8.1,6,0.74,4,1,0,0,1,0,1,0.12,0,0,0,0,1,0,0
164,Christian Günter,de  GER,DF,Freiburg,28-021,1993,25.0,66,2.64,48,14,0,2,2,0,4,0.16,3,1,0,0,0,0,0
165,Erling Haaland,no  NOR,FW,Dortmund,20-243,2000,19.8,40,2.13,28,0,6,4,2,0,10,0.53,7,0,3,0,0,0,0
166,Janik Haberer,de  GER,"MF,FW",Freiburg,26-353,1994,3.1,3,0.98,1,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0
167,Alexander Hack,de  GER,DF,Mainz 05,27-194,1993,11.4,10,0.87,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0
168,André Hahn,de  GER,"FW,MF",Augsburg,30-220,1990,14.9,23,1.54,14,1,2,2,2,2,6,0.40,3,0,1,1,0,1,0
169,Amadou Haidara,ml  MLI,"MF,FW",RB Leipzig,23-049,1998,15.8,40,2.52,33,0,2,2,2,1,3,0.19,2,0,0,1,0,0,0
170,Marcel Halstenberg,de  GER,DF,RB Leipzig,29-175,1991,15.6,37,2.38,32,2,1,1,0,1,3,0.19,3,0,0,0,0,0,0
171,Amine Harit,ma  MAR,"FW,MF",Schalke 04,23-276,1997,15.8,64,4.12,40,11,5,1,6,1,7,0.45,5,1,0,0,0,1,0
172,Marcel Hartel,de  GER,MF,Arminia,25-061,1996,18.5,29,1.56,22,5,2,0,0,0,1,0.05,1,0,0,0,0,0,0
173,Makoto Hasebe,jp  JPN,"DF,MF",Eint Frankfurt,37-062,1984,20.8,30,1.52,26,1,0,0,1,2,1,0.05,1,0,0,0,0,0,0
