,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
102,Javairô Dilrosun,nl  NED,"FW,MF",Hertha BSC,22-272,1998,3.3,0,2,0,0.0,0.61,0.00,0.00,,17.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
103,Eren Dinkçi,de  GER,"FW,DF",Werder Bremen,19-098,2001,0.2,1,1,1,100.0,5.29,5.29,1.00,1.00,5.0,0,0,0,0.3,0.3,0.34,+0.7,+0.7
104,Ritsu Doan,jp  JPN,"MF,FW",Arminia,22-278,1998,23.1,4,52,16,30.8,2.25,0.69,0.08,0.25,19.2,4,0,0,3.6,3.6,0.07,+0.4,+0.4
105,Ji Dong-won,kr  KOR,FW,Mainz 05,29-297,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
106,Bas Dost,nl  NED,FW,Eint Frankfurt,31-294,1989,9.1,4,14,7,50.0,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5
107,Aleksandar Dragović,at  AUT,DF,Leverkusen,30-015,1991,8.6,1,3,2,66.7,0.35,0.23,0.33,0.50,16.1,0,0,0,0.3,0.3,0.10,+0.7,+0.7
108,Dominick Drexler,de  GER,"MF,FW",Köln,30-299,1990,10.4,2,9,2,22.2,0.86,0.19,0.22,1.00,13.0,0,0,0,2.3,2.3,0.26,-0.3,-0.3
109,Ondrej Duda,sk  SVK,"FW,MF",Köln,26-106,1994,21.5,4,33,10,30.3,1.53,0.46,0.06,0.20,22.1,2,2,2,2.4,1.7,0.05,+0.6,+0.3
110,Erik Durm,de  GER,DF,Eint Frankfurt,28-313,1992,12.4,0,15,4,26.7,1.21,0.32,0.00,0.00,19.7,0,0,0,1.2,1.2,0.08,-1.2,-1.2
111,Johannes Eggestein,de  GER,"FW,MF",Werder Bremen,22-317,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
112,Maximilian Eggestein,de  GER,MF,Werder Bremen,24-103,1996,25.7,2,16,5,31.3,0.62,0.19,0.13,0.40,23.9,0,0,0,0.8,0.8,0.05,+1.2,+1.2
113,Lilian Egloff,de  GER,MF,Stuttgart,18-213,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
114,Kingsley Ehizibue,nl  NED,DF,Köln,25-300,1995,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,19.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
115,Nico Elvedi,ch  SUI,DF,M'Gladbach,24-172,1996,22.2,3,9,5,55.6,0.41,0.23,0.33,0.60,8.8,0,0,0,1.6,1.6,0.18,+1.4,+1.4
116,Breel Embolo,ch  SUI,"FW,MF",M'Gladbach,24-035,1997,13.0,3,36,14,38.9,2.76,1.08,0.08,0.21,12.6,0,0,0,5.8,5.8,0.17,-2.8,-2.8
117,Keita Endo,jp  JPN,"MF,FW",Union Berlin,23-119,1997,2.8,1,7,4,57.1,2.54,1.45,0.14,0.25,16.7,0,0,0,1.0,1.0,0.14,0.0,0.0
118,Wataru Endo,jp  JPN,MF,Stuttgart,28-040,1993,25.8,2,21,13,61.9,0.81,0.50,0.10,0.15,18.8,0,0,0,1.9,1.9,0.09,+0.1,+0.1
119,Patrick Erras,de  GER,"FW,MF",Werder Bremen,26-059,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
120,Ralf Fährmann,de  GER,GK,Schalke 04,32-175,1988,13.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
121,Ohis Felix Uduokhai,de  GER,DF,Augsburg,23-193,1997,24.0,1,9,3,33.3,0.37,0.12,0.11,0.33,10.5,0,0,0,0.9,0.9,0.10,+0.1,+0.1
122,Edimilson Fernandes,ch  SUI,"MF,DF",Mainz 05,24-340,1996,8.6,0,11,3,27.3,1.28,0.35,0.00,0.00,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4
123,Alfreð Finnbogason,is  ISL,FW,Augsburg,32-048,1989,4.6,0,9,6,66.7,1.95,1.30,0.00,0.00,14.0,0,0,1,2.2,1.5,0.16,-2.2,-1.5
124,Emil Forsberg,se  SWE,"FW,MF",RB Leipzig,29-149,1991,12.6,6,27,12,44.4,2.14,0.95,0.19,0.42,17.6,2,1,2,4.5,3.0,0.11,+1.5,+2.0
125,Philipp Förster,de  GER,"FW,MF",Stuttgart,26-045,1995,10.3,1,11,5,45.5,1.06,0.48,0.09,0.20,14.8,0,0,0,2.4,2.4,0.22,-1.4,-1.4
126,Timothy Fosu-Mensah,nl  NED,DF,Leverkusen,23-078,1998,4.5,0,3,1,33.3,0.66,0.22,0.00,0.00,18.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
127,Raphael Framberger,de  GER,DF,Augsburg,25-196,1995,12.6,0,1,1,100.0,0.08,0.08,0.00,0.00,24.2,0,0,0,0.0,0.0,0.02,0.0,0.0
128,Marco Friedl,at  AUT,DF,Werder Bremen,23-005,1998,25.0,0,7,1,14.3,0.28,0.04,0.00,0.00,26.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6
129,Marvin Friedrich,de  GER,DF,Union Berlin,25-098,1995,26.0,4,19,5,26.3,0.73,0.19,0.21,0.80,12.3,0,0,0,1.0,1.0,0.05,+3.0,+3.0
130,Jeremie Frimpong,nl  NED,"DF,FW",Leverkusen,20-101,2000,2.7,0,3,0,0.0,1.10,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
131,Niclas Füllkrug,de  GER,FW,Werder Bremen,28-040,1993,5.5,5,18,8,44.4,3.27,1.45,0.17,0.38,13.1,0,2,2,3.8,2.3,0.13,+1.2,+0.7
132,Mijat Gaćinović,rs  SRB,"DF,MF",Hoffenheim,26-041,1995,7.9,0,10,1,10.0,1.27,0.13,0.00,0.00,13.6,0,0,0,1.7,1.7,0.17,-1.7,-1.7
133,Christian Gebauer,at  AUT,"MF,FW",Arminia,27-091,1993,6.4,1,8,3,37.5,1.25,0.47,0.13,0.33,15.8,0,0,0,1.5,1.5,0.19,-0.5,-0.5
134,Theodor Gebre Selassie,cz  CZE,DF,Werder Bremen,34-087,1986,25.7,2,13,6,46.2,0.51,0.23,0.15,0.33,14.0,0,0,0,0.9,0.9,0.07,+1.1,+1.1
135,Dennis Geiger,de  GER,MF,Hoffenheim,22-284,1998,7.3,1,7,3,42.9,0.96,0.41,0.14,0.33,20.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7
136,Christian Gentner,de  GER,MF,Union Berlin,35-219,1985,6.1,0,3,0,0.0,0.49,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
137,Yannick Gerhardt,de  GER,MF,Wolfsburg,27-008,1994,15.6,1,18,7,38.9,1.16,0.45,0.06,0.14,14.9,0,0,0,2.8,2.8,0.16,-1.8,-1.8
138,Hamadi Al Ghaddioui,ma  MAR,"MF,FW",Stuttgart,30-180,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
139,Niko Gießelmann,de  GER,DF,Union Berlin,29-176,1991,4.5,0,3,0,0.0,0.66,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
140,Rafał Gikiewicz,pl  POL,GK,Augsburg,33-146,1987,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
141,Daniel Ginczek,de  GER,"FW,MF",Wolfsburg,29-342,1991,2.0,0,3,0,0.0,1.53,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.13,-0.4,-0.4
142,Matthias Ginter,de  GER,DF,M'Gladbach,27-061,1994,26.0,1,17,6,35.3,0.65,0.23,0.06,0.17,11.4,0,0,0,1.5,1.5,0.09,-0.5,-0.5
143,Robert Glatzel,de  GER,FW,Mainz 05,27-072,1994,1.4,1,6,4,66.7,4.39,2.93,0.17,0.25,10.1,0,0,0,1.8,1.8,0.29,-0.8,-0.8
