,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
185,Cristian Rivero,"€ 27,885","€ 1,450,000","Jun 30, 2024",2-yrs,"€ 2,900,000",,K,GK,24,Spain,Valencia
186,Joaquín,"€ 27,692","€ 1,440,000","Jun 30, 2023",1-yr,"€ 1,440,000",,F,RW,40,Spain,Real Betis
187,Iñigo Vicente,"€ 27,500","€ 1,430,000","Jun 30, 2023",1-yr,"€ 1,430,000",,F,LW,24,Spain,Athletic Club
188,Gonzalo Montiel,"€ 27,115","€ 1,410,000","Jun 30, 2026",4-yrs,"€ 5,640,000",,D,RB,25,Argentina,Sevilla
189,Oihan Sancet,"€ 26,923","€ 1,400,000","Jun 30, 2024",2-yrs,"€ 2,800,000",,F,SS,22,Spain,Athletic Club
190,Sergio Canales,"€ 26,346","€ 1,370,000","Jun 30, 2026",4-yrs,"€ 5,480,000",,F,AM,31,Spain,Real Betis
191,Augusto Solari,"€ 25,962","€ 1,350,000","Jun 30, 2023",1-yr,"€ 1,350,000",,F,RW,30,Argentina,Celta Vigo
192,Rubén García,"€ 25,962","€ 1,350,000","Jun 30, 2024",2-yrs,"€ 2,700,000",,F,LW,28,Spain,Osasuna
193,Brais Méndez,"€ 25,962","€ 1,350,000","Jun 30, 2024",2-yrs,"€ 2,700,000",,F,RW,25,Spain,Celta Vigo
194,Manu Morlanes,"€ 25,192","€ 1,310,000","Jun 30, 2026",4-yrs,"€ 5,240,000",,M,CM,23,Spain,Villarreal
195,Karim Rekik,"€ 25,192","€ 1,310,000","Jun 30, 2025",3-yrs,"€ 3,930,000",,D,CB,27,Netherlands,Sevilla
196,Lei Wu,"€ 25,192","€ 1,310,000","Jun 30, 2024",2-yrs,"€ 2,620,000",,F,LW,30,China,Espanyol
197,Borja Iglesias,"€ 24,808","€ 1,290,000","Jun 30, 2026",4-yrs,"€ 5,160,000",,F,CF,29,Spain,Real Betis
198,Álvaro Negredo,"€ 24,808","€ 1,290,000","Jun 30, 2023",1-yr,"€ 1,290,000",,F,CF,36,Spain,Cadiz
199,Jeremías Ledesma,"€ 24,615","€ 1,280,000","Jun 30, 2025",3-yrs,"€ 3,840,000",,K,GK,29,Argentina,Cadiz
200,Roberto,"€ 24,231","€ 1,260,000","Jun 30, 2023",1-yr,"€ 1,260,000",,K,GK,36,Spain,Valladolid
201,Rafa Mir,"€ 24,231","€ 1,260,000","Jun 30, 2027",5-yrs,"€ 6,300,000",,F,CF,25,Spain,Sevilla
202,Daniel Wass,"€ 24,038","€ 1,250,000","Jun 30, 2023",1-yr,"€ 1,250,000",,M,CM,33,Denmark,Atletico Madrid
203,Falcao,"€ 23,077","€ 1,200,000","Jun 30, 2023",1-yr,"€ 1,200,000",,F,CF,36,Colombia,Rayo Vallecano
204,Dani Vivian,"€ 22,692","€ 1,180,000","Jun 30, 2026",4-yrs,"€ 4,720,000",,D,CB,22,Spain,Athletic Club
205,Landry Dimata,"€ 22,692","€ 1,180,000","Jun 30, 2024",2-yrs,"€ 2,360,000",,F,CF,24,Belgium,Espanyol
206,Óscar Rodríguez,"€ 22,115","€ 1,150,000","Jun 30, 2025",3-yrs,"€ 3,450,000",,F,AM,24,Spain,Sevilla
207,Alexander Isak,"€ 21,538","€ 1,120,000","Jun 30, 2026",4-yrs,"€ 4,480,000",,F,CF,22,Sweden,Real Sociedad
208,Robin Le Normand,"€ 21,346","€ 1,110,000","Jun 30, 2024",2-yrs,"€ 2,220,000",,D,CB,25,France,Real Sociedad
209,Eray Cömert,"€ 21,154","€ 1,100,000","Jun 30, 2026",4-yrs,"€ 4,400,000",,D,CB,24,Switzerland,Valencia
210,Juan Cala,"€ 21,154","€ 1,100,000","Jun 30, 2024",2-yrs,"€ 2,200,000",,D,CB,32,Spain,Cadiz
211,Lucas Pérez,"€ 20,769","€ 1,080,000","Jun 30, 2023",1-yr,"€ 1,080,000",,F,CF,33,Spain,Cadiz
212,Iván Sánchez,"€ 20,769","€ 1,080,000","Jun 30, 2024",2-yrs,"€ 2,160,000",,F,RW,29,Spain,Valladolid
213,Ludwig Augustinsson,"€ 20,577","€ 1,070,000","Jun 30, 2025",3-yrs,"€ 3,210,000",,D,LB,28,Sweden,Sevilla
214,Carlos Fernández,"€ 20,000","€ 1,040,000","Jun 30, 2026",4-yrs,"€ 4,160,000",,F,CF,26,Spain,Real Sociedad
215,Iván Martín,"€ 20,000","€ 1,040,000","Jun 30, 2023",1-yr,"€ 1,040,000",,F,AM,23,Spain,Girona
216,Dyego Sousa,"€ 20,000","€ 1,040,000","Jun 30, 2024",2-yrs,"€ 2,080,000",,F,CF,32,Portugal,Almeria
