,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
0,Eden Hazard,"€ 600,962","€ 31,250,000","Jun 30, 2024",2-yrs,"€ 62,500,000",,F,LW,31,Belgium,Real Madrid
1,Frenkie de Jong,"€ 560,962","€ 29,170,000","Jun 30, 2026",4-yrs,"€ 116,680,000",,M,CM,25,Netherlands,Barcelona
2,Karim Benzema,"€ 461,538","€ 24,000,000","Jun 30, 2023",1-yr,"€ 24,000,000",,F,CF,34,France,Real Madrid
3,David Alaba,"€ 432,692","€ 22,500,000","Jun 30, 2026",4-yrs,"€ 90,000,000",,D,CB,30,Austria,Real Madrid
4,Sergio Busquets,"€ 423,077","€ 22,000,000","Jun 30, 2023",1-yr,"€ 22,000,000",,M,DM,33,Spain,Barcelona
5,Toni Kroos,"€ 421,923","€ 21,940,000","Jun 30, 2023",1-yr,"€ 21,940,000",,M,CM,32,Germany,Real Madrid
6,Vinicius Junior,"€ 400,577","€ 20,830,000","Jun 30, 2027",5-yrs,"€ 104,150,000",,F,LW,21,Brazil,Real Madrid
7,Antoine Griezmann,"€ 400,577","€ 20,830,000","Jun 30, 2023",1-yr,"€ 20,830,000",,F,SS,31,France,Atletico Madrid
8,Jordi Alba,"€ 400,577","€ 20,830,000","Jun 30, 2024",2-yrs,"€ 41,660,000",,D,LB,33,Spain,Barcelona
9,Jan Oblak,"€ 400,577","€ 20,830,000","Jun 30, 2028",6-yrs,"€ 124,980,000",,K,GK,29,Slovenia,Atletico Madrid
10,Luka Modric,"€ 378,654","€ 19,690,000","Jun 30, 2023",1-yr,"€ 19,690,000",,M,CM,36,Croatia,Real Madrid
11,Antonio Rüdiger,"€ 360,577","€ 18,750,000","Jun 30, 2026",4-yrs,"€ 75,000,000",,D,CB,29,Germany,Real Madrid
12,Robert Lewandowski,"€ 360,577","€ 18,750,000","Jun 30, 2025",3-yrs,"€ 56,250,000",,F,CF,33,Poland,Barcelona
13,Koke,"€ 307,692","€ 16,000,000","Jun 30, 2024",2-yrs,"€ 32,000,000",,M,CM,30,Spain,Atletico Madrid
14,Miralem Pjanic,"€ 300,385","€ 15,620,000","Jun 30, 2024",2-yrs,"€ 31,240,000",,M,CM,32,Bosnia-Herzegovina,Barcelona
15,João Félix,"€ 280,385","€ 14,580,000","Jun 30, 2026",4-yrs,"€ 58,320,000",,F,SS,22,Portugal,Atletico Madrid
16,Ansu Fati,"€ 268,269","€ 13,950,000","Jun 30, 2027",5-yrs,"€ 69,750,000",,F,LW,19,Spain,Barcelona
17,Ousmane Dembélé,"€ 264,423","€ 13,750,000","Jun 30, 2024",2-yrs,"€ 27,500,000",,F,RW,25,France,Barcelona
18,Franck Kessié,"€ 260,385","€ 13,540,000","Jun 30, 2027",5-yrs,"€ 67,700,000",,M,CM,25,Cote d'Ivoire,Barcelona
19,Ivan Rakitic,"€ 253,846","€ 13,200,000","Jun 30, 2024",2-yrs,"€ 26,400,000",,M,CM,34,Croatia,Sevilla
20,Raphinha,"€ 240,385","€ 12,500,000","Jun 30, 2027",5-yrs,"€ 62,500,000",,F,RW,25,Brazil,Barcelona
21,Saúl Ñíguez,"€ 230,769","€ 12,000,000","Jun 30, 2026",4-yrs,"€ 48,000,000",,M,CM,27,Spain,Atletico Madrid
22,Thibaut Courtois,"€ 227,308","€ 11,820,000","Jun 30, 2026",4-yrs,"€ 47,280,000",,K,GK,30,Belgium,Real Madrid
23,Pierre-Emerick Aubameyang,"€ 220,385","€ 11,460,000","Jun 30, 2025",3-yrs,"€ 34,380,000",,F,CF,33,Gabon,Barcelona
24,Dani Parejo,"€ 208,269","€ 10,830,000","Jun 30, 2024",2-yrs,"€ 21,660,000",,M,CM,33,Spain,Villarreal
25,Gerard Piqué,"€ 200,385","€ 10,420,000","Jun 30, 2024",2-yrs,"€ 20,840,000",,D,CB,35,Spain,Barcelona
26,Andreas Christensen,"€ 200,385","€ 10,420,000","Jun 30, 2026",4-yrs,"€ 41,680,000",,D,CB,26,Denmark,Barcelona
27,Memphis Depay,"€ 200,385","€ 10,420,000","Jun 30, 2023",1-yr,"€ 10,420,000",,F,CF,28,Netherlands,Barcelona
28,Casemiro,"€ 189,423","€ 9,850,000","Jun 30, 2025",3-yrs,"€ 29,550,000",,M,DM,30,Brazil,Real Madrid
29,Marco Asensio,"€ 189,038","€ 9,830,000","Jun 30, 2023",1-yr,"€ 9,830,000",,F,RW,26,Spain,Real Madrid
30,Álvaro Morata,"€ 188,462","€ 9,800,000","Jun 30, 2024",2-yrs,"€ 19,600,000",,F,CF,29,Spain,Atletico Madrid
31,Jules Koundé,"€ 182,692","€ 9,500,000","Jun 30, 2027",5-yrs,"€ 47,500,000",,D,CB,23,France,Barcelona
32,Pedri,"€ 180,385","€ 9,380,000","Jun 30, 2026",4-yrs,"€ 37,520,000",,M,CM,19,Spain,Barcelona
33,Éder Militão,"€ 180,385","€ 9,380,000","Jun 30, 2025",3-yrs,"€ 28,140,000",,D,CB,24,Brazil,Real Madrid
34,Ferland Mendy,"€ 180,385","€ 9,380,000","Jun 30, 2025",3-yrs,"€ 28,140,000",,D,LB,27,France,Real Madrid
35,Daniel Carvajal,"€ 176,731","€ 9,190,000","Jun 30, 2025",3-yrs,"€ 27,570,000",,D,RB,30,Spain,Real Madrid
36,Marc-André ter Stegen,"€ 173,077","€ 9,000,000","Jun 30, 2025",3-yrs,"€ 27,000,000",,K,GK,30,Germany,Barcelona
37,Lucas Vázquez,"€ 162,308","€ 8,440,000","Jun 30, 2024",2-yrs,"€ 16,880,000",,D,RB,31,Spain,Real Madrid
38,Federico Valverde,"€ 160,192","€ 8,330,000","Jun 30, 2027",5-yrs,"€ 41,650,000",,M,CM,23,Uruguay,Real Madrid
39,Eduardo Camavinga,"€ 160,192","€ 8,330,000","Jun 30, 2027",5-yrs,"€ 41,650,000",,M,CM,19,France,Real Madrid
40,Axel Witsel,"€ 160,192","€ 8,330,000","Jun 30, 2023",1-yr,"€ 8,330,000",,M,DM,33,Belgium,Atletico Madrid
41,Raúl García,"€ 160,000","€ 8,320,000","Jun 30, 2023",1-yr,"€ 8,320,000",,F,CF,35,Spain,Athletic Club
42,Francis Coquelin,"€ 148,269","€ 7,710,000","Jun 30, 2024",2-yrs,"€ 15,420,000",,M,DM,31,France,Villarreal
43,Nacho Fernández,"€ 147,885","€ 7,690,000","Jun 30, 2023",1-yr,"€ 7,690,000",,D,CB,32,Spain,Real Madrid
44,Yannick Carrasco,"€ 145,385","€ 7,560,000","Jun 30, 2024",2-yrs,"€ 15,120,000",,F,LW,28,Belgium,Atletico Madrid
45,Felipe,"€ 145,385","€ 7,560,000","Jun 30, 2023",1-yr,"€ 7,560,000",,D,CB,33,Brazil,Atletico Madrid
46,Pau Torres,"€ 144,231","€ 7,500,000","Jun 30, 2024",2-yrs,"€ 15,000,000",,D,CB,25,Spain,Villarreal
47,Aurélien Tchouameni,"€ 144,231","€ 7,500,000","Jun 30, 2028",6-yrs,"€ 45,000,000",,M,DM,22,France,Real Madrid
48,Rodrygo,"€ 144,231","€ 7,500,000","Jun 30, 2025",3-yrs,"€ 22,500,000",,F,RW,21,Brazil,Real Madrid
49,Mariano Díaz,"€ 144,231","€ 7,500,000","Jun 30, 2023",1-yr,"€ 7,500,000",,F,CF,28,Dominican Republic,Real Madrid
50,Gerard Moreno,"€ 144,231","€ 7,500,000","Jun 30, 2027",5-yrs,"€ 37,500,000",,F,CF,30,Spain,Villarreal
51,Óliver Torres,"€ 143,269","€ 7,450,000","Jun 30, 2024",2-yrs,"€ 14,900,000",,M,CM,27,Spain,Sevilla
52,Álvaro Odriozola,"€ 140,192","€ 7,290,000","Jun 30, 2024",2-yrs,"€ 14,580,000",,D,RB,26,Spain,Real Madrid
53,Ronald Araújo,"€ 134,615","€ 7,000,000","Jun 30, 2026",4-yrs,"€ 28,000,000",,D,CB,23,Uruguay,Barcelona
54,Nabil Fekir,"€ 132,692","€ 6,900,000","Jun 30, 2026",4-yrs,"€ 27,600,000",,F,AM,28,France,Real Betis
55,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","Jun 30, 2024",2-yrs,"€ 13,800,000",,M,DM,29,Central African Republic,Atletico Madrid
56,Vitolo,"€ 129,615","€ 6,740,000","Jun 30, 2024",2-yrs,"€ 13,480,000",,F,LW,32,Spain,Atletico Madrid
57,Rodrigo de Paul,"€ 128,269","€ 6,670,000","Jun 30, 2026",4-yrs,"€ 26,680,000",,M,CM,28,Argentina,Atletico Madrid
58,Youssef En-Nesyri,"€ 123,462","€ 6,420,000","Jun 30, 2025",3-yrs,"€ 19,260,000",,F,CF,25,Morocco,Sevilla
59,Suso,"€ 121,154","€ 6,300,000","Jun 30, 2025",3-yrs,"€ 18,900,000",,F,RW,28,Spain,Sevilla
60,Papu Gómez,"€ 120,192","€ 6,250,000","Jun 30, 2024",2-yrs,"€ 12,500,000",,F,AM,34,Argentina,Sevilla
61,Samuel Umtiti,"€ 120,192","€ 6,250,000","Jun 30, 2026",4-yrs,"€ 25,000,000",,D,CB,28,France,Barcelona
62,Ferran Torres,"€ 120,192","€ 6,250,000","Jun 30, 2027",5-yrs,"€ 31,250,000",,F,LW,22,Spain,Barcelona
63,Gonçalo Guedes,"€ 117,308","€ 6,100,000","Jun 30, 2024",2-yrs,"€ 12,200,000",,F,LW,25,Portugal,Valencia
64,Martin Braithwaite,"€ 115,385","€ 6,000,000","Jun 30, 2024",2-yrs,"€ 12,000,000",,F,CF,31,Denmark,Barcelona
65,Sergiño Dest,"€ 115,385","€ 6,000,000","Jun 30, 2025",3-yrs,"€ 18,000,000",,D,RB,21,United States,Barcelona
66,Héctor Herrera,"€ 115,385","€ 6,000,000","Jun 30, 2023",1-yr,"€ 6,000,000",,M,CM,32,Mexico,Atletico Madrid
67,Neto,"€ 115,385","€ 6,000,000","Jun 30, 2023",1-yr,"€ 6,000,000",,K,GK,32,Brazil,Barcelona
68,Iñaki Williams,"€ 114,808","€ 5,970,000","Jun 30, 2028",6-yrs,"€ 35,820,000",,F,CF,28,Spain,Athletic Club
69,Vicente Iborra,"€ 108,269","€ 5,630,000","Jun 30, 2024",2-yrs,"€ 11,260,000",,M,CM,34,Spain,Villarreal
70,Gerónimo Rulli,"€ 104,231","€ 5,420,000","Jun 30, 2024",2-yrs,"€ 10,840,000",,K,GK,30,Argentina,Villarreal
71,Gabriel Paulista,"€ 102,500","€ 5,330,000","Jun 30, 2024",2-yrs,"€ 10,660,000",,D,CB,31,Brazil,Valencia
72,Paco Alcácer,"€ 100,192","€ 5,210,000","Jun 30, 2025",3-yrs,"€ 15,630,000",,F,CF,28,Spain,Villarreal
73,Iñigo Martínez,"€ 96,154","€ 5,000,000","Jun 30, 2023",1-yr,"€ 5,000,000",,D,CB,31,Spain,Athletic Club
74,Munir El Haddadi,"€ 95,769","€ 4,980,000","Jun 30, 2023",1-yr,"€ 4,980,000",,F,CF,26,Morocco,Sevilla
75,Fernando Reges,"€ 93,654","€ 4,870,000","Jun 30, 2024",2-yrs,"€ 9,740,000",,M,DM,34,Brazil,Sevilla
76,Raúl Albiol,"€ 92,115","€ 4,790,000","Jun 30, 2023",1-yr,"€ 4,790,000",,D,CB,36,Spain,Villarreal
77,Aïssa Mandi,"€ 92,115","€ 4,790,000","Jun 30, 2025",3-yrs,"€ 14,370,000",,D,CB,30,Algeria,Villarreal
78,Joan Jordán,"€ 90,769","€ 4,720,000","Jun 30, 2027",5-yrs,"€ 23,600,000",,M,CM,27,Spain,Sevilla
79,Denis Suárez,"€ 90,000","€ 4,680,000","Jun 30, 2024",2-yrs,"€ 9,360,000",,F,AM,28,Spain,Celta Vigo
80,Juan Foyth,"€ 88,077","€ 4,580,000","Jun 30, 2026",4-yrs,"€ 18,320,000",,D,RB,24,Argentina,Villarreal
81,Stefan Savic,"€ 86,538","€ 4,500,000","Jun 30, 2024",2-yrs,"€ 9,000,000",,D,CB,31,Montenegro,Atletico Madrid
82,Iker Muniain,"€ 84,615","€ 4,400,000","Jun 30, 2024",2-yrs,"€ 8,800,000",,F,LW,29,Spain,Athletic Club
83,Asier Illarramendi,"€ 83,846","€ 4,360,000","Jun 30, 2023",1-yr,"€ 4,360,000",,M,DM,32,Spain,Real Sociedad
84,Unai Simón,"€ 83,654","€ 4,350,000","Jun 30, 2025",3-yrs,"€ 13,050,000",,K,GK,25,Spain,Athletic Club
85,Yuri Berchiche,"€ 80,769","€ 4,200,000","Jun 30, 2024",2-yrs,"€ 8,400,000",,D,LB,32,Spain,Athletic Club
86,Germán Pezzella,"€ 80,192","€ 4,170,000","Jun 30, 2025",3-yrs,"€ 12,510,000",,D,CB,31,Argentina,Real Betis
87,Alex Telles,"€ 80,192","€ 4,170,000","Jun 30, 2023",1-yr,"€ 4,170,000",,D,LB,29,Brazil,Sevilla
88,Roque Mesa,"€ 80,000","€ 4,160,000","Jun 30, 2023",1-yr,"€ 4,160,000",,M,CM,33,Spain,Valladolid
89,José Giménez,"€ 76,923","€ 4,000,000","Jun 30, 2025",3-yrs,"€ 12,000,000",,D,CB,27,Uruguay,Atletico Madrid
90,Jesús Navas,"€ 76,923","€ 4,000,000","Jun 30, 2024",2-yrs,"€ 8,000,000",,D,RB,36,Spain,Sevilla
91,Alfonso Pedraza,"€ 76,154","€ 3,960,000","Jun 30, 2026",4-yrs,"€ 15,840,000",,D,LB,26,Spain,Villarreal
92,Mikel Merino,"€ 75,192","€ 3,910,000","Jun 30, 2025",3-yrs,"€ 11,730,000",,M,CM,26,Spain,Real Sociedad
93,Renan Lodi,"€ 73,077","€ 3,800,000","Jun 30, 2025",3-yrs,"€ 11,400,000",,D,LB,24,Brazil,Atletico Madrid
94,Jasper Cillessen,"€ 72,115","€ 3,750,000","Jun 30, 2023",1-yr,"€ 3,750,000",,K,GK,33,Netherlands,Valencia
95,Sergi Roberto,"€ 69,231","€ 3,600,000","Jun 30, 2023",1-yr,"€ 3,600,000",,M,CM,30,Spain,Barcelona
96,Mikel Oyarzabal,"€ 67,885","€ 3,530,000","Jun 30, 2024",2-yrs,"€ 7,060,000",,F,LW,25,Spain,Real Sociedad
97,Jesús Corona,"€ 67,308","€ 3,500,000","Jun 30, 2025",3-yrs,"€ 10,500,000",,F,RW,29,Mexico,Sevilla
98,Ángel Correa,"€ 67,308","€ 3,500,000","Jun 30, 2026",4-yrs,"€ 14,000,000",,F,SS,27,Argentina,Atletico Madrid
99,José Gayà,"€ 67,308","€ 3,500,000","Jun 30, 2023",1-yr,"€ 3,500,000",,D,LB,27,Spain,Valencia
100,William Carvalho,"€ 66,923","€ 3,480,000","Jun 30, 2023",1-yr,"€ 3,480,000",,M,DM,30,Portugal,Real Betis
101,Thomas Delaney,"€ 66,731","€ 3,470,000","Jun 30, 2025",3-yrs,"€ 10,410,000",,M,DM,30,Denmark,Sevilla
102,Igor Zubeldia,"€ 65,769","€ 3,420,000","Jun 30, 2024",2-yrs,"€ 6,840,000",,D,CB,25,Spain,Real Sociedad
103,Alberto Moreno,"€ 64,038","€ 3,330,000","Jun 30, 2024",2-yrs,"€ 6,660,000",,D,LB,29,Spain,Villarreal
104,Mario Gaspar,"€ 64,038","€ 3,330,000","Jun 30, 2023",1-yr,"€ 3,330,000",,D,RB,31,Spain,Villarreal
105,Thomas Lemar,"€ 62,500","€ 3,250,000","Jun 30, 2027",5-yrs,"€ 16,250,000",,F,AM,26,France,Atletico Madrid
106,Arnaut Danjuma,"€ 60,192","€ 3,130,000","Jun 30, 2026",4-yrs,"€ 12,520,000",,F,CF,25,Netherlands,Villarreal
107,Willian José,"€ 57,692","€ 3,000,000","Jun 30, 2026",4-yrs,"€ 12,000,000",,F,CF,30,Brazil,Real Betis
108,Matheus Cunha,"€ 57,692","€ 3,000,000","Jun 30, 2026",4-yrs,"€ 12,000,000",,F,CF,23,Brazil,Atletico Madrid
109,Eric García,"€ 57,692","€ 3,000,000","Jun 30, 2026",4-yrs,"€ 12,000,000",,D,CB,21,Spain,Barcelona
110,Yeremi Pino,"€ 57,692","€ 3,000,000","Jun 30, 2027",5-yrs,"€ 15,000,000",,F,RW,19,Spain,Villarreal
111,Boulaye Dia,"€ 56,154","€ 2,920,000","Jun 30, 2026",4-yrs,"€ 11,680,000",,F,CF,25,Senegal,Villarreal
