,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,cardType.value,cardType.displayName,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,venue,opponent
10,2329990479.0,9,0,29.0,65,11.9,80.9,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.2'}]","[90, 116, 29, 35, 36, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,368091.0,22.1,94.2,,,,,,,,,,,Camp Nou,Bayern
11,2329990515.0,10,0,31.0,65,22.2,94.2,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 117, 119, 28, 35, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,0,Unsuccessful,44288.0,38.2,88.3,,,,,,,,,,,Camp Nou,Bayern
12,2329990539.0,11,0,33.0,65,37.8,89.2,0,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}]","[90, 62]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,4,Foul,1,Successful,68585.0,,,,,,,,,,,,,Camp Nou,Bayern
13,2329990535.0,9,0,33.0,37,62.2,10.8,0,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[63],False,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,4,Foul,0,Unsuccessful,327721.0,,,,,,,,,,,,,Camp Nou,Bayern
14,2329990667.0,12,0,45.0,65,36.9,89.0,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.0'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}]","[90, 116, 29, 131, 35, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,44288.0,40.0,71.4,,,,,,,,,,,Camp Nou,Bayern
15,2329990741.0,13,0,47.0,65,38.5,76.6,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.3'}]","[90, 116, 29, 34, 36, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,279423.0,24.6,83.2,,,,,,,,,,,Camp Nou,Bayern
16,2329990793.0,14,0,52.0,65,25.1,73.8,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.8'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,368091.0,24.8,50.1,,,,,,,,,,,Camp Nou,Bayern
17,2329990825.0,15,0,55.0,65,24.8,47.3,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 117, 119, 28, 35, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,0,Unsuccessful,12712.0,31.4,42.5,,,,,,,,,,,Camp Nou,Bayern
18,2329990829.0,10,0,56.0,37,69.9,56.7,0,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 100, 55]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,8,Interception,1,Successful,115519.0,,,,,,,,,,,,,Camp Nou,Bayern
19,2329990889.0,16,0,59.0,65,30.6,56.1,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.0'}]","[90, 116, 29, 35, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,12712.0,42.4,85.0,,,,,,,,,,,Camp Nou,Bayern
20,2329990925.0,17,1,2.0,65,44.0,85.0,1,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,44288.0,57.8,65.7,,,,,,,,,,,Camp Nou,Bayern
21,2329991009.0,18,1,5.0,65,63.2,60.0,1,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '44.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '97.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.3'}]","[90, 118, 116, 126, 204, 35, 37, 216, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,110154.0,97.5,21.3,,,,,,,,,,,Camp Nou,Bayern
22,2329991013.0,19,1,9.0,65,98.0,21.3,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.0'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '100.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.8'}]","[90, 136, 125, 35, 36, 216, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,0,Unsuccessful,90782.0,100.0,27.0,,,,,,,,,,,Camp Nou,Bayern
23,2329991103.0,12,1,16.0,37,4.1,53.7,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '38.7'}, {'type': {'value': 124, 'displayName': 'GoalKick'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.1'}]","[90, 116, 126, 35, 36, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,13754.0,30.1,94.1,,,,,,,,,,,Camp Nou,Bayern
24,2329991159.0,13,1,19.0,37,32.1,96.5,1,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.2'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,144711.0,26.1,95.6,,,,,,,,,,,Camp Nou,Bayern
25,2329991167.0,14,1,21.0,37,26.2,95.4,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.8'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,320040.0,12.5,80.2,,,,,,,,,,,Camp Nou,Bayern
26,2329991203.0,15,1,24.0,37,12.6,80.2,1,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 35, 36, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,129983.0,27.2,80.9,,,,,,,,,,,Camp Nou,Bayern
27,2329991225.0,16,1,28.0,37,26.0,69.0,1,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.9'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,115519.0,18.7,44.9,,,,,,,,,,,Camp Nou,Bayern
28,2329991265.0,17,1,30.0,37,23.1,34.0,1,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.4'}]","[90, 116, 29, 35, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,327721.0,40.2,4.4,,,,,,,,,,,Camp Nou,Bayern
29,2329991289.0,18,1,34.0,37,43.7,4.6,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.2'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,259648.0,53.2,3.1,,,,,,,,,,,Camp Nou,Bayern
30,2329991311.0,19,1,35.0,37,52.8,3.1,1,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.5'}]","[90, 116, 29, 34, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,395252.0,40.9,6.5,,,,,,,,,,,Camp Nou,Bayern
31,2329991349.0,20,1,37.0,37,40.9,6.5,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 34, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,259648.0,34.1,19.8,,,,,,,,,,,Camp Nou,Bayern
32,2329991405.0,21,1,40.0,37,34.0,23.1,1,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.6'}]","[90, 116, 29, 35, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,327721.0,36.6,66.6,,,,,,,,,,,Camp Nou,Bayern
33,2329991413.0,22,1,43.0,37,36.1,67.3,1,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}]","[90, 116, 29, 35, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,129983.0,45.1,85.7,,,,,,,,,,,Camp Nou,Bayern
34,2329991433.0,23,1,45.0,37,46.2,86.0,1,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,320040.0,60.3,96.0,,,,,,,,,,,Camp Nou,Bayern
35,2329991461.0,24,1,47.0,37,58.3,95.9,1,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.4'}]","[90, 116, 29, 34, 37, 215, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,144711.0,38.4,88.6,,,,,,,,,,,Camp Nou,Bayern
36,2329991487.0,25,1,49.0,37,38.5,88.6,1,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.3'}]","[90, 116, 29, 34, 37, 214, 217]",True,1592149,2021-09-14T00:00:00,2021-09-14T20:00:00,0 : 3,0 : 3,0 : 1,,Camp Nou,92,1,FirstHalf,1,Pass,1,Successful,320040.0,29.1,84.1,,,,,,,,,,,Camp Nou,Bayern
