,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
20,Juan Musso,ar  ARG,GK,Atalanta,27,1994,33,33,2932,32.6,42,1.29,116,79,66.4,16,8,9,8,24.2,4,3,0,1,0.0
21,David Ospina,co  COL,GK,Napoli,32,1988,31,31,2790,31.0,25,0.81,104,81,76.9,19,6,6,13,41.9,1,1,0,0,0.0
22,Daniele Padelli,it  ITA,GK,Udinese,35,1985,3,3,270,3.0,8,2.67,23,13,65.2,1,0,2,1,33.3,0,0,0,0,
23,Ivor Pandur,hr  CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,6,2.00,14,9,64.3,1,0,2,0,0.0,1,1,0,0,0.0
24,Rui Patrício,pt  POR,GK,Roma,33,1988,38,38,3420,38.0,43,1.13,141,103,73.0,18,9,11,15,39.5,6,5,1,0,16.7
25,Gianluca Pegolo,it  ITA,GK,Sassuolo,40,1981,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
26,Mattia Perin,it  ITA,GK,Juventus,28,1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20.0,0,0,0,0,
27,Carlo Pinsoglio,it  ITA,GK,Juventus,31,1990,1,0,45,0.5,1,2.00,1,1,100.0,0,0,0,0,,1,1,0,0,0.0
28,Ivan Provedel,it  ITA,GK,Spezia,27,1994,31,31,2761,30.7,52,1.70,155,112,72.3,9,5,17,7,22.6,12,9,1,2,10.0
29,Ionuț Radu,ro  ROU,GK,Inter,24,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
30,Boris Radunović,rs  SRB,GK,Cagliari,25,1996,3,3,270,3.0,5,1.67,15,11,73.3,0,2,1,1,33.3,2,1,1,0,50.0
31,Nicola Ravaglia,it  ITA,GK,Sampdoria,32,1988,1,0,5,0.1,1,18.00,0,0,,0,0,0,0,,1,1,0,0,0.0
32,Pepe Reina,es  ESP,GK,Lazio,38,1982,15,15,1350,15.0,29,1.93,56,30,55.4,6,4,5,2,13.3,5,4,0,1,0.0
33,Sergio Romero,ar  ARG,GK,Venezia,34,1987,16,16,1440,16.0,33,2.06,99,74,72.7,3,4,9,3,18.8,6,6,0,0,0.0
34,Francesco Rossi,it  ITA,GK,Atalanta,30,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,
35,Giacomo Satalino,it  ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
36,Adrian Šemper,hr  CRO,GK,Genoa,23,1998,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
37,Luigi Sepe,it  ITA,GK,Salernitana,30,1991,16,16,1392,15.5,24,1.55,75,54,72.0,4,8,4,1,6.3,3,3,0,0,0.0
38,Marco Silvestri,it  ITA,GK,Udinese,30,1991,35,35,3150,35.0,50,1.43,133,88,66.2,10,14,11,7,20.0,7,5,0,2,0.0
39,Salvatore Sirigu,it  ITA,GK,Genoa,34,1987,37,37,3330,37.0,59,1.59,175,119,68.6,4,16,17,10,27.0,5,4,1,0,20.0
40,Łukasz Skorupski,pl  POL,GK,Bologna,30,1991,36,36,3240,36.0,53,1.47,166,123,72.9,11,9,16,12,33.3,9,8,1,0,11.1
41,Marco Sportiello,it  ITA,GK,Atalanta,29,1992,5,5,450,5.0,5,1.00,16,12,81.3,0,3,2,2,40.0,2,2,0,0,0.0
42,Thomas Strakosha,al  ALB,GK,Lazio,26,1995,23,23,2070,23.0,29,1.26,87,58,67.8,12,6,5,7,30.4,1,1,0,0,0.0
43,Wojciech Szczęsny,pl  POL,GK,Juventus,31,1990,33,33,2970,33.0,29,0.88,101,75,74.3,18,9,6,12,36.4,6,3,3,0,50.0
44,Ciprian Tătărușanu,ro  ROU,GK,Milan,35,1986,6,6,540,6.0,10,1.67,21,14,61.9,4,1,1,1,16.7,3,2,1,0,33.3
45,Pietro Terracciano,it  ITA,GK,Fiorentina,31,1990,32,31,2862,31.8,43,1.35,95,56,56.8,16,5,10,9,29.0,3,2,1,0,33.3
46,Guglielmo Vicario,it  ITA,GK,Empoli,24,1996,38,38,3420,38.0,70,1.84,209,146,68.9,10,11,17,7,18.4,10,5,2,3,28.6
47,Jeroen Zoet,nl  NED,GK,Spezia,30,1991,7,7,630,7.0,19,2.71,40,22,55.0,1,1,5,0,0.0,2,1,1,0,50.0
48,Petar Zovko,ba  BIH,GK,Spezia,19,2002,1,0,29,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
