,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
28,2021-02-27,21:00,Segunda División,Matchweek 27,Sat,Away,W,1,0,UD Logroñés,55.0,,Manolo Reina,4-4-2,David Gálvez,Match Report,
29,2021-03-07,18:15,Segunda División,Matchweek 28,Sun,Home,W,2,1,Cartagena,66.0,,Manolo Reina,4-2-3-1,Rubén Ávalos,Match Report,
30,2021-03-14,16:00,Segunda División,Matchweek 29,Sun,Away,L,0,2,Sporting Gijón,60.0,,Manolo Reina,4-4-2,Alejandro Muñíz,Match Report,
31,2021-03-20,18:15,Segunda División,Matchweek 30,Sat,Home,D,0,0,Oviedo,65.0,,Manolo Reina,4-4-2,Gorka Sagues,Match Report,
32,2021-03-29,21:00,Segunda División,Matchweek 31,Mon,Away,L,1,4,Fuenlabrada,59.0,,Manolo Reina,4-2-3-1,Dámaso Arcediano,Match Report,
33,2021-04-01,19:00,Segunda División,Matchweek 32,Thu,Home,W,1,0,Leganés,42.0,,Manolo Reina,4-2-3-1,Eduardo Prieto,Match Report,
34,2021-04-04,19:30,Segunda División,Matchweek 33,Sun,Away,D,1,1,Las Palmas,42.0,,Manolo Reina,4-4-2,Jon González,Match Report,
35,2021-04-11,18:15,Segunda División,Matchweek 34,Sun,Home,W,2,0,Lugo,50.0,,Manolo Reina,4-4-2,Daniel Ocón,Match Report,
36,2021-04-17,16:00,Segunda División,Matchweek 35,Sat,Away,L,0,1,Castellón,69.0,,Manolo Reina,4-2-3-1,Luis Milla,Match Report,
37,2021-04-26,21:00,Segunda División,Matchweek 36,Mon,Away,L,0,1,Sabadell,71.0,,Manolo Reina,4-2-3-1,Iosu Galech,Match Report,
38,2021-05-01,18:15,Segunda División,Matchweek 37,Sat,Home,W,2,1,CD Mirandés,39.0,,Manolo Reina,4-4-2,José López,Match Report,
39,2021-05-08,21:00,Segunda División,Matchweek 38,Sat,Away,D,1,1,Málaga,63.0,,Manolo Reina,4-4-2,Francisco Hernández,Match Report,
40,2021-05-16,20:45,Segunda División,Matchweek 39,Sun,Home,W,2,0,Alcorcón,42.0,3452.0,Manolo Reina,4-2-3-1,Dámaso Arcediano,Match Report,
41,2021-05-19,20:30,Segunda División,Matchweek 40,Wed,Away,W,1,0,Tenerife,51.0,,Joan Sastre Vanrell,4-2-3-1,Rubén Ávalos,Match Report,
42,2021-05-23,18:15,Segunda División,Matchweek 41,Sun,Home,W,2,1,Zaragoza,59.0,2924.0,Miquel Parera,4-2-3-1,David Gálvez,Match Report,
43,2021-05-30,21:00,Segunda División,Matchweek 42,Sun,Away,D,2,2,Ponferradina,64.0,,Antonio Raillo,4-2-3-1,Álvaro Moreno,Match Report,
