,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
54,Wassim Boullif,es  ESP,"DF,MF",Espanyol,17-270,2005,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
55,Yassine Bounou,ma  MAR,GK,Sevilla,31-209,1991,10,10,855,9.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
56,Lucas Boyé,ar  ARG,FW,Elche,26-245,1996,9,6,514,5.7,1,2,1,0,0,2,1,0.18,0.35,0.53,0.18,0.53,0.8,0.8,0.6,1.4,0.14,0.10,0.24,0.14,0.24
57,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-148,1991,7,7,585,6.5,3,1,3,0,0,1,1,0.46,0.15,0.62,0.46,0.62,2.5,2.5,0.4,2.9,0.38,0.07,0.44,0.38,0.44
58,Juan Brandáriz,es  ESP,DF,Almería,23-243,1999,6,3,298,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05
59,Darko Brašanac,rs  SRB,MF,Osasuna,30-261,1992,10,4,461,5.1,1,1,1,0,0,3,0,0.20,0.20,0.39,0.20,0.39,0.4,0.4,0.5,0.9,0.08,0.09,0.18,0.08,0.18
60,Claudio Bravo,cl  CHI,GK,Betis,39-201,1983,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
61,Ante Budimir,hr  CRO,FW,Osasuna,31-101,1991,9,6,474,5.3,1,0,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,1.8,1.8,0.5,2.2,0.34,0.09,0.42,0.34,0.42
62,Santiago Bueno,uy  URU,DF,Girona,23-356,1998,12,12,1080,12.0,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.4,1.0,0.05,0.04,0.08,0.05,0.08
63,Sergio Busquets,es  ESP,MF,Barcelona,34-107,1988,10,9,749,8.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.05,0.06,0.01,0.06
64,Leandro Cabrera,uy  URU,DF,Espanyol,31-136,1991,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,1.9,0.12,0.04,0.16,0.12,0.16
65,Cala,es  ESP,"DF,MF",Cádiz,32-339,1989,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
66,Fernando Calero,es  ESP,DF,Espanyol,27-047,1995,10,8,693,7.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03
67,Eduardo Camavinga,fr  FRA,MF,Real Madrid,19-355,2002,12,5,483,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.6,0.05,0.07,0.12,0.05,0.12
68,Sergio Camello,es  ESP,FW,Rayo Vallecano,21-263,2001,12,10,815,9.1,2,2,2,0,0,0,0,0.22,0.22,0.44,0.22,0.44,2.3,2.3,1.3,3.6,0.26,0.14,0.40,0.26,0.40
69,Sergio Canales,es  ESP,MF,Betis,31-257,1991,9,7,677,7.5,1,0,1,0,0,4,1,0.13,0.00,0.13,0.13,0.13,0.5,0.5,1.9,2.4,0.07,0.25,0.32,0.07,0.32
