,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
16,Diego López,es  ESP,GK,Rayo Vallecano,40-362,1981,1.0,3,0,0,2,0,1.1,0.28,-1.9,-1.86,2,8,25.0,20,5,30.0,31.6,8,25.0,35.3,12,0,0.0,3,3.00,17.8
17,Andriy Lunin,ua  UKR,GK,Real Madrid,23-262,1999,4.0,2,0,0,0,0,2.8,0.24,+0.8,+0.21,12,20,60.0,106,23,9.4,23.0,24,41.7,40.3,34,0,0.0,2,0.50,19.1
18,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-032,2000,12.0,14,2,0,1,1,13.6,0.25,+0.6,+0.05,41,104,39.4,315,54,26.0,29.5,54,40.7,36.7,163,13,8.0,16,1.33,15.3
19,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-229,1988,12.0,24,2,1,3,1,16.7,0.26,-6.3,-0.53,60,163,36.8,301,44,40.2,35.6,80,52.5,44.3,142,8,5.6,13,1.08,18.5
20,Jordi Masip,es  ESP,GK,Valladolid,33-301,1989,7.0,10,1,0,0,0,11.5,0.24,+1.5,+0.21,30,108,27.8,191,31,34.6,35.8,66,63.6,46.6,130,5,3.8,7,1.00,13.3
21,Jan Oblak,si  SVN,GK,Atlético Madrid,29-297,1993,9.7,10,0,1,0,0,9.9,0.30,-0.1,-0.01,32,134,23.9,200,44,44.0,37.3,78,59.0,47.0,145,8,5.5,7,0.72,15.4
22,Fernando Pacheco,es  ESP,GK,Almería,30-166,1992,1.0,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,2.00,14.5
23,Predrag Rajković,rs  SRB,GK,Mallorca,27-000,1995,12.0,13,4,0,2,0,15.3,0.30,+2.3,+0.19,80,210,38.1,287,46,47.4,39.4,115,64.3,48.4,187,6,3.2,9,0.75,13.8
24,Álex Remiro,es  ESP,GK,Real Sociedad,27-221,1995,12.0,15,0,1,2,0,12.8,0.25,-2.2,-0.18,79,155,51.0,341,46,33.4,33.0,65,63.1,52.0,138,7,5.1,11,0.92,13.6
25,Gerónimo Rulli,ar  ARG,GK,Villarreal,30-164,1992,12.0,8,0,0,1,0,9.8,0.22,+1.8,+0.15,45,111,40.5,397,59,20.7,29.6,85,34.1,37.9,193,18,9.3,17,1.42,15.0
26,Rui Silva,pt  POR,GK,Betis,28-266,1994,11.0,8,0,0,1,0,11.2,0.27,+3.2,+0.29,65,159,40.9,273,43,36.6,34.1,88,67.0,49.1,145,6,4.1,21,1.91,17.9
27,Unai Simón,es  ESP,GK,Athletic Club,25-142,1997,12.0,12,0,0,0,0,8.8,0.29,-3.2,-0.27,42,116,36.2,312,72,26.3,31.4,68,50.0,42.3,151,8,5.3,23,1.92,20.1
28,David Soria,es  ESP,GK,Getafe,29-210,1993,11.0,19,1,0,2,1,15.7,0.23,-2.3,-0.20,113,249,45.4,232,35,71.1,48.8,90,93.3,61.0,182,12,6.6,11,1.00,14.0
29,Marc-André ter Stegen,de  GER,GK,Barcelona,30-184,1992,12.0,4,1,0,0,0,6.8,0.21,+2.8,+0.23,48,87,55.2,389,50,18.3,27.3,56,28.6,33.7,102,6,5.9,8,0.67,14.5
