,,,,Nation,Pos,Age,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,0,5,1,20.0,0.31,0.06,0.0,0.0,22.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,0,12,2,16.7,0.78,0.13,0.0,0.0,24.9,2,0,0,1.2,1.2,0.1,-1.2,-1.2
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,3,14,5,35.7,0.41,0.15,0.21,0.6,8.6,0,0,0,1.9,1.9,0.14,1.1,1.1
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,0,11,3,27.3,0.73,0.2,0.0,0.0,17.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,1,26,8,30.8,1.45,0.45,0.04,0.13,18.2,0,0,0,2.1,2.1,0.08,-1.1,-1.1
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,0,2,1,50.0,0.44,0.22,0.0,0.0,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,0,1,0,0.0,22.5,0.0,0.0,,23.0,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,2,19,6,31.6,3.12,0.99,0.11,0.33,11.4,0,0,0,2.2,2.2,0.12,-0.2,-0.2
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,0,12,2,16.7,0.5,0.08,0.0,0.0,19.0,0,0,0,0.8,0.8,0.07,-0.8,-0.8
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,2,17,8,47.1,0.77,0.36,0.12,0.25,11.3,0,0,0,1.8,1.8,0.11,0.2,0.2
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,4,38,16,42.1,1.23,0.52,0.08,0.19,18.7,6,1,3,6.7,4.3,0.11,-2.7,-1.3
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,8,94,34,36.2,3.05,1.1,0.07,0.21,14.0,0,1,1,14.2,13.4,0.14,-6.2,-6.4
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,0,7,1,14.3,0.33,0.05,0.0,0.0,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,3,27,9,33.3,1.04,0.35,0.11,0.33,11.9,3,0,0,2.1,2.1,0.08,0.9,0.9
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,0,1,0,0.0,1.67,0.0,0.0,,6.0,0,0,0,0.4,0.4,0.38,-0.4,-0.4
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,0,6,2,33.3,0.27,0.09,0.0,0.0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,2,14,4,28.6,0.93,0.27,0.14,0.5,16.9,0,0,0,0.9,0.9,0.07,1.1,1.1
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,0,33,10,30.3,2.22,0.67,0.0,0.0,15.5,0,0,0,3.1,3.1,0.09,-3.1,-3.1
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,1,9,5,55.6,2.56,1.42,0.11,0.2,25.3,0,0,0,0.5,0.5,0.06,0.5,0.5
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,1,17,3,17.6,1.31,0.23,0.0,0.0,24.0,0,1,1,1.3,0.5,0.03,-0.3,-0.5
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,6,31,14,45.2,1.96,0.89,0.19,0.43,14.2,0,0,0,2.6,2.6,0.09,3.4,3.4
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,35,437,126,28.8,11.5,3.32,0.07,0.25,17.7,18,3,3,38.2,35.9,0.08,-3.2,-3.9
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,6,44,12,27.3,2.2,0.6,0.14,0.5,16.2,0,0,1,6.0,5.2,0.12,0.0,0.8
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,40,463,149,32.2,12.18,3.92,0.08,0.25,16.1,10,3,7,50.1,44.7,0.1,-10.1,-7.7
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,0,6,1,16.7,0.87,0.14,0.0,0.0,6.5,0,0,0,0.8,0.8,0.13,-0.8,-0.8
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,0,20,1,5.0,0.76,0.04,0.0,0.0,19.7,0,0,0,1.0,1.0,0.05,-1.0,-1.0
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,0,8,0,0.0,0.39,0.0,0.0,,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.4,0,0,0,0.4,0.4,0.05,0.6,0.6
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,3,46,14,30.4,1.91,0.58,0.07,0.21,17.3,1,0,1,4.6,3.9,0.08,-1.6,-0.9
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,1,3,3,100.0,0.16,0.16,0.33,0.33,15.7,0,0,0,0.2,0.2,0.08,0.8,0.8
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,3,45,13,28.9,2.39,0.69,0.07,0.23,16.0,3,0,0,4.8,4.8,0.11,-1.8,-1.8
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,2,11,4,36.4,0.66,0.24,0.18,0.5,8.8,0,0,0,1.0,1.0,0.09,1.0,1.0
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,1,15,1,6.7,0.72,0.05,0.07,1.0,24.0,0,0,0,0.5,0.5,0.03,0.5,0.5
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,0,9,4,44.4,0.94,0.42,0.0,0.0,23.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,0,1,0,0.0,0.03,0.0,0.0,,14.0,0,0,0,0.0,0.0,0.02,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,1,18,5,27.8,0.79,0.22,0.06,0.2,12.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,8,39,15,38.5,2.78,1.07,0.21,0.53,14.5,1,0,0,5.0,5.0,0.13,3.0,3.0
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,0,2,0,0.0,0.18,0.0,0.0,,18.6,1,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,1,12,6,50.0,0.43,0.22,0.08,0.17,25.4,0,0,0,1.0,1.0,0.09,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,11,51,23,45.1,2.5,1.13,0.18,0.39,20.0,2,2,3,9.0,6.8,0.13,2.0,2.2
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,0,16,2,12.5,0.59,0.07,0.0,0.0,20.6,0,0,0,0.8,0.8,0.05,-0.8,-0.8
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,2,17,4,23.5,0.82,0.19,0.12,0.5,15.7,0,0,0,2.0,2.0,0.12,0.0,0.0
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,6,36,14,38.9,3.05,1.19,0.17,0.43,15.1,0,0,0,6.3,6.3,0.18,-0.3,-0.3
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,41,349,96,27.5,9.18,2.53,0.1,0.35,18.5,16,7,8,33.7,27.9,0.08,7.3,6.1
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,0,2,0,0.0,0.14,0.0,0.0,,7.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,2,10,4,40.0,0.76,0.3,0.2,0.5,17.0,0,0,0,0.7,0.7,0.07,1.3,1.3
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,3,23,9,39.1,0.96,0.38,0.13,0.33,22.4,0,0,0,1.6,1.6,0.07,1.4,1.4
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,0,4,0,0.0,1.79,0.0,0.0,,16.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,63,459,150,32.7,12.08,3.95,0.13,0.39,17.3,9,4,5,52.8,49.0,0.11,10.2,10.0
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,0,16,5,31.3,0.59,0.18,0.0,0.0,7.9,0,0,0,1.8,1.8,0.11,-1.8,-1.8
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,4,29,8,27.6,1.81,0.5,0.14,0.5,18.3,1,0,0,3.4,3.4,0.12,0.6,0.6
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,6,49,10,20.4,1.71,0.35,0.08,0.4,18.3,1,2,2,6.1,4.6,0.09,-0.1,-0.6
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,12,50,22,44.0,2.42,1.07,0.24,0.55,17.3,0,0,0,6.8,6.8,0.14,5.2,5.2
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,1,4,1,25.0,0.39,0.1,0.25,1.0,13.9,0,0,0,0.8,0.8,0.21,0.2,0.2
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,1,16,3,18.8,2.48,0.47,0.06,0.33,16.2,0,0,0,1.3,1.3,0.08,-0.3,-0.3
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,0,9,3,33.3,2.12,0.71,0.0,0.0,14.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,0,1,0,0.0,0.48,0.0,0.0,,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,4,18,8,44.4,4.82,2.14,0.22,0.5,16.8,1,0,0,1.4,1.4,0.08,2.6,2.6
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,0,4,0,0.0,1.37,0.0,0.0,,12.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,0,2,1,50.0,0.22,0.11,0.0,0.0,9.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,30.2,0,0,0,0.2,0.2,0.03,0.8,0.8
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,0,6,4,66.7,0.26,0.18,0.0,0.0,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,4,52,18,34.6,3.31,1.15,0.06,0.17,15.6,3,1,1,7.2,6.4,0.12,-3.2,-3.4
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,3,17,7,41.2,0.62,0.25,0.18,0.43,13.8,0,0,0,4.5,4.5,0.26,-1.5,-1.5
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,2,31,8,25.8,1.2,0.31,0.06,0.25,14.5,0,0,0,4.0,4.0,0.13,-2.0,-2.0
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,1,19,3,15.8,0.82,0.13,0.05,0.33,12.1,1,0,0,2.1,2.1,0.11,-1.1,-1.1
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,0,4,2,50.0,2.9,1.45,0.0,0.0,21.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,23.5,1,0,0,1.3,1.3,0.04,0.7,0.7
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,1,10,4,40.0,2.99,1.2,0.1,0.25,16.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,6,26,9,34.6,3.58,1.24,0.23,0.67,9.9,0,0,0,3.7,3.7,0.14,2.3,2.3
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,2,7,3,42.9,2.68,1.15,0.29,0.67,12.0,0,0,0,1.0,1.0,0.15,1.0,1.0
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,12,56,29,51.8,2.72,1.41,0.14,0.28,18.7,6,4,5,11.0,7.2,0.13,1.0,0.8
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,2,17,3,17.6,1.37,0.24,0.12,0.67,20.2,0,0,0,1.4,1.4,0.08,0.6,0.6
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,38,356,124,34.8,9.37,3.26,0.1,0.29,17.5,14,2,3,36.0,33.7,0.1,2.0,2.3
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,1,49,9,18.4,3.13,0.57,0.02,0.11,19.8,2,0,0,2.8,2.8,0.06,-1.8,-1.8
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,3,12,5,41.7,1.22,0.51,0.25,0.6,17.8,0,0,0,1.1,1.1,0.09,1.9,1.9
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,2,23,6,26.1,4.12,1.07,0.04,0.17,18.0,1,1,1,2.8,2.0,0.09,-0.8,-1.0
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,11,38,20,52.6,3.16,1.66,0.29,0.55,11.3,0,0,0,7.1,7.1,0.19,3.9,3.9
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,1,9,3,33.3,1.66,0.55,0.11,0.33,18.5,0,0,0,0.7,0.7,0.08,0.3,0.3
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,4,19,10,52.6,0.75,0.4,0.21,0.4,11.4,0,0,0,1.4,1.4,0.08,2.6,2.6
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,2,4,3,75.0,0.9,0.68,0.5,0.67,9.0,0,0,0,1.6,1.6,0.41,0.4,0.4
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,1,6,1,16.7,3.58,0.6,0.17,1.0,12.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,2,14,4,28.6,0.39,0.11,0.14,0.5,19.7,0,0,0,0.7,0.7,0.05,1.3,1.3
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,0,12,3,25.0,0.71,0.18,0.0,0.0,15.6,0,0,0,1.5,1.5,0.13,-1.5,-1.5
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,68,520,178,34.2,13.68,4.68,0.12,0.35,16.4,15,6,7,62.1,56.8,0.11,5.9,5.2
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,0,1,0,0.0,0.47,0.0,0.0,,12.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,0,2,1,50.0,0.2,0.1,0.0,0.0,7.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,0,19,3,15.8,2.0,0.32,0.0,0.0,18.9,0,0,0,1.2,1.2,0.06,-1.2,-1.2
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,0,14,3,21.4,0.9,0.19,0.0,0.0,22.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,10,38,17,44.7,2.17,0.97,0.18,0.41,14.8,0,3,3,8.5,6.2,0.16,1.5,0.8
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,2,29,9,31.0,3.19,0.99,0.07,0.22,20.3,2,0,0,1.7,1.7,0.06,0.3,0.3
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,0,1,1,100.0,0.64,0.64,0.0,0.0,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,1,19,6,31.6,0.86,0.27,0.05,0.17,11.3,0,0,0,1.2,1.2,0.06,-0.2,-0.2
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,1,21,8,38.1,0.75,0.28,0.05,0.13,19.8,0,0,0,1.0,1.0,0.05,0.0,0.0
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,0,10,1,10.0,0.45,0.05,0.0,0.0,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,0,11,4,36.4,2.1,0.76,0.0,0.0,14.9,0,0,0,1.9,1.9,0.17,-1.9,-1.9
