,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,1,0,6,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38,38,3420,38.0,33,0.87,111,83,73.0,15,15,8,18,47.4,5,3,2,0,40.0
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38,38,3420,38.0,41,1.08,130,89,70.0,8,15,15,14,36.8,4,2,1,1,33.3
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,35,35,3136,34.8,55,1.58,170,121,70.6,8,12,15,7,20.0,7,5,2,0,28.6
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38,38,3420,38.0,44,1.16,131,90,68.7,16,14,8,13,34.2,5,3,0,2,0.0
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38,38,3420,38.0,61,1.61,184,131,70.7,8,14,16,8,21.1,9,7,2,0,22.2
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13,13,1166,13.0,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50.0
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24,24,2160,24.0,46,1.92,115,71,63.5,6,6,12,5,20.8,4,4,0,0,0.0
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38,38,3420,38.0,51,1.34,144,100,70.1,19,11,8,12,31.6,13,8,4,1,33.3
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,1,1,4,26.9,0,0.0,0,0,,0,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38,38,3420,38.0,76,2.0,196,123,63.8,8,11,19,7,18.4,6,5,1,0,16.7
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2,2,180,2.0,5,2.5,13,10,69.2,0,0,2,0,0.0,1,1,0,0,0.0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21,21,1890,21.0,26,1.24,72,47,66.7,6,9,6,8,38.1,3,2,1,0,33.3
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38,38,3420,38.0,36,0.95,129,100,76.7,19,9,10,15,39.5,7,6,1,0,14.3
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14,14,1260,14.0,29,2.07,52,28,50.0,4,0,10,1,7.1,4,3,1,0,25.0
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38,38,3420,38.0,63,1.66,143,88,60.1,10,9,19,9,23.7,8,6,2,0,25.0
ESP-La Liga,2122,Osasuna,Juan Pérez,ESP,GK,25.0,2,2,180,2.0,3,1.5,4,2,25.0,0,1,1,0,0.0,0,0,0,0,
ESP-La Liga,2122,Osasuna,Opponent Total,,,27.6,38,38,3420,38.0,37,0.97,114,81,72.8,15,11,12,15,39.5,8,6,2,0,25.0
ESP-La Liga,2122,Osasuna,Sergio Herrera,ESP,GK,28.0,36,36,3240,36.0,48,1.33,136,92,67.6,12,10,14,12,33.3,7,4,3,0,42.9
ESP-La Liga,2122,Osasuna,Squad Total,,,27.7,38,38,3420,38.0,51,1.34,140,94,66.4,12,11,15,12,31.6,7,4,3,0,42.9
ESP-La Liga,2122,Rayo Vallecano,Luca Zidane,FRA,"GK,MF",23.0,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0.0,0,0,0,0,
ESP-La Liga,2122,Rayo Vallecano,Opponent Total,,,27.6,38,38,3420,38.0,39,1.03,134,99,73.9,18,9,11,14,36.8,4,4,0,0,0.0
ESP-La Liga,2122,Rayo Vallecano,Squad Total,,,27.5,38,38,3417,38.0,50,1.32,153,110,71.9,11,9,18,9,23.7,9,7,2,0,22.2
ESP-La Liga,2122,Rayo Vallecano,Stole Dimitrievski,MKD,GK,27.0,31,30,2772,30.8,37,1.2,116,86,74.1,11,8,11,9,30.0,9,7,2,0,22.2
ESP-La Liga,2122,Real Madrid,Andriy Lunin,UKR,GK,22.0,2,2,180,2.0,2,1.0,7,6,85.7,0,1,1,0,0.0,2,1,1,0,50.0
ESP-La Liga,2122,Real Madrid,Opponent Total,,,27.6,38,38,3420,38.0,80,2.11,240,165,70.0,4,8,26,8,21.1,12,8,3,1,27.3
ESP-La Liga,2122,Real Madrid,Squad Total,,,27.7,38,38,3420,38.0,31,0.82,123,94,77.2,26,8,4,16,42.1,5,3,2,0,40.0
ESP-La Liga,2122,Real Madrid,Thibaut Courtois,BEL,GK,29.0,36,36,3240,36.0,29,0.81,116,88,76.7,26,7,3,16,44.4,3,2,1,0,33.3
ESP-La Liga,2122,Real Sociedad,Mathew Ryan,AUS,GK,29.0,3,3,270,3.0,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0.0
ESP-La Liga,2122,Real Sociedad,Opponent Total,,,27.7,38,38,3420,38.0,40,1.05,142,109,78.2,10,11,17,11,28.9,10,9,1,0,10.0
ESP-La Liga,2122,Real Sociedad,Squad Total,,,25.7,38,38,3420,38.0,37,0.97,122,88,73.8,17,11,10,20,52.6,6,5,1,0,16.7
ESP-La Liga,2122,Real Sociedad,Álex Remiro,ESP,GK,26.0,35,35,3150,35.0,32,0.91,107,77,73.8,15,11,9,19,54.3,5,4,1,0,20.0
ESP-La Liga,2122,Sevilla,Javier Díaz,ESP,GK,24.0,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2122,Sevilla,Marko Dmitrović,SRB,GK,29.0,6,6,540,6.0,5,0.83,18,13,72.2,4,2,0,4,66.7,0,0,0,0,
ESP-La Liga,2122,Sevilla,Opponent Total,,,27.8,38,38,3417,38.0,53,1.4,141,91,63.8,4,16,18,7,18.4,3,2,1,0,33.3
ESP-La Liga,2122,Sevilla,Squad Total,,,28.6,38,38,3420,38.0,30,0.79,118,89,76.3,18,16,4,17,44.7,4,2,1,1,33.3
ESP-La Liga,2122,Sevilla,Yassine Bounou,MAR,GK,30.0,31,31,2790,31.0,24,0.77,98,75,77.6,14,13,4,13,41.9,4,2,1,1,33.3
ESP-La Liga,2122,Valencia,Giorgi Mamardashvili,GEO,GK,20.0,18,18,1620,18.0,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0.0
ESP-La Liga,2122,Valencia,Jasper Cillessen,NED,GK,32.0,17,17,1457,16.2,29,1.79,71,47,66.2,4,8,5,3,17.6,6,5,1,0,16.7
ESP-La Liga,2122,Valencia,Jaume Doménech,ESP,GK,30.0,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,
ESP-La Liga,2122,Valencia,Opponent Total,,,27.8,38,38,3420,38.0,48,1.26,127,89,68.5,12,15,11,8,21.1,9,8,1,0,11.1
ESP-La Liga,2122,Valencia,Squad Total,,,24.8,38,38,3420,38.0,53,1.39,156,111,70.5,11,15,12,12,31.6,8,7,1,0,12.5
ESP-La Liga,2122,Villarreal,Gerónimo Rulli,ARG,GK,29.0,32,32,2880,32.0,28,0.87,97,70,74.2,14,9,9,14,43.8,4,3,1,0,25.0
ESP-La Liga,2122,Villarreal,Opponent Total,,,27.6,38,38,3420,38.0,63,1.66,164,106,64.6,11,11,16,11,28.9,6,5,1,0,16.7
ESP-La Liga,2122,Villarreal,Sergio Asenjo,ESP,GK,32.0,6,6,540,6.0,9,1.5,27,19,70.4,2,2,2,0,0.0,1,1,0,0,0.0
ESP-La Liga,2122,Villarreal,Squad Total,,,28.0,38,38,3420,38.0,37,0.97,124,89,73.4,16,11,11,14,36.8,5,4,1,0,20.0
