,,,,Nation,Pos,Age,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,2,0,0,2,0,0,2,0,0,,0,0,2,1,0,0,0,0,0,0,2,2,100.0,0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,813,29,100,409,333,75,805,8,14,57.1,8,0,425,1396,625,39,14,3,36,21,857,597,69.7,126
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,21565,2242,6453,10308,6017,906,19629,272,540,50.4,303,42,12560,64897,35106,1483,477,155,468,406,15478,13152,85.0,1346
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,407,59,199,216,19,8,396,0,0,,0,0,248,1593,975,29,2,0,0,3,262,260,99.2,3
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,979,851,975,7,0,0,671,0,0,,0,0,450,2056,1014,0,0,0,0,0,359,356,99.2,0
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,1538,69,319,923,374,25,1495,15,23,65.2,16,1,961,4007,1831,74,25,1,18,21,1123,1048,93.3,37
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,1220,180,647,605,62,13,1176,4,7,57.1,5,0,614,4506,2439,48,13,0,3,5,661,653,98.8,3
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,776,36,237,388,207,10,662,4,10,40.0,5,0,446,2764,1606,68,28,2,7,10,454,424,93.4,17
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,1246,22,159,526,648,96,1145,31,76,40.8,35,9,781,4091,2436,121,43,16,61,48,1113,815,73.2,147
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,1282,56,329,648,382,28,1037,7,14,50.0,8,2,692,3475,1986,92,43,2,6,9,753,703,93.4,39
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,916,16,111,443,414,82,875,19,32,59.4,19,2,597,2844,1419,68,26,10,34,20,954,682,71.5,135
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,3,1,1,1,1,0,3,0,0,,0,0,2,7,6,1,0,0,0,0,3,2,66.7,0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,32,1,11,11,11,0,24,0,0,,0,0,13,93,58,1,1,0,0,1,19,13,68.4,1
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,965,136,519,460,34,18,932,4,4,100.0,4,0,541,3145,1423,34,2,0,1,4,569,546,96.0,3
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,1259,69,372,804,162,6,1253,17,22,77.3,17,0,849,4189,1932,72,20,0,17,27,820,781,95.2,10
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,3,0,0,2,1,0,2,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,1
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,774,33,177,491,140,8,742,10,16,62.5,11,0,527,2522,1354,70,14,0,11,5,556,523,94.1,14
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,1155,1034,1152,4,1,1,767,2,2,100.0,2,0,515,2609,1411,0,0,0,1,0,450,449,99.8,0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,52,4,12,37,4,0,52,0,1,0.0,0,0,38,96,36,3,1,0,0,0,39,38,97.4,2
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,1122,188,655,489,34,23,1082,6,9,66.7,6,0,645,2917,1380,23,4,0,5,4,715,693,96.9,2
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,661,10,56,341,316,61,632,26,50,52.0,26,3,492,2542,1612,92,34,9,42,20,742,541,72.9,79
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,856,23,233,395,262,7,731,5,14,35.7,6,2,489,1647,907,28,9,0,4,7,612,553,90.4,30
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,1979,61,430,1200,454,33,1930,14,23,60.9,14,1,1383,5162,2731,109,28,2,17,28,1629,1518,93.2,48
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,698,16,50,297,373,101,660,5,23,21.7,8,2,386,1186,600,37,8,10,49,16,933,543,58.2,120
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,1584,58,405,706,567,62,1422,18,28,64.3,20,1,1078,5183,2531,135,40,14,24,32,1188,996,83.8,134
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,1468,104,573,793,188,29,1366,5,9,55.6,6,0,929,4618,2605,79,28,0,7,9,1018,983,96.6,13
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,415,13,47,181,206,68,402,7,13,53.8,8,0,237,1259,694,37,9,9,36,16,529,269,50.9,80
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,23038,2753,7899,11302,5208,601,21230,307,602,51.0,340,30,14481,71038,37222,1402,393,84,482,406,17283,15026,86.9,1089
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,813,56,379,396,92,9,720,4,9,44.4,4,1,492,2546,1311,32,9,2,11,4,449,437,97.3,16
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,798,31,243,346,268,39,700,17,34,50.0,18,1,487,2873,1756,65,21,4,16,12,574,488,85.0,57
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,1687,27,314,1055,436,18,1565,24,40,60.0,25,3,1210,6585,3501,160,50,6,30,25,1279,1183,92.5,49
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,141,6,31,80,39,6,121,1,1,100.0,1,0,60,378,165,5,3,0,0,2,99,81,81.8,4
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,23293,2175,7313,11175,6148,977,21435,324,573,56.5,343,27,14973,73800,40101,1643,475,147,465,383,17923,15299,85.4,1250
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,1619,184,855,813,72,28,1577,8,8,100.0,8,0,994,5800,3554,79,17,0,7,4,1069,1054,98.6,7
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,989,21,126,479,460,50,909,31,51,60.8,31,0,714,3964,2197,126,40,11,14,27,813,707,87.0,70
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,1643,36,246,646,885,165,1434,73,126,57.9,78,8,1213,6817,4237,226,57,52,69,59,1394,1089,78.1,181
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,937,7,91,385,512,154,908,26,53,49.1,29,3,696,2728,1532,98,31,18,56,56,999,710,71.1,184
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,724,40,224,320,216,9,626,2,5,40.0,2,0,385,2090,1149,63,23,0,14,5,470,419,89.1,10
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,306,0,46,102,195,60,301,29,47,61.7,30,2,273,1819,1242,59,17,23,24,22,297,229,77.1,50
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,232,4,17,79,157,35,230,20,28,71.4,21,0,222,1563,998,57,8,20,13,6,219,183,83.6,38
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,182,2,28,107,61,5,176,2,6,33.3,3,0,152,684,332,18,8,2,6,3,162,148,91.4,8
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,16,0,3,8,5,0,15,0,0,,0,0,12,77,18,2,0,0,0,1,14,12,85.7,1
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,230,0,12,85,149,38,221,6,15,40.0,8,1,177,849,519,33,7,10,12,10,237,194,81.9,37
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,146,5,24,84,47,8,146,3,6,50.0,3,1,111,513,252,10,3,1,6,7,145,109,75.2,20
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,884,82,349,565,44,5,868,1,3,33.3,1,0,665,4151,2801,97,11,0,1,0,693,685,98.8,2
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,1175,30,239,725,289,8,1017,13,18,72.2,15,1,830,3514,2011,107,42,0,4,5,821,798,97.2,17
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,82,1,20,50,16,1,69,0,1,0.0,0,0,55,215,103,4,1,0,1,0,56,55,98.2,4
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,1839,171,781,1134,65,11,1787,2,2,100.0,2,0,1334,8524,5271,134,16,3,4,3,1454,1436,98.8,4
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,3,0,1,2,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,4,1,25.0,0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,784,13,68,316,454,106,764,13,39,33.3,16,0,628,2999,1604,96,21,22,42,17,847,643,75.9,145
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,1908,37,326,1190,562,70,1875,25,38,65.8,29,1,1387,8041,4793,199,66,7,29,33,1677,1505,89.7,131
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,1634,18,159,924,683,98,1617,37,65,56.9,38,0,1323,6657,3224,182,58,15,52,56,1470,1251,85.1,125
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,1884,256,905,1044,63,28,1833,6,6,100.0,6,1,1268,7409,4452,123,16,0,5,4,1360,1326,97.5,2
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,71,0,7,20,50,8,71,1,3,33.3,1,1,63,274,169,12,2,3,0,3,63,56,88.9,4
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,3016,93,717,1490,944,82,2678,7,22,31.8,8,5,1902,6630,3530,160,44,11,21,8,2291,2155,94.1,111
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,156,0,10,70,83,16,149,2,5,40.0,2,0,105,542,247,14,2,7,6,5,163,130,79.8,29
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,296,13,31,154,127,53,286,4,7,57.1,4,0,169,450,175,9,4,1,22,18,336,225,67.0,70
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,1341,1155,1328,14,0,0,1088,2,2,100.0,2,0,799,2986,1699,0,0,0,0,0,826,823,99.6,0
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,92,4,10,44,44,15,90,3,5,60.0,3,0,68,248,163,10,2,3,9,6,104,70,67.3,16
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,1253,8,53,491,778,156,1096,34,66,51.5,38,0,841,3553,2260,149,36,41,80,42,1273,955,75.0,244
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,5,0,0,5,0,0,5,0,0,,0,0,4,2,1,0,0,0,0,0,3,3,100.0,0
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,139,127,138,1,0,0,111,0,0,,0,0,80,268,147,0,0,0,0,0,80,80,100.0,0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,847,23,133,503,274,30,833,27,36,75.0,28,0,675,3599,1896,95,26,7,24,27,730,650,89.0,53
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,18184,2849,7293,7974,3893,644,16431,246,504,48.8,271,30,10580,53060,26570,914,266,121,501,385,12612,10575,83.8,803
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,1037,5,59,388,711,99,968,57,92,62.0,63,4,856,6005,3960,224,70,43,42,23,965,826,85.6,107
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,727,12,93,384,301,24,703,12,20,60.0,14,1,569,2807,1262,63,16,5,8,22,634,558,88.0,56
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,421,5,27,192,246,26,403,12,20,60.0,12,4,326,1678,925,53,22,5,12,22,408,350,85.8,53
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,353,5,15,175,175,63,332,6,8,75.0,6,0,205,747,394,23,4,10,23,12,444,267,60.1,109
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,508,4,44,306,185,15,502,6,7,85.7,6,0,421,1740,755,43,14,1,8,12,469,443,94.5,29
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,1871,236,907,1019,92,29,1786,6,12,50.0,6,0,1274,7654,4744,114,12,2,7,5,1363,1340,98.3,8
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,57,13,34,26,0,0,54,0,0,,0,0,27,172,120,0,0,0,0,0,38,37,97.4,1
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,299,10,61,159,94,8,282,5,5,100.0,5,1,203,935,492,19,6,0,6,3,245,217,88.6,12
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,59,0,1,28,33,15,57,1,1,100.0,1,0,38,237,110,7,2,2,5,2,78,53,67.9,16
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,3109,93,626,2067,547,26,3023,18,20,90.0,18,2,2040,7059,3756,157,38,1,14,20,2373,2293,96.6,67
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,1199,26,285,554,457,54,1068,31,59,52.5,32,1,886,4798,2998,141,39,19,33,33,915,853,93.2,67
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,29116,2490,7812,14983,8206,1210,27378,401,680,59.0,432,27,20677,102221,58978,2459,631,267,526,444,23983,21651,90.3,1669
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,116,2,14,38,68,9,105,5,10,50.0,6,1,86,317,176,12,2,2,5,7,95,77,81.1,18
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,839,37,241,440,207,9,766,5,6,83.3,5,0,603,2505,1379,33,16,1,2,7,631,615,97.5,15
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,474,10,82,211,215,30,451,15,35,42.9,20,1,327,1398,915,56,11,4,13,16,444,335,75.5,54
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,1099,57,324,700,153,12,1053,6,9,66.7,7,0,733,3684,1970,69,14,1,11,8,784,740,94.4,11
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,519,6,29,236,276,95,484,12,33,36.4,17,2,333,1420,608,37,10,14,41,28,709,397,56.0,112
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,53,2,12,25,19,1,49,0,0,,0,0,36,224,104,5,2,0,1,0,39,38,97.4,2
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,537,464,535,3,0,0,369,0,0,,0,0,263,1298,795,0,0,0,0,0,235,231,98.3,0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,483,10,67,193,257,38,473,12,26,46.2,12,2,336,1826,1008,54,16,12,16,15,435,351,80.7,64
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,80,1,7,36,46,9,80,3,9,33.3,5,1,64,272,166,8,2,2,3,7,80,59,73.8,10
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,1268,201,749,538,34,25,1213,3,3,100.0,3,0,726,2694,1045,20,0,0,1,3,815,800,98.2,6
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,1756,108,598,1047,200,13,1707,21,28,75.0,21,1,1136,4230,1774,68,21,0,21,18,1164,1108,95.2,10
