,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,5,0.69,3,0,0,0,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,6,0.17,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,3,1.15,3,0,0,0,0,0,1,0.38,1,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,76,3.7,43,18,6,3,6,0,11,0.53,5,1,2,1,2,0
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,33,2.67,27,0,2,1,1,2,3,0.24,2,0,1,0,0,0
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,571,15.03,386,63,37,27,38,20,58,1.53,37,5,5,3,6,2
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,82,5.24,56,12,9,3,2,0,16,1.02,12,3,1,0,0,0
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,39,3.97,27,6,1,2,3,0,6,0.61,4,0,0,1,1,0
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,16,2.86,11,2,1,0,1,1,4,0.72,3,0,0,0,1,0
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,15,1.25,12,0,0,2,0,1,2,0.17,2,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,22,4.07,20,0,1,1,0,0,3,0.55,1,0,1,1,0,0
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,13,0.51,10,0,0,2,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,9,2.03,9,0,0,0,0,0,1,0.23,1,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,3,1.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,85,2.39,75,1,1,0,3,5,3,0.08,3,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,39,2.32,30,1,7,0,1,0,3,0.18,3,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,852,22.42,664,58,47,28,39,16,113,2.97,87,5,7,8,6,0
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,5,2.34,0,3,0,0,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,11,1.11,11,0,0,0,0,0,1,0.1,1,0,0,0,0,0
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,30,3.15,23,0,4,1,2,0,1,0.11,0,0,0,0,1,0
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,28,1.81,26,0,0,1,0,1,2,0.13,2,0,0,0,0,0
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,33,1.89,25,1,0,2,4,1,4,0.23,1,0,0,0,2,1
