,,,,Nation,Pos,Age,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,9.5,15,1.58,14,1,0,0,0,0,2,0.21,2,0,0,0,0,0
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,10.2,16,1.57,12,0,1,2,1,0,3,0.29,2,0,0,1,0,0
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,870,22.89,613,92,47,43,51,24,102,2.68,60,8,11,8,11,4
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,25.6,30,1.17,23,3,1,1,0,2,4,0.16,2,0,0,0,0,2
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,14.2,8,0.56,5,0,0,0,1,2,1,0.07,0,0,0,0,1,0
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,8.3,22,2.66,17,3,1,0,0,1,3,0.36,1,2,0,0,0,0
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,4.9,8,1.64,5,1,1,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,15.9,37,2.32,24,3,1,6,3,0,4,0.25,3,0,1,0,0,0
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,621,16.34,444,55,34,39,32,17,64,1.68,43,6,3,5,3,4
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,16.7,11,0.66,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,3.8,2,0.52,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,11.3,33,2.91,21,5,4,2,1,0,2,0.18,1,1,0,0,0,0
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,14.8,37,2.5,21,11,0,3,0,2,3,0.2,3,0,0,0,0,0
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,16.8,20,1.19,15,3,1,0,0,1,1,0.06,1,0,0,0,0,0
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,1.3,3,2.29,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,4,0.17,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,11.8,29,2.46,19,0,1,5,4,0,6,0.51,4,0,0,0,2,0
ESP-La Liga,2122,Levante,Enis Bardhi,MKD,"MF,FW",26.0,18.9,75,3.97,40,19,2,8,6,0,4,0.21,3,1,0,0,0,0
ESP-La Liga,2122,Levante,Enric Franquesa,ESP,DF,24.0,6.9,7,1.01,7,0,0,0,0,0,1,0.14,1,0,0,0,0,0
ESP-La Liga,2122,Levante,Gonzalo Melero,ESP,MF,27.0,18.8,32,1.7,26,0,0,5,1,0,5,0.27,5,0,0,0,0,0
ESP-La Liga,2122,Levante,Jorge Miramón,ESP,DF,32.0,22.0,28,1.27,19,6,1,0,0,2,3,0.14,3,0,0,0,0,0
ESP-La Liga,2122,Levante,Jorge de Frutos,ESP,"MF,FW",24.0,19.6,51,2.61,31,3,10,4,2,1,11,0.56,7,0,2,1,0,1
ESP-La Liga,2122,Levante,José Campaña,ESP,MF,28.0,15.8,46,2.91,33,9,0,3,1,0,3,0.19,2,0,0,1,0,0
ESP-La Liga,2122,Levante,José Luis García Vayá,ESP,MF,22.0,22.4,42,1.88,22,17,1,1,0,1,1,0.04,1,0,0,0,0,0
ESP-La Liga,2122,Levante,José Luis Morales,ESP,"FW,MF",34.0,30.2,100,3.31,59,9,17,6,4,5,13,0.43,7,1,3,1,1,0
ESP-La Liga,2122,Levante,Marcelo Saracchi,URU,DF,23.0,2.1,6,2.9,5,1,0,0,0,0,1,0.48,1,0,0,0,0,0
ESP-La Liga,2122,Levante,Martín Cáceres,URU,DF,34.0,7.4,6,0.81,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Mickael Malsa,MTQ,MF,25.0,12.7,16,1.26,15,0,0,0,1,0,2,0.16,2,0,0,0,0,0
ESP-La Liga,2122,Levante,Nemanja Radoja,SRB,MF,28.0,13.5,13,0.96,12,0,0,0,1,0,1,0.07,1,0,0,0,0,0
ESP-La Liga,2122,Levante,Nikola Vukčević,MNE,MF,29.0,1.3,2,1.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Omar Faraj,SWE,FW,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38.0,809,21.29,588,79,40,38,44,20,126,3.32,89,10,10,5,9,3
ESP-La Liga,2122,Levante,Pablo Martínez,ESP,MF,23.0,7.3,10,1.37,8,0,0,0,0,2,1,0.14,1,0,0,0,0,0
ESP-La Liga,2122,Levante,Pubill,ESP,DF,18.0,5.7,16,2.81,12,2,0,2,0,0,3,0.53,1,1,0,1,0,0
ESP-La Liga,2122,Levante,Rober,ESP,DF,26.0,22.3,17,0.76,16,0,0,1,0,0,3,0.13,2,0,0,1,0,0
ESP-La Liga,2122,Levante,Roberto Soldado,ESP,FW,36.0,7.4,16,2.17,12,0,2,0,1,1,2,0.27,2,0,0,0,0,0
ESP-La Liga,2122,Levante,Roger Martí,ESP,FW,30.0,23.5,38,1.62,28,0,0,5,4,1,6,0.26,4,0,0,1,1,0
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,26.9,18,0.67,12,1,0,3,1,1,3,0.11,0,0,0,1,1,1
ESP-La Liga,2122,Levante,Sergio Postigo,ESP,DF,32.0,9.4,3,0.32,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Shkodran Mustafi,GER,DF,29.0,7.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Son,ESP,DF,27.0,21.9,35,1.6,29,2,1,1,1,1,5,0.23,4,0,0,0,1,0
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38.0,655,17.24,453,73,37,48,28,16,79,2.08,56,3,5,7,6,2
ESP-La Liga,2122,Levante,Álex Cantero,ESP,"FW,MF",21.0,6.8,18,2.66,13,0,1,3,1,0,4,0.59,4,0,0,0,0,0
ESP-La Liga,2122,Levante,Óscar Duarte,CRC,DF,32.0,19.7,4,0.2,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Abdón Prats,ESP,FW,28.0,7.1,18,2.53,12,0,0,1,3,2,1,0.14,0,0,0,1,0,0
ESP-La Liga,2122,Mallorca,Aleix Febas,ESP,MF,25.0,1.3,2,1.54,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Aleksandar Sedlar,SRB,"DF,MF",29.0,4.5,2,0.45,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Amath,SEN,"FW,MF",25.0,9.8,18,1.83,10,0,1,2,4,1,2,0.2,1,0,0,1,0,0
ESP-La Liga,2122,Mallorca,Antonio Raillo,ESP,DF,29.0,17.0,3,0.18,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Antonio Sánchez,ESP,"MF,FW",24.0,18.0,31,1.73,24,1,1,2,2,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Brian Oliván,ESP,DF,27.0,24.3,35,1.44,21,10,1,2,1,0,1,0.04,0,0,0,0,1,0
ESP-La Liga,2122,Mallorca,Clément Grenier,FRA,MF,30.0,0.7,1,1.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Dani Rodríguez,ESP,"MF,FW",33.0,31.5,85,2.7,51,9,4,6,11,4,6,0.19,4,1,0,1,0,0
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Fernando Niño,ESP,FW,20.0,9.8,22,2.24,15,0,2,0,4,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Franco Russo,ARG,DF,26.0,16.3,4,0.25,1,0,0,1,0,2,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Giovanni González,URU,DF,26.0,4.1,7,1.73,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Iddrisu Baba,GHA,MF,25.0,21.5,18,0.84,15,0,0,2,0,1,1,0.05,1,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Iñigo Ruiz de Galarreta,ESP,MF,27.0,15.3,28,1.83,22,1,1,1,2,1,1,0.07,1,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Jaume Costa,ESP,DF,33.0,20.3,38,1.87,31,4,0,0,1,2,6,0.3,5,0,0,0,0,1
ESP-La Liga,2122,Mallorca,Javier Llabrés,,"FW,MF",,1.5,4,2.73,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Joan Sastre Vanrell,ESP,DF,24.0,2.9,3,1.05,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Jordi Mboula,ESP,FW,22.0,4.8,7,1.45,4,0,0,0,0,3,1,0.21,0,0,0,0,0,1
ESP-La Liga,2122,Mallorca,Josep Antoni Gayá,ESP,DF,21.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Lago Junior,CIV,"FW,MF",30.0,2.0,3,1.53,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Lee Kangin,KOR,"MF,FW",20.0,15.7,48,3.06,28,11,4,2,3,0,3,0.19,1,1,1,0,0,0
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21.0,5,0.24,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Martin Valjent,SVK,DF,25.0,35.3,17,0.48,12,2,0,1,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Matthew Hoppe,USA,FW,20.0,1.5,4,2.75,4,0,0,0,0,0,1,0.69,1,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38.0,714,18.79,512,72,30,44,37,19,99,2.61,70,6,4,8,7,4
ESP-La Liga,2122,Mallorca,Pablo Maffeo,ESP,DF,24.0,32.7,54,1.65,33,2,5,3,8,3,10,0.31,6,0,1,0,3,0
ESP-La Liga,2122,Mallorca,Rodrigo Battaglia,ARG,MF,30.0,13.1,14,1.07,11,0,1,0,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Salva Sevilla,ESP,MF,37.0,16.7,48,2.87,29,15,2,1,1,0,5,0.3,2,2,0,0,1,0
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14.0,1,0.07,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38.0,656,17.26,436,67,35,33,60,25,54,1.42,32,4,4,4,8,2
ESP-La Liga,2122,Mallorca,Takefusa Kubo,JPN,"FW,MF",20.0,17.8,69,3.87,43,6,5,2,12,1,4,0.22,3,0,0,0,1,0
ESP-La Liga,2122,Mallorca,Vedat Muriqi,KVX,FW,27.0,16.0,36,2.25,26,0,4,4,0,2,6,0.38,4,0,1,1,0,0
ESP-La Liga,2122,Mallorca,Ángel Rodríguez,ESP,FW,34.0,17.2,31,1.81,24,0,2,2,3,0,6,0.35,3,0,1,0,2,0
ESP-La Liga,2122,Osasuna,Ante Budimir,CRO,FW,30.0,19.3,31,1.61,16,0,2,3,9,1,4,0.21,2,0,0,0,2,0
ESP-La Liga,2122,Osasuna,Aridane Hernández,EQG,DF,32.0,12.9,5,0.39,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Barbero,ESP,"MF,FW",22.0,0.2,1,4.29,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Darko Brašanac,SRB,MF,29.0,26.7,57,2.13,50,0,0,3,2,2,6,0.22,5,0,0,1,0,0
ESP-La Liga,2122,Osasuna,David García,ESP,DF,27.0,34.5,19,0.55,15,2,0,2,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Ezequiel Ávila,ARG,"FW,MF",27.0,20.8,37,1.78,22,4,0,3,6,2,6,0.29,3,1,0,0,1,1
ESP-La Liga,2122,Osasuna,Iker Benito,ESP,"MF,FW",18.0,1.3,3,2.29,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Iñigo Pérez,ESP,MF,33.0,3.8,9,2.4,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Jaume Grau,ESP,MF,24.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Javi Martínez,ESP,MF,21.0,9.8,22,2.25,17,4,0,0,0,1,4,0.41,4,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Javier Ontiveros,ESP,"MF,FW",23.0,0.4,1,2.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Jesús Areso,ESP,DF,22.0,2.1,2,0.96,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Jon Moncayola,ESP,MF,23.0,32.4,57,1.76,38,15,0,4,0,0,4,0.12,3,1,0,0,0,0
ESP-La Liga,2122,Osasuna,Jonás Ramalho,ESP,DF,28.0,2.7,1,0.37,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,José Ángel,ESP,DF,31.0,12.0,16,1.33,14,1,0,1,0,0,2,0.17,1,0,0,1,0,0
ESP-La Liga,2122,Osasuna,Juan Cruz Armada,ESP,DF,29.0,21.5,6,0.28,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Juan Pérez,ESP,GK,25.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Kike,ESP,FW,31.0,20.7,49,2.37,36,0,2,5,4,2,4,0.19,3,0,0,1,0,0
ESP-La Liga,2122,Osasuna,Kike Barja,ESP,"MF,FW",24.0,9.6,22,2.29,15,0,0,2,3,2,3,0.31,1,0,0,1,1,0
ESP-La Liga,2122,Osasuna,Lucas Torró,ESP,MF,27.0,30.3,30,0.99,24,0,1,1,3,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Manuel Sánchez,ESP,DF,20.0,25.1,45,1.79,36,3,1,1,2,2,4,0.16,4,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Nacho Vidal,ESP,DF,26.0,32.2,50,1.55,36,3,4,2,5,0,5,0.16,3,1,0,0,1,0
ESP-La Liga,2122,Osasuna,Oier Sanjurjo,ESP,MF,35.0,8.4,4,0.47,3,1,0,0,0,0,1,0.12,0,1,0,0,0,0
ESP-La Liga,2122,Osasuna,Opponent Total,,,27.6,38.0,673,17.71,499,60,41,36,18,19,80,2.11,53,8,7,8,4,0
ESP-La Liga,2122,Osasuna,Robert Ibáñez,ESP,MF,28.0,1.0,5,4.84,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Roberto Torres,ESP,"MF,FW",32.0,9.0,32,3.56,20,10,0,2,0,0,3,0.33,2,1,0,0,0,0
ESP-La Liga,2122,Osasuna,Rubén García,ESP,"FW,MF",28.0,26.4,89,3.37,47,28,2,7,1,4,10,0.38,6,2,0,1,0,1
ESP-La Liga,2122,Osasuna,Sergio Herrera,ESP,GK,28.0,36.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Squad Total,,,27.7,38.0,599,15.76,418,76,15,37,35,18,56,1.47,37,7,0,5,5,2
ESP-La Liga,2122,Osasuna,Unai Dufur,ESP,DF,22.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Osasuna,Unai García,ESP,DF,29.0,15.6,5,0.32,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Alejandro Asensio,ESP,FW,20.0,0.1,2,15.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Andrés Martín,ESP,"FW,MF",22.0,2.1,1,0.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Bebé,CPV,"FW,MF",31.0,9.6,41,4.26,21,6,6,3,5,0,6,0.62,2,1,2,0,1,0
ESP-La Liga,2122,Rayo Vallecano,Catena,ESP,DF,26.0,36.0,25,0.69,17,2,0,2,2,2,3,0.08,2,0,0,1,0,0
ESP-La Liga,2122,Rayo Vallecano,Esteban Saveljich,MNE,DF,30.0,18.9,7,0.37,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Francisco Garcia,ESP,DF,21.0,33.6,52,1.55,40,8,1,2,0,1,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Isaac Palazón Camacho,ESP,"FW,MF",26.0,25.4,75,2.95,49,10,4,3,7,2,8,0.31,5,1,2,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Iván Balliu,ALB,DF,29.0,35.0,77,2.2,57,12,2,1,3,2,5,0.14,5,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,José Pozo,ESP,MF,25.0,0.8,8,10.0,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Kévin Rodrigues,POR,"DF,FW",27.0,4.8,7,1.45,5,1,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Luca Zidane,FRA,"GK,MF",23.0,7.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Mamadou Sylla,SEN,"FW,MF",27.0,2.8,5,1.78,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Mario Hernández,ESP,"DF,FW",22.0,4.4,4,0.91,3,0,0,1,0,0,1,0.23,1,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Mario Suárez,ESP,DF,34.0,7.9,6,0.76,3,0,0,3,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Martín Merquelanz,ESP,FW,26.0,1.9,7,3.64,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Nikola Maraš,SRB,DF,25.0,11.6,3,0.26,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Opponent Total,,,27.6,38.0,646,17.0,465,62,37,24,37,21,82,2.16,53,8,8,5,5,3
ESP-La Liga,2122,Rayo Vallecano,Pathé Ciss,SEN,MF,27.0,12.2,24,1.97,15,0,1,3,2,3,1,0.08,1,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Radamel Falcao,COL,FW,35.0,9.3,14,1.5,7,0,2,3,2,0,3,0.32,0,0,0,2,1,0
ESP-La Liga,2122,Rayo Vallecano,Randy Ntekja,FRA,"FW,MF",23.0,16.2,32,1.97,23,0,2,2,5,0,5,0.31,1,0,1,0,3,0
ESP-La Liga,2122,Rayo Vallecano,Santi Comesaña,ESP,MF,24.0,29.8,54,1.81,44,2,2,2,2,2,5,0.17,3,0,1,1,0,0
ESP-La Liga,2122,Rayo Vallecano,Sergi Guardiola,ESP,FW,30.0,19.0,34,1.79,23,1,3,3,2,2,6,0.32,3,0,0,1,1,1
ESP-La Liga,2122,Rayo Vallecano,Squad Total,,,27.5,38.0,747,19.66,511,90,31,43,49,23,64,1.68,38,5,6,6,6,3
ESP-La Liga,2122,Rayo Vallecano,Stole Dimitrievski,MKD,GK,27.0,30.8,3,0.1,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Unai López,ESP,MF,25.0,12.9,46,3.57,30,9,2,1,3,1,2,0.16,1,1,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Yacine Qasmi,MAR,MF,30.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Álvaro Aguirre,ESP,FW,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Rayo Vallecano,Álvaro García,ESP,FW,28.0,33.3,86,2.58,67,5,3,5,4,2,7,0.21,4,1,0,1,0,1
ESP-La Liga,2122,Rayo Vallecano,Óscar Trejo,ARG,MF,33.0,22.3,105,4.71,54,30,3,4,9,5,11,0.49,9,1,0,0,0,1
ESP-La Liga,2122,Rayo Vallecano,Óscar Valentín,ESP,MF,26.0,28.5,29,1.02,25,0,0,2,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Andriy Lunin,UKR,GK,22.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Blanco,ESP,MF,21.0,0.3,1,2.9,1,0,0,0,0,0,1,2.9,1,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Casemiro,BRA,MF,29.0,28.5,63,2.21,56,0,0,1,2,4,11,0.39,8,0,0,1,1,1
ESP-La Liga,2122,Real Madrid,Dani Carvajal,ESP,DF,29.0,17.2,38,2.21,35,0,1,0,0,2,6,0.35,5,0,1,0,0,0
ESP-La Liga,2122,Real Madrid,Dani Ceballos,ESP,MF,24.0,3.1,13,4.24,11,0,0,2,0,0,2,0.65,1,0,0,1,0,0
ESP-La Liga,2122,Real Madrid,David Alaba,AUT,DF,29.0,29.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0
ESP-La Liga,2122,Real Madrid,Eden Hazard,BEL,"FW,MF",30.0,8.0,44,5.52,36,0,4,0,4,0,1,0.13,1,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Eduardo Camavinga,FRA,MF,18.0,13.7,31,2.26,26,0,1,0,2,2,3,0.22,3,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Federico Valverde,URU,MF,23.0,20.4,64,3.14,52,1,4,3,1,3,4,0.2,4,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Ferland Mendy,FRA,DF,26.0,19.3,53,2.75,48,2,2,0,1,0,3,0.16,2,0,0,0,1,0
ESP-La Liga,2122,Real Madrid,Gareth Bale,WAL,FW,32.0,3.1,1,0.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Isco,ESP,"MF,FW",29.0,3.7,19,5.17,15,1,0,1,2,0,2,0.54,2,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Jesús Vallejo,ESP,DF,24.0,3.8,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Karim Benzema,FRA,FW,33.0,28.8,124,4.3,103,0,13,6,2,0,21,0.73,16,0,4,1,0,0
ESP-La Liga,2122,Real Madrid,Latasa,ESP,FW,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Lucas Vázquez,ESP,DF,30.0,20.4,59,2.9,47,5,3,1,3,0,2,0.1,2,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Luka Jović,SRB,FW,23.0,4.1,12,2.93,8,1,1,2,0,0,3,0.73,3,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Luka Modrić,CRO,MF,35.0,22.6,73,3.23,58,8,3,3,0,1,11,0.49,8,1,0,2,0,0
ESP-La Liga,2122,Real Madrid,Marcelo,BRA,DF,33.0,5.8,14,2.4,13,0,0,0,0,1,2,0.34,2,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Marco Asensio,ESP,"FW,MF",25.0,19.2,65,3.38,41,10,3,8,2,1,7,0.36,3,0,1,2,0,1
ESP-La Liga,2122,Real Madrid,Mariano,DOM,FW,27.0,3.8,10,2.63,7,0,2,0,0,1,2,0.53,1,0,0,0,0,1
ESP-La Liga,2122,Real Madrid,Mario Gila,ESP,DF,20.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Miguel Gutiérrez,ESP,DF,20.0,2.9,5,1.73,5,0,0,0,0,0,2,0.69,2,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Nacho,ESP,DF,31.0,17.3,18,1.04,17,0,0,1,0,0,2,0.12,2,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Opponent Total,,,27.6,38.0,680,17.89,476,66,41,34,38,25,48,1.26,32,3,3,3,4,3
ESP-La Liga,2122,Real Madrid,Peter González,DOM,"MF,DF",19.0,0.3,5,16.67,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Rodrygo,BRA,FW,20.0,16.9,65,3.84,40,6,9,2,7,1,11,0.65,8,0,1,1,1,0
ESP-La Liga,2122,Real Madrid,Sergio Santos,ESP,DF,20.0,0.1,2,16.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Squad Total,,,27.7,38.0,1115,29.34,863,64,71,44,49,24,139,3.66,105,2,10,10,7,5
ESP-La Liga,2122,Real Madrid,Thibaut Courtois,BEL,GK,29.0,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
ESP-La Liga,2122,Real Madrid,Toni Kroos,GER,MF,31.0,23.4,84,3.59,55,26,2,0,0,1,4,0.17,3,1,0,0,0,0
ESP-La Liga,2122,Real Madrid,Vinicius Júnior,BRA,FW,21.0,29.9,170,5.69,119,1,21,7,19,3,25,0.84,18,0,3,0,3,1
ESP-La Liga,2122,Real Madrid,Éder Militão,BRA,DF,23.0,33.7,32,0.95,23,1,0,3,3,2,5,0.15,2,0,0,1,1,1
ESP-La Liga,2122,Real Sociedad,Adnan Januzaj,BEL,"FW,MF",26.0,18.1,66,3.66,34,18,5,7,2,0,6,0.33,1,0,1,3,1,0
