,,,,Nation,Pos,Age,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,12.0,582,511,71,39,1,135,47,19,19,7,6,2,351,75,156,28,525,16,6,2,443,2,17,20,16
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,4.1,113,95,18,5,0,29,6,4,3,1,1,0,63,23,27,8,85,14,2,0,83,0,4,4,4
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,0.6,24,24,0,0,1,7,0,2,0,0,0,0,15,3,6,2,17,3,0,0,16,0,1,2,1
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,18.0,788,607,181,7,0,78,17,39,1,0,0,0,377,178,233,37,505,53,173,2,563,3,20,31,28
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,9.3,301,283,18,18,0,38,16,0,0,0,0,0,187,32,82,34,222,31,0,1,236,0,12,11,3
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,9.2,162,154,8,0,0,44,1,7,0,0,0,0,107,27,28,19,116,10,1,6,113,2,2,6,11
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,0.2,14,8,6,0,0,4,0,1,0,0,0,0,4,2,8,0,6,1,6,0,10,0,0,0,1
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,11.9,475,355,120,6,0,60,6,16,0,0,0,0,164,125,186,12,286,47,114,1,311,0,14,17,21
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,19866,17762,2104,573,44,2982,686,512,231,50,108,5,12681,2669,4516,5590,11448,937,955,291,15557,82,374,515,487
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,394,374,20,6,0,80,9,4,1,1,0,0,276,47,71,54,293,24,1,3,281,4,11,18,14
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,1346,1008,338,25,0,214,39,77,12,8,3,0,536,287,523,809,113,79,301,0,914,10,33,43,47
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,0,0,0
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,14117,12145,1972,553,9,2464,603,497,139,53,61,4,7214,2205,4698,3557,7577,1044,826,190,9840,66,398,419,439
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,85,72,13,6,0,17,5,3,0,0,0,0,32,10,43,2,64,8,7,0,55,1,3,3,0
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3,1,0,0,4,0,0,1,0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,587,579,8,5,2,116,8,3,1,1,0,0,401,86,100,267,235,52,2,2,469,3,13,19,16
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,608,498,110,57,1,74,66,30,50,15,28,2,343,54,211,42,509,40,1,2,419,5,20,25,13
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,1216,1130,86,84,0,117,80,2,0,0,0,0,657,118,441,59,964,144,1,2,917,6,34,12,17
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,596,453,143,15,1,59,21,19,0,0,0,0,298,90,208,46,375,32,128,3,422,2,21,10,19
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,432,416,16,1,0,112,23,48,1,0,0,0,218,86,128,68,275,43,10,3,264,1,16,15,29
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,271,219,52,9,0,26,8,7,0,0,0,0,158,43,70,15,196,12,43,0,203,1,12,7,6
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,125,122,3,0,0,39,1,4,0,0,0,0,67,34,24,45,49,10,1,4,77,3,3,2,6
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,1041,1021,20,17,0,163,28,1,0,0,0,0,652,135,254,152,772,77,2,5,803,4,29,30,16
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,944,886,58,57,0,94,43,0,0,0,0,0,662,81,201,111,748,63,1,7,799,2,22,17,10
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,1590,1299,291,105,5,223,71,80,132,26,66,2,1131,169,290,64,1467,24,20,11,1246,13,25,62,28
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,685,666,19,0,3,192,18,56,0,0,0,0,444,136,105,63,510,34,3,27,446,5,13,46,43
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,1207,920,287,28,0,104,36,48,0,0,0,0,584,254,369,174,711,50,259,3,887,5,24,50,34
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,1203,1119,84,81,0,153,85,8,0,0,0,0,737,127,339,855,199,88,3,8,968,3,34,26,13
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,34,33,1,0,0,7,2,6,1,0,0,0,20,4,10,29,2,3,0,0,20,0,4,1,2
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,82,48,34,8,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,61,0,4,0,0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,1004,784,220,21,0,102,15,36,0,0,0,0,510,225,269,634,84,64,199,2,766,2,25,28,30
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,715,708,7,7,0,149,27,12,0,0,0,0,473,82,160,501,135,47,0,6,561,2,16,27,21
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,465,456,9,1,0,90,7,50,4,1,0,0,328,69,68,94,338,12,4,6,331,4,13,12,31
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,128,120,8,1,0,21,2,7,4,3,1,0,86,21,21,101,19,6,2,0,89,2,2,10,9
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,503,498,5,2,1,93,13,15,1,1,0,0,369,50,84,47,419,24,2,3,391,0,15,19,11
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,461,449,12,1,3,110,9,10,1,0,0,0,343,55,63,41,382,15,3,8,356,1,13,27,13
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,18885,16913,1972,551,10,2547,833,532,161,59,55,10,12016,2539,4330,5498,10898,765,855,280,14845,61,376,468,458
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,594,586,8,1,6,156,13,19,0,0,0,0,275,151,168,94,339,86,1,7,373,2,30,25,19
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,17286,15277,2009,565,25,2511,558,532,224,51,98,6,10745,2459,4082,3971,10746,857,879,312,13152,78,431,579,454
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,349,337,12,11,0,40,12,1,0,0,0,0,258,20,71,59,255,19,1,1,301,0,11,5,3
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,933,625,308,66,1,43,21,0,0,0,0,0,484,34,415,78,639,2,0,182,679,3,31,8,3
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,1311,1265,46,33,1,202,40,28,9,2,5,0,886,143,282,134,1100,48,0,4,1020,8,32,45,32
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,996,946,50,49,0,110,43,2,0,0,0,0,687,98,211,74,806,65,1,7,825,2,22,14,15
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,641,522,119,17,0,96,20,29,0,0,0,0,379,140,122,459,33,28,102,3,509,4,11,26,18
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,867,761,106,25,4,172,29,73,72,18,26,4,504,129,234,67,715,35,7,5,559,9,22,44,47
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,1133,883,250,25,1,122,14,40,0,0,0,0,656,258,219,50,788,45,225,3,879,3,18,48,44
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,710,667,43,9,5,156,21,17,22,12,4,2,481,118,111,531,105,33,6,10,560,5,10,27,16
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,27,18,9,0,0,4,0,0,0,0,0,0,13,9,5,2,15,1,9,0,22,0,0,0,2
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,793,759,34,31,0,95,26,0,0,0,0,0,546,85,162,92,585,67,3,8,659,6,15,19,12
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,1008,996,12,12,1,202,54,1,0,0,0,0,755,93,160,793,141,35,0,6,880,5,18,25,8
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,3,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,2,0,0,0,1
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,650,617,33,27,1,93,25,8,2,0,1,0,472,69,109,103,490,29,4,5,555,1,12,24,7
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,1095,701,394,111,0,53,22,0,0,0,0,0,409,46,640,41,827,2,0,150,638,2,41,14,0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,45,45,0,0,0,12,0,1,0,0,0,0,32,3,10,2,37,2,0,0,35,0,1,3,0
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,916,872,44,43,0,74,33,1,0,0,0,0,690,58,168,125,701,56,1,11,820,3,6,10,3
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,460,427,33,9,4,106,15,18,2,1,0,0,301,69,90,38,375,17,9,5,342,4,10,27,12
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,773,645,128,9,1,67,29,27,6,0,6,0,397,198,178,39,552,40,113,2,612,2,10,32,16
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,1761,1708,53,38,1,228,39,23,8,0,7,0,1276,206,279,136,1542,56,7,10,1508,7,18,56,33
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,497,463,34,0,2,123,10,9,0,0,0,0,298,120,79,72,361,27,0,18,363,5,5,33,22
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,1321,1158,163,1,0,185,23,74,0,0,0,0,884,244,193,65,1035,38,161,6,1060,6,18,45,50
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,1309,1202,107,27,0,127,69,15,0,0,0,0,873,183,253,912,208,62,80,7,1125,4,26,28,19
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,233,218,15,1,3,68,3,8,0,0,0,0,156,42,35,25,160,15,2,13,167,0,3,14,12
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,18718,16865,1853,531,15,2500,660,367,150,65,63,5,12700,2285,3733,5145,11268,868,730,237,15026,34,370,478,392
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,668,570,98,12,0,74,10,8,0,0,0,0,428,109,131,436,93,38,86,3,543,0,17,11,10
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,640,537,103,11,0,90,13,41,2,0,0,0,376,137,127,437,65,28,90,3,502,0,13,16,24
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,1420,1282,138,71,6,261,96,36,45,8,30,2,923,181,316,30,1330,25,19,5,1125,8,32,54,37
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,119,98,21,0,0,17,2,3,0,0,0,0,64,37,18,73,16,3,21,0,96,0,4,1,2
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,19178,17241,1937,543,33,2689,636,485,201,68,82,5,12560,2642,3976,4944,11832,760,829,288,15299,78,354,592,432
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,1378,1331,47,41,0,151,56,2,0,0,0,0,969,130,279,95,1136,86,6,3,1148,3,30,29,17
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,810,728,82,23,2,120,30,54,41,14,13,1,549,106,155,636,120,19,18,4,637,3,12,30,23
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,1284,1069,215,63,6,170,40,82,58,28,16,0,891,183,210,135,1009,34,93,5,977,11,33,44,48
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,655,626,29,1,1,128,13,27,15,5,5,0,471,103,81,100,521,16,2,9,483,2,10,34,37
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,601,500,101,3,0,84,7,29,0,0,0,0,304,110,187,24,407,31,98,4,439,1,10,16,21
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,189,184,5,1,0,35,4,21,1,0,0,0,141,25,23,28,150,4,3,2,138,0,0,11,9
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,172,170,2,0,0,21,6,35,0,0,0,0,107,25,40,21,146,0,2,0,123,0,5,9,9
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,152,146,6,2,0,10,0,3,0,0,0,0,137,8,7,136,10,1,4,0,140,0,0,1,2
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,14,13,1,0,0,2,0,0,0,0,0,0,12,1,1,1,12,0,1,0,12,0,0,0,1
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,164,154,10,3,0,27,2,4,4,0,1,0,136,21,7,23,138,0,2,0,136,2,1,10,5
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,99,98,1,1,0,32,7,0,0,0,0,0,71,17,11,81,12,2,0,1,85,0,0,5,2
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,815,799,16,11,1,63,27,0,0,0,0,0,670,51,94,677,85,30,5,0,740,1,5,19,8
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,1083,923,160,33,4,119,60,37,35,8,17,5,735,141,207,117,850,13,92,5,920,4,12,26,10
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,69,55,14,0,0,10,1,2,0,0,0,0,48,16,5,3,51,0,14,1,58,0,0,4,3
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,1666,1614,52,34,1,116,50,0,0,0,0,0,1447,88,131,217,1358,50,15,4,1550,2,16,20,13
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,587,567,20,4,1,85,10,16,2,0,0,0,470,67,50,56,501,15,5,2,495,2,7,24,21
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,1680,1642,38,25,9,308,47,22,7,3,3,0,1376,150,154,95,1513,38,5,3,1511,8,18,28,22
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,1270,1250,20,7,12,184,29,34,2,0,0,0,1055,105,110,233,967,37,10,2,1115,5,14,17,38
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,1664,1607,57,46,0,148,79,0,0,0,0,0,1303,100,261,98,1424,78,5,4,1508,4,15,21,6
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,53,53,0,0,0,9,1,5,0,0,0,0,45,3,5,49,3,1,0,0,45,0,0,1,2
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,2770,2422,348,84,9,186,51,104,1,0,0,0,1896,467,407,2140,289,61,262,4,2336,12,26,76,66
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,121,113,8,1,0,15,1,4,0,0,0,0,83,25,13,16,98,4,2,0,98,1,0,2,7
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,190,180,10,0,0,58,0,0,0,0,0,0,131,33,26,41,114,12,0,4,141,2,0,10,4
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,1280,1023,257,53,1,106,26,0,0,0,0,0,903,47,330,258,857,0,0,148,1112,4,15,13,2
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,57,55,2,1,0,13,1,1,0,0,0,0,40,12,5,8,43,2,1,1,46,0,0,3,1
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,965,808,157,37,4,148,52,61,89,30,23,4,699,86,180,117,800,18,5,12,725,7,21,39,33
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,130,102,28,6,0,28,5,0,0,0,0,0,73,3,54,12,98,0,0,18,106,0,3,0,0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,687,671,16,12,2,120,9,3,0,0,0,0,595,53,39,27,623,24,3,5,620,3,7,9,9
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,13876,12060,1816,578,19,2340,441,310,128,51,52,2,8511,1976,3389,3970,8014,597,643,205,10575,71,314,437,433
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,822,754,68,9,6,87,40,96,47,16,24,0,591,85,146,361,433,10,12,1,609,3,16,27,38
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,613,588,25,5,2,113,19,5,16,4,7,2,486,48,79,108,487,7,4,5,521,4,3,24,18
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,328,308,20,7,0,48,12,9,9,3,4,0,250,41,37,16,302,2,4,3,275,1,7,8,5
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,244,223,21,0,1,57,0,9,0,0,0,0,180,36,28,29,201,4,1,2,184,0,2,17,4
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,454,447,7,6,0,48,8,1,1,0,0,0,407,23,24,22,428,1,0,3,420,0,4,12,8
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,1643,1554,89,43,1,138,54,5,0,0,0,0,1326,102,215,128,1379,46,44,5,1485,3,17,25,6
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,50,47,3,0,0,5,3,0,0,0,0,0,34,4,12,38,5,2,3,0,42,0,1,0,1
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,268,248,20,9,0,31,2,7,0,0,0,0,217,23,28,45,201,10,11,0,241,0,5,4,3
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,43,41,2,0,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,31,0,0,0,0
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,2799,2690,109,105,5,383,105,4,0,0,0,0,2109,252,438,502,2129,96,4,11,2462,17,37,64,23
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,1000,866,134,13,2,96,15,56,0,0,0,0,759,148,93,160,699,14,121,0,880,2,12,18,22
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,24990,23179,1811,567,63,2949,740,577,219,64,79,11,19206,2411,3373,6029,17032,603,710,249,21651,87,280,566,414
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,85,74,11,2,0,18,0,1,5,0,0,0,67,12,6,72,5,2,4,1,77,0,2,2,1
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,758,684,74,7,1,67,14,28,0,0,0,0,578,83,97,84,589,16,66,1,660,0,9,16,12
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,340,313,27,3,0,54,3,18,0,0,0,0,251,53,36,22,278,12,24,1,262,5,9,8,17
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,934,885,49,35,0,102,44,4,1,0,1,0,627,116,191,760,94,47,13,7,782,4,25,19,9
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,340,306,34,1,3,74,12,6,1,0,0,0,235,61,44,55,250,16,2,3,242,0,5,22,10
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,47,43,4,0,0,4,2,3,0,0,0,0,34,6,7,34,7,1,4,0,43,0,0,0,1
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,507,337,170,72,0,41,26,0,0,0,0,0,194,27,286,40,390,1,0,51,325,3,14,8,3
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,363,355,8,1,0,63,6,14,3,1,2,0,266,60,37,76,265,12,4,2,280,1,1,19,15
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,55,55,0,0,0,12,0,1,0,0,0,0,42,6,7,45,7,1,0,1,45,0,0,0,3
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,1039,982,57,54,0,89,24,2,0,0,0,0,819,67,153,157,772,61,3,5,911,4,16,8,6
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,1435,1374,61,57,0,222,53,3,0,0,0,0,1044,169,222,113,1204,84,4,5,1243,1,15,29,24
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,1064,868,196,16,1,126,14,36,0,0,0,0,616,241,207,85,737,40,180,3,813,2,15,45,50
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,269,231,38,10,0,39,16,15,25,5,12,1,187,26,56,9,243,11,3,1,210,0,6,8,7
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,515,409,106,11,0,48,7,28,0,0,0,0,290,102,123,381,13,16,95,1,394,3,10,22,14
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,520,500,20,3,0,99,13,9,1,0,1,0,346,98,76,53,398,29,15,9,417,0,10,29,16
