,,,,Nation,Pos,Age,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,363,497,73.0,5943,937,199,260,76.5,116,149,77.9,40,54,74.1,2,1.7,0.3,15,21,14,3,29
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,1060,1321,80.2,16938,4974,584,661,88.4,352,445,79.1,89,140,63.6,2,2.8,-0.8,25,51,26,12,69
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,1125,1309,85.9,23019,8169,430,461,93.3,489,538,90.9,195,281,69.4,1,0.6,0.4,8,90,11,2,84
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,167,233,71.7,2417,532,98,121,81.0,50,64,78.1,10,20,50.0,4,2.2,1.8,8,8,11,0,23
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,15026,18718,80.3,302088,95075,5913,6713,88.1,6422,7353,87.3,2444,3998,61.1,28,19.2,8.8,245,1035,207,51,1089
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,543,668,81.3,9073,3862,251,273,91.9,245,290,84.5,35,83,42.2,0,0.1,-0.1,3,34,4,0,33
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,502,640,78.4,8267,2309,258,292,88.4,191,233,82.0,38,79,48.1,2,1.9,0.1,11,19,9,5,25
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,1125,1420,79.2,23080,7494,453,512,88.5,428,490,87.3,213,356,59.8,1,4.1,-3.1,52,153,41,7,149
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,96,119,80.7,1728,439,44,47,93.6,36,48,75.0,15,20,75.0,1,0.1,0.9,1,4,0,0,5
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,15299,19178,79.8,290201,97041,6717,7547,89.0,6008,6997,85.9,2187,3823,57.2,45,38.0,7.0,343,1107,336,75,1250
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,1148,1378,83.3,25360,7977,340,386,88.1,563,614,91.7,232,349,66.5,0,0.1,-0.1,2,75,1,0,80
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,637,810,78.6,11003,3308,323,367,88.0,212,259,81.9,84,144,58.3,5,3.1,1.9,32,48,35,14,74
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,977,1284,76.1,15383,5155,553,635,87.1,315,402,78.4,76,174,43.7,6,6.2,-0.2,55,54,47,10,94
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,483,655,73.7,6814,1524,292,355,82.3,134,178,75.3,27,55,49.1,5,3.5,1.5,24,29,20,2,47
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,439,601,73.0,7327,2783,226,263,85.9,154,207,74.4,44,99,44.4,2,0.7,1.3,4,23,6,4,37
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,138,189,73.0,1783,282,105,122,86.1,21,34,61.8,7,15,46.7,0,0.6,-0.6,5,2,3,1,9
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,123,172,71.5,2029,462,71,82,86.6,36,60,60.0,11,19,57.9,2,0.7,1.3,7,7,12,8,11
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,140,152,92.1,2156,435,73,73,100.0,58,64,90.6,5,9,55.6,0,0.1,-0.1,1,3,4,1,10
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,12,14,85.7,219,19,5,5,100.0,5,5,100.0,2,3,66.7,0,0.0,0.0,1,1,0,0,0
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,136,164,82.9,1708,284,87,99,87.9,35,42,83.3,4,6,66.7,0,0.7,-0.7,2,2,4,0,7
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,85,99,85.9,1708,345,38,44,86.4,27,30,90.0,17,18,94.4,0,0.0,0.0,0,6,0,0,10
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,740,815,90.8,15935,5227,208,224,92.9,389,399,97.5,138,177,78.0,1,0.6,0.4,2,69,3,0,68
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,920,1083,84.9,16220,5343,469,502,93.4,337,375,89.9,103,182,56.6,3,1.9,1.1,24,101,27,13,60
