,,,,Nation,Pos,Age,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,4.1,0,0,0,4,5,0,4,7,4,0,0,0,15,4,14,22.2
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,0.6,2,0,0,3,1,0,2,0,1,0,0,0,3,2,2,50.0
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,18.0,4,0,0,30,27,1,39,24,23,0,1,0,151,34,39,46.6
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,9.3,2,0,0,8,2,0,0,10,8,0,0,0,78,38,10,79.2
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,9.2,2,0,0,19,23,5,7,2,9,1,0,0,38,16,53,23.2
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50.0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,11.9,2,0,0,11,9,0,16,34,23,0,1,0,118,29,26,52.7
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,79,4,1,544,586,89,512,444,344,3,7,2,3582,819,1040,44.1
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,15.2,2,0,0,28,20,2,4,8,18,0,0,0,111,23,35,39.7
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,29.1,12,1,1,48,44,2,77,68,40,1,1,0,274,68,43,61.3
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,93,4,3,613,513,72,497,544,351,6,9,0,3367,1040,819,55.9
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,2.7,1,0,0,4,4,0,3,5,3,0,0,0,26,5,2,71.4
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,16.0,4,0,0,48,30,0,3,25,25,0,0,0,180,34,28,54.8
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,15.4,2,0,0,34,12,0,30,26,18,0,1,0,155,19,21,47.5
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,33.8,9,0,0,27,7,4,2,44,17,0,0,0,352,84,56,60.0
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,15.0,4,1,0,16,26,2,19,31,13,0,2,0,112,26,22,54.2
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,17.9,6,0,0,55,35,15,48,16,16,0,0,0,107,40,53,43.0
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,4.6,4,0,0,12,12,0,7,10,10,0,0,0,48,6,8,42.9
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,6.1,0,0,0,12,14,3,4,0,3,0,0,0,11,22,15,59.5
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,24.2,9,0,0,51,29,1,1,21,26,0,0,0,275,42,39,51.9
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,22.1,2,0,0,22,20,1,0,38,24,0,0,0,254,34,54,38.6
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,30.9,3,0,0,15,99,5,80,23,21,2,0,0,168,6,12,33.3
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,30.9,4,0,0,28,47,29,56,4,11,0,0,0,109,60,73,45.1
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,21.4,3,0,0,22,12,0,48,37,25,0,0,0,216,23,23,50.0
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,26.0,9,2,1,34,26,2,8,57,18,0,1,0,297,84,59,58.7
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,0.6,2,0,0,4,1,0,6,0,0,0,0,0,11,1,0,100.0
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,22.5,2,0,0,26,18,1,36,52,36,0,0,0,201,36,29,55.4
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,15.1,7,2,2,43,18,0,12,28,13,0,1,0,177,42,26,61.8
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,14.9,4,0,0,27,31,10,50,12,15,1,0,0,94,11,15,42.3
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,3.5,0,0,0,8,8,1,7,6,7,0,0,0,32,1,7,12.5
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,13.0,5,0,0,24,17,1,15,18,9,1,0,0,105,8,19,29.6
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,15.8,2,0,0,21,30,5,10,7,11,0,0,0,63,16,44,26.7
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,105,9,4,591,536,67,532,610,387,2,7,3,3225,702,697,50.2
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,20.0,3,0,0,50,35,11,19,17,18,0,0,0,105,78,85,47.9
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,90,4,3,567,566,88,532,496,372,5,3,1,3390,697,702,49.8
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,6.9,2,0,0,10,8,0,1,10,5,0,1,0,78,21,11,65.6
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,3,0,0,0,2,0,0,0,0,0,0,1,155,0,0,
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,26.5,4,0,0,36,40,0,28,25,19,1,0,0,278,32,41,43.8
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,20.7,6,0,0,25,16,1,2,54,19,0,0,0,253,70,46,60.3
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,11.3,3,0,0,8,22,0,29,28,18,0,0,0,117,27,15,64.3
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,24.1,8,0,0,55,51,14,73,24,31,0,0,0,158,50,67,42.7
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,18.7,5,0,0,33,10,3,40,25,33,0,0,0,170,27,14,65.9
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,18.8,3,0,0,19,33,10,17,18,20,0,0,0,99,35,50,41.2
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,0.1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,50.0
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,0.5,1,0,0,1,1,1,0,1,0,0,0,0,5,0,2,0.0
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,16.7,5,1,0,27,14,2,0,32,16,0,0,0,205,62,30,67.4
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,20.9,13,2,2,43,48,0,1,55,47,0,0,0,256,42,29,59.2
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,9.5,4,0,0,24,15,1,8,16,16,0,1,0,112,31,23,57.4
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,2,0,0,0,8,0,0,0,0,0,0,0,175,1,0,100.0
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,0.8,1,1,0,3,1,0,1,0,1,0,0,0,8,4,2,66.7
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,22.7,7,0,0,14,24,2,1,23,16,0,0,0,185,47,25,65.3
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,14.0,3,1,1,17,67,9,18,8,5,0,0,0,56,24,27,47.1
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,10.8,1,0,0,16,6,4,27,13,13,0,0,0,101,33,15,68.8
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,27.9,6,0,0,36,33,0,23,30,31,0,0,0,231,16,28,36.4
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,20.4,7,0,0,23,27,12,9,3,4,2,1,0,64,27,34,44.3
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,27.2,5,0,0,30,27,7,74,42,33,0,1,0,216,25,29,46.3
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,20.7,6,1,0,26,14,1,15,36,15,0,0,1,205,61,28,68.5
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,11.8,3,0,0,28,32,1,8,8,17,2,1,0,56,29,85,25.4
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,102,4,1,627,505,36,367,613,379,3,5,2,2931,633,665,48.8
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,14.4,5,0,0,29,22,0,8,32,22,0,1,0,123,25,21,54.3
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,4,0,0,23,24,3,41,27,17,0,1,0,94,24,28,46.2
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,7,0,0,48,69,1,36,31,30,0,0,0,210,13,28,31.7
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,0,0,0,2,2,1,3,2,4,0,0,0,21,7,1,87.5
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,111,7,3,534,610,85,485,496,394,4,8,2,3213,665,633,51.2
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,12,0,0,34,23,3,2,37,14,0,0,1,267,82,56,59.4
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,2,0,0,14,28,2,54,18,16,0,2,0,117,14,12,53.8
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,5,0,0,31,49,13,82,37,23,0,0,0,205,10,21,32.3
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,3,1,0,28,35,10,27,15,15,0,0,0,109,7,36,16.3
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,4,0,0,17,6,2,29,12,19,0,0,0,92,45,22,67.2
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,4,0,0,17,19,2,21,11,10,0,0,0,37,3,14,17.6
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,0,0,0,8,10,2,35,5,0,0,0,0,28,3,3,50.0
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,0,0,0,5,4,0,3,2,2,0,0,0,15,1,2,33.3
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,0,0,0,10,12,3,4,3,2,1,0,0,13,1,2,33.3
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,0,0,0,2,5,0,0,6,6,0,0,0,9,4,4,50.0
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,4,0,0,20,5,0,0,15,13,0,1,0,97,22,28,44.0
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,2,1,0,30,12,0,37,23,19,0,1,0,111,8,9,47.1
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,0,0,0,3,3,0,2,2,3,0,0,0,5,0,1,0.0
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,5,1,0,36,8,2,0,52,16,0,1,0,159,32,25,56.1
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0.0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,1,0,0,13,23,16,16,8,5,0,0,0,63,13,26,33.3
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,7,1,1,27,52,6,22,31,26,0,0,0,223,32,23,58.2
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,11,1,1,69,83,12,34,34,32,1,0,0,191,34,39,46.6
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,10,1,1,34,16,1,0,35,16,0,0,0,274,89,43,67.4
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,0,0,0,4,5,0,5,0,0,0,0,0,10,0,2,0.0
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,11,0,0,28,25,11,104,48,25,0,0,0,271,18,30,37.5
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,1,0,0,5,9,1,4,2,2,0,0,0,10,4,3,57.1
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,1,0,0,9,15,6,0,3,10,0,0,0,31,36,22,62.1
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,3,0,0,0,7,0,0,0,0,0,0,0,129,0,0,
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,0,0,0,5,2,2,1,0,1,0,0,0,11,3,6,33.3
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,3,0,0,25,55,13,61,6,7,3,0,0,92,18,24,42.9
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,6,0,0,41,29,1,3,9,26,0,0,0,93,8,12,40.0
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,93,5,1,645,522,78,310,596,433,2,7,0,2625,482,531,47.6
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,3,0,0,11,27,4,96,13,19,0,0,0,78,5,8,38.5
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,0,0,0,2,18,0,5,11,12,0,0,0,85,4,7,36.4
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,1,0,0,8,18,2,9,6,5,1,0,0,26,2,4,33.3
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,0,0,0,7,7,7,9,5,2,0,0,0,31,9,16,36.0
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,0,0,0,9,15,0,1,5,3,0,0,0,42,0,4,0.0
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,6,0,0,24,13,1,5,37,33,0,0,0,209,72,26,73.5
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,1,0,0,0,1,1,0,1,2,0,0,0,10,2,3,40.0
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,1,0,0,2,4,1,7,2,6,0,0,0,38,2,3,40.0
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,12,0,0,69,83,2,4,57,72,0,0,0,422,80,66,54.8
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,2,0,0,17,27,1,56,17,24,0,0,0,109,11,14,44.0
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,97,5,3,555,624,99,577,464,414,6,3,0,3026,531,482,52.4
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,0,0,0,1,4,0,1,0,1,0,0,0,18,1,2,33.3
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,2,0,0,12,5,1,28,13,12,0,0,0,66,10,7,58.8
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,6,0,0,25,20,1,18,16,15,0,0,0,54,5,22,18.5
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,4,0,0,25,24,0,4,27,22,0,1,0,160,20,27,42.6
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,4,0,0,26,33,8,6,7,4,2,0,0,48,24,52,31.6
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,0,0,0,2,1,0,3,1,1,0,0,0,5,1,2,33.3
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,2,0,0,1,1,0,0,0,0,0,1,0,68,1,0,100.0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,2,0,0,13,6,4,14,11,8,0,0,0,70,5,7,41.7
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,0,0,0,4,1,0,1,0,2,0,0,0,13,1,5,16.7
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,5,1,0,30,8,2,2,49,20,0,0,1,170,76,36,67.9
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,9,1,1,58,62,3,3,50,57,0,0,0,300,33,17,66.0
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,2,1,0,25,12,2,36,23,19,0,0,1,166,34,19,64.2
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,0,0,0,1,9,0,15,6,4,0,0,0,41,3,12,20.0
ESP-La Liga,2122,Betis,Juan Miranda,ESP,DF,21.0,8.7,3,0,0,15,16,0,28,13,13,0,0,0,68,17,19,47.2
ESP-La Liga,2122,Betis,Juanmi,ESP,FW,28.0,23.7,5,0,0,45,20,18,9,17,29,1,0,0,125,27,51,34.6
ESP-La Liga,2122,Betis,Kike Hermoso,ESP,DF,21.0,1.0,0,0,0,1,0,0,0,1,2,0,0,0,6,5,3,62.5
ESP-La Liga,2122,Betis,Loren Morón,ESP,FW,27.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
ESP-La Liga,2122,Betis,Marc Bartra,ESP,DF,30.0,22.1,5,0,0,22,19,0,0,43,20,0,0,0,206,79,37,68.1
ESP-La Liga,2122,Betis,Martín Montoya,ESP,DF,30.0,5.8,2,0,0,11,11,0,11,12,9,0,0,0,47,9,6,60.0
ESP-La Liga,2122,Betis,Nabil Fekir,FRA,MF,28.0,31.0,7,1,0,71,117,9,63,16,34,0,0,0,173,30,65,31.6
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,74,3,1,588,526,129,503,560,384,3,6,1,3001,627,601,51.1
ESP-La Liga,2122,Betis,Paul Akouokou,CIV,MF,23.0,5.7,2,1,0,14,3,0,0,12,12,0,0,0,55,9,1,90.0
ESP-La Liga,2122,Betis,Raúl,ESP,FW,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
ESP-La Liga,2122,Betis,Roberto González,ESP,"FW,MF",20.0,1.5,0,0,0,2,4,0,2,2,2,0,0,0,4,1,1,50.0
ESP-La Liga,2122,Betis,Rodrigo,ESP,FW,21.0,9.8,1,0,0,3,18,1,16,3,7,0,0,0,61,2,11,15.4
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,2,0,0,1,3,0,0,0,0,0,1,0,101,0,0,
ESP-La Liga,2122,Betis,Sergio Canales,ESP,"FW,MF",30.0,31.0,6,0,0,28,49,11,43,19,27,0,0,0,240,16,45,26.2
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,87,6,1,548,564,71,371,510,428,4,3,2,3070,601,627,48.9
ESP-La Liga,2122,Betis,Víctor Camarasa,ESP,"MF,FW",27.0,1.2,0,0,0,2,3,0,0,3,1,0,0,0,13,2,0,100.0
ESP-La Liga,2122,Betis,Víctor Ruiz,ESP,DF,32.0,15.8,2,0,0,13,2,2,0,42,6,0,0,0,172,56,25,69.1
ESP-La Liga,2122,Betis,William Carvalho,POR,MF,29.0,20.1,6,0,0,34,38,0,7,22,34,0,0,0,186,35,37,48.6
ESP-La Liga,2122,Betis,Willian José,BRA,FW,29.0,17.8,2,0,0,13,23,6,6,8,13,0,0,0,69,21,44,32.3
ESP-La Liga,2122,Betis,Youssouf Sabaly,SEN,DF,28.0,8.8,1,0,0,5,10,1,10,19,7,0,0,0,68,13,9,59.1
ESP-La Liga,2122,Betis,Álex Moreno,ESP,DF,28.0,26.7,3,1,0,35,41,3,74,48,44,1,0,0,253,37,39,48.7
ESP-La Liga,2122,Betis,Édgar González,ESP,DF,24.0,16.3,6,0,0,23,10,0,0,40,16,0,0,0,128,38,34,52.8
ESP-La Liga,2122,Celta Vigo,Augusto Solari,ARG,"MF,DF",29.0,7.9,5,0,0,23,12,1,34,15,19,0,0,0,96,6,12,33.3
ESP-La Liga,2122,Celta Vigo,Brais Méndez,ESP,MF,24.0,33.6,8,0,0,89,60,9,40,53,38,0,0,0,260,60,59,50.4
ESP-La Liga,2122,Celta Vigo,Carlos Dominguez,ESP,DF,20.0,3.8,1,0,0,3,5,0,0,7,5,0,1,0,34,12,6,66.7
ESP-La Liga,2122,Celta Vigo,Denis Suárez,ESP,MF,27.0,31.3,4,0,0,55,45,1,46,21,38,0,1,0,282,18,27,40.0
ESP-La Liga,2122,Celta Vigo,Fran Beltrán,ESP,MF,22.0,28.9,4,0,0,22,30,0,9,54,49,0,0,0,331,23,49,31.9
ESP-La Liga,2122,Celta Vigo,Franco Cervi,ARG,MF,27.0,20.0,5,0,0,24,47,2,38,40,46,1,0,0,178,18,40,31.0
ESP-La Liga,2122,Celta Vigo,Gabriel Veiga,ESP,MF,19.0,1.2,0,0,0,0,5,0,3,3,3,0,0,0,22,2,9,18.2
ESP-La Liga,2122,Celta Vigo,Hugo Mallo,ESP,DF,30.0,20.3,5,2,1,40,7,6,64,34,28,0,0,0,176,54,31,63.5
ESP-La Liga,2122,Celta Vigo,Hugo Sotelo,ESP,MF,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Celta Vigo,Hugo Álvarez,ESP,FW,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2122,Celta Vigo,Iago Aspas,ESP,FW,33.0,34.3,9,0,0,26,64,20,86,21,7,0,1,0,193,35,62,36.1
ESP-La Liga,2122,Celta Vigo,Javi Galán,ESP,DF,26.0,36.6,8,0,0,68,81,11,122,71,77,0,0,0,273,30,48,38.5
ESP-La Liga,2122,Celta Vigo,Jeison Murillo,COL,DF,29.0,12.4,5,1,0,13,14,0,0,15,7,0,1,0,121,34,26,56.7
ESP-La Liga,2122,Celta Vigo,Joseph Aidoo,GHA,DF,25.0,29.3,1,0,0,11,19,1,2,55,41,0,0,1,281,77,51,60.2
ESP-La Liga,2122,Celta Vigo,José Fontán,ESP,DF,21.0,3.1,3,0,0,8,0,0,4,9,4,0,1,0,23,7,0,100.0
ESP-La Liga,2122,Celta Vigo,Kevin Vázquez,ESP,DF,28.0,14.8,3,0,0,28,23,0,36,39,24,0,1,0,134,20,30,40.0
