,,,,Nation,Pos,Age,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,13.1,32,17,15,13,4,14,31,45.2,17,184,65,35.3,68,69,47,30,4,0,26,27,59,13,0
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,23.9,56,30,22,25,9,23,50,46.0,27,505,123,24.4,138,281,86,35,3,0,32,31,87,19,0
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,2.2,7,4,2,3,2,4,5,80.0,1,50,17,34.0,14,30,6,6,1,0,5,2,9,1,0
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,667,394,304,282,81,262,602,43.5,340,5421,1680,31.0,1708,2425,1288,505,112,1,393,496,1163,669,8
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,27.1,43,14,29,12,2,21,37,56.8,16,221,70,31.7,118,86,17,38,13,0,25,37,80,102,1
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,16.0,26,16,10,12,4,6,19,31.6,13,280,88,31.4,71,136,73,20,1,0,19,18,44,8,0
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,28.7,36,23,16,12,8,22,46,47.8,24,340,108,31.8,105,119,116,23,6,0,17,37,73,16,0
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,20.6,24,15,7,13,4,7,24,29.2,17,406,112,27.6,58,161,187,29,3,0,26,15,39,4,0
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,10.2,32,19,15,13,4,16,24,66.7,8,138,44,31.9,64,52,22,24,4,0,20,12,44,29,0
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,6.4,15,10,9,4,2,5,8,62.5,3,101,33,32.7,28,39,34,6,0,0,6,11,26,0,0
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,4.2,3,0,0,2,1,1,4,25.0,3,39,9,23.1,8,12,19,5,1,0,4,5,8,1,0
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,2.1,4,2,2,1,1,0,0,,0,38,9,23.7,17,12,9,5,2,0,3,2,6,0,0
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,0.3,0,0,0,0,0,0,0,,0,8,2,25.0,1,5,2,0,0,0,0,1,1,0,0
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,3.7,4,2,0,2,2,0,0,,0,71,21,29.6,4,31,36,5,0,0,5,3,7,0,0
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,2.9,9,6,3,6,0,2,6,33.3,4,67,28,41.8,11,38,18,5,0,0,5,6,15,5,0
ESP-La Liga,2122,Barcelona,Clément Lenglet,FRA,DF,26.0,9.2,18,13,12,5,1,6,9,66.7,3,114,51,44.7,53,56,5,12,3,0,9,15,33,19,0
ESP-La Liga,2122,Barcelona,Dani Alves,BRA,DF,38.0,12.2,35,19,16,15,4,14,29,48.3,15,166,44,26.5,63,76,27,18,3,0,15,23,58,8,0
ESP-La Liga,2122,Barcelona,Emerson,BRA,DF,22.0,1.0,4,3,2,2,0,2,4,50.0,2,26,6,23.1,11,11,4,1,0,0,1,2,6,1,0
ESP-La Liga,2122,Barcelona,Eric García,ESP,DF,20.0,22.7,29,16,13,15,1,10,27,37.0,17,216,84,38.9,95,107,14,36,14,0,22,52,81,46,1
ESP-La Liga,2122,Barcelona,Estanis,ESP,FW,17.0,0.1,1,1,0,1,0,1,1,100.0,0,6,3,50.0,2,4,0,0,0,0,0,1,2,0,0
ESP-La Liga,2122,Barcelona,Ferrán Torres,ESP,FW,21.0,15.7,9,5,4,2,3,4,11,36.4,7,189,55,29.1,21,85,83,12,3,0,9,8,17,6,0
ESP-La Liga,2122,Barcelona,Frenkie de Jong,NED,MF,24.0,27.5,35,26,7,18,10,6,23,26.1,17,315,88,27.9,64,175,76,26,4,0,22,31,66,19,0
ESP-La Liga,2122,Barcelona,Gavi Paez,ESP,"MF,FW",16.0,25.7,44,32,12,21,11,14,36,38.9,22,573,149,26.0,123,273,177,47,0,0,47,34,78,17,0
ESP-La Liga,2122,Barcelona,Gerard Piqué,ESP,DF,34.0,23.2,22,16,16,6,0,7,12,58.3,5,164,69,42.1,78,81,5,33,16,0,17,35,57,109,1
ESP-La Liga,2122,Barcelona,Ilias Akhomach,ESP,FW,17.0,1.4,2,0,0,1,1,0,0,,0,7,1,14.3,1,1,5,1,0,0,1,0,2,0,0
ESP-La Liga,2122,Barcelona,Jordi Alba,ESP,DF,32.0,29.4,44,25,12,26,6,22,46,47.8,24,318,99,31.1,103,154,61,56,7,0,49,48,92,38,2
ESP-La Liga,2122,Barcelona,Jutglà,ESP,FW,22.0,3.3,3,2,0,1,2,1,3,33.3,2,45,17,37.8,4,18,23,3,1,0,2,2,5,1,0
ESP-La Liga,2122,Barcelona,Luuk de Jong,NED,FW,30.0,7.3,10,10,0,6,4,1,3,33.3,2,101,51,50.5,7,53,41,3,1,0,2,3,13,10,0
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,0,0,0,0,0,0,2,0.0,2,3,2,66.7,3,0,0,0,0,0,0,0,0,0,4
ESP-La Liga,2122,Barcelona,Martin Braithwaite,DEN,FW,30.0,2.6,1,1,0,0,1,0,0,,0,32,15,46.9,3,10,19,4,0,0,4,0,1,4,0
ESP-La Liga,2122,Barcelona,Memphis Depay,NED,FW,27.0,20.6,12,7,3,3,6,2,10,20.0,8,210,62,29.5,14,85,111,13,2,0,11,6,18,3,0
ESP-La Liga,2122,Barcelona,Mika Màrmol,ESP,DF,19.0,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Barcelona,Nicolás González,ESP,MF,19.0,12.4,35,26,11,18,6,12,27,44.4,15,279,84,30.1,62,164,53,14,0,0,14,9,44,15,0
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,691,433,352,245,94,247,679,36.4,432,6367,1546,24.3,2095,2961,1311,542,125,4,417,596,1287,763,11
ESP-La Liga,2122,Barcelona,Ousmane Dembélé,FRA,FW,24.0,15.7,26,19,8,11,7,8,23,34.8,15,236,65,27.5,49,102,85,11,0,0,11,13,39,1,0
ESP-La Liga,2122,Barcelona,Pedri,ESP,MF,18.0,9.8,18,12,5,8,5,5,21,23.8,16,216,70,32.4,59,98,59,20,1,0,19,11,29,4,1
ESP-La Liga,2122,Barcelona,Philippe Coutinho,BRA,"MF,FW",29.0,5.6,8,5,2,3,3,3,8,37.5,5,63,16,25.4,12,28,23,8,0,0,8,6,14,1,1
ESP-La Liga,2122,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,32.0,12.0,2,2,0,1,1,0,2,0.0,2,194,42,21.6,7,63,124,17,3,0,14,5,7,3,0
ESP-La Liga,2122,Barcelona,Riqui Puig,ESP,MF,21.0,5.4,5,3,1,4,0,0,7,0.0,7,89,21,23.6,12,52,25,1,0,0,1,5,10,0,0
ESP-La Liga,2122,Barcelona,Ronald Araújo,URU,DF,22.0,25.2,49,33,37,11,1,23,30,76.7,7,220,85,38.6,117,92,11,50,21,1,29,37,86,78,2
ESP-La Liga,2122,Barcelona,Samuel Umtiti,FRA,DF,27.0,1.0,2,2,1,1,0,2,3,66.7,1,7,5,71.4,4,3,0,2,1,0,1,1,3,2,0
ESP-La Liga,2122,Barcelona,Sergi Roberto,ESP,"MF,DF",29.0,4.4,10,6,4,3,3,2,5,40.0,3,41,11,26.8,9,20,12,3,0,0,3,2,12,4,0
ESP-La Liga,2122,Barcelona,Sergio Agüero,ARG,FW,33.0,1.7,1,1,0,0,1,0,1,0.0,1,18,4,22.2,0,8,10,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Barcelona,Sergio Busquets,ESP,MF,33.0,35.5,95,72,34,49,12,46,85,54.1,39,633,217,34.3,185,343,105,58,8,0,50,57,152,51,0
ESP-La Liga,2122,Barcelona,Sergiño Dest,USA,"DF,FW",20.0,16.8,36,24,22,10,4,19,28,67.9,9,237,82,34.6,105,77,55,26,4,0,22,17,53,14,0
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,618,414,251,268,99,233,504,46.2,271,5218,1667,31.9,1425,2438,1355,526,96,1,430,464,1082,482,13
ESP-La Liga,2122,Barcelona,Yusuf Demir,AUT,FW,18.0,2.1,2,1,2,0,0,0,4,0.0,4,39,19,48.7,17,13,9,5,0,0,5,0,2,1,0
ESP-La Liga,2122,Barcelona,Óscar Mingueza,ESP,DF,22.0,9.9,25,12,13,12,0,15,26,57.7,11,137,48,35.0,73,49,15,20,1,0,19,13,38,21,1
ESP-La Liga,2122,Betis,Aitor Ruibal,ESP,"FW,DF",25.0,9.5,24,15,14,5,5,9,31,29.0,22,198,53,26.8,65,83,50,14,0,0,14,16,40,4,0
ESP-La Liga,2122,Betis,Andrés Guardado,MEX,MF,34.0,15.5,33,22,15,17,1,18,31,58.1,13,212,51,24.1,76,117,19,26,5,0,21,27,60,30,1
ESP-La Liga,2122,Betis,Borja Iglesias,ESP,FW,28.0,17.5,6,4,1,1,4,2,8,25.0,6,260,46,17.7,14,98,148,9,1,0,8,7,13,5,0
ESP-La Liga,2122,Betis,Calderón,ESP,DF,21.0,0.7,1,1,1,0,0,0,2,0.0,2,2,0,0.0,1,0,1,2,0,0,2,1,2,1,0
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Betis,Cristian Tello,ESP,"FW,MF",29.0,9.1,15,8,7,5,3,11,28,39.3,17,173,39,22.5,47,77,49,14,0,0,14,11,26,6,0
ESP-La Liga,2122,Betis,Diego Lainez,MEX,FW,21.0,1.6,2,2,0,1,1,1,4,25.0,3,35,8,22.9,6,17,12,3,0,0,3,0,2,0,0
ESP-La Liga,2122,Betis,Germán Pezzella,ARG,DF,30.0,22.1,29,20,23,5,1,12,28,42.9,16,152,49,32.2,92,57,3,39,17,0,22,49,78,105,1
ESP-La Liga,2122,Betis,Guido Rodríguez,ARG,MF,27.0,28.1,90,57,46,40,4,40,85,47.1,45,636,173,27.2,237,345,54,61,12,0,49,50,140,58,0
ESP-La Liga,2122,Betis,Héctor Bellerín,ESP,DF,26.0,22.0,45,19,24,16,5,31,48,64.6,17,222,65,29.3,87,95,40,30,2,0,28,23,68,64,2
ESP-La Liga,2122,Betis,Joaquín,ESP,"FW,MF",40.0,5.2,5,4,3,2,0,3,6,50.0,3,50,19,38.0,21,17,12,9,2,0,7,6,11,6,0
