,,,,Nation,Pos,Age,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23.0,11.0,11,7,3,5,3,1,10,10.0,9,120,34,28.3,40,53,27,10,1,0,9,3,14,9,0
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33.0,2.7,3,3,2,1,0,2,3,66.7,1,27,6,22.2,11,14,2,7,1,0,6,4,7,6,0
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24.0,11.6,8,5,1,5,2,3,3,100.0,0,158,35,22.2,14,67,77,15,5,0,10,9,17,3,0
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23.0,25.8,34,22,16,13,5,16,48,33.3,32,551,128,23.2,117,311,123,27,2,0,25,19,53,10,0
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29.0,0.5,0,0,0,0,0,0,1,0.0,1,13,1,7.7,6,6,1,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33.0,30.1,77,50,38,29,10,43,95,45.3,52,522,159,30.5,186,245,91,60,5,0,55,67,144,37,0
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24.0,4.2,4,1,0,3,1,1,6,16.7,5,83,19,22.9,6,39,38,7,1,0,6,3,7,2,0
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1
ESP-La Liga,2122,Getafe,David Timor,ESP,MF,31.0,3.8,1,0,0,1,0,1,3,33.3,2,37,5,13.5,8,22,7,5,3,0,2,4,5,7,1
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Djené,TOG,DF,29.0,34.6,52,36,29,19,4,18,28,64.3,10,297,104,35.0,163,121,13,36,5,0,31,93,145,133,2
ESP-La Liga,2122,Getafe,Emmanuel Amankwaa Akurugu,GHA,DF,19.0,0.9,0,0,0,0,0,0,2,0.0,2,12,4,33.3,6,6,0,3,0,0,3,0,0,0,0
ESP-La Liga,2122,Getafe,Enes Ünal,TUR,FW,24.0,31.1,34,18,2,17,15,7,34,20.6,27,758,171,22.6,44,405,309,31,6,0,25,7,41,32,0
ESP-La Liga,2122,Getafe,Erick Cabaco,URU,DF,26.0,4.5,2,1,1,1,0,2,4,50.0,2,36,10,27.8,17,17,2,8,3,0,5,7,9,20,0
ESP-La Liga,2122,Getafe,Florentino Luís,POR,MF,21.0,11.0,42,27,21,17,4,16,36,44.4,20,283,75,26.5,104,153,26,21,1,0,20,31,73,17,1
ESP-La Liga,2122,Getafe,Gonzalo Villar,ESP,MF,23.0,3.3,7,5,4,2,1,3,7,42.9,4,68,21,30.9,26,34,8,3,1,0,2,3,10,5,0
ESP-La Liga,2122,Getafe,Hugo Duro,ESP,"DF,MF",21.0,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Getafe,Iglesias,ESP,DF,23.0,8.0,21,15,12,9,0,5,18,27.8,13,148,44,29.7,64,61,23,21,2,0,19,18,39,22,0
ESP-La Liga,2122,Getafe,Jaime Mata,ESP,FW,32.0,7.5,10,4,4,2,4,0,5,0.0,5,110,26,23.6,14,46,50,5,2,0,3,5,15,5,0
ESP-La Liga,2122,Getafe,Jakub Jankto,CZE,"DF,MF",25.0,6.5,10,7,6,3,1,7,11,63.6,4,76,24,31.6,24,34,18,8,0,0,8,12,22,11,0
ESP-La Liga,2122,Getafe,Jonathan Silva,ARG,"DF,MF",27.0,2.5,8,2,4,2,2,2,8,25.0,6,59,13,22.0,16,25,18,8,0,0,8,5,13,7,0
ESP-La Liga,2122,Getafe,Jorge Cuenca,ESP,DF,21.0,29.8,54,26,41,12,1,20,30,66.7,10,238,77,32.4,141,91,6,51,18,1,33,60,114,148,1
ESP-La Liga,2122,Getafe,José Juan Macías,MEX,"FW,MF",21.0,2.2,0,0,0,0,0,0,2,0.0,2,46,8,17.4,2,28,16,2,0,0,2,0,0,0,0
ESP-La Liga,2122,Getafe,Marc Cucurella,ESP,"FW,DF",23.0,0.3,1,1,1,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,2,3,0,0
ESP-La Liga,2122,Getafe,Mathías Olivera,URU,DF,23.0,31.1,82,53,39,32,11,39,70,55.7,31,650,208,32.0,242,289,119,85,5,0,80,70,152,76,0
ESP-La Liga,2122,Getafe,Mauro Arambarri,URU,MF,25.0,29.6,64,37,22,32,10,17,57,29.8,40,634,162,25.6,175,385,74,54,5,0,49,47,111,24,1
ESP-La Liga,2122,Getafe,Nemanja Maksimović,SRB,MF,26.0,32.6,64,40,26,30,8,21,57,36.8,36,618,167,27.0,131,354,133,75,13,0,62,64,128,38,0
ESP-La Liga,2122,Getafe,Okay Yokuşlu,TUR,"DF,MF",27.0,5.2,9,7,7,2,0,1,2,50.0,1,40,16,40.0,22,15,3,6,4,0,2,6,15,20,0
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,569,353,237,265,67,208,459,45.3,251,4896,1600,32.7,1515,2358,1023,537,118,0,419,397,966,792,2
ESP-La Liga,2122,Getafe,Sandro Ramírez,ESP,FW,26.0,16.2,12,7,2,6,4,2,10,20.0,8,251,59,23.5,28,117,106,15,4,0,11,5,17,2,0
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,638,388,296,258,84,242,572,42.3,330,6048,1638,27.1,1704,3034,1310,603,104,1,499,606,1244,745,8
ESP-La Liga,2122,Getafe,Stefan Mitrović,SRB,DF,31.0,29.6,17,8,11,6,0,8,13,61.5,5,141,48,34.0,93,43,5,38,17,0,21,41,58,113,1
ESP-La Liga,2122,Getafe,Vitolo,ESP,"MF,FW",31.0,2.5,5,1,1,3,1,2,7,28.6,5,56,16,28.6,13,29,14,1,0,0,1,1,6,1,0
ESP-La Liga,2122,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",23.0,10.5,17,12,6,11,0,6,11,54.5,5,134,31,23.1,30,77,27,11,1,0,10,23,40,6,0
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0
ESP-La Liga,2122,Granada,Adrián Butzke,ESP,FW,22.0,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Granada,Alberto Soro,ESP,"MF,FW",22.0,6.4,15,12,4,7,4,3,9,33.3,6,135,54,40.0,40,67,28,25,2,1,23,7,22,5,0
ESP-La Liga,2122,Granada,Antonio Puertas,ESP,"MF,FW",29.0,25.1,36,21,17,16,3,15,34,44.1,19,362,107,29.6,99,146,117,47,4,0,43,11,47,26,0
ESP-La Liga,2122,Granada,Barcia,ESP,DF,20.0,0.8,0,0,0,0,0,0,0,,0,9,1,11.1,7,2,0,1,1,0,0,2,2,0,0
ESP-La Liga,2122,Granada,Carlos Bacca,COL,FW,34.0,5.7,5,3,2,1,2,1,4,25.0,3,61,17,27.9,10,29,22,8,2,0,6,1,6,5,0
ESP-La Liga,2122,Granada,Carlos Neva,ESP,DF,25.0,23.4,34,22,23,11,0,14,29,48.3,15,223,60,26.9,125,83,15,64,8,0,56,51,85,66,1
ESP-La Liga,2122,Granada,Dani Raba,ESP,"MF,FW",25.0,0.3,2,0,1,0,1,2,3,66.7,1,7,0,0.0,3,2,2,1,0,0,1,2,4,0,0
ESP-La Liga,2122,Granada,Darwin Machís,VEN,"MF,FW",28.0,15.3,28,16,14,10,4,6,16,37.5,10,210,59,28.1,64,85,61,23,0,0,23,23,51,12,0
ESP-La Liga,2122,Granada,Dimitri Foulquier,FRA,DF,28.0,2.0,2,2,2,0,0,1,3,33.3,2,18,3,16.7,3,10,5,1,1,1,0,2,4,4,0
ESP-La Liga,2122,Granada,Domingos Duarte,POR,DF,26.0,18.7,20,9,11,8,1,6,10,60.0,4,122,41,33.6,65,51,6,33,21,1,12,26,46,98,3
ESP-La Liga,2122,Granada,Germán Sánchez,ESP,DF,34.0,25.5,30,16,21,9,0,15,28,53.6,13,172,66,38.4,94,74,4,32,16,1,16,36,66,167,0
ESP-La Liga,2122,Granada,Isma Ruiz,ESP,MF,20.0,3.1,3,1,3,0,0,3,8,37.5,5,76,27,35.5,40,32,4,7,3,0,4,7,10,3,0
ESP-La Liga,2122,Granada,Jorge Molina,ESP,FW,39.0,21.8,10,6,2,3,5,1,12,8.3,11,223,68,30.5,20,113,90,15,4,0,11,6,16,12,0
ESP-La Liga,2122,Granada,Luis Abram,PER,DF,25.0,6.2,7,6,5,1,1,3,4,75.0,1,35,13,37.1,14,20,1,13,5,2,8,11,18,39,1
ESP-La Liga,2122,Granada,Luis Javier Suárez,COL,FW,23.0,31.6,26,18,5,10,11,6,24,25.0,18,453,121,26.7,52,188,213,30,3,0,27,14,40,22,0
ESP-La Liga,2122,Granada,Luis Milla,ESP,MF,26.0,30.8,51,31,27,21,3,17,55,30.9,38,518,158,30.5,189,256,73,38,7,0,31,40,91,31,0
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22.0,34.8,2,0,2,0,0,2,5,40.0,3,7,1,14.3,7,0,0,0,0,0,0,0,2,2,2
ESP-La Liga,2122,Granada,Matias Arezo,URU,FW,18.0,1.8,5,2,1,1,3,3,9,33.3,6,39,11,28.2,8,14,17,1,0,0,1,1,6,1,0
ESP-La Liga,2122,Granada,Maxime Gonalons,FRA,MF,32.0,17.2,52,34,24,24,4,18,48,37.5,30,329,86,26.1,121,183,25,34,10,0,24,28,80,35,0
ESP-La Liga,2122,Granada,Monchu,ESP,MF,21.0,7.4,11,8,4,7,0,6,12,50.0,6,176,38,21.6,50,104,22,15,3,0,12,3,14,6,0
ESP-La Liga,2122,Granada,Myrto Uzuni,ALB,"MF,FW",26.0,9.5,13,9,10,2,1,2,6,33.3,4,199,50,25.1,57,75,67,19,2,0,17,15,28,5,0
ESP-La Liga,2122,Granada,Njegoš Petrović,SRB,MF,22.0,10.2,27,16,5,21,1,7,17,41.2,10,169,66,39.1,46,102,21,13,4,0,9,12,39,13,0
ESP-La Liga,2122,Granada,Opponent Total,,,27.6,38.0,587,392,280,217,90,208,460,45.2,252,5087,1671,32.8,1565,2357,1165,524,116,2,408,440,1027,807,6
ESP-La Liga,2122,Granada,Quini,ESP,DF,31.0,25.6,88,54,55,25,8,37,72,51.4,35,399,139,34.8,208,155,36,53,14,0,39,54,142,65,0
ESP-La Liga,2122,Granada,Raúl Torrente,ESP,DF,19.0,14.2,38,21,25,12,1,15,24,62.5,9,179,57,31.8,113,65,1,21,11,0,10,19,57,69,0
ESP-La Liga,2122,Granada,Rubén Rochina,ESP,"MF,FW",30.0,8.3,25,12,9,11,5,9,29,31.0,20,179,41,22.9,44,97,38,13,1,0,12,12,37,4,0
ESP-La Liga,2122,Granada,Santiago Arias,COL,DF,29.0,4.9,13,6,9,3,1,4,10,40.0,6,75,26,34.7,47,19,9,11,5,0,6,4,17,10,0
ESP-La Liga,2122,Granada,Sergio Escudero,ESP,"DF,MF",31.0,15.9,47,23,23,19,5,20,46,43.5,26,235,75,31.9,107,95,33,36,4,0,32,33,80,45,0
ESP-La Liga,2122,Granada,Squad Total,,,28.1,38.0,682,403,343,262,77,251,603,41.6,352,5483,1618,29.5,1915,2502,1066,633,153,6,480,490,1172,860,10
ESP-La Liga,2122,Granada,Víctor Díaz,ESP,DF,33.0,16.7,26,14,14,11,1,14,27,51.9,13,154,49,31.8,85,62,7,27,15,0,12,31,57,73,0
ESP-La Liga,2122,Granada,Yan Brice Eteki,CMR,MF,23.0,3.8,7,5,2,5,0,3,8,37.5,5,102,30,29.4,35,56,11,6,3,0,3,3,10,7,1
ESP-La Liga,2122,Granada,Álex Collado,ESP,"MF,FW",22.0,11.3,33,18,9,17,7,9,28,32.1,19,362,76,21.0,74,193,95,29,3,0,26,24,57,7,0
ESP-La Liga,2122,Granada,Ángel Montoro,ESP,MF,33.0,14.8,26,18,14,7,5,9,22,40.9,13,254,78,30.7,87,124,43,17,1,0,16,12,38,27,2
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30.0,13.0,1,1,0,1,0,1,1,100.0,0,3,1,33.3,3,0,0,0,0,0,0,0,1,0,1
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17.0,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Levante,Carlos Clerc,ESP,DF,29.0,16.8,38,17,23,11,4,8,22,36.4,14,229,67,29.3,111,93,25,26,2,0,24,27,65,40,1
ESP-La Liga,2122,Levante,Coke,ESP,DF,34.0,1.3,4,3,1,2,1,3,3,100.0,0,16,8,50.0,5,8,3,1,0,0,1,2,6,8,0
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24.0,24.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2
ESP-La Liga,2122,Levante,Dani Gómez,ESP,FW,23.0,11.8,7,7,2,4,1,0,4,0.0,4,236,68,28.8,22,120,94,6,0,0,6,4,11,7,0
ESP-La Liga,2122,Levante,Enis Bardhi,MKD,"MF,FW",26.0,18.9,24,15,8,13,3,6,23,26.1,17,333,69,20.7,76,170,87,17,2,0,15,18,42,7,0
ESP-La Liga,2122,Levante,Enric Franquesa,ESP,DF,24.0,6.9,6,3,3,0,3,1,3,33.3,2,96,20,20.8,44,36,16,11,0,0,11,7,13,12,0
ESP-La Liga,2122,Levante,Gonzalo Melero,ESP,MF,27.0,18.8,36,23,16,15,5,16,29,55.2,13,292,75,25.7,104,139,49,23,9,0,14,15,51,23,0
ESP-La Liga,2122,Levante,Jorge Miramón,ESP,DF,32.0,22.0,37,25,23,11,3,14,40,35.0,26,274,91,33.2,114,104,56,35,5,1,30,45,82,55,0
ESP-La Liga,2122,Levante,Jorge de Frutos,ESP,"MF,FW",24.0,19.6,37,24,13,10,14,8,39,20.5,31,373,90,24.1,105,156,112,17,1,0,16,21,58,13,0
ESP-La Liga,2122,Levante,José Campaña,ESP,MF,28.0,15.8,31,15,14,15,2,14,37,37.8,23,286,81,28.3,87,145,54,15,2,0,13,27,58,13,0
ESP-La Liga,2122,Levante,José Luis García Vayá,ESP,MF,22.0,22.4,56,36,19,30,7,22,40,55.0,18,445,126,28.3,161,232,52,36,5,0,31,40,96,32,0
ESP-La Liga,2122,Levante,José Luis Morales,ESP,"FW,MF",34.0,30.2,25,16,7,9,9,12,40,30.0,28,488,116,23.8,84,216,188,30,0,0,30,16,41,8,0
ESP-La Liga,2122,Levante,Marcelo Saracchi,URU,DF,23.0,2.1,6,3,5,0,1,2,3,66.7,1,30,9,30.0,12,13,5,5,0,0,5,4,10,6,0
ESP-La Liga,2122,Levante,Martín Cáceres,URU,DF,34.0,7.4,3,1,3,0,0,2,8,25.0,6,58,17,29.3,37,17,4,9,5,0,4,10,13,18,1
ESP-La Liga,2122,Levante,Mickael Malsa,MTQ,MF,25.0,12.7,41,28,20,18,3,13,34,38.2,21,270,74,27.4,88,154,28,29,8,0,21,21,62,12,0
ESP-La Liga,2122,Levante,Nemanja Radoja,SRB,MF,28.0,13.5,20,14,7,11,2,7,11,63.6,4,208,48,23.1,73,110,25,26,10,0,16,17,37,21,1
ESP-La Liga,2122,Levante,Nikola Vukčević,MNE,MF,29.0,1.3,4,2,3,1,0,1,3,33.3,2,32,12,37.5,11,19,2,2,0,0,2,4,8,3,0
ESP-La Liga,2122,Levante,Omar Faraj,SWE,FW,19.0,0.0,1,1,1,0,0,1,1,100.0,0,5,1,20.0,1,3,1,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Levante,Opponent Total,,,27.4,38.0,705,444,366,262,77,269,620,43.4,351,5409,1697,31.4,1637,2437,1335,576,125,2,451,543,1248,626,17
ESP-La Liga,2122,Levante,Pablo Martínez,ESP,MF,23.0,7.3,13,8,6,5,2,6,16,37.5,10,148,31,20.9,36,83,29,11,3,0,8,14,27,5,0
ESP-La Liga,2122,Levante,Pubill,ESP,DF,18.0,5.7,15,12,12,3,0,4,7,57.1,3,92,24,26.1,38,34,20,11,2,0,9,7,22,8,1
ESP-La Liga,2122,Levante,Rober,ESP,DF,26.0,22.3,45,28,31,11,3,24,36,66.7,12,260,95,36.5,142,95,23,35,17,0,18,56,101,98,1
ESP-La Liga,2122,Levante,Roberto Soldado,ESP,FW,36.0,7.4,5,2,0,2,3,2,5,40.0,3,79,20,25.3,2,27,50,6,0,0,6,3,8,8,0
ESP-La Liga,2122,Levante,Roger Martí,ESP,FW,30.0,23.5,21,14,3,12,6,3,20,15.0,17,436,94,21.6,21,208,207,14,0,0,14,6,27,9,0
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27.0,26.9,57,33,38,17,2,21,36,58.3,15,232,72,31.0,153,71,8,52,25,0,27,45,102,107,1
ESP-La Liga,2122,Levante,Sergio Postigo,ESP,DF,32.0,9.4,12,7,9,1,2,4,9,44.4,5,82,27,32.9,43,34,5,12,6,0,6,18,30,37,0
ESP-La Liga,2122,Levante,Shkodran Mustafi,GER,DF,29.0,7.3,11,4,6,5,0,4,7,57.1,3,55,22,40.0,31,22,2,5,2,0,3,13,24,41,0
ESP-La Liga,2122,Levante,Son,ESP,DF,27.0,21.9,27,15,15,7,5,16,34,47.1,18,204,61,29.9,95,58,51,33,5,1,28,36,63,43,0
ESP-La Liga,2122,Levante,Squad Total,,,28.0,38.0,613,379,305,224,84,225,535,42.1,310,5575,1520,27.3,1804,2505,1266,496,120,2,376,504,1117,738,9
ESP-La Liga,2122,Levante,Álex Cantero,ESP,"FW,MF",21.0,6.8,11,8,6,2,3,4,8,50.0,4,157,47,29.9,26,69,62,4,0,0,4,1,12,2,0
ESP-La Liga,2122,Levante,Óscar Duarte,CRC,DF,32.0,19.7,19,14,11,8,0,6,14,42.9,8,154,54,35.1,77,69,8,25,11,0,14,27,46,102,0
ESP-La Liga,2122,Mallorca,Abdón Prats,ESP,FW,28.0,7.1,3,3,1,0,2,2,4,50.0,2,77,25,32.5,1,21,55,6,0,0,6,1,4,5,0
ESP-La Liga,2122,Mallorca,Aleix Febas,ESP,MF,25.0,1.3,5,4,0,5,0,2,3,66.7,1,33,12,36.4,10,20,3,1,0,0,1,0,5,0,0
ESP-La Liga,2122,Mallorca,Aleksandar Sedlar,SRB,"DF,MF",29.0,4.5,4,3,4,0,0,2,4,50.0,2,33,10,30.3,18,15,0,7,5,0,2,6,10,19,0
ESP-La Liga,2122,Mallorca,Amath,SEN,"FW,MF",25.0,9.8,26,13,11,12,3,7,20,35.0,13,207,46,22.2,50,90,67,18,2,0,16,11,37,4,0
ESP-La Liga,2122,Mallorca,Antonio Raillo,ESP,DF,29.0,17.0,21,12,17,3,1,5,8,62.5,3,147,54,36.7,89,48,10,28,15,0,13,27,48,83,1
ESP-La Liga,2122,Mallorca,Antonio Sánchez,ESP,"MF,FW",24.0,18.0,55,28,23,23,9,22,45,48.9,23,466,115,24.7,137,238,91,42,4,0,38,39,94,32,1
ESP-La Liga,2122,Mallorca,Brian Oliván,ESP,DF,27.0,24.3,42,20,31,8,3,12,25,48.0,13,261,71,27.2,150,87,24,27,6,0,21,37,79,87,1
ESP-La Liga,2122,Mallorca,Clément Grenier,FRA,MF,30.0,0.7,0,0,0,0,0,0,0,,0,15,2,13.3,6,7,2,2,1,0,1,0,0,3,0
ESP-La Liga,2122,Mallorca,Dani Rodríguez,ESP,"MF,FW",33.0,31.5,48,38,19,19,10,14,42,33.3,28,636,171,26.9,140,335,161,36,3,0,33,34,82,19,0
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24.0,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Fernando Niño,ESP,FW,20.0,9.8,11,5,6,1,4,3,10,30.0,7,190,48,25.3,32,76,82,16,4,0,12,4,15,12,0
ESP-La Liga,2122,Mallorca,Franco Russo,ARG,DF,26.0,16.3,21,13,13,7,1,5,16,31.3,11,133,42,31.6,75,49,9,32,14,0,18,40,61,75,2
ESP-La Liga,2122,Mallorca,Giovanni González,URU,DF,26.0,4.1,11,9,4,5,2,5,7,71.4,2,59,20,33.9,23,23,13,10,3,0,7,8,19,12,1
ESP-La Liga,2122,Mallorca,Iddrisu Baba,GHA,MF,25.0,21.5,71,51,37,31,3,21,37,56.8,16,388,127,32.7,150,206,32,34,6,0,28,36,107,44,1
ESP-La Liga,2122,Mallorca,Iñigo Ruiz de Galarreta,ESP,MF,27.0,15.3,47,27,18,24,5,15,32,46.9,17,232,73,31.5,62,143,27,19,2,0,17,26,73,22,0
ESP-La Liga,2122,Mallorca,Jaume Costa,ESP,DF,33.0,20.3,43,24,24,13,6,17,26,65.4,9,183,56,30.6,71,72,40,32,8,0,24,27,70,50,0
ESP-La Liga,2122,Mallorca,Javier Llabrés,,"FW,MF",,1.5,3,3,1,1,1,1,2,50.0,1,15,5,33.3,2,7,6,1,0,0,1,0,3,0,0
ESP-La Liga,2122,Mallorca,Joan Sastre Vanrell,ESP,DF,24.0,2.9,6,4,4,1,1,1,4,25.0,3,30,13,43.3,17,11,2,1,0,0,1,7,13,14,0
ESP-La Liga,2122,Mallorca,Jordi Mboula,ESP,FW,22.0,4.8,5,3,2,2,1,1,6,16.7,5,80,26,32.5,17,32,31,10,2,0,8,2,7,0,0
ESP-La Liga,2122,Mallorca,Josep Antoni Gayá,ESP,DF,21.0,0.6,0,0,0,0,0,0,0,,0,6,0,0.0,5,1,0,1,0,0,1,3,3,1,1
ESP-La Liga,2122,Mallorca,Lago Junior,CIV,"FW,MF",30.0,2.0,3,3,3,0,0,2,3,66.7,1,38,9,23.7,16,9,13,0,0,0,0,3,6,1,0
ESP-La Liga,2122,Mallorca,Lee Kangin,KOR,"MF,FW",20.0,15.7,12,7,4,6,2,6,26,23.1,20,236,70,29.7,36,134,66,15,1,0,14,13,25,6,0
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2122,Mallorca,Martin Valjent,SVK,DF,25.0,35.3,34,18,20,13,1,13,27,48.1,14,230,75,32.6,132,89,9,66,31,1,35,56,90,178,1
ESP-La Liga,2122,Mallorca,Matthew Hoppe,USA,FW,20.0,1.5,1,1,0,0,1,0,3,0.0,3,36,7,19.4,4,15,17,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38.0,710,433,297,320,93,214,582,36.8,368,5399,1671,31.0,1639,2510,1250,555,128,0,427,453,1163,796,10
ESP-La Liga,2122,Mallorca,Pablo Maffeo,ESP,DF,24.0,32.7,85,55,47,25,13,31,56,55.4,25,415,128,30.8,182,167,66,79,15,0,64,72,157,73,0
ESP-La Liga,2122,Mallorca,Rodrigo Battaglia,ARG,MF,30.0,13.1,37,30,19,18,0,12,27,44.4,15,250,78,31.2,102,136,12,26,13,1,13,20,57,38,0
ESP-La Liga,2122,Mallorca,Salva Sevilla,ESP,MF,37.0,16.7,19,14,7,11,1,5,18,27.8,13,176,58,33.0,72,81,23,22,8,1,14,21,40,14,0
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38.0,668,428,337,253,78,215,497,43.3,282,5393,1552,28.8,1756,2477,1160,599,148,3,451,530,1198,841,10
ESP-La Liga,2122,Mallorca,Takefusa Kubo,JPN,"FW,MF",20.0,17.8,28,24,12,13,3,8,30,26.7,22,339,97,28.6,97,130,112,32,3,0,29,20,48,8,0
ESP-La Liga,2122,Mallorca,Vedat Muriqi,KVX,FW,27.0,16.0,4,3,2,1,1,1,5,20.0,4,173,46,26.6,12,80,81,22,1,0,21,12,16,26,0
ESP-La Liga,2122,Mallorca,Ángel Rodríguez,ESP,FW,34.0,17.2,23,13,8,11,4,2,11,18.2,9,307,67,21.8,46,155,106,14,1,0,13,5,28,14,0
ESP-La Liga,2122,Osasuna,Ante Budimir,CRO,FW,30.0,19.3,23,11,2,15,6,4,15,26.7,11,403,108,26.8,25,171,207,24,7,0,17,7,30,12,0
ESP-La Liga,2122,Osasuna,Aridane Hernández,EQG,DF,32.0,12.9,16,9,14,2,0,6,13,46.2,7,86,34,39.5,55,27,4,20,10,0,10,28,44,68,0
ESP-La Liga,2122,Osasuna,Barbero,ESP,"MF,FW",22.0,0.2,1,1,1,0,0,0,0,,0,10,1,10.0,1,3,6,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Osasuna,Darko Brašanac,SRB,MF,29.0,26.7,45,34,17,18,10,13,45,28.9,32,519,150,28.9,95,229,195,36,9,0,27,29,74,28,0
ESP-La Liga,2122,Osasuna,David García,ESP,DF,27.0,34.5,35,23,20,13,2,9,22,40.9,13,270,95,35.2,138,121,11,46,25,1,21,73,108,204,1
ESP-La Liga,2122,Osasuna,Ezequiel Ávila,ARG,"FW,MF",27.0,20.8,16,9,6,9,1,12,26,46.2,14,268,78,29.1,38,112,118,26,2,0,24,24,40,14,0
ESP-La Liga,2122,Osasuna,Iker Benito,ESP,"MF,FW",18.0,1.3,1,1,1,0,0,0,1,0.0,1,26,2,7.7,3,13,10,5,0,0,5,0,1,1,0
ESP-La Liga,2122,Osasuna,Iñigo Pérez,ESP,MF,33.0,3.8,0,0,0,0,0,0,3,0.0,3,34,9,26.5,10,18,6,3,0,0,3,3,3,4,0
ESP-La Liga,2122,Osasuna,Jaume Grau,ESP,MF,24.0,0.0,1,1,1,0,0,0,1,0.0,1,2,1,50.0,1,1,0,0,0,0,0,0,1,0,0
ESP-La Liga,2122,Osasuna,Javi Martínez,ESP,MF,21.0,9.8,24,14,10,9,5,9,28,32.1,19,206,48,23.3,51,99,56,12,2,0,10,17,41,9,0
ESP-La Liga,2122,Osasuna,Javier Ontiveros,ESP,"MF,FW",23.0,0.4,0,0,0,0,0,0,2,0.0,2,9,3,33.3,1,3,5,0,0,0,0,0,0,0,1
ESP-La Liga,2122,Osasuna,Jesús Areso,ESP,DF,22.0,2.1,5,3,1,3,1,1,2,50.0,1,24,11,45.8,11,11,2,1,0,0,1,1,6,3,0
ESP-La Liga,2122,Osasuna,Jon Moncayola,ESP,MF,23.0,32.4,40,19,18,17,5,17,45,37.8,28,559,139,24.9,167,290,102,54,10,0,44,34,74,34,0
ESP-La Liga,2122,Osasuna,Jonás Ramalho,ESP,DF,28.0,2.7,3,3,2,1,0,2,3,66.7,1,28,11,39.3,7,15,6,7,1,0,6,10,13,9,0
