,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,2,1.0,1.0,1.0,0.0,0.0,0.92,1.6,0.8,0.8,0.76,1.36
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29.0,10,279.0,28.0,8.2,3.1,2,60.0,0,8,20.0,14,0.3,3.0,7.0,-4.0,-1.29,-0.43,3.7,4.7,-1.0,-0.32,0.26
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31.0,37,3122.0,84.0,91.3,34.7,35,87.0,30,2,38.0,0,0.84,30.0,58.0,-28.0,-0.81,1.0,35.5,51.2,-15.7,-0.45,1.28
ESP-La Liga,2122,Alavés,Loum Ndiaye,SEN,MF,24.0,32,2312.0,72.0,67.6,25.7,26,84.0,16,6,23.0,0,0.91,27.0,43.0,-16.0,-0.62,0.84,28.5,38.7,-10.1,-0.39,0.52
ESP-La Liga,2122,Alavés,Lucas Pérez,ESP,"FW,MF",32.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"FW,MF",27.0,37,3111.0,84.0,91.0,34.6,36,85.0,18,1,45.0,0,0.84,29.0,57.0,-28.0,-0.81,0.94,35.0,49.9,-15.0,-0.43,1.45
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,FW,27.0,13,394.0,30.0,11.5,4.4,4,56.0,0,9,19.0,7,0.46,4.0,7.0,-3.0,-0.69,0.24,2.2,7.1,-4.9,-1.13,-0.64
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23.0,24,1077.0,45.0,31.5,12.0,10,75.0,3,14,24.0,13,0.83,9.0,15.0,-6.0,-0.5,0.57,10.8,15.5,-4.6,-0.39,0.26
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24.0,11,370.0,34.0,10.8,4.1,2,71.0,0,9,25.0,4,0.18,3.0,14.0,-11.0,-2.68,-2.0,3.5,11.4,-7.9,-1.93,-1.53
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20.0,3,54.0,18.0,1.6,0.6,0,,0,3,18.0,0,1.0,0.0,2.0,-2.0,-3.33,-2.48,0.7,1.9,-1.3,-2.09,-1.55
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25.0,24,1616.0,67.0,47.3,18.0,17,83.0,11,7,28.0,13,0.96,13.0,31.0,-18.0,-1.0,-0.2,17.2,27.9,-10.7,-0.59,-0.06
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26.0,11,833.0,76.0,24.4,9.3,9,90.0,9,2,12.0,21,0.73,3.0,15.0,-12.0,-1.3,-0.53,6.9,16.6,-9.6,-1.04,-0.63
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21.0,22,829.0,38.0,24.2,9.2,10,70.0,1,12,11.0,13,0.68,8.0,13.0,-5.0,-0.54,0.46,9.6,14.5,-4.9,-0.53,0.04
ESP-La Liga,2122,Alavés,Mircea Alexandru Tirlea,ROU,DF,21.0,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,3,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4,-0.4,-2.18,-1.62
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25.0,14,1073.0,77.0,31.4,11.9,12,85.0,10,2,24.0,2,0.79,10.0,21.0,-11.0,-0.92,-0.04,12.6,21.7,-9.1,-0.76,-0.29
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,236,180,20.0,234,0.82,65.0,31.0,34.0,0.89,,58.4,36.9,21.4,0.56,
ESP-La Liga,2122,Alavés,Oscar Medina,,GK,,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28.0,27,1366.0,51.0,39.9,15.2,17,70.0,0,10,17.0,3,0.85,9.0,26.0,-17.0,-1.12,-0.38,12.6,22.2,-9.6,-0.63,-0.12
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25.0,34,2621.0,77.0,76.6,29.1,31,83.0,19,3,13.0,0,0.91,25.0,44.0,-19.0,-0.65,1.04,30.8,41.5,-10.6,-0.37,0.85
ESP-La Liga,2122,Alavés,Saúl García,ESP,FW,26.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,21,3.0,0.0,0.0,0.0,0.0,0.9,0.0,0.2,-0.2,-5.38,-4.82
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38,3420.0,90.0,100.0,38.0,418,82.0,247,167,20.0,277,0.82,31.0,65.0,-34.0,-0.89,,36.9,58.4,-21.4,-0.56,
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23.0,5,239.0,48.0,7.0,2.7,2,88.0,1,3,21.0,17,0.6,0.0,5.0,-5.0,-1.88,-1.06,1.1,4.5,-3.5,-1.3,-0.79
ESP-La Liga,2122,Alavés,Taichi Hara,JPN,FW,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.6,-0.6,-6.06,-5.51
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33.0,29,1444.0,50.0,42.2,16.0,16,76.0,3,13,17.0,4,0.83,12.0,32.0,-20.0,-1.25,-0.61,14.0,24.3,-10.3,-0.64,-0.13
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23.0,28,1386.0,50.0,40.5,15.4,17,74.0,4,11,12.0,9,0.64,8.0,27.0,-19.0,-1.23,-0.57,14.6,26.0,-11.5,-0.75,-0.31
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19.0,1,12.0,12.0,0.4,0.1,0,,0,1,12.0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.57
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31.0,34,3042.0,89.0,88.9,33.8,34,89.0,32,0,,2,0.88,31.0,56.0,-25.0,-0.74,1.4,35.0,49.0,-14.1,-0.42,1.33
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31.0,18,1347.0,75.0,39.4,15.0,16,81.0,11,2,27.0,5,0.89,10.0,23.0,-13.0,-0.87,0.04,11.2,23.1,-11.9,-0.8,-0.38
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31.0,32,1614.0,50.0,47.2,17.9,17,73.0,3,15,25.0,0,0.78,19.0,36.0,-17.0,-0.95,-0.1,19.0,28.1,-9.1,-0.51,0.11
ESP-La Liga,2122,Athletic Club,Aitor Paredes,ESP,DF,21.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24.0,17,412.0,24.0,12.0,4.6,1,90.0,1,16,20.0,19,1.59,5.0,8.0,-3.0,-0.66,-0.95,6.1,7.1,-1.1,-0.23,-0.62
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,29,3.0,0.0,0.0,0.0,0.0,-0.18,0.1,0.0,0.1,2.94,2.63
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23.0,19,548.0,29.0,16.0,6.1,3,80.0,1,16,19.0,3,1.53,8.0,8.0,0.0,0.0,-0.22,7.9,6.8,1.1,0.18,-0.16
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31.0,32,2177.0,68.0,63.7,24.2,27,76.0,6,5,24.0,2,1.41,25.0,22.0,3.0,0.12,-0.17,29.9,23.8,6.1,0.25,-0.17
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22.0,24,1986.0,83.0,58.1,22.1,22,89.0,21,2,20.0,4,1.67,28.0,23.0,5.0,0.23,0.1,30.7,24.3,6.4,0.29,-0.06
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28.0,35,2785.0,80.0,81.4,30.9,34,81.0,15,1,19.0,2,1.46,35.0,27.0,8.0,0.26,0.4,41.6,28.2,13.4,0.43,0.64
ESP-La Liga,2122,Athletic Club,Iru,ESP,GK,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Iñaki Williams,ESP,FW,27.0,38,2777.0,73.0,81.2,30.9,32,82.0,18,6,26.0,0,1.45,33.0,25.0,8.0,0.26,0.4,41.3,30.9,10.4,0.34,0.12
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28.0,25,1925.0,77.0,56.3,21.4,22,84.0,18,3,28.0,8,1.2,19.0,23.0,-4.0,-0.19,-0.85,26.0,25.1,0.9,0.04,-0.63
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30.0,27,2341.0,87.0,68.5,26.0,26,88.0,23,1,45.0,0,1.7,28.0,18.0,10.0,0.38,0.63,32.5,23.9,8.6,0.33,0.05
ESP-La Liga,2122,Athletic Club,Jokin Ezkieta,ESP,GK,24.0,0,,,,,0,,0,0,,27,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,MF,22.0,7,54.0,8.0,1.6,0.6,0,,0,7,8.0,12,1.0,1.0,1.0,0.0,0.0,-0.19,1.7,0.9,0.8,1.35,1.05
ESP-La Liga,2122,Athletic Club,Juan Artola,ESP,FW,21.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,,10,1.25,5.0,5.0,0.0,0.0,-0.21,4.4,5.3,-0.9,-0.22,-0.6
ESP-La Liga,2122,Athletic Club,Luis Bilbao,ESP,FW,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33.0,26,2027.0,78.0,59.3,22.5,23,87.0,19,3,12.0,11,1.58,25.0,23.0,2.0,0.09,-0.23,28.6,25.8,2.9,0.13,-0.46
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28.0,32,1358.0,42.0,39.7,15.1,17,67.0,4,15,14.0,5,1.53,16.0,16.0,0.0,0.0,-0.31,21.1,15.4,5.7,0.37,0.1
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19.0,34,1337.0,39.0,39.1,14.9,11,71.0,1,23,24.0,0,1.44,19.0,15.0,4.0,0.27,0.14,20.8,15.0,5.8,0.39,0.12
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,MF,18.0,14,317.0,23.0,9.3,3.5,3,74.0,1,11,9.0,17,1.14,3.0,6.0,-3.0,-0.85,-1.14,2.7,4.9,-2.3,-0.64,-1.06
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22.0,31,1166.0,38.0,34.1,13.0,8,77.0,3,23,24.0,2,1.45,15.0,13.0,2.0,0.15,-0.05,14.4,14.2,0.2,0.02,-0.45
ESP-La Liga,2122,Athletic Club,Oihan Sancet,ESP,FW,21.0,27,1422.0,53.0,41.6,15.8,16,71.0,0,11,26.0,0,1.37,23.0,17.0,6.0,0.38,0.33,22.3,14.3,8.0,0.51,0.33
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,82.0,245,168,20.0,255,1.45,36.0,43.0,-7.0,-0.18,,38.2,50.1,-12.0,-0.32,
ESP-La Liga,2122,Athletic Club,Peru Nolaskoain,ESP,DF,22.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,-0.32
ESP-La Liga,2122,Athletic Club,Raúl García,ESP,FW,35.0,35,1802.0,51.0,52.7,20.0,24,65.0,1,11,22.0,1,1.37,19.0,17.0,2.0,0.1,-0.18,24.8,20.4,4.5,0.22,-0.19
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38,3420.0,90.0,100.0,38.0,418,81.0,237,180,21.0,209,1.45,43.0,36.0,7.0,0.18,,50.1,38.2,12.0,0.32,
ESP-La Liga,2122,Athletic Club,Unai Núñez,ESP,DF,24.0,9,622.0,69.0,18.2,6.9,7,84.0,6,2,19.0,24,0.89,8.0,11.0,-3.0,-0.43,-0.76,9.2,8.0,1.2,0.18,-0.17
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,1.47,38.0,31.0,7.0,0.21,0.21,45.8,32.9,12.9,0.38,0.6
ESP-La Liga,2122,Athletic Club,Unai Vencedor Paris,ESP,MF,20.0,34,2383.0,70.0,69.7,26.5,29,78.0,13,5,27.0,0,1.44,28.0,26.0,2.0,0.08,-0.36,34.5,27.3,7.1,0.27,-0.15
ESP-La Liga,2122,Athletic Club,Yeray Álvarez,ESP,DF,26.0,22,1860.0,85.0,54.4,20.7,21,88.0,20,1,15.0,6,1.23,20.0,20.0,0.0,0.0,-0.4,27.1,19.3,7.9,0.38,0.14
ESP-La Liga,2122,Athletic Club,Yuri Berchiche,ESP,DF,31.0,14,1015.0,73.0,29.7,11.3,11,87.0,8,3,21.0,3,1.64,16.0,10.0,6.0,0.53,0.49,16.0,9.1,6.9,0.61,0.42
ESP-La Liga,2122,Athletic Club,Álex Berenguer,ESP,"MF,FW",26.0,34,2168.0,64.0,63.4,24.1,24,79.0,11,10,26.0,2,1.5,28.0,17.0,11.0,0.46,0.74,33.4,20.4,13.0,0.54,0.61
ESP-La Liga,2122,Athletic Club,Óscar de Marcos,ESP,DF,32.0,22,1679.0,76.0,49.1,18.7,19,82.0,9,3,40.0,12,1.5,27.0,13.0,14.0,0.75,1.11,28.1,14.7,13.4,0.72,0.79
ESP-La Liga,2122,Atlético Madrid,Alberto Moreno Rebanal,ESP,MF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",30.0,26,1695.0,65.0,49.6,18.8,21,71.0,5,5,40.0,1,1.96,24.0,16.0,8.0,0.42,-0.31,23.0,14.7,8.3,0.44,-0.12
ESP-La Liga,2122,Atlético Madrid,Antonio Gomis,ESP,GK,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Benjamin Lecomte,FRA,GK,30.0,0,,,0.0,0.0,0,,0,0,,35,3.0,4.0,3.0,1.0,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Carlos Martín,ESP,DF,19.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,9,3.0,1.0,0.0,1.0,15.0,14.45,0.4,0.1,0.3,5.18,4.69
ESP-La Liga,2122,Atlético Madrid,Daniel Wass,DEN,DF,32.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,9,0.0,1.0,1.0,0.0,0.0,-0.59,0.8,0.1,0.7,1.47,0.98
ESP-La Liga,2122,Atlético Madrid,Felipe,BRA,DF,32.0,26,1504.0,58.0,44.0,16.7,15,87.0,13,11,18.0,8,2.0,32.0,25.0,7.0,0.42,-0.29,24.7,17.4,7.3,0.44,-0.12
ESP-La Liga,2122,Atlético Madrid,Geoffrey Kondogbia,CTA,"MF,DF",28.0,28,1882.0,67.0,55.0,20.9,21,82.0,13,7,24.0,1,1.71,33.0,24.0,9.0,0.43,-0.33,26.5,20.0,6.5,0.31,-0.43
ESP-La Liga,2122,Atlético Madrid,Giuliano Simeone,ARG,DF,18.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,13,1.0,0.0,0.0,0.0,0.0,-0.58,0.1,0.0,0.1,7.19,6.69
ESP-La Liga,2122,Atlético Madrid,Héctor Herrera,MEX,MF,31.0,21,859.0,41.0,25.1,9.5,8,79.0,4,13,18.0,9,1.67,17.0,9.0,8.0,0.84,0.35,12.9,7.9,5.0,0.52,0.02
ESP-La Liga,2122,Atlético Madrid,Ibrahima Camara,ESP,DF,18.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Ivan Šaponjić,SRB,FW,23.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Ivo Grbić,CRO,GK,25.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.87,65.0,43.0,22.0,0.58,,52.8,33.7,19.1,0.5,
ESP-La Liga,2122,Atlético Madrid,Javier Serrano,ESP,MF,18.0,5,68.0,14.0,2.0,0.8,1,45.0,0,4,6.0,15,2.6,1.0,0.0,1.0,1.32,0.76,0.5,0.2,0.4,0.49,-0.01
ESP-La Liga,2122,Atlético Madrid,Joan Rojas,ESP,DF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,José María Giménez,URU,DF,26.0,24,2042.0,85.0,59.7,22.7,24,85.0,19,0,,5,2.21,39.0,22.0,17.0,0.75,0.42,33.0,19.2,13.7,0.61,0.25
ESP-La Liga,2122,Atlético Madrid,João Félix,POR,"FW,MF",21.0,24,1263.0,53.0,36.9,14.0,13,74.0,4,11,27.0,0,1.71,28.0,22.0,6.0,0.43,-0.24,18.2,13.2,5.0,0.36,-0.23
ESP-La Liga,2122,Atlético Madrid,Kieran Trippier,ENG,DF,30.0,15,976.0,65.0,28.5,10.8,12,73.0,7,3,33.0,1,1.73,13.0,13.0,0.0,0.0,-0.81,12.8,7.8,5.0,0.46,-0.06
ESP-La Liga,2122,Atlético Madrid,Koke,ESP,MF,29.0,31,2508.0,81.0,73.3,27.9,29,85.0,23,2,28.0,1,1.77,50.0,34.0,16.0,0.57,-0.02,40.3,23.8,16.5,0.59,0.33
ESP-La Liga,2122,Atlético Madrid,Luis Suárez,URU,FW,34.0,35,1835.0,52.0,53.7,20.4,20,73.0,5,15,25.0,2,1.83,35.0,26.0,9.0,0.44,-0.3,29.1,17.8,11.3,0.56,0.11
ESP-La Liga,2122,Atlético Madrid,Manu Lama,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Marco Moreno,ESP,DF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",26.0,29,2447.0,84.0,71.5,27.2,29,84.0,20,0,,0,1.93,40.0,26.0,14.0,0.51,-0.23,32.5,25.3,7.2,0.26,-0.84
ESP-La Liga,2122,Atlético Madrid,Mario Hermoso,ESP,DF,26.0,26,1865.0,72.0,54.5,20.7,21,82.0,13,5,30.0,6,1.63,34.0,31.0,3.0,0.14,-0.95,28.3,17.3,11.0,0.53,0.06
ESP-La Liga,2122,Atlético Madrid,Matheus Cunha,BRA,FW,22.0,29,1063.0,37.0,31.1,11.8,8,70.0,0,21,24.0,1,1.59,28.0,14.0,14.0,1.19,0.88,23.9,13.2,10.7,0.91,0.58
ESP-La Liga,2122,Atlético Madrid,Nehuén Pérez,ARG,DF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,82.0,244,171,20.0,249,1.87,43.0,65.0,-22.0,-0.58,,33.7,52.8,-19.1,-0.5,
ESP-La Liga,2122,Atlético Madrid,Pablo Barrios,ESP,MF,18.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Reinildo Mandava,MOZ,DF,27.0,17,1298.0,76.0,38.0,14.4,15,82.0,11,2,35.0,0,2.06,27.0,12.0,15.0,1.04,0.74,20.6,14.3,6.3,0.44,-0.11
ESP-La Liga,2122,Atlético Madrid,Renan Lodi,BRA,DF,23.0,29,1181.0,41.0,34.5,13.1,13,63.0,3,16,23.0,7,1.86,17.0,13.0,4.0,0.3,-0.42,15.0,10.3,4.7,0.36,-0.23
ESP-La Liga,2122,Atlético Madrid,Rodrigo De Paul,ARG,MF,27.0,36,2151.0,60.0,62.9,23.9,24,77.0,9,12,26.0,1,1.81,43.0,24.0,19.0,0.79,0.58,35.5,20.4,15.1,0.63,0.34
ESP-La Liga,2122,Atlético Madrid,Saúl Ñíguez,ESP,"DF,MF",26.0,3,201.0,67.0,5.9,2.2,2,90.0,2,1,21.0,0,2.33,4.0,2.0,2.0,0.9,0.34,3.0,2.7,0.3,0.15,-0.37
ESP-La Liga,2122,Atlético Madrid,Sergio Camello,ESP,FW,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Sergio Diez Roldan,ESP,DF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38,3420.0,90.0,100.0,38.0,418,79.0,244,170,26.0,159,1.87,65.0,43.0,22.0,0.58,,52.8,33.7,19.1,0.5,
ESP-La Liga,2122,Atlético Madrid,Stefan Savić,MNE,DF,30.0,28,2440.0,87.0,71.3,27.1,28,87.0,27,0,,2,2.11,48.0,24.0,24.0,0.89,1.07,38.0,23.6,14.4,0.53,0.1
ESP-La Liga,2122,Atlético Madrid,Thomas Lemar,FRA,MF,25.0,24,1440.0,60.0,42.1,16.0,17,71.0,5,7,34.0,0,1.88,25.0,25.0,0.0,0.0,-1.0,21.1,16.2,4.9,0.31,-0.34
ESP-La Liga,2122,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",27.0,34,2583.0,76.0,75.5,28.7,28,83.0,14,6,45.0,0,1.91,50.0,34.0,16.0,0.56,-0.09,40.7,24.3,16.4,0.57,0.28
ESP-La Liga,2122,Atlético Madrid,Ángel Correa,ARG,"FW,MF",26.0,36,1856.0,52.0,54.3,20.6,21,69.0,5,15,27.0,0,1.89,39.0,21.0,18.0,0.87,0.64,31.0,16.5,14.5,0.7,0.43
ESP-La Liga,2122,Atlético Madrid,Šime Vrsaljko,CRO,DF,29.0,21,914.0,44.0,26.7,10.2,10,62.0,4,11,27.0,10,1.86,18.0,12.0,6.0,0.59,0.02,14.4,9.2,5.2,0.51,0.01
ESP-La Liga,2122,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,DF",19.0,10,580.0,58.0,17.0,6.4,6,81.0,1,4,24.0,3,1.7,8.0,8.0,0.0,0.0,-0.95,9.9,5.3,4.6,0.72,0.04
ESP-La Liga,2122,Barcelona,Adama Traoré,ESP,"FW,DF",25.0,11,382.0,35.0,11.2,4.2,4,72.0,1,7,14.0,6,2.0,12.0,7.0,5.0,1.18,0.44,7.6,3.7,3.9,0.91,0.25
ESP-La Liga,2122,Barcelona,Alejandro Balde,ESP,"DF,FW",17.0,5,188.0,38.0,5.5,2.1,2,65.0,0,3,19.0,13,1.4,0.0,4.0,-4.0,-1.91,-2.86,0.7,1.7,-0.9,-0.44,-1.19
ESP-La Liga,2122,Barcelona,Alvaro Sanz,ESP,MF,20.0,2,29.0,15.0,0.8,0.3,0,,0,2,15.0,5,2.0,0.0,1.0,-1.0,-3.1,-3.93,0.1,1.2,-1.1,-3.43,-4.15
ESP-La Liga,2122,Barcelona,Ansu Fati,ESP,FW,18.0,10,336.0,34.0,9.8,3.7,3,59.0,0,7,23.0,0,1.7,8.0,4.0,4.0,1.07,0.31,4.1,3.9,0.3,0.07,-0.68
ESP-La Liga,2122,Barcelona,Antoine Griezmann,FRA,FW,30.0,3,263.0,88.0,7.7,2.9,3,88.0,2,0,,0,2.33,7.0,4.0,3.0,1.03,0.26,4.6,2.8,1.8,0.61,-0.08
ESP-La Liga,2122,Barcelona,Arnau Comas,ESP,DF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Arnau Tenas,ESP,GK,20.0,0,,,,,0,,0,0,,17,,,,,,,,,,,
