,,,,Nation,Pos,Age,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32.0,3.0,4,0,1,1,0,4.0,0.29,0.0,0.01,26,48,54.2,108,18,41.7,36.1,22,13.6,28.2,25,1,4.0,2,0.67,14.3
ESP-La Liga,2122,Barcelona,Opponent Total,,,27.7,38.0,68,6,0,5,0,62.2,0.32,-5.8,-0.15,317,785,40.4,980,122,55.6,44.5,350,68.6,51.6,393,27,6.9,22,0.58,13.4
ESP-La Liga,2122,Barcelona,Squad Total,,,26.2,38.0,38,2,1,7,0,37.6,0.29,-0.4,-0.01,237,403,58.8,1184,166,27.4,30.4,226,35.0,34.2,241,15,6.2,12,0.32,13.3
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38.0,16.2,19,1,0,1,2,19.9,0.35,2.9,0.18,114,286,39.9,409,51,54.3,44.3,98,65.3,51.1,164,4,2.4,8,0.49,13.4
ESP-La Liga,2122,Betis,Opponent Total,,,27.4,38.0,62,6,2,5,2,58.8,0.3,-1.2,-0.03,254,591,43.0,911,152,47.2,40.5,273,59.0,47.4,256,21,8.2,23,0.61,14.8
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27.0,21.8,21,2,0,3,0,22.0,0.28,1.0,0.04,130,323,40.2,548,92,41.6,37.0,176,54.0,44.6,207,11,5.3,20,0.92,14.1
ESP-La Liga,2122,Betis,Squad Total,,,28.9,38.0,40,3,0,4,2,41.8,0.31,3.8,0.1,244,609,40.1,957,143,47.0,40.1,274,58.0,46.9,371,15,4.0,28,0.74,13.8
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34.0,38.0,43,4,0,1,2,47.0,0.32,6.0,0.16,349,859,40.6,1177,129,55.1,44.5,283,74.2,56.0,299,44,14.7,33,0.87,15.6
ESP-La Liga,2122,Celta Vigo,Opponent Total,,,27.4,38.0,43,3,0,3,0,46.3,0.31,3.3,0.09,297,668,44.5,914,143,52.4,43.2,277,68.2,51.9,401,23,5.7,22,0.58,13.1
ESP-La Liga,2122,Celta Vigo,Squad Total,,,28.4,38.0,43,4,0,1,2,47.0,0.32,6.0,0.16,349,859,40.6,1177,129,55.1,44.5,283,74.2,56.0,299,44,14.7,33,0.87,15.6
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28.0,38.0,51,11,0,10,0,52.1,0.26,1.1,0.03,302,834,36.2,846,116,68.0,52.1,310,83.5,64.2,368,33,9.0,23,0.61,13.7
ESP-La Liga,2122,Cádiz,Opponent Total,,,27.6,38.0,35,3,1,3,0,43.0,0.33,8.0,0.21,289,567,51.0,899,179,42.5,38.3,301,61.5,48.6,465,50,10.8,38,1.0,15.6
ESP-La Liga,2122,Cádiz,Squad Total,,,28.5,38.0,51,11,0,10,0,52.1,0.26,1.1,0.03,302,834,36.2,846,116,68.0,52.1,310,83.5,64.2,368,33,9.0,23,0.61,13.7
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34.0,14.0,17,0,0,1,0,16.0,0.27,-1.0,-0.07,96,249,38.6,346,73,50.3,40.4,135,55.6,43.7,130,7,5.4,11,0.79,15.4
ESP-La Liga,2122,Elche,Opponent Total,,,27.4,38.0,40,1,0,3,1,33.0,0.3,-6.0,-0.16,210,492,42.7,806,139,44.4,40.1,241,55.6,46.1,342,25,7.3,37,0.97,15.9
ESP-La Liga,2122,Elche,Squad Total,,,29.1,38.0,52,7,0,7,0,56.3,0.3,4.3,0.11,307,716,42.9,964,173,50.4,39.9,346,66.5,48.6,405,31,7.7,34,0.89,15.7
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29.0,24.0,35,7,0,6,0,40.4,0.31,5.4,0.22,211,467,45.2,618,100,50.5,39.7,211,73.5,51.7,275,24,8.7,23,0.96,15.8
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39.0,35.3,49,3,0,4,2,45.4,0.28,-1.6,-0.05,184,477,38.6,849,203,38.8,37.1,294,50.3,41.3,397,42,10.6,25,0.71,13.8
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20.0,1.2,3,0,0,0,0,1.2,0.39,-1.8,-1.53,4,12,33.3,31,9,32.3,31.4,2,100.0,71.5,11,2,18.2,2,1.67,18.6
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31.0,1.5,1,1,0,0,0,2.9,0.28,1.9,1.26,10,29,34.5,33,5,57.6,42.5,10,100.0,60.4,19,0,0.0,0,0.0,9.0
ESP-La Liga,2122,Espanyol,Opponent Total,,,27.5,38.0,40,5,1,7,1,35.9,0.25,-3.1,-0.08,215,423,50.8,800,144,36.0,35.8,258,52.3,44.6,286,24,8.4,19,0.5,14.2
ESP-La Liga,2122,Espanyol,Squad Total,,,27.6,38.0,53,4,0,4,2,49.4,0.28,-1.6,-0.04,198,518,38.2,913,217,39.2,37.1,306,52.3,42.1,427,44,10.3,27,0.71,13.9
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28.0,37.9,41,2,0,5,1,37.8,0.27,-2.2,-0.06,386,915,42.2,889,98,75.5,52.9,291,83.8,58.5,363,42,11.6,30,0.79,14.4
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22.0,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,6,0.0,4,0,100.0,65.3,2,100.0,68.5,2,0,0.0,0,0.0,
ESP-La Liga,2122,Getafe,Opponent Total,,,27.8,38.0,33,3,0,4,2,29.2,0.22,-1.8,-0.05,236,559,42.2,977,184,43.3,38.7,239,56.9,46.5,290,20,6.9,36,0.95,15.9
ESP-La Liga,2122,Getafe,Squad Total,,,26.6,38.0,41,2,0,5,1,37.8,0.27,-2.2,-0.06,386,921,41.9,893,98,75.6,53.0,293,84.0,58.6,365,42,11.5,30,0.79,14.4
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25.0,3.2,6,2,0,0,0,4.2,0.19,-1.8,-0.58,39,89,43.8,88,13,68.2,48.1,37,78.4,54.3,26,2,7.7,7,2.22,14.5
