,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
12,Carles Aleñá,es  ESP,MF,Getafe,25-005,1998,12.9,487,477,8,5,3,7,16,2,0,0,0,0,378,2,11
13,Alejandro Alfaro,es  ESP,MF,Elche,20-209,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Ángel Algobia,es  ESP,MF,Getafe,23-201,1999,6.0,272,261,9,8,0,2,6,0,0,0,0,0,223,2,5
15,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,18-356,2004,3.5,73,68,4,0,0,0,15,0,0,0,0,0,46,1,2
16,Domingos André Ribeiro Almeida,pt  POR,"MF,FW",Valencia,22-225,2000,9.3,427,399,23,12,3,1,25,6,4,0,3,0,350,5,7
17,Marcos Alonso,es  ESP,DF,Barcelona,32-013,1990,6.1,495,481,14,5,1,5,7,3,6,1,3,0,452,0,6
18,Carlos Álvarez,es  ESP,FW,Sevilla,19-157,2003,0.1,,,,,,,0,,,,,,,,
19,Gastón Álvarez,uy  URU,DF,Getafe,22-292,2000,4.8,129,115,14,2,0,0,3,12,0,0,0,0,86,0,4
20,Yeray Álvarez,es  ESP,DF,Athletic Club,27-351,1995,13.7,750,702,46,40,2,20,6,2,0,0,0,0,610,2,3
21,Amath,sn  SEN,"MF,FW",Mallorca,26-178,1996,3.8,76,74,1,0,1,0,5,0,0,0,0,0,57,1,3
22,Jordan Amavi,fr  FRA,DF,Getafe,28-307,1994,2.1,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5
23,Fabrizio Angileri,ar  ARG,DF,Getafe,28-301,1994,5.7,221,158,63,3,0,2,9,60,0,0,0,0,130,0,12
24,Anuar,ma  MAR,"MF,FW",Valladolid,27-360,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4
25,Mauro Arambarri,uy  URU,MF,Getafe,27-102,1995,5.7,235,196,39,30,0,4,25,0,9,5,3,1,198,0,1
26,Ronald Araújo,uy  URU,DF,Barcelona,23-309,1999,6.7,420,389,29,15,1,6,1,14,0,0,0,0,364,2,1
27,Roberto Arroyo,es  ESP,MF,Valladolid,19-138,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2
28,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-250,1998,2.9,111,93,18,2,0,0,5,16,0,0,0,0,75,0,8
29,Sergio Asenjo,es  ESP,GK,Valladolid,33-196,1989,5.0,181,114,67,18,0,2,0,0,0,0,0,0,121,0,0
30,Marco Asensio,es  ESP,"FW,MF",Real Madrid,26-354,1996,2.8,140,125,15,3,1,1,18,3,9,4,2,0,116,0,3
31,Iago Aspas,es  ESP,FW,Celta Vigo,35-162,1987,14.5,538,500,35,11,4,5,20,5,8,2,2,0,409,3,9
32,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-206,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
33,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,28-338,1994,10.2,282,261,20,5,0,13,46,5,6,3,3,0,157,1,9
34,Iddrisu Baba,gh  GHA,MF,Mallorca,26-353,1996,8.1,259,254,4,4,0,1,0,0,0,0,0,0,216,1,3
35,Srđan Babić,rs  SRB,DF,Almería,26-263,1996,14.5,658,627,26,24,0,8,2,2,0,0,0,0,574,5,3
36,Loïc Bade,fr  FRA,DF,Sevilla,22-274,2000,0.3,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0
37,Édgar Badía,es  ESP,GK,Elche,30-332,1992,16.0,487,306,179,59,0,0,0,0,0,0,0,0,354,2,0
38,Alex Baena,es  ESP,"MF,FW",Villarreal,21-174,2001,8.9,278,266,9,3,8,0,8,0,3,2,0,0,218,3,13
39,Alejandro Balde,es  ESP,DF,Barcelona,19-084,2003,11.7,761,656,102,12,0,3,15,90,0,0,0,0,691,3,5
40,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-315,1988,0.5,37,32,4,0,0,0,2,4,0,0,0,0,28,1,0
41,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-009,1992,16.0,926,731,187,17,0,2,59,170,0,0,0,0,722,8,16
42,Léo Baptistão,br  BRA,"FW,MF",Almería,30-137,1992,7.2,223,217,5,1,4,3,9,4,0,0,0,0,152,1,8
43,Keidi Bare,al  ALB,MF,Espanyol,25-135,1997,3.7,168,164,4,3,0,1,4,0,1,1,0,0,140,0,2
44,Kike Barja,es  ESP,"MF,FW",Osasuna,25-284,1997,3.3,133,130,3,0,0,1,27,2,1,0,0,0,89,0,5
45,Ander Barrenetxea,es  ESP,FW,Real Sociedad,21-014,2001,0.7,20,19,1,0,0,0,0,0,1,0,0,0,14,0,3
46,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-209,2003,1.8,119,117,2,1,0,1,3,1,0,0,0,0,103,0,3
47,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-182,1991,7.2,213,205,6,6,0,2,1,0,0,0,0,0,172,2,4
48,Bebé,cv  CPV,FW,Rayo Vallecano,32-182,1990,0.7,38,26,11,6,0,2,16,2,3,2,0,0,21,1,2
49,Héctor Bellerín,es  ESP,DF,Barcelona,27-297,1995,1.6,96,82,13,1,1,0,3,12,0,0,0,0,77,1,3
50,Fran Beltrán,es  ESP,MF,Celta Vigo,23-341,1999,14.4,891,832,58,39,0,6,9,2,5,1,3,0,808,1,9
51,Karim Benzema,fr  FRA,FW,Real Madrid,35-022,1987,9.0,445,422,21,2,2,4,1,0,4,0,0,0,376,2,14
52,Yuri Berchiche,es  ESP,DF,Athletic Club,32-334,1990,6.9,377,314,62,4,1,1,23,58,0,0,0,0,302,1,5
53,Álex Berenguer,es  ESP,FW,Athletic Club,27-190,1995,11.9,446,385,56,18,0,1,58,5,33,18,4,1,301,5,14
54,Pedro Bigas,es  ESP,DF,Elche,32-117,1990,12.8,619,572,42,36,0,11,4,4,0,0,0,0,505,5,8
55,El Bilal Touré,ml  MLI,FW,Almería,21-099,2001,8.0,141,124,16,0,0,0,1,0,0,0,0,0,98,1,4
56,Blanco,es  ESP,MF,Cádiz,22-171,2000,1.8,61,61,0,0,0,1,0,0,0,0,0,0,57,0,0
57,Lautaro Blanco,ar  ARG,MF,Elche,23-325,1999,0.1,9,5,4,1,0,0,2,3,0,0,0,0,6,0,0
58,Theo Bongonda,cd  COD,MF,Cádiz,27-051,1995,5.6,124,116,7,2,0,0,11,1,4,1,1,0,88,1,4
59,Wassim Boullif,es  ESP,"DF,MF",Espanyol,17-341,2005,0.8,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
60,Yassine Bounou,ma  MAR,GK,Sevilla,31-280,1991,13.5,502,375,127,33,0,2,0,0,0,0,0,0,364,0,0
61,Lucas Boyé,ar  ARG,FW,Elche,26-316,1996,9.9,236,212,24,0,1,3,7,0,0,0,0,0,185,0,10
62,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-219,1991,9.7,155,154,0,0,0,2,7,0,0,0,0,0,98,1,9
63,Juan Brandáriz,es  ESP,DF,Almería,23-314,1999,5.3,241,219,21,9,0,1,2,8,0,0,0,0,208,1,5
64,Darko Brašanac,rs  SRB,MF,Osasuna,30-332,1992,6.4,204,190,12,4,0,0,3,2,0,0,0,0,163,2,8
65,Claudio Bravo,cl  CHI,GK,Betis,39-272,1983,2.0,69,39,29,9,0,1,0,0,0,0,0,0,32,1,0
66,Ante Budimir,hr  CRO,FW,Osasuna,31-172,1991,6.9,104,100,4,0,0,0,2,0,0,0,0,0,56,0,1
67,Santiago Bueno,uy  URU,DF,Girona,24-062,1998,16.0,937,893,43,35,0,10,2,8,0,0,0,0,811,1,7
68,Sergio Busquets,es  ESP,MF,Barcelona,34-178,1988,11.4,768,738,29,29,8,2,2,0,0,0,0,0,684,1,5
69,Leandro Cabrera,uy  URU,DF,Espanyol,31-207,1991,14.3,655,605,46,32,0,7,4,14,0,0,0,0,485,4,6
70,Cala,es  ESP,DF,Cádiz,33-045,1989,1.5,38,33,5,5,0,2,0,0,0,0,0,0,30,0,0
71,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-118,1995,11.2,486,434,50,19,0,7,4,31,0,0,0,0,395,2,2
72,Eduardo Camavinga,fr  FRA,MF,Real Madrid,20-061,2002,6.2,384,376,6,6,2,0,1,0,0,0,0,0,349,2,4
73,Sergio Camello,es  ESP,FW,Rayo Vallecano,21-334,2001,12.4,215,195,20,2,1,0,1,2,0,0,0,0,178,0,3
74,Sergio Canales,es  ESP,"MF,FW",Betis,31-328,1991,11.2,600,537,54,18,5,6,59,3,30,13,14,0,441,9,22
75,Ander Capa,es  ESP,FW,Athletic Club,30-336,1992,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,Étienne Capoue,fr  FRA,MF,Villarreal,34-183,1988,10.3,481,466,15,13,4,2,4,2,0,0,0,0,417,0,5
77,Isaac Carcelen,es  ESP,DF,Cádiz,29-262,1993,6.7,265,208,57,7,0,2,10,48,2,1,1,0,215,0,6
78,Juan Carlos,es  ESP,GK,Girona,34-355,1988,10.0,340,265,75,13,0,0,0,0,0,0,0,0,288,0,0
79,Carmona,es  ESP,DF,Sevilla,20-346,2002,5.9,330,297,32,7,0,2,11,24,0,0,0,0,269,1,3
80,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,29-128,1993,9.5,412,337,73,14,2,4,36,40,19,10,4,0,329,2,11
81,Dani Carvajal,es  ESP,DF,Real Madrid,30-364,1992,10.3,614,544,69,8,0,6,23,61,0,0,0,0,524,1,11
82,William Carvalho,pt  POR,MF,Betis,30-278,1992,12.3,745,722,20,20,5,7,2,0,0,0,0,0,638,3,8
83,Casals,es  ESP,MF,Girona,17-217,2005,0.1,,,,,,,0,,,,,,,,
84,Casemiro,br  BRA,MF,Real Madrid,30-321,1992,0.1,8,8,0,0,0,1,0,0,0,0,0,0,7,0,0
85,Valentín Castellanos,ar  ARG,FW,Girona,24-099,1998,14.0,200,184,14,0,1,1,3,0,0,0,0,0,129,2,7
86,Samu Castillejo,es  ESP,FW,Valencia,27-357,1995,8.4,304,288,15,3,1,3,30,3,9,3,4,0,241,1,3
87,Catena,es  ESP,DF,Rayo Vallecano,28-074,1994,15.0,847,810,33,32,1,21,1,0,0,0,0,0,699,4,3
88,Edinson Cavani,uy  URU,FW,Valencia,35-330,1987,6.6,144,131,12,0,1,4,0,0,0,0,0,0,109,1,3
89,Dani Ceballos,es  ESP,MF,Real Madrid,26-156,1996,2.7,212,207,4,0,0,1,3,1,3,0,1,0,194,1,2
90,Franco Cervi,ar  ARG,MF,Celta Vigo,28-229,1994,13.0,436,401,34,7,0,1,54,2,25,5,17,0,309,1,13
91,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-275,1998,0.7,41,38,3,0,0,1,6,1,2,0,1,0,28,0,4
92,Andreas Christensen,dk  DEN,DF,Barcelona,26-275,1996,5.5,485,471,14,11,2,3,0,2,0,0,0,0,455,0,0
93,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-233,1999,7.8,248,243,5,1,1,0,7,2,2,0,0,0,187,0,9
94,Víctor Chust,es  ESP,DF,Cádiz,22-311,2000,9.5,395,373,19,18,0,5,0,1,0,0,0,0,326,3,4
95,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-300,1994,8.1,386,371,13,13,0,9,0,0,0,0,0,0,327,2,6
96,Carlos Clerc,es  ESP,DF,Elche,30-323,1992,11.5,564,434,128,14,0,2,38,111,3,0,3,0,414,2,18
97,Álex Collado,es  ESP,MF,Elche,23-263,1999,6.0,218,208,10,1,1,3,11,1,8,5,0,0,176,0,8
98,Eray Cömert,ch  SUI,DF,Valencia,24-340,1998,11.7,685,642,41,32,0,17,1,0,0,0,0,0,596,2,4
99,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-097,1996,9.3,411,397,13,11,0,9,5,1,0,0,0,0,345,1,7
100,Copete,es  ESP,DF,Mallorca,23-092,1999,12.8,484,461,20,17,0,1,3,3,0,0,0,0,381,3,12
101,Francis Coquelin,fr  FRA,MF,Villarreal,31-242,1991,6.8,232,223,6,6,1,3,4,0,0,0,0,0,197,3,4
102,Jesús Corona,mx  MEX,FW,Sevilla,30-004,1993,0.7,20,19,1,0,0,1,2,1,0,0,0,0,16,0,0
103,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,27-307,1995,5.9,221,208,11,2,0,2,14,0,7,1,4,0,173,2,6
104,Thierry Correia,pt  POR,DF,Valencia,23-307,1999,15.4,983,819,162,22,1,6,53,140,0,0,0,0,760,2,25
105,Jaume Costa,es  ESP,DF,Mallorca,34-298,1988,12.6,532,430,98,6,0,4,35,92,0,0,0,0,402,4,14
106,Samu Costa,pt  POR,MF,Almería,22-044,2000,8.7,373,356,14,13,1,6,3,1,0,0,0,0,298,3,8
107,Thibaut Courtois,be  BEL,GK,Real Madrid,30-244,1992,12.0,422,352,68,13,0,0,0,0,0,0,0,0,355,2,0
108,Yan Couto,br  BRA,"DF,MF",Girona,20-221,2002,6.5,366,318,47,4,0,3,31,43,0,0,0,0,280,1,6
109,Juan Cruz Armada,es  ESP,DF,Osasuna,30-166,1992,13.0,554,432,121,10,0,0,26,111,0,0,0,0,418,1,14
110,Juan Cruz,es  ESP,FW,Betis,22-260,2000,1.9,36,35,1,1,0,0,6,0,0,0,0,0,22,0,2
111,Jorge Cuenca,es  ESP,DF,Villarreal,23-054,1999,1.1,87,83,4,1,1,3,0,1,0,0,0,0,73,0,0
112,Braian Cufré,ar  ARG,DF,Mallorca,26-026,1996,2.2,81,59,21,1,0,1,1,20,0,0,0,0,68,1,1
113,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-228,1999,4.2,85,77,6,0,1,1,3,1,0,0,0,0,64,2,3
114,Curro,es  ESP,MF,Almería,27-007,1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1
115,Sergi Darder,es  ESP,MF,Espanyol,29-019,1993,15.7,716,589,122,49,6,9,86,7,54,26,17,3,515,5,15
116,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-231,1994,7.4,457,425,28,13,3,12,21,7,6,2,2,0,370,4,7
117,Alberto Del Moral,es  ESP,MF,Villarreal,22-174,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Thomas Delaney,dk  DEN,MF,Sevilla,31-129,1991,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1
119,Fran Delgado,es  ESP,DF,Betis,21-183,2001,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0
120,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-240,1997,10.9,570,513,52,6,9,4,66,6,40,14,11,1,437,5,19
121,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-022,1996,10.8,547,533,13,9,0,9,0,0,0,0,0,0,463,1,3
122,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-198,2000,0.7,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1
123,Youba Diarra,ml  MLI,MF,Cádiz,24-292,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
124,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-016,1993,15.0,445,282,160,39,0,3,0,0,0,0,0,0,278,3,0
125,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-090,2001,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
126,Djené,tg  TOG,DF,Getafe,31-010,1991,13.1,471,450,19,15,0,2,5,4,0,0,0,0,393,2,6
127,Marko Dmitrović,rs  SRB,GK,Sevilla,30-351,1992,2.5,100,68,31,13,0,1,0,0,0,0,0,0,72,1,0
128,Kasper Dolberg,dk  DEN,FW,Sevilla,25-096,1997,2.2,28,24,3,0,0,0,0,0,0,0,0,0,19,1,0
129,Carlos Dominguez,es  ESP,MF,Celta Vigo,21-333,2001,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
130,John Donald,es  ESP,DF,Elche,22-133,2000,1.7,33,32,0,0,0,0,0,0,0,0,0,0,28,1,0
131,Domingos Duarte,pt  POR,DF,Getafe,27-306,1995,14.5,512,490,20,18,0,6,0,2,0,0,0,0,413,2,3
132,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,21-350,2001,0.4,21,21,0,0,0,0,1,0,0,0,0,0,14,0,0
133,Hugo Duro,es  ESP,"FW,MF",Valencia,23-061,1999,4.9,107,94,13,2,0,0,1,1,0,0,0,0,80,0,3
134,Íñigo Eguaras,es  ESP,MF,Almería,30-309,1992,5.7,303,292,8,4,3,1,2,1,2,0,0,0,255,3,2
135,Aritz Elustondo,es  ESP,DF,Real Sociedad,28-288,1994,8.9,488,426,58,7,0,0,4,51,0,0,0,0,405,4,3
136,Rodrigo Ely,br  BRA,DF,Almería,29-068,1993,14.7,623,591,30,30,0,5,0,0,0,0,0,0,514,2,3
137,Youssef En-Nesyri,ma  MAR,"FW,MF",Sevilla,25-223,1997,5.3,72,59,12,0,0,1,2,2,0,0,0,0,39,1,2
138,Sergio Escudero,es  ESP,DF,Valladolid,33-130,1989,8.5,378,290,85,10,0,4,24,69,6,0,6,0,275,3,9
139,Alfonso Espino,uy  URU,DF,Cádiz,31-005,1992,14.7,617,479,133,13,0,3,31,120,0,0,0,0,390,5,26
140,Bernardo Espinosa,co  COL,DF,Girona,33-183,1989,5.5,358,350,7,6,0,1,0,1,0,0,0,0,312,1,0
141,Edu Expósito,es  ESP,MF,Espanyol,26-162,1996,9.5,334,302,31,10,1,4,25,1,8,5,2,0,242,1,7
142,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,22-364,2000,3.3,127,105,22,3,0,1,12,15,4,3,1,0,96,0,6
143,Abdessamad Ezzalzouli,ma  MAR,"MF,FW",Osasuna,21-024,2001,4.3,142,137,5,2,2,0,13,2,1,0,0,0,93,0,11
144,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,36-334,1986,4.6,96,91,5,0,0,1,0,0,0,0,0,0,71,0,3
145,Fali,es  ESP,"DF,MF",Cádiz,29-151,1993,7.9,257,251,6,6,1,6,0,0,0,0,0,0,198,0,3
146,Ansu Fati,es  ESP,FW,Barcelona,20-071,2002,6.5,259,254,3,1,0,0,4,0,1,0,0,0,219,2,8
147,Zouhair Feddal,ma  MAR,DF,Valladolid,34-009,1989,4.2,201,187,13,11,0,5,1,0,0,0,0,0,159,1,1
148,Nabil Fekir,fr  FRA,MF,Betis,29-176,1993,6.7,305,263,41,17,1,2,30,2,21,10,8,0,240,1,5
149,Felipe,br  BRA,DF,Atlético Madrid,33-239,1989,2.0,129,125,3,2,0,0,0,1,0,0,0,0,118,1,1
150,Luiz Felipe,it  ITA,DF,Betis,25-294,1997,5.6,275,262,12,12,0,3,0,0,0,0,0,0,238,1,4
151,João Félix,pt  POR,"FW,MF",Atlético Madrid,23-061,1999,7.2,228,209,18,6,7,2,8,3,4,3,0,0,171,1,5
152,Kiko Femenía,es  ESP,DF,Villarreal,31-342,1991,9.8,568,470,95,15,0,1,24,80,0,0,0,0,481,3,12
153,Aitor Fernández,es  ESP,GK,Osasuna,31-252,1991,6.0,225,149,75,28,0,1,0,0,0,0,0,0,141,1,0
154,Álex Fernández,es  ESP,"MF,FW",Cádiz,30-087,1992,9.8,370,336,34,19,0,4,18,0,10,3,4,0,306,0,2
155,Álvaro Fernández,es  ESP,GK,Espanyol,24-272,1998,6.0,184,98,86,24,0,0,0,0,0,0,0,0,124,0,0
156,Carlos Fernández,es  ESP,FW,Real Sociedad,26-233,1996,2.6,59,56,3,0,1,0,0,1,0,0,0,0,40,0,1
157,Federico Fernández,ar  ARG,DF,Elche,33-323,1989,1.0,14,13,1,1,0,0,0,0,0,0,0,0,8,0,0
158,Joaquín Fernández,es  ESP,DF,Valladolid,26-224,1996,12.6,539,518,19,15,0,11,0,1,0,0,0,0,447,2,7
159,Fidel,es  ESP,"MF,FW",Elche,33-075,1989,2.2,96,86,9,2,0,0,16,0,7,1,5,0,55,1,2
160,Dimitri Foulquier,fr  FRA,"DF,MF",Valencia,29-293,1993,3.3,134,122,12,2,0,0,7,10,0,0,0,0,93,0,3
161,Juan Foyth,ar  ARG,DF,Villarreal,24-363,1998,4.4,253,209,42,8,2,3,3,34,0,0,0,0,214,2,3
162,Iván Fresneda,es  ESP,DF,Valladolid,18-104,2004,7.2,377,313,62,6,1,0,21,56,0,0,0,0,301,2,11
163,Javi Galán,es  ESP,DF,Celta Vigo,28-052,1994,15.9,905,735,166,15,0,10,64,151,0,0,0,0,695,4,23
164,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,29-157,1993,10.5,475,454,19,16,1,11,16,0,3,0,2,0,398,2,8
165,Aleix García,es  ESP,MF,Girona,25-196,1997,15.8,1050,917,126,68,2,26,107,8,50,23,21,1,888,7,15
166,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,30-075,1992,14.2,433,406,22,3,0,1,69,16,3,2,0,0,276,5,17
167,Carlos García,es  ESP,DF,Cádiz,22-187,2000,0.3,24,23,1,1,0,0,0,0,0,0,0,0,20,0,0
168,Dani García,es  ESP,MF,Athletic Club,32-231,1990,4.9,244,234,9,9,0,1,1,0,0,0,0,0,195,1,2
169,David García,es  ESP,DF,Osasuna,28-330,1994,13.5,536,518,17,17,0,11,1,0,0,0,0,0,424,1,2
170,Eric García,es  ESP,DF,Barcelona,22-001,2001,6.8,506,480,24,18,0,7,0,6,0,0,0,0,460,2,0
171,Francisco Garcia,es  ESP,DF,Rayo Vallecano,23-149,1999,15.9,908,736,170,9,0,3,75,161,0,0,0,0,740,2,25
172,Raúl García,es  ESP,"MF,FW",Athletic Club,36-183,1986,4.3,133,127,4,1,1,1,5,1,0,0,0,0,85,2,2
173,Rubén García,es  ESP,"MF,FW",Osasuna,29-180,1993,5.4,255,219,34,13,4,4,38,2,18,8,8,2,192,2,6
174,Unai García,es  ESP,DF,Osasuna,30-341,1992,13.1,539,506,33,26,0,15,2,7,0,0,0,0,417,0,2
175,Felix Garreta,es  ESP,DF,Betis,18-264,2004,1.0,40,38,1,1,0,0,0,0,0,0,0,0,34,1,0
176,Sékou Gassama,sn  SEN,FW,Valladolid,27-249,1995,0.4,9,7,2,0,0,0,0,0,0,0,0,0,7,0,0
177,Gavi,es  ESP,MF,Barcelona,18-158,2004,10.3,508,492,15,5,4,6,19,7,0,0,0,0,445,1,12
178,Paulo Gazzaniga,ar  ARG,GK,Girona,31-008,1992,6.0,239,173,65,20,0,1,0,0,0,0,0,0,180,1,0
179,Óscar Gil,es  ESP,DF,Espanyol,25-259,1997,11.6,434,320,114,12,1,3,21,102,0,0,0,0,339,0,14
180,Álvaro Giménez,es  ESP,FW,Cádiz,31-236,1991,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
181,Dani Gómez,es  ESP,"MF,FW",Espanyol,24-164,1998,0.7,13,12,1,0,0,0,2,1,0,0,0,0,9,0,2
182,Maxi Gómez,uy  URU,FW,Valencia,26-149,1996,1.2,14,13,1,0,0,0,0,0,0,0,0,0,9,0,0
183,Moi Gómez,es  ESP,"MF,FW",Osasuna,28-201,1994,14.6,705,620,80,35,1,21,69,3,41,17,19,0,569,5,22
184,Papu Gómez,ar  ARG,"FW,MF",Sevilla,34-329,1988,7.2,374,355,18,2,2,8,24,6,9,2,2,0,326,1,2
185,Sergi Gómez,es  ESP,DF,Espanyol,30-288,1992,11.9,512,488,24,21,0,7,2,3,0,0,0,0,441,0,1
186,Diego González,es  ESP,DF,Elche,27-347,1995,5.6,246,229,17,11,0,1,1,6,0,0,0,0,199,0,3
187,Édgar González,es  ESP,DF,Betis,25-284,1997,10.4,458,440,15,15,0,2,0,0,0,0,0,0,405,3,2
188,Giovanni González,uy  URU,DF,Mallorca,28-112,1994,4.5,202,175,27,1,0,0,11,26,0,0,0,0,153,0,2
189,Nicolás González,es  ESP,MF,Valencia,21-007,2002,6.6,419,400,17,15,0,3,1,1,0,0,0,0,375,2,4
190,Roberto González,es  ESP,"FW,MF",Betis,22-004,2001,0.6,29,22,7,1,0,0,5,0,6,1,2,0,25,0,1
191,Andoni Gorosabel,es  ESP,DF,Real Sociedad,26-159,1996,8.0,459,357,102,12,0,1,17,90,0,0,0,0,391,0,11
192,Ivo Grbić,hr  CRO,GK,Atlético Madrid,26-357,1996,2.3,87,51,36,13,0,0,0,0,0,0,0,0,41,0,0
193,Clément Grenier,fr  FRA,MF,Mallorca,32-003,1991,4.5,187,160,25,11,0,3,23,0,11,6,4,0,133,2,2
194,Antoine Griezmann,fr  FRA,"FW,MF",Atlético Madrid,31-295,1991,10.5,528,471,56,14,6,3,64,3,32,23,5,0,396,1,13
195,Arnaut Groeneveld,nl  NED,FW,Villarreal,25-344,1997,5.3,95,83,12,1,0,0,6,2,2,0,0,0,70,0,1
196,Andrés Guardado,mx  MEX,MF,Betis,36-104,1986,4.9,247,223,23,13,1,7,7,3,7,1,5,0,202,1,7
197,Sergi Guardiola,es  ESP,FW,Valladolid,31-226,1991,4.9,100,91,8,0,0,0,3,0,0,0,0,0,62,1,4
198,Nemanja Gudelj,rs  SRB,"DF,MF",Sevilla,31-055,1991,13.5,704,673,30,24,1,3,0,1,0,0,0,0,649,1,1
199,Ander Guevara,es  ESP,MF,Real Sociedad,25-187,1997,1.5,120,119,0,0,1,0,0,0,0,0,0,0,108,1,1
200,Hugo Guillamón,es  ESP,MF,Valencia,22-344,2000,10.8,671,604,62,45,3,14,24,1,14,2,12,0,558,5,9
