,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
77,Pedro Bigas,es  ESP,DF,Elche,32-158,1990,18,1323,74,66.8,14.7,16,79,11,2,28,1,0.28,6,30,-24,-1.63,-0.81,10.5,27.8,-17.4,-1.18,+0.04
78,El Bilal Touré,ml  MLI,FW,Almería,21-140,2001,16,980,61,49.5,10.9,11,75,0,5,30,3,1.13,19,18,+1,+0.09,+1.35,15.1,14.5,+0.7,+0.06,+1.00
79,Blanco,es  ESP,MF,Cádiz,22-212,2000,3,158,53,8.0,1.8,2,67,0,1,25,9,0.00,1,6,-5,-2.85,-2.21,0.6,3.4,-2.8,-1.57,-0.89
80,Lautaro Blanco,ar  ARG,"MF,DF",Elche,24-001,1999,5,230,46,11.6,2.6,2,79,1,3,24,2,1.00,2,4,-2,-0.78,+0.66,2.0,4.9,-2.9,-1.14,+0.06
81,Theo Bongonda,cd  COD,MF,Cádiz,27-092,1995,15,869,58,43.9,9.7,11,68,0,4,31,5,1.13,9,12,-3,-0.31,+0.90,8.7,12.5,-3.8,-0.39,+0.64
82,Wassim Boullif,es  ESP,"DF,MF",Espanyol,18-017,2005,5,88,18,4.4,1.0,0,,0,5,18,13,1.80,3,2,+1,+1.02,+1.36,1.4,2.0,-0.7,-0.68,-0.59
83,Yassine Bounou,ma  MAR,GK,Sevilla,31-321,1991,20,1755,88,88.6,19.5,20,88,19,0,,1,1.14,23,28,-5,-0.26,+0.14,22.2,30.9,-8.7,-0.44,+0.03
84,Lucas Boyé,ar  ARG,FW,Elche,26-357,1996,20,1332,67,67.3,14.8,16,78,6,4,21,0,0.40,10,29,-19,-1.28,+0.24,13.4,25.0,-11.6,-0.78,+1.26
85,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-260,1991,17,1367,80,69.0,15.2,17,80,6,0,,0,1.12,19,19,0,0.00,+0.88,17.7,19.0,-1.3,-0.08,+0.08
86,Juan Brandáriz,es  ESP,DF,Almería,23-355,1999,12,761,63,38.4,8.5,7,89,6,5,27,8,0.83,9,15,-6,-0.71,-0.19,11.7,16.5,-4.8,-0.56,-0.20
87,Darko Brašanac,rs  SRB,MF,Osasuna,31-008,1992,20,845,42,42.7,9.4,7,77,2,13,24,2,1.35,8,9,-1,-0.11,-0.03,9.9,10.3,-0.4,-0.04,-0.16
88,Claudio Bravo,cl  CHI,GK,Betis,39-313,1983,4,360,90,18.2,4.0,4,90,4,0,,14,1.25,3,3,0,0.00,-0.33,5.2,5.6,-0.4,-0.11,-0.32
89,Bryan,es  ESP,"DF,MF",Sevilla,22-009,2001,3,163,54,8.2,1.8,1,90,1,2,37,0,1.33,2,4,-2,-1.10,-0.91,2.3,3.1,-0.8,-0.45,0.00
90,Ante Budimir,hr  CRO,FW,Osasuna,31-213,1991,18,1019,57,51.5,11.3,13,71,1,5,18,4,1.44,11,10,+1,+0.09,+0.37,12.4,10.4,+2.0,+0.18,+0.26
91,Santiago Bueno,uy  URU,DF,Girona,24-103,1998,21,1877,89,94.8,20.9,21,89,20,0,,0,1.29,33,31,+2,+0.10,+1.84,30.2,25.5,+4.7,+0.23,+1.70
92,Sergio Busquets,es  ESP,MF,Barcelona,34-219,1988,18,1302,72,65.8,14.5,16,78,9,2,30,2,2.61,25,5,+20,+1.38,-1.01,27.0,12.1,+14.8,+1.03,-0.66
93,Leandro Cabrera,uy  URU,DF,Espanyol,31-248,1991,20,1736,87,87.7,19.3,20,87,18,0,,0,1.05,25,31,-6,-0.31,-0.31,22.9,24.1,-1.1,-0.06,+0.40
94,Cala,es  ESP,DF,Cádiz,33-086,1989,3,137,46,6.9,1.5,1,72,0,2,33,9,0.67,0,3,-3,-1.97,-1.24,0.8,2.5,-1.7,-1.15,-0.43
95,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-159,1995,18,1223,68,61.8,13.6,15,75,6,3,31,3,1.11,12,20,-8,-0.59,-0.83,12.7,17.3,-4.6,-0.34,-0.60
96,Alexander Callens,pe  PER,DF,Girona,30-292,1992,2,53,27,2.7,0.6,0,,0,2,27,2,1.50,0,0,0,0.00,0.00,0.2,0.3,-0.1,-0.14,-0.29
97,Dawda Camara,mr  MTN,FW,Girona,20-108,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
98,Eduardo Camavinga,fr  FRA,"MF,DF",Real Madrid,20-102,2002,22,1094,50,55.3,12.2,11,79,6,11,20,0,2.32,27,6,+21,+1.73,+0.91,30.1,9.3,+20.8,+1.72,+1.10
99,Sergio Camello,es  ESP,FW,Rayo Vallecano,22-010,2001,22,1590,72,80.3,17.7,19,79,3,3,32,0,1.55,27,20,+7,+0.40,+0.86,23.2,20.9,+2.2,+0.13,+0.68
