,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
16,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,19-023,2004,3.5,5,3,4,1,0,0,2,0.0,2,6,0,6,2,7,2,0
17,Domingos André Ribeiro Almeida,pt  POR,MF,Valencia,22-257,2000,12.9,35,24,9,19,7,14,22,63.6,8,12,0,12,9,44,7,0
18,Marcos Alonso,es  ESP,DF,Barcelona,32-045,1990,6.9,8,5,5,3,0,5,6,83.3,1,7,6,1,6,14,16,0
19,Carlos Álvarez,es  ESP,FW,Sevilla,19-189,2003,0.1,,1,,,,,,,,,,,0,,,
20,Gastón Álvarez,uy  URU,DF,Getafe,22-324,2000,6.3,14,9,9,5,0,8,14,57.1,6,6,3,3,9,23,17,0
21,Yeray Álvarez,es  ESP,DF,Athletic Club,28-018,1995,16.4,20,13,17,2,1,14,18,77.8,4,15,11,4,36,56,61,0
22,Amath,sn  SEN,"MF,FW",Mallorca,26-210,1996,5.2,15,9,7,2,6,7,11,63.6,4,3,0,3,2,17,2,0
23,Jordan Amavi,fr  FRA,DF,Getafe,28-339,1994,2.1,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0
24,Fabrizio Angileri,ar  ARG,DF,Getafe,28-333,1994,5.7,7,5,4,2,1,5,11,45.5,6,7,3,4,6,13,8,0
25,Anuar,ma  MAR,"MF,FW",Valladolid,28-027,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0
26,Mauro Arambarri,uy  URU,MF,Getafe,27-134,1995,6.5,9,4,5,3,1,2,13,15.4,11,13,4,9,7,16,10,0
27,Ronald Araújo,uy  URU,DF,Barcelona,23-341,1999,9.5,13,9,6,7,0,2,3,66.7,1,4,2,2,8,21,18,0
28,Roberto Arroyo,es  ESP,MF,Valladolid,19-170,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
29,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-282,1998,3.3,5,4,3,1,1,4,12,33.3,8,8,0,8,1,6,8,1
30,Sergio Asenjo,es  ESP,GK,Valladolid,33-228,1989,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
31,Marco Asensio,es  ESP,"FW,MF",Real Madrid,27-021,1996,5.6,8,5,4,4,0,3,6,50.0,3,3,1,2,2,10,2,0
32,Iago Aspas,es  ESP,FW,Celta Vigo,35-194,1987,18.5,2,1,0,0,2,1,9,11.1,8,8,1,7,5,7,12,0
33,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-238,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,29-005,1994,12.9,5,3,2,2,1,4,15,26.7,11,6,0,6,6,11,9,0
35,Iddrisu Baba,gh  GHA,MF,Mallorca,27-020,1996,10.4,22,11,10,12,0,9,16,56.3,7,8,1,7,7,29,15,0
36,Srđan Babić,rs  SRB,DF,Almería,26-295,1996,16.5,16,7,12,4,0,7,13,53.8,6,10,8,2,12,28,46,0
37,Loïc Bade,fr  FRA,DF,Sevilla,22-306,2000,4.0,7,6,4,2,1,5,7,71.4,2,4,1,3,5,12,15,0
38,Édgar Badía,es  ESP,GK,Elche,30-364,1992,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,11,2
39,Alex Baena,es  ESP,"MF,FW",Villarreal,21-206,2001,11.5,17,9,5,7,5,10,18,55.6,8,9,3,6,4,21,11,0
40,Alejandro Balde,es  ESP,DF,Barcelona,19-116,2003,13.4,23,18,15,6,2,11,16,68.8,5,16,2,14,7,30,10,0
41,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-347,1988,0.5,2,2,0,1,1,2,2,100.0,0,0,0,0,1,3,1,0
42,Iván Balliu,al  ALB,DF,Rayo Vallecano,31-041,1992,19.9,20,13,11,9,0,6,10,60.0,4,10,2,8,15,35,46,1
43,Léo Baptistão,br  BRA,"FW,MF",Almería,30-169,1992,10.5,22,14,9,10,3,9,16,56.3,7,7,0,7,15,37,5,0
44,Keidi Bare,al  ALB,MF,Espanyol,25-167,1997,3.7,7,3,4,1,2,3,7,42.9,4,5,2,3,11,18,5,0
45,Kike Barja,es  ESP,"FW,MF",Osasuna,25-316,1997,4.3,3,1,1,1,1,0,2,0.0,2,1,0,1,2,5,1,0
46,Ander Barrenetxea,es  ESP,"FW,DF",Real Sociedad,21-046,2001,2.1,6,3,5,1,0,3,8,37.5,5,3,0,3,2,8,2,0
47,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-241,2003,3.0,7,4,1,6,0,3,5,60.0,2,2,0,2,4,11,2,0
48,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-214,1991,7.3,12,5,7,5,0,6,12,50.0,6,15,7,8,5,17,18,0
49,Bebé,cv  CPV,FW,Rayo Vallecano,32-214,1990,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
50,Héctor Bellerín,es  ESP,DF,Barcelona,27-329,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0
51,Fran Beltrán,es  ESP,MF,Celta Vigo,24-008,1999,17.9,17,11,8,6,3,4,24,16.7,20,15,4,11,20,37,19,2
52,Karim Benzema,fr  FRA,FW,Real Madrid,35-054,1987,11.6,6,4,2,1,3,0,5,0.0,5,8,0,8,1,7,2,0
53,Yuri Berchiche,es  ESP,DF,Athletic Club,33-001,1990,10.5,21,13,10,9,2,11,18,61.1,7,18,6,12,16,37,25,1
54,Álex Berenguer,es  ESP,FW,Athletic Club,27-222,1995,14.7,34,22,10,13,11,14,30,46.7,16,15,1,14,4,38,5,0
55,Pedro Bigas,es  ESP,DF,Elche,32-149,1990,14.2,22,12,17,5,0,9,16,56.3,7,14,6,8,23,45,56,0
56,El Bilal Touré,ml  MLI,FW,Almería,21-131,2001,10.0,3,2,1,1,1,0,2,0.0,2,4,1,3,0,3,17,0
57,Blanco,es  ESP,MF,Cádiz,22-203,2000,1.8,6,4,5,1,0,4,6,66.7,2,5,0,5,1,7,3,0
58,Lautaro Blanco,ar  ARG,"MF,DF",Elche,23-357,1999,2.6,5,2,3,1,1,4,5,80.0,1,4,1,3,1,6,4,0
59,Theo Bongonda,cd  COD,MF,Cádiz,27-083,1995,8.0,10,9,5,3,2,5,12,41.7,7,6,1,5,1,11,2,0
60,Wassim Boullif,es  ESP,"DF,MF",Espanyol,18-008,2005,0.8,2,1,2,0,0,2,2,100.0,0,3,2,1,0,2,3,0
61,Yassine Bounou,ma  MAR,GK,Sevilla,31-312,1991,17.5,1,1,1,0,0,1,4,25.0,3,0,0,0,1,2,8,0
62,Lucas Boyé,ar  ARG,FW,Elche,26-348,1996,13.5,19,9,5,8,6,10,16,62.5,6,22,4,18,8,27,23,0
63,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-251,1991,13.2,8,1,2,3,3,4,7,57.1,3,7,0,7,3,11,6,0
64,Juan Brandáriz,es  ESP,DF,Almería,23-346,1999,7.3,11,6,7,3,1,3,6,50.0,3,8,4,4,9,20,28,0
65,Darko Brašanac,rs  SRB,MF,Osasuna,30-364,1992,8.3,18,12,9,6,3,4,11,36.4,7,11,2,9,9,27,5,0
66,Claudio Bravo,cl  CHI,GK,Betis,39-304,1983,3.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
67,Bryan,es  ESP,MF,Sevilla,22-000,2001,0.5,2,0,1,0,1,0,2,0.0,2,0,0,0,0,2,1,0
68,Ante Budimir,hr  CRO,FW,Osasuna,31-204,1991,9.6,9,3,0,6,3,0,3,0.0,3,5,0,5,2,11,11,0
69,Santiago Bueno,uy  URU,DF,Girona,24-094,1998,18.9,37,21,21,16,0,15,17,88.2,2,17,13,4,21,58,48,0
70,Sergio Busquets,es  ESP,MF,Barcelona,34-210,1988,14.5,37,19,14,18,5,17,28,60.7,11,19,5,14,17,54,21,2
71,Leandro Cabrera,uy  URU,DF,Espanyol,31-239,1991,18.3,20,10,13,7,0,11,15,73.3,4,23,18,5,27,47,76,2
72,Cala,es  ESP,DF,Cádiz,33-077,1989,1.5,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,12,0
73,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-150,1995,13.1,35,19,20,12,3,18,24,75.0,6,24,9,15,8,43,40,0
74,Eduardo Camavinga,fr  FRA,"MF,DF",Real Madrid,20-093,2002,10.2,30,21,11,11,8,8,26,30.8,18,13,3,10,9,39,13,0
75,Sergio Camello,es  ESP,FW,Rayo Vallecano,22-001,2001,15.9,11,7,3,6,2,3,8,37.5,5,5,0,5,0,11,15,0
76,Sergio Canales,es  ESP,"MF,FW",Betis,31-360,1991,15.2,15,9,6,6,3,9,16,56.3,7,10,0,10,6,21,7,0
77,Ander Capa,es  ESP,"MF,FW",Athletic Club,31-003,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
78,Étienne Capoue,fr  FRA,MF,Villarreal,34-215,1988,13.0,17,9,5,11,1,8,10,80.0,2,8,2,6,13,30,18,0
79,Isaac Carcelen,es  ESP,DF,Cádiz,29-294,1993,10.7,36,24,25,9,2,22,30,73.3,8,16,6,10,12,48,33,0
80,Juan Carlos,es  ESP,GK,Girona,35-022,1988,10.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1
81,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,29-160,1993,10.8,19,11,10,8,1,12,23,52.2,11,10,1,9,4,23,9,0
82,Dani Carvajal,es  ESP,DF,Real Madrid,31-031,1992,12.0,23,12,10,10,3,13,20,65.0,7,16,5,11,12,35,25,0
83,William Carvalho,pt  POR,MF,Betis,30-310,1992,15.0,22,14,10,11,1,7,21,33.3,14,17,5,12,9,31,12,0
84,Casemiro,br  BRA,MF,Real Madrid,30-353,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
85,Valentín Castellanos,ar  ARG,FW,Girona,24-131,1998,15.8,7,3,1,3,3,0,8,0.0,8,15,2,13,4,11,11,0
86,Samu Castillejo,es  ESP,FW,Valencia,28-024,1995,9.9,13,5,5,6,2,6,21,28.6,15,16,2,14,8,21,1,0
87,Catena,es  ESP,DF,Rayo Vallecano,28-106,1994,19.0,14,8,10,4,0,7,13,53.8,6,17,14,3,11,25,87,1
88,Edinson Cavani,uy  URU,FW,Valencia,35-362,1987,10.3,4,1,2,0,2,1,6,16.7,5,7,2,5,1,5,5,0
89,Dani Ceballos,es  ESP,MF,Real Madrid,26-188,1996,6.3,14,8,4,4,6,8,19,42.1,11,9,2,7,13,27,5,0
90,Franco Cervi,ar  ARG,MF,Celta Vigo,28-261,1994,14.6,51,30,20,26,5,22,44,50.0,22,24,1,23,26,77,11,0
91,Pep Chavarría,es  ESP,"FW,DF",Rayo Vallecano,24-307,1998,1.1,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,5,0
92,Andreas Christensen,dk  DEN,DF,Barcelona,26-307,1996,8.0,9,5,4,5,0,4,7,57.1,3,4,2,2,7,16,22,0
93,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-265,1999,11.2,11,5,6,1,4,4,6,66.7,2,7,0,7,6,17,10,0
94,Víctor Chust,es  ESP,DF,Cádiz,22-343,2000,9.5,8,6,7,1,0,3,6,50.0,3,7,3,4,10,18,44,0
95,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,28-332,1994,10.2,30,23,9,17,4,11,24,45.8,13,16,9,7,17,47,24,0
96,Carlos Clerc,es  ESP,"DF,MF",Elche,30-355,1992,13.0,31,21,22,8,1,11,17,64.7,6,12,3,9,11,42,35,1
97,Álex Collado,es  ESP,MF,Elche,23-295,1999,6.0,22,11,11,9,2,7,11,63.6,4,10,1,9,2,24,3,0
98,Diego Collado,es  ESP,FW,Villarreal,22-033,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
99,Eray Cömert,ch  SUI,DF,Valencia,25-007,1998,13.9,24,15,16,8,0,12,21,57.1,9,16,6,10,19,43,50,1
100,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-129,1996,12.4,38,23,14,23,1,20,37,54.1,17,16,1,15,17,55,6,0
101,Copete,es  ESP,DF,Mallorca,23-124,1999,14.3,29,17,18,10,1,12,15,80.0,3,21,8,13,28,57,54,1
102,Francis Coquelin,fr  FRA,MF,Villarreal,31-274,1991,7.9,18,13,7,9,2,7,7,100.0,0,7,2,5,8,26,7,0
103,Jesús Corona,mx  MEX,FW,Sevilla,30-036,1993,0.7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
104,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,27-339,1995,9.1,5,2,2,2,1,3,8,37.5,5,9,0,9,9,14,4,0
105,Thierry Correia,pt  POR,DF,Valencia,23-339,1999,15.4,42,29,26,15,1,19,29,65.5,10,15,1,14,16,58,35,2
106,Jaume Costa,es  ESP,DF,Mallorca,34-330,1988,16.4,28,18,15,7,6,16,24,66.7,8,10,3,7,6,34,24,0
107,Samu Costa,pt  POR,MF,Almería,22-076,2000,11.7,34,18,18,13,3,15,34,44.1,19,14,4,10,20,54,26,1
108,Thibaut Courtois,be  BEL,GK,Real Madrid,30-276,1992,15.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,1
109,Yan Couto,br  BRA,"DF,MF",Girona,20-253,2002,7.6,19,13,8,8,3,9,14,64.3,5,5,2,3,4,23,2,0
110,Juan Cruz Armada,es  ESP,DF,Osasuna,30-198,1992,14.0,17,9,12,2,3,11,17,64.7,6,8,4,4,9,26,34,0
111,Juan Cruz,es  ESP,FW,Betis,22-292,2000,1.9,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0
112,Jorge Cuenca,es  ESP,DF,Villarreal,23-086,1999,4.0,6,4,4,2,0,1,2,50.0,1,6,5,1,5,11,28,0
113,Braian Cufré,ar  ARG,DF,Mallorca,26-058,1996,2.4,5,2,2,1,2,2,5,40.0,3,2,1,1,2,7,1,0
114,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-260,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0
115,Curro,es  ESP,MF,Almería,27-039,1996,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
116,Arnaut Danjuma,nl  NED,FW,Villarreal,26-011,1997,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1
117,Sergi Darder,es  ESP,MF,Espanyol,29-051,1993,19.7,38,21,7,21,10,14,27,51.9,13,15,0,15,14,52,13,0
118,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-263,1994,9.7,12,4,3,9,0,6,11,54.5,5,12,3,9,3,15,2,0
119,Alberto Del Moral,es  ESP,MF,Villarreal,22-206,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
120,Thomas Delaney,dk  DEN,MF,Sevilla,31-161,1991,3.4,4,2,0,4,0,3,5,60.0,2,3,2,1,4,8,3,0
121,Fran Delgado,es  ESP,DF,Betis,21-215,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
122,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-272,1997,12.2,17,11,4,7,6,4,12,33.3,8,10,1,9,0,17,2,0
123,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-054,1996,11.8,16,8,11,5,0,7,10,70.0,3,17,9,8,8,24,35,1
124,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-230,2000,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0
125,Youba Diarra,ml  MLI,MF,Cádiz,24-324,1998,0.5,2,0,1,1,0,1,3,33.3,2,5,0,5,1,3,1,0
126,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-048,1993,19.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,9,2
127,Malcom Abdulai Ares Djalo,es  ESP,FW,Athletic Club,21-122,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
128,Djené,tg  TOG,DF,Getafe,31-042,1991,17.1,16,10,11,5,0,10,17,58.8,7,11,7,4,31,47,43,1
129,Marko Dmitrović,rs  SRB,GK,Sevilla,31-018,1992,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
130,Kasper Dolberg,dk  DEN,FW,Sevilla,25-128,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0
131,Carlos Dominguez,es  ESP,MF,Celta Vigo,22-000,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
132,John Donald,es  ESP,DF,Elche,22-165,2000,1.7,1,0,1,0,0,0,0,,0,2,2,0,5,6,3,1
133,Domingos Duarte,pt  POR,DF,Getafe,27-338,1995,18.5,16,10,12,4,0,14,17,82.4,3,22,17,5,26,42,93,0
134,Pablo Durán,es  ESP,"MF,DF",Celta Vigo,22-017,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0
135,Hugo Duro,es  ESP,"FW,MF",Valencia,23-093,1999,5.2,5,2,1,1,3,4,5,80.0,1,1,0,1,1,6,3,1
136,Íñigo Eguaras,es  ESP,MF,Almería,30-341,1992,6.0,9,7,3,5,1,5,11,45.5,6,7,3,4,4,13,9,0
137,Aritz Elustondo,es  ESP,DF,Real Sociedad,28-320,1994,11.4,21,12,12,8,1,11,18,61.1,7,12,6,6,18,39,30,1
138,Rodrigo Ely,br  BRA,DF,Almería,29-100,1993,18.7,13,10,9,4,0,9,13,69.2,4,20,15,5,19,32,105,0
139,Youssef En-Nesyri,ma  MAR,"FW,MF",Sevilla,25-255,1997,7.4,9,6,2,5,2,2,5,40.0,3,1,1,0,2,11,7,0
140,Gonzalo Escalante,ar  ARG,MF,Cádiz,29-321,1993,1.5,2,1,0,2,0,1,3,33.3,2,2,0,2,4,6,2,0
141,Sergio Escudero,es  ESP,DF,Valladolid,33-162,1989,8.5,22,15,15,7,0,9,22,40.9,13,15,3,12,10,32,26,0
142,Alfonso Espino,uy  URU,DF,Cádiz,31-037,1992,18.7,49,30,28,11,10,29,55,52.7,26,33,8,25,19,68,53,0
143,Bernardo Espinosa,co  COL,DF,Girona,33-215,1989,8.9,4,0,1,3,0,2,4,50.0,2,11,6,5,3,7,40,2
144,Edu Expósito,es  ESP,MF,Espanyol,26-194,1996,10.3,26,16,10,14,2,10,17,58.8,7,7,0,7,9,35,16,0
145,Nicolás Ezequiel Fernández,ar  ARG,"MF,DF",Elche,23-031,2000,3.5,16,9,8,4,4,7,12,58.3,5,5,0,5,5,21,2,0
146,Abdessamad Ezzalzouli,ma  MAR,"FW,MF",Osasuna,21-056,2001,6.5,15,10,7,6,2,6,9,66.7,3,12,0,12,2,17,3,0
147,Radamel Falcao,co  COL,"FW,MF",Rayo Vallecano,37-001,1986,5.2,3,3,1,2,0,1,4,25.0,3,4,1,3,2,5,9,0
148,Fali,es  ESP,"DF,MF",Cádiz,29-183,1993,9.2,14,8,8,6,0,9,12,75.0,3,9,6,3,4,18,42,1
149,Mamadou Fall,sn  SEN,DF,Villarreal,20-082,2002,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
150,Ansu Fati,es  ESP,FW,Barcelona,20-103,2002,8.6,10,6,4,3,3,3,8,37.5,5,8,0,8,3,13,5,0
151,Zouhair Feddal,ma  MAR,DF,Valladolid,34-041,1989,4.2,4,2,1,3,0,3,4,75.0,1,9,9,0,5,9,27,0
152,Nabil Fekir,fr  FRA,MF,Betis,29-208,1993,8.7,8,3,3,2,3,2,6,33.3,4,5,1,4,1,9,0,0
153,Felipe,br  BRA,DF,Atlético Madrid,33-271,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0
154,Luiz Felipe,it  ITA,DF,Betis,25-326,1997,8.6,16,10,9,7,0,8,15,53.3,7,21,12,9,8,24,43,0
155,João Félix,pt  POR,"FW,MF",Atlético Madrid,23-093,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0
156,Kiko Femenía,es  ESP,DF,Villarreal,32-009,1991,9.9,8,5,6,1,1,5,8,62.5,3,11,5,6,14,22,19,0
157,Aitor Fernández,es  ESP,GK,Osasuna,31-284,1991,10.0,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,9,0
158,Álex Fernández,es  ESP,"MF,FW",Cádiz,30-119,1992,13.6,12,6,6,3,3,4,9,44.4,5,11,1,10,7,19,14,0
159,Álvaro Fernández,es  ESP,GK,Espanyol,24-304,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2
160,Carlos Fernández,es  ESP,FW,Real Sociedad,26-265,1996,2.8,2,2,0,2,0,0,5,0.0,5,1,0,1,1,3,2,0
161,Federico Fernández,ar  ARG,DF,Elche,33-355,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0
162,Joaquín Fernández,es  ESP,DF,Valladolid,26-256,1996,14.6,19,18,15,4,0,10,13,76.9,3,19,14,5,16,35,64,1
163,Fidel,es  ESP,"FW,MF",Elche,33-107,1989,4.5,5,3,4,1,0,1,6,16.7,5,2,0,2,1,6,1,0
164,Dimitri Foulquier,fr  FRA,"DF,MF",Valencia,29-325,1993,6.4,16,10,9,6,1,11,13,84.6,2,6,0,6,3,19,11,0
165,Juan Foyth,ar  ARG,DF,Villarreal,25-030,1998,7.0,23,13,14,7,2,13,17,76.5,4,9,3,6,9,32,22,0
166,Iván Fresneda,es  ESP,DF,Valladolid,18-136,2004,8.5,29,19,18,9,2,19,23,82.6,4,10,2,8,13,42,27,0
167,Javi Galán,es  ESP,DF,Celta Vigo,28-084,1994,19.1,57,40,33,21,3,20,43,46.5,23,30,1,29,18,75,27,0
168,Iñigo Ruiz de Galarreta,es  ESP,MF,Mallorca,29-189,1993,13.5,31,24,17,11,3,11,23,47.8,12,11,5,6,13,44,14,0
169,Aleix García,es  ESP,MF,Girona,25-228,1997,19.7,26,10,6,13,7,9,15,60.0,6,18,5,13,25,51,22,1
170,Álvaro García,es  ESP,"FW,MF",Rayo Vallecano,30-107,1992,16.5,31,17,13,7,11,6,12,50.0,6,20,1,19,14,45,14,0
171,Borja García,es  ESP,"FW,MF",Girona,32-101,1990,1.0,1,1,0,1,0,0,0,,0,1,0,1,0,1,2,0
172,Carlos García,es  ESP,DF,Cádiz,22-219,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
173,Dani García,es  ESP,MF,Athletic Club,32-263,1990,6.5,14,9,7,6,1,10,14,71.4,4,5,0,5,6,20,11,0
174,David García,es  ESP,DF,Osasuna,28-362,1994,17.5,25,13,16,9,0,13,14,92.9,1,14,6,8,26,51,96,0
175,Eric García,es  ESP,DF,Barcelona,22-033,2001,8.3,17,11,11,4,2,5,7,71.4,2,13,6,7,13,30,13,1
176,Francisco Garcia,es  ESP,DF,Rayo Vallecano,23-181,1999,19.9,38,23,25,8,5,27,46,58.7,19,20,2,18,26,64,28,0
177,Raúl García,es  ESP,"FW,MF",Athletic Club,36-215,1986,5.6,9,6,2,2,5,3,8,37.5,5,5,1,4,3,12,6,0
178,Rubén García,es  ESP,"MF,FW",Osasuna,29-212,1993,6.9,10,3,6,3,1,4,12,33.3,8,11,0,11,7,17,9,0
179,Unai García,es  ESP,DF,Osasuna,31-008,1992,14.1,15,7,9,4,2,9,12,75.0,3,18,12,6,16,31,49,0
180,Felix Garreta,es  ESP,DF,Betis,18-296,2004,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0
181,Sékou Gassama,sn  SEN,FW,Valladolid,27-281,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
182,Gavi,es  ESP,"MF,FW",Barcelona,18-190,2004,14.1,26,18,3,18,5,13,25,52.0,12,17,2,15,11,37,10,0
183,Paulo Gazzaniga,ar  ARG,GK,Girona,31-040,1992,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,3
184,Óscar Gil,es  ESP,DF,Espanyol,25-291,1997,14.1,35,18,17,13,5,15,24,62.5,9,17,5,12,16,51,26,1
185,Álvaro Giménez,es  ESP,FW,Cádiz,31-268,1991,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
186,Dani Gómez,es  ESP,"MF,FW",Espanyol,24-196,1998,0.8,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0
187,Maxi Gómez,uy  URU,FW,Valencia,26-181,1996,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
188,Moi Gómez,es  ESP,"MF,FW",Osasuna,28-233,1994,18.2,15,10,6,8,1,10,18,55.6,8,8,2,6,7,22,3,1
189,Papu Gómez,ar  ARG,"MF,FW",Sevilla,34-361,1988,7.4,5,4,2,3,0,1,3,33.3,2,4,1,3,4,9,5,0
190,Sergi Gómez,es  ESP,DF,Espanyol,30-320,1992,12.5,13,6,10,3,0,9,10,90.0,1,12,5,7,15,28,67,0
