,Player,Nation,Pos,Squad,Age,Born,90s,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
11,Paulo Gazzaniga,ar  ARG,GK,Girona,31-040,1992,10.0,11,1,0,1,0,16.9,0.33,+5.9,+0.59,57,136,41.9,287,52,31.4,33.4,89,51.7,44.0,156,13,8.3,17,1.70,16.2
12,Ivo Grbić,hr  CRO,GK,Atlético Madrid,27-024,1996,2.3,2,1,0,1,0,2.7,0.19,+0.7,+0.31,12,55,21.8,64,8,51.6,40.3,23,95.7,67.0,43,7,16.3,0,0.00,5.5
13,Sergio Herrera,es  ESP,GK,Osasuna,29-251,1993,10.0,11,1,1,2,0,9.1,0.23,-1.9,-0.19,89,217,41.0,275,30,60.4,45.1,82,62.2,48.2,125,6,4.8,15,1.50,19.4
14,Filip Jörgensen,dk  DEN,GK,Villarreal,20-301,2002,1.0,1,0,0,0,0,0.7,0.25,-0.3,-0.26,0,4,0.0,28,5,14.3,23.3,7,0.0,13.3,13,1,7.7,0,0.00,8.7
15,Benjamin Lecomte,fr  FRA,GK,Espanyol,31-291,1991,10.0,14,0,0,2,1,10.4,0.26,-2.6,-0.26,72,160,45.0,192,25,57.3,43.1,80,62.5,47.0,146,4,2.7,11,1.10,15.3
16,Jeremías Ledesma,ar  ARG,GK,Cádiz,29-363,1993,20.0,33,5,1,4,0,30.1,0.21,-2.9,-0.14,135,448,30.1,492,91,59.1,45.2,178,88.2,64.0,355,25,7.0,8,0.40,9.1
17,Diego López,es  ESP,GK,Rayo Vallecano,41-100,1981,1.0,3,0,0,2,0,1.0,0.26,-2.0,-1.95,2,8,25.0,21,5,28.6,30.3,8,25.0,35.3,12,0,0.0,2,2.00,17.0
18,Andriy Lunin,ua  UKR,GK,Real Madrid,24-000,1999,5.0,3,0,0,0,1,2.9,0.22,+0.9,+0.18,13,23,56.5,133,31,9.8,23.7,25,40.0,39.8,41,1,2.4,6,1.20,20.3
19,Giorgi Mamardashvili,ge  GEO,GK,Valencia,22-135,2000,20.0,24,2,0,3,2,22.9,0.25,+0.9,+0.05,73,188,38.8,496,90,28.0,30.1,108,45.4,39.5,235,16,6.8,25,1.25,16.0
20,Agustín Marchesín,ar  ARG,GK,Celta Vigo,34-332,1988,19.0,29,2,1,4,1,20.7,0.24,-7.3,-0.38,103,267,38.6,500,75,39.8,35.3,131,51.9,42.9,253,14,5.5,25,1.32,18.1
21,Jordi Masip,es  ESP,GK,Valladolid,34-039,1989,15.0,21,2,0,0,0,25.3,0.29,+4.3,+0.29,68,208,32.7,412,72,32.3,34.4,135,55.6,43.6,228,7,3.1,8,0.53,13.6
22,Jan Oblak,si  SVN,GK,Atlético Madrid,30-035,1993,17.7,15,1,1,0,0,16.1,0.30,+1.1,+0.06,70,238,29.4,365,70,40.8,35.7,138,64.5,48.0,232,10,4.3,14,0.79,17.3
23,Fernando Pacheco,es  ESP,GK,Almería,30-269,1992,1.0,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,2.00,14.5
24,Predrag Rajković,rs  SRB,GK,Mallorca,27-103,1995,20.0,18,5,0,2,0,21.2,0.24,+3.2,+0.16,168,397,42.3,490,77,54.9,42.2,191,67.0,49.3,332,13,3.9,12,0.60,11.4
25,Pepe Reina,es  ESP,GK,Villarreal,40-164,1982,5.0,6,3,0,0,0,8.4,0.24,+2.4,+0.48,13,33,39.4,164,17,12.8,24.3,23,52.2,40.4,73,1,1.4,5,1.00,19.8
26,Álex Remiro,es  ESP,GK,Real Sociedad,27-324,1995,20.0,19,0,1,2,0,16.5,0.22,-2.5,-0.13,137,319,42.9,592,74,40.4,36.3,120,66.7,53.6,260,7,2.7,19,0.95,14.7
27,Gerónimo Rulli,ar  ARG,GK,Villarreal,30-267,1992,14.0,10,0,0,1,0,12.5,0.23,+2.5,+0.18,50,119,42.0,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.50,15.5
28,Rui Silva,pt  POR,GK,Betis,29-004,1994,17.0,18,1,1,3,0,19.0,0.30,+1.0,+0.06,104,277,37.5,447,65,41.2,35.7,141,66.0,49.2,229,11,4.8,27,1.59,17.2
29,Unai Simón,es  ESP,GK,Athletic Club,25-245,1997,20.0,21,1,0,0,0,17.4,0.27,-3.6,-0.18,83,212,39.2,485,109,29.5,33.0,118,58.5,46.2,230,12,5.2,28,1.40,18.5
30,David Soria,es  ESP,GK,Getafe,29-313,1993,20.0,27,2,0,4,1,22.8,0.21,-3.2,-0.16,187,417,44.8,408,67,66.9,46.4,170,84.7,56.1,324,16,4.9,22,1.10,14.9
31,Marc-André ter Stegen,de  GER,GK,Barcelona,30-287,1992,20.0,7,2,0,1,1,9.7,0.19,+3.7,+0.18,72,158,45.6,657,80,19.0,27.6,98,33.7,35.7,181,9,5.0,18,0.90,15.6
32,Iván Villar,es  ESP,GK,Celta Vigo,25-217,1997,1.0,3,1,0,1,0,3.0,0.29,0.0,+0.01,7,20,35.0,24,5,50.0,31.9,8,100.0,62.0,14,0,0.0,1,1.00,19.5
