,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
489,Lucas Torró,es  ESP,MF,Osasuna,28-207,1994,16.7,851,50,213,494,149,23,851,11,4,36.4,4,36.4,387,1609,609,4,10,0,19,9,482,9
490,Nabil Touaizi,ma  MAR,MF,Espanyol,22-010,2001,0.0,2,0,0,0,2,1,2,0,0,,0,,1,12,3,0,0,0,0,0,1,1
491,Óscar Trejo,ar  ARG,"MF,FW",Rayo Vallecano,34-291,1988,13.4,747,10,60,393,311,37,745,52,21,40.4,23,44.2,467,2626,1154,29,36,4,37,47,546,58
492,Manu Trigueros,es  ESP,"MF,FW",Villarreal,31-117,1991,4.2,252,8,28,151,74,3,252,1,0,0.0,1,100.0,142,532,219,4,2,0,2,6,208,12
493,Viktor Tsyhankov,ua  UKR,MF,Girona,25-088,1997,0.1,7,0,2,6,1,0,7,0,0,,0,,5,46,1,0,0,0,2,0,5,1
494,Beñat Turrientes,es  ESP,"MF,FW",Real Sociedad,21-011,2002,1.2,62,3,18,29,15,0,62,3,1,33.3,1,33.3,30,113,51,0,0,0,4,2,34,4
495,Enes Ünal,tr  TUR,FW,Getafe,25-277,1997,19.2,625,30,60,296,278,58,623,22,10,45.5,9,40.9,358,1358,580,22,18,8,42,29,502,85
496,Oscar Ureña,es  ESP,MF,Girona,20-041,2003,1.1,41,0,7,14,22,4,41,5,4,80.0,0,0.0,28,150,45,1,0,1,4,4,29,10
497,Óscar Valentín,es  ESP,MF,Rayo Vallecano,28-175,1994,13.6,773,23,150,519,109,12,773,6,1,16.7,4,66.7,380,2114,1075,9,10,0,13,4,433,6
498,Valery,es  ESP,"MF,DF",Girona,23-080,1999,6.4,270,11,46,105,119,20,270,13,4,30.8,7,53.8,159,838,323,11,4,6,12,8,174,54
499,Enrique Valiente,es  ESP,DF,Sevilla,20-294,2002,4.1,255,39,133,112,10,3,255,0,0,,0,,149,530,227,3,1,0,2,1,177,0
500,Martin Valjent,sk  SVK,DF,Mallorca,27-062,1995,16.8,826,109,450,356,28,1,826,1,0,0.0,1,100.0,448,2082,1040,6,6,1,3,0,481,2
501,Manu Vallejo,es  ESP,"FW,MF",Girona,25-362,1997,2.3,110,1,12,45,54,8,110,4,1,25.0,3,75.0,67,341,209,7,4,2,3,4,85,25
502,Federico Valverde,uy  URU,"FW,MF",Real Madrid,24-204,1998,17.0,1098,21,121,501,485,33,1098,25,18,72.0,5,20.0,701,3995,2100,50,45,4,14,6,855,77
503,Jesus Vazquez,es  ESP,"DF,MF",Valencia,20-040,2003,1.9,125,5,29,48,49,4,125,9,3,33.3,6,66.7,76,418,183,2,7,0,5,1,75,11
504,Kevin Vázquez,es  ESP,"MF,DF",Celta Vigo,29-325,1993,1.0,64,6,20,27,17,0,64,0,0,,0,,27,129,84,2,2,0,1,1,35,7
505,Lucas Vázquez,es  ESP,DF,Real Madrid,31-225,1991,4.7,394,7,81,156,158,19,394,4,1,25.0,1,25.0,241,1109,620,13,6,6,5,1,281,52
506,Gabriel Veiga,es  ESP,MF,Celta Vigo,20-260,2002,11.5,545,9,70,297,190,29,545,33,14,42.4,19,57.6,325,1747,952,25,16,7,26,5,355,35
507,Unai Vencedor Paris,es  ESP,MF,Athletic Club,22-088,2000,1.6,108,1,16,68,24,4,108,1,0,0.0,1,100.0,59,235,117,1,2,1,4,4,75,2
508,Gonzalo Verdú,es  ESP,DF,Elche,34-113,1988,4.8,251,47,158,86,9,7,251,0,0,,0,,136,641,242,0,0,0,1,0,156,0
509,Mikel Vesga,es  ESP,MF,Athletic Club,29-266,1993,15.5,989,31,174,621,201,13,988,6,2,33.3,4,66.7,551,2411,1181,13,17,2,26,11,648,16
510,Aleix Vidal,es  ESP,"MF,FW",Espanyol,33-174,1989,8.1,320,15,60,140,122,10,320,10,1,10.0,8,80.0,147,785,272,8,2,2,9,7,165,30
511,Nacho Vidal,es  ESP,DF,Osasuna,28-018,1995,9.9,580,40,181,225,177,13,580,17,6,35.3,11,64.7,229,977,409,12,6,2,13,9,265,37
