,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
58,Fran Beltrán,es  ESP,MF,Celta Vigo,24-078,1999,26.2,55,2.10,45,7,0,1,0,2,2,0.08,1,0,0,0,0,1
59,Iker Benito,es  ESP,FW,Osasuna,20-255,2002,0.1,3,22.50,2,0,0,0,0,1,1,7.50,1,0,0,0,0,0
60,Karim Benzema,fr  FRA,FW,Real Madrid,35-124,1987,17.8,86,4.82,71,1,5,7,2,0,5,0.28,4,0,0,1,0,0
61,Yuri Berchiche,es  ESP,DF,Athletic Club,33-071,1990,17.7,35,1.97,28,3,1,3,0,0,1,0.06,1,0,0,0,0,0
62,Álex Berenguer,es  ESP,FW,Athletic Club,27-292,1995,19.7,69,3.50,36,18,5,4,3,3,3,0.15,2,0,0,1,0,0
63,Pedro Bigas,es  ESP,DF,Elche,32-219,1990,19.0,14,0.74,9,0,1,2,1,1,3,0.16,1,0,0,1,1,0
64,El Bilal Touré,ml  MLI,FW,Almería,21-201,2001,13.0,34,2.62,26,0,2,4,2,0,4,0.31,3,0,1,0,0,0
65,Blanco,es  ESP,MF,Cádiz,22-273,2000,1.8,2,1.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
66,Lautaro Blanco,ar  ARG,"MF,DF",Elche,24-062,1999,4.4,9,2.06,5,2,1,0,0,1,1,0.23,1,0,0,0,0,0
67,Theo Bongonda,cd  COD,MF,Cádiz,27-153,1995,15.9,34,2.13,18,2,3,4,6,1,5,0.31,3,0,1,1,0,0
68,Wassim Boullif,es  ESP,"DF,MF",Espanyol,18-078,2005,1.0,1,1.01,1,0,0,0,0,0,1,1.01,1,0,0,0,0,0
69,Yassine Bounou,ma  MAR,GK,Sevilla,32-017,1991,22.9,2,0.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
70,Lucas Boyé,ar  ARG,FW,Elche,27-053,1996,20.6,55,2.66,39,0,8,2,4,2,5,0.24,4,0,0,0,0,1
71,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-321,1991,23.1,38,1.65,25,0,2,6,5,0,4,0.17,2,0,0,2,0,0
72,Juan Brandáriz,es  ESP,DF,Almería,24-051,1999,13.3,7,0.53,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0
73,Darko Brašanac,rs  SRB,MF,Osasuna,31-069,1992,11.6,22,1.90,20,0,0,1,1,0,1,0.09,1,0,0,0,0,0
74,Claudio Bravo,cl  CHI,GK,Betis,40-009,1983,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Bryan,es  ESP,"DF,FW",Sevilla,22-070,2001,6.3,14,2.23,13,0,1,0,0,0,3,0.48,3,0,0,0,0,0
76,Ante Budimir,hr  CRO,FW,Osasuna,31-274,1991,14.6,23,1.58,18,0,1,2,2,0,1,0.07,0,0,0,0,1,0
77,Santiago Bueno,uy  URU,DF,Girona,24-164,1998,27.9,20,0.72,14,0,1,3,2,0,3,0.11,2,0,0,0,1,0
78,Sergio Busquets,es  ESP,MF,Barcelona,34-280,1988,20.3,54,2.66,49,0,0,0,4,1,4,0.20,4,0,0,0,0,0
79,Leandro Cabrera,uy  URU,DF,Espanyol,31-309,1991,23.7,25,1.06,20,1,0,4,0,0,1,0.04,1,0,0,0,0,0
80,Cala,es  ESP,DF,Cádiz,33-147,1989,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
81,Fernando Calero,es  ESP,"DF,MF",Espanyol,27-220,1995,13.8,11,0.80,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0
82,Alexander Callens,pe  PER,DF,Girona,30-353,1992,0.6,1,1.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
83,Eduardo Camavinga,fr  FRA,"MF,DF",Real Madrid,20-163,2002,16.4,64,3.90,47,0,5,3,9,0,4,0.24,2,0,0,1,1,0
84,Sergio Camello,es  ESP,FW,Rayo Vallecano,22-071,2001,22.5,53,2.35,41,1,6,2,3,0,6,0.27,4,0,1,1,0,0
85,Sergio Canales,es  ESP,"FW,MF",Betis,32-065,1991,18.6,76,4.08,61,8,2,3,2,0,5,0.27,3,1,0,1,0,0
86,Ander Capa,es  ESP,DF,Athletic Club,31-073,1992,1.1,5,4.59,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
87,Étienne Capoue,fr  FRA,MF,Villarreal,34-285,1988,16.6,31,1.86,23,1,1,2,3,1,2,0.12,1,0,0,1,0,0
88,Isaac Carcelen,es  ESP,DF,Cádiz,29-364,1993,17.7,25,1.41,18,1,1,1,3,1,2,0.11,1,0,1,0,0,0
89,Juan Carlos,es  ESP,GK,Girona,35-092,1988,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
90,Yannick Carrasco,be  BEL,"DF,MF",Atlético Madrid,29-230,1993,18.3,62,3.39,37,10,8,6,1,0,6,0.33,3,2,0,1,0,0
91,Dani Carvajal,es  ESP,DF,Real Madrid,31-101,1992,16.1,32,1.99,31,0,0,0,0,1,1,0.06,1,0,0,0,0,0
92,William Carvalho,pt  POR,MF,Betis,31-015,1992,20.7,44,2.10,39,3,2,0,0,0,6,0.29,6,0,0,0,0,0
93,Casemiro,br  BRA,MF,Real Madrid,31-058,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
94,Valentín Castellanos,ar  ARG,FW,Girona,24-201,1998,23.7,37,1.56,26,0,3,4,4,0,5,0.21,3,0,0,2,0,0
95,Samu Castillejo,es  ESP,"FW,MF",Valencia,28-094,1995,14.5,56,3.87,33,9,8,4,0,2,1,0.07,0,0,0,1,0,0
96,Catena,es  ESP,DF,Rayo Vallecano,28-176,1994,26.8,25,0.93,19,2,0,2,2,0,1,0.04,1,0,0,0,0,0
97,Edinson Cavani,uy  URU,FW,Valencia,36-067,1987,12.4,21,1.70,16,1,0,4,0,0,2,0.16,2,0,0,0,0,0
98,Dani Ceballos,es  ESP,MF,Real Madrid,26-258,1996,11.2,61,5.46,47,6,2,2,3,1,6,0.54,5,0,0,0,1,0
99,Álex Centelles,es  ESP,DF,Almería,25-165,1997,5.5,12,2.18,8,4,0,0,0,0,1,0.18,0,1,0,0,0,0
100,Franco Cervi,ar  ARG,MF,Celta Vigo,28-331,1994,16.7,44,2.64,30,7,1,3,3,0,4,0.24,3,0,0,1,0,0
101,Pep Chavarría,es  ESP,"FW,MF",Rayo Vallecano,25-012,1998,1.6,6,3.78,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
102,Pape Cheikh Diop,sn  SEN,MF,Elche,25-257,1997,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
103,Andreas Christensen,dk  DEN,DF,Barcelona,27-012,1996,14.0,10,0.71,10,0,0,0,0,0,2,0.14,2,0,0,0,0,0
104,Samuel Chukwueze,ng  NGA,"FW,MF",Villarreal,23-335,1999,19.4,82,4.23,54,2,21,1,3,1,15,0.77,9,0,5,0,1,0
105,Víctor Chust,es  ESP,DF,Cádiz,23-048,2000,10.4,4,0.39,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
106,Pathé Ciss,sn  SEN,"MF,DF",Rayo Vallecano,29-037,1994,11.9,17,1.43,15,0,0,1,1,0,0,0.00,0,0,0,0,0,0
107,Carlos Clerc,es  ESP,"DF,MF",Elche,31-060,1992,21.3,28,1.31,22,2,1,1,2,0,2,0.09,1,0,0,0,1,0
108,Álex Collado,es  ESP,MF,Elche,24-000,1999,6.5,21,3.23,16,3,0,1,1,0,2,0.31,2,0,0,0,0,0
109,Diego Collado,es  ESP,FW,Villarreal,22-103,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
110,Eray Cömert,ch  SUI,DF,Valencia,25-077,1998,17.0,11,0.65,8,0,1,0,2,0,0,0.00,0,0,0,0,0,0
111,Santi Comesaña,es  ESP,MF,Rayo Vallecano,26-199,1996,20.0,61,3.05,50,1,4,2,2,2,1,0.05,1,0,0,0,0,0
112,Copete,es  ESP,DF,Mallorca,23-194,1999,16.9,7,0.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
113,Francis Coquelin,fr  FRA,MF,Villarreal,31-344,1991,8.3,9,1.09,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0
114,Jesús Corona,mx  MEX,FW,Sevilla,30-106,1993,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
115,Ángel Correa,ar  ARG,"FW,MF",Atlético Madrid,28-044,1995,11.9,51,4.30,37,3,4,5,1,1,7,0.59,3,0,1,2,0,1
116,Thierry Correia,pt  POR,"DF,FW",Valencia,24-044,1999,18.1,34,1.88,21,1,1,0,10,1,1,0.06,1,0,0,0,0,0
117,Jaume Costa,es  ESP,DF,Mallorca,35-035,1988,22.4,51,2.27,38,4,1,1,5,2,3,0.13,2,1,0,0,0,0
118,Samu Costa,pt  POR,MF,Almería,22-146,2000,16.8,31,1.84,25,1,1,1,2,1,1,0.06,1,0,0,0,0,0
119,Thibaut Courtois,be  BEL,GK,Real Madrid,30-346,1992,23.0,5,0.22,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
120,Yan Couto,br  BRA,"DF,MF",Girona,20-323,2002,8.1,30,3.70,20,2,4,1,2,1,2,0.25,1,1,0,0,0,0
121,Juan Cruz Armada,es  ESP,DF,Osasuna,30-268,1992,18.1,31,1.71,25,5,0,0,0,1,2,0.11,1,1,0,0,0,0
122,Juan Cruz,es  ESP,FW,Betis,22-362,2000,1.9,3,1.55,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
123,Jorge Cuenca,es  ESP,DF,Villarreal,23-156,1999,4.0,4,0.99,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
124,Braian Cufré,ar  ARG,DF,Mallorca,26-128,1996,2.4,3,1.23,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
125,Matheus Cunha,br  BRA,"FW,MF",Atlético Madrid,23-330,1999,4.2,10,2.38,8,0,0,2,0,0,2,0.48,2,0,0,0,0,0
126,Curro,es  ESP,MF,Almería,27-109,1996,0.5,2,4.19,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
127,Arnaut Danjuma,nl  NED,FW,Villarreal,26-081,1997,5.3,13,2.44,7,0,1,1,3,1,0,0.00,0,0,0,0,0,0
128,Sergi Darder,es  ESP,MF,Espanyol,29-121,1993,29.6,115,3.89,68,35,5,2,4,1,7,0.24,6,1,0,0,0,0
129,Rodrigo De Paul,ar  ARG,MF,Atlético Madrid,28-333,1994,14.3,62,4.33,54,5,1,0,2,0,4,0.28,4,0,0,0,0,0
130,Alberto Del Moral,es  ESP,MF,Villarreal,22-276,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
131,Thomas Delaney,dk  DEN,MF,Sevilla,31-231,1991,3.4,4,1.17,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
132,Fran Delgado,es  ESP,DF,Betis,21-285,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
133,Ousmane Dembélé,fr  FRA,FW,Barcelona,25-342,1997,12.2,61,4.99,39,10,7,3,2,0,10,0.82,7,0,2,1,0,0
134,Mouctar Diakhaby,gn  GUI,DF,Valencia,26-124,1996,19.2,8,0.42,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
135,Mamady Diarra,ml  MLI,"MF,DF",Cádiz,22-300,2000,0.7,1,1.36,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
